Bolide Detection Notification: 2007-076

At 06:48:35 UT on 17 Mar 2007, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 7.1N, Lon 4.1E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 6.6E9 watts/steradian, and total radiated flash
energy  4.0E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.499,  5.78e+08),
           (-0.496,  9.46e+08),
           (-0.493,  1.87e+09),
           (-0.489,  7.34e+08),
           (-0.486, -6.41e+07),
           (-0.483, -7.52e+08),
           (-0.479, -5.81e+08),
           (-0.476,  1.65e+09),
           (-0.473, -6.05e+06),
           (-0.469, -4.19e+08),
           (-0.466,  4.05e+08),
           (-0.462,  1.17e+09),
           (-0.459,  1.71e+09),
           (-0.456,  2.78e+09),
           (-0.452,  3.92e+09),
           (-0.449,  2.27e+09),
           (-0.445,  2.53e+09),
           (-0.442,  1.57e+09),
           (-0.439,  2.22e+09),
           (-0.435,  3.10e+09),
           (-0.432,  1.43e+09),
           (-0.429,  2.44e+09),
           (-0.425,  5.35e+09),
           (-0.422,  5.00e+09),
           (-0.419,  4.25e+09),
           (-0.415,  4.09e+09),
           (-0.412,  1.96e+09),
           (-0.408,  1.36e+09),
           (-0.405,  2.22e+09),
           (-0.402,  3.16e+09),
           (-0.398,  8.44e+08),
           (-0.395,  7.85e+08),
           (-0.391,  1.58e+09),
           (-0.388,  6.96e+08),
           (-0.385, -7.01e+08),
           (-0.381, -4.67e+08),
           (-0.378, -5.36e+07),
           (-0.375, -1.58e+08),
           (-0.371, -8.08e+08),
           (-0.368,  4.40e+08),
           (-0.365, -8.68e+07),
           (-0.361,  1.90e+09),
           (-0.358,  1.21e+09),
           (-0.354, -1.10e+09),
           (-0.351, -6.37e+08),
           (-0.348, -9.25e+08),
           (-0.344, -3.31e+08),
           (-0.341,  8.89e+08),
           (-0.337,  2.54e+09),
           (-0.334, -8.19e+08),
           (-0.331, -2.14e+09),
           (-0.327, -8.63e+08),
           (-0.324, -3.00e+08),
           (-0.321,  5.59e+08),
           (-0.317,  1.68e+09),
           (-0.314,  6.90e+08),
           (-0.311,  2.26e+08),
           (-0.307,  2.71e+09),
           (-0.304,  2.61e+09),
           (-0.300, -2.95e+08),
           (-0.297, -4.54e+05),
           (-0.294, -9.50e+08),
           (-0.290, -2.19e+08),
           (-0.287,  4.05e+08),
           (-0.283, -1.50e+08),
           (-0.280,  5.94e+08),
           (-0.277,  1.56e+09),
           (-0.273,  1.59e+09),
           (-0.270,  1.62e+09),
           (-0.267,  3.11e+09),
           (-0.263,  1.81e+09),
           (-0.260, -1.08e+09),
           (-0.257,  3.40e+08),
           (-0.253,  1.19e+09),
           (-0.250, -6.55e+07),
           (-0.246, -5.84e+08),
           (-0.243, -4.35e+07),
           (-0.240,  9.17e+08),
           (-0.236,  2.03e+09),
           (-0.233,  1.45e+09),
           (-0.229, -7.63e+07),
           (-0.226,  2.79e+07),
           (-0.223, -1.36e+09),
           (-0.219, -1.42e+09),
           (-0.216, -1.92e+09),
           (-0.213, -2.52e+08),
           (-0.209,  6.90e+08),
           (-0.206, -1.21e+09),
           (-0.203, -5.51e+08),
           (-0.199,  2.05e+09),
           (-0.196,  1.10e+09),
           (-0.192,  2.62e+09),
           (-0.189,  2.35e+09),
           (-0.186,  2.34e+09),
           (-0.182,  1.85e+09),
           (-0.179,  3.02e+09),
           (-0.175,  4.55e+09),
           (-0.172,  3.24e+09),
           (-0.169,  3.67e+09),
           (-0.165,  4.12e+09),
           (-0.162,  4.23e+09),
           (-0.159,  4.96e+09),
           (-0.155,  5.21e+09),
           (-0.152,  3.48e+09),
           (-0.149,  4.32e+09),
           (-0.145,  4.35e+09),
           (-0.142,  1.52e+09),
           (-0.138,  6.45e+08),
           (-0.135,  3.40e+09),
           (-0.132,  2.25e+09),
           (-0.128,  1.58e+09),
           (-0.125,  1.50e+09),
           (-0.121,  2.70e+09),
           (-0.118,  3.75e+09),
           (-0.115,  3.41e+09),
           (-0.111,  3.10e+09),
           (-0.108,  5.65e+09),
           (-0.105,  5.04e+09),
           (-0.101,  3.48e+09),
           (-0.098,  2.22e+09),
           (-0.095,  2.92e+09),
           (-0.091,  1.90e+09),
           (-0.088,  2.54e+09),
           (-0.084,  1.30e+09),
           (-0.081,  8.03e+08),
           (-0.078,  9.82e+08),
           (-0.074,  2.07e+09),
           (-0.071,  2.18e+09),
           (-0.067,  1.22e+09),
           (-0.064,  1.57e+09),
           (-0.061,  1.79e+09),
           (-0.057,  3.01e+09),
           (-0.054,  3.20e+09),
           (-0.051,  3.92e+09),
           (-0.047,  6.29e+09),
           (-0.044,  5.47e+09),
           (-0.041,  6.92e+09),
           (-0.037,  1.05e+10),
           (-0.034,  1.22e+10),
           (-0.030,  1.40e+10),
           (-0.027,  1.37e+10),
           (-0.024,  1.49e+10),
           (-0.020,  1.39e+10),
           (-0.017,  1.60e+10),
           (-0.013,  1.71e+10),
           (-0.010,  1.76e+10),
           (-0.007,  1.97e+10),
           (-0.003,  1.88e+10),
           (-0.000,  1.86e+10),
           ( 0.003,  1.80e+10),
           ( 0.007,  1.78e+10),
           ( 0.010,  2.01e+10),
           ( 0.013,  1.69e+10),
           ( 0.017,  1.30e+10),
           ( 0.020,  1.17e+10),
           ( 0.024,  1.20e+10),
           ( 0.027,  1.23e+10),
           ( 0.030,  1.03e+10),
           ( 0.034,  9.16e+09),
           ( 0.037,  1.01e+10),
           ( 0.041,  1.06e+10),
           ( 0.044,  9.17e+09),
           ( 0.047,  9.61e+09),
           ( 0.051,  9.04e+09),
           ( 0.054,  9.04e+09),
           ( 0.057,  1.19e+10),
           ( 0.061,  1.40e+10),
           ( 0.064,  1.55e+10),
           ( 0.067,  1.60e+10),
           ( 0.071,  1.59e+10),
           ( 0.074,  1.80e+10),
           ( 0.078,  2.13e+10),
           ( 0.081,  2.04e+10),
           ( 0.084,  1.73e+10),
           ( 0.088,  2.08e+10),
           ( 0.091,  2.09e+10),
           ( 0.095,  2.02e+10),
           ( 0.098,  2.47e+10),
           ( 0.101,  2.55e+10),
           ( 0.105,  2.42e+10),
           ( 0.108,  2.22e+10),
           ( 0.111,  2.11e+10),
           ( 0.115,  1.98e+10),
           ( 0.118,  1.90e+10),
           ( 0.121,  1.89e+10),
           ( 0.125,  1.85e+10),
           ( 0.128,  1.78e+10),
           ( 0.132,  1.55e+10),
           ( 0.135,  1.59e+10),
           ( 0.138,  1.71e+10),
           ( 0.142,  1.70e+10),
           ( 0.145,  1.75e+10),
           ( 0.149,  1.86e+10),
           ( 0.152,  1.76e+10),
           ( 0.155,  1.96e+10),
           ( 0.159,  2.32e+10),
           ( 0.162,  2.42e+10),
           ( 0.165,  2.52e+10),
           ( 0.169,  2.45e+10),
           ( 0.172,  2.37e+10),
           ( 0.175,  2.56e+10),
           ( 0.179,  2.70e+10),
           ( 0.182,  2.78e+10),
           ( 0.186,  2.84e+10),
           ( 0.189,  2.85e+10),
           ( 0.192,  2.80e+10),
           ( 0.196,  2.59e+10),
           ( 0.199,  2.42e+10),
           ( 0.203,  2.36e+10),
           ( 0.206,  2.26e+10),
           ( 0.209,  2.22e+10),
           ( 0.213,  2.09e+10),
           ( 0.216,  2.12e+10),
           ( 0.219,  2.09e+10),
           ( 0.223,  2.21e+10),
           ( 0.226,  2.06e+10),
           ( 0.229,  1.88e+10),
           ( 0.233,  1.90e+10),
           ( 0.236,  1.83e+10),
           ( 0.240,  1.74e+10),
           ( 0.243,  1.76e+10),
           ( 0.246,  1.63e+10),
           ( 0.250,  1.97e+10),
           ( 0.253,  2.07e+10),
           ( 0.257,  1.99e+10),
           ( 0.260,  2.09e+10),
           ( 0.263,  2.25e+10),
           ( 0.267,  2.14e+10),
           ( 0.270,  1.81e+10),
           ( 0.273,  1.83e+10),
           ( 0.277,  1.94e+10),
           ( 0.280,  1.92e+10),
           ( 0.283,  2.03e+10),
           ( 0.287,  2.11e+10),
           ( 0.290,  2.14e+10),
           ( 0.294,  2.10e+10),
           ( 0.297,  1.96e+10),
           ( 0.300,  2.06e+10),
           ( 0.304,  2.11e+10),
           ( 0.307,  2.01e+10),
           ( 0.311,  1.97e+10),
           ( 0.314,  1.96e+10),
           ( 0.317,  1.89e+10),
           ( 0.321,  1.72e+10),
           ( 0.324,  1.91e+10),
           ( 0.327,  1.92e+10),
           ( 0.331,  1.95e+10),
           ( 0.334,  1.96e+10),
           ( 0.337,  1.80e+10),
           ( 0.341,  1.78e+10),
           ( 0.344,  1.74e+10),
           ( 0.348,  1.69e+10),
           ( 0.351,  1.58e+10),
           ( 0.354,  1.57e+10),
           ( 0.358,  1.72e+10),
           ( 0.361,  1.68e+10),
           ( 0.365,  1.52e+10),
           ( 0.368,  1.57e+10),
           ( 0.371,  1.78e+10),
           ( 0.375,  1.83e+10),
           ( 0.378,  1.91e+10),
           ( 0.381,  1.88e+10),
           ( 0.385,  1.92e+10),
           ( 0.388,  1.90e+10),
           ( 0.391,  1.94e+10),
           ( 0.395,  1.85e+10),
           ( 0.398,  1.88e+10),
           ( 0.402,  1.82e+10),
           ( 0.405,  1.83e+10),
           ( 0.408,  1.87e+10),
           ( 0.412,  1.97e+10),
           ( 0.415,  1.93e+10),
           ( 0.419,  1.83e+10),
           ( 0.422,  1.73e+10),
           ( 0.425,  1.79e+10),
           ( 0.429,  1.70e+10),
           ( 0.432,  1.75e+10),
           ( 0.435,  1.83e+10),
           ( 0.439,  1.70e+10),
           ( 0.442,  1.70e+10),
           ( 0.445,  1.81e+10),
           ( 0.449,  1.76e+10),
           ( 0.452,  1.80e+10),
           ( 0.456,  1.70e+10),
           ( 0.459,  1.55e+10),
           ( 0.462,  1.78e+10),
           ( 0.466,  1.71e+10),
           ( 0.469,  1.67e+10),
           ( 0.473,  1.58e+10),
           ( 0.476,  1.58e+10),
           ( 0.479,  1.50e+10),
           ( 0.483,  1.39e+10),
           ( 0.486,  1.27e+10),
           ( 0.489,  1.00e+10),
           ( 0.493,  8.26e+09),
           ( 0.496,  7.27e+09),
           ( 0.499,  6.68e+09),
           ( 0.503,  6.37e+09),
           ( 0.506,  5.52e+09),
           ( 0.510,  7.85e+09),
           ( 0.513,  9.63e+09),
           ( 0.516,  8.97e+09),
           ( 0.520,  9.06e+09),
           ( 0.523,  8.68e+09),
           ( 0.527,  7.49e+09),
           ( 0.530,  5.92e+09),
           ( 0.533,  6.89e+09),
           ( 0.537,  7.10e+09),
           ( 0.540,  6.46e+09),
           ( 0.543,  8.09e+09),
           ( 0.547,  8.89e+09),
           ( 0.550,  9.95e+09),
           ( 0.553,  9.89e+09),
           ( 0.557,  1.03e+10),
           ( 0.560,  1.02e+10),
           ( 0.564,  9.31e+09),
           ( 0.567,  1.10e+10),
           ( 0.570,  1.10e+10),
           ( 0.574,  1.02e+10),
           ( 0.577,  1.16e+10),
           ( 0.581,  1.07e+10),
           ( 0.584,  1.00e+10),
           ( 0.587,  8.73e+09),
           ( 0.591,  9.85e+09),
           ( 0.594,  1.07e+10),
           ( 0.597,  1.04e+10),
           ( 0.601,  1.04e+10),
           ( 0.604,  1.06e+10),
           ( 0.607,  1.13e+10),
           ( 0.611,  1.25e+10),
           ( 0.614,  1.15e+10),
           ( 0.618,  1.04e+10),
           ( 0.621,  1.06e+10),
           ( 0.624,  9.75e+09),
           ( 0.628,  1.18e+10),
           ( 0.631,  1.18e+10),
           ( 0.635,  1.24e+10),
           ( 0.638,  1.35e+10),
           ( 0.641,  1.38e+10),
           ( 0.645,  1.41e+10),
           ( 0.648,  1.41e+10),
           ( 0.651,  1.44e+10),
           ( 0.655,  1.46e+10),
           ( 0.658,  1.57e+10),
           ( 0.661,  1.39e+10),
           ( 0.665,  1.36e+10),
           ( 0.668,  1.33e+10),
           ( 0.672,  1.16e+10),
           ( 0.675,  1.17e+10),
           ( 0.678,  1.10e+10),
           ( 0.682,  1.21e+10),
           ( 0.685,  1.28e+10),
           ( 0.689,  1.07e+10),
           ( 0.692,  9.99e+09),
           ( 0.695,  1.05e+10),
           ( 0.699,  1.04e+10),
           ( 0.702,  9.49e+09),
           ( 0.705,  9.51e+09),
           ( 0.709,  8.24e+09),
           ( 0.712,  6.88e+09),
           ( 0.715,  6.88e+09),
           ( 0.719,  7.22e+09),
           ( 0.722,  7.66e+09),
           ( 0.726,  8.59e+09),
           ( 0.729,  9.35e+09),
           ( 0.732,  9.10e+09),
           ( 0.736,  8.59e+09),
           ( 0.739,  7.91e+09),
           ( 0.743,  7.52e+09),
           ( 0.746,  7.41e+09),
           ( 0.749,  8.21e+09),
           ( 0.753,  8.05e+09),
           ( 0.756,  7.15e+09),
           ( 0.759,  5.98e+09),
           ( 0.763,  5.17e+09),
           ( 0.766,  4.63e+09),
           ( 0.769,  5.83e+09),
           ( 0.773,  7.41e+09),
           ( 0.776,  6.37e+09),
           ( 0.780,  6.38e+09),
           ( 0.783,  6.84e+09),
           ( 0.786,  5.74e+09),
           ( 0.790,  3.56e+09),
           ( 0.793,  4.87e+09),
           ( 0.797,  6.10e+09),
           ( 0.800,  4.40e+09),
           ( 0.803,  6.21e+09),
           ( 0.807,  6.00e+09),
           ( 0.810,  3.38e+09),
           ( 0.813,  3.78e+09),
           ( 0.817,  4.21e+09),
           ( 0.820,  2.46e+09),
           ( 0.823,  2.26e+09),
           ( 0.827,  1.61e+09),
           ( 0.830,  1.79e+09),
           ( 0.834, -1.73e+08),
           ( 0.837,  2.90e+08),
           ( 0.840,  2.63e+09),
           ( 0.844,  1.72e+09),
           ( 0.847,  1.62e+09),
           ( 0.851,  2.60e+08),
           ( 0.854,  4.93e+08),
           ( 0.857,  2.81e+09),
           ( 0.861,  1.71e+09),
           ( 0.864, -1.65e+08),
           ( 0.867, -5.57e+08),
           ( 0.871,  5.76e+08),
           ( 0.874,  2.19e+09),
           ( 0.877,  4.85e+08),
           ( 0.881,  5.76e+08),
           ( 0.884, -2.30e+08),
           ( 0.888, -2.81e+09),
           ( 0.891, -2.45e+09),
           ( 0.894,  1.18e+09),
           ( 0.898,  3.08e+09),
           ( 0.901,  1.12e+09),
           ( 0.905, -1.40e+09),
           ( 0.908, -1.55e+09),
           ( 0.911, -2.08e+09),
           ( 0.915, -2.10e+09),
           ( 0.918, -1.04e+09),
           ( 0.921, -1.50e+09),
           ( 0.925, -1.79e+09),
           ( 0.928, -2.16e+09),
           ( 0.931, -2.29e+09),
           ( 0.935, -5.13e+09),
           ( 0.938, -5.57e+09),
           ( 0.942, -4.53e+09),
           ( 0.945, -3.23e+09),
           ( 0.948, -4.84e+09),
           ( 0.952, -3.69e+09),
           ( 0.955, -3.07e+09),
           ( 0.959, -2.30e+09),
           ( 0.962, -6.26e+08),
           ( 0.965,  7.82e+07),
           ( 0.969, -6.41e+07),
           ( 0.972,  2.35e+08),
           ( 0.975, -2.75e+08),
           ( 0.979, -8.63e+08),
           ( 0.982, -1.82e+09),
           ( 0.986, -2.45e+09),
           ( 0.989, -2.14e+09),
           ( 0.992, -1.72e+09),
           ( 0.996, -1.48e+09),
           ( 0.999, -2.05e+09),
           ( 1.002,  6.60e+08),
           ( 1.006, -1.55e+07),
           ( 1.009,  8.15e+08),
           ( 1.013,  2.31e+09),
           ( 1.016,  5.84e+08),
           ( 1.019, -5.29e+08),
           ( 1.023,  1.92e+08),
           ( 1.026,  6.12e+08),
           ( 1.029, -2.53e+08),
           ( 1.033, -6.88e+08),
           ( 1.036, -6.09e+08),
           ( 1.040, -9.15e+08),
           ( 1.043, -2.25e+09),
           ( 1.046, -2.18e+09),
           ( 1.050, -9.39e+08),
           ( 1.053, -1.36e+09),
           ( 1.056,  1.18e+08),
           ( 1.060,  1.01e+09),
           ( 1.063,  7.57e+08),
           ( 1.067,  6.10e+08),
           ( 1.070,  1.18e+09),
           ( 1.073,  1.57e+09),
           ( 1.077,  9.23e+08),
           ( 1.080, -4.92e+08),
           ( 1.083, -7.66e+08),
           ( 1.087,  3.98e+07),
           ( 1.090, -4.75e+08),
           ( 1.094,  3.67e+08),
           ( 1.097,  2.75e+07),
           ( 1.100,  3.17e+07),
           ( 1.104, -4.92e+08),
           ( 1.107, -1.36e+09),
           ( 1.110, -5.70e+08),
           ( 1.114, -2.44e+09),
           ( 1.117, -1.97e+09),
           ( 1.121, -2.94e+09),
           ( 1.124, -1.17e+09),
           ( 1.127, -1.50e+09),
           ( 1.131, -2.13e+09),
           ( 1.134, -1.74e+09),
           ( 1.137, -1.96e+09),
           ( 1.141, -6.32e+08),
           ( 1.144, -1.19e+09),
           ( 1.148, -6.41e+08),
           ( 1.151,  1.28e+09),
           ( 1.154,  3.49e+09),
           ( 1.158,  1.62e+09),
           ( 1.161,  5.66e+08),
           ( 1.164,  6.48e+08),
           ( 1.168,  8.14e+08),
           ( 1.171,  3.48e+08),
           ( 1.175,  2.49e+08),
           ( 1.178, -1.10e+08),
           ( 1.181, -1.30e+09),
           ( 1.185,  1.95e+09),
           ( 1.188,  1.17e+09),
           ( 1.191, -4.72e+08),
           ( 1.195, -1.14e+09),
           ( 1.198, -1.29e+09),
           ( 1.202, -2.40e+09),
           ( 1.205, -4.38e+07),
           ( 1.208,  2.01e+09),
           ( 1.212, -2.96e+08),
           ( 1.215, -1.93e+08),
           ( 1.218, -7.75e+08),
           ( 1.222, -3.88e+08),
           ( 1.225, -2.77e+07),
           ( 1.229, -5.50e+08),
           ( 1.232, -2.68e+08),
           ( 1.235,  3.93e+08),
           ( 1.239,  7.58e+08),
           ( 1.242,  1.84e+09),
           ( 1.245,  3.42e+09),
           ( 1.249,  3.24e+09),
           ( 1.252,  3.82e+09),
           ( 1.255,  4.05e+09),
           ( 1.259,  3.16e+09),
           ( 1.262,  2.46e+09),
           ( 1.266,  1.80e+09),
           ( 1.269,  4.40e+08),
           ( 1.272,  1.28e+09),
           ( 1.276,  1.31e+09),
           ( 1.279, -5.62e+08),
           ( 1.283, -1.02e+09),
           ( 1.286, -3.99e+08),
           ( 1.289, -3.77e+08),
           ( 1.293, -1.49e+09),
           ( 1.296, -3.61e+09),
           ( 1.299, -2.40e+09),
           ( 1.303, -3.05e+09),
           ( 1.306, -3.92e+09),
           ( 1.309, -2.23e+09),
           ( 1.313, -2.46e+09),
           ( 1.316, -2.77e+09),
           ( 1.320, -3.35e+09),
           ( 1.323, -2.60e+09),
