Bolide Detection Notification: 2007-124

At 17:52:39 on 04 May 2007, sensors aboard U. S. Government satellites recorded the
flash signature of a large meteoroid entry into the atmosphere. Location of the flash
was 22.9N, 109.4E.

Based on the visible-light intensity-time signature, peak brightness of the flash was
determined to be approximately 5.20e10 watts/steradian, and total radiated flash
energy 1.75e11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.297,  2.05e+09),
           (-0.294,  1.49e+09),
           (-0.290,  4.20e+08),
           (-0.287,  1.15e+09),
           (-0.284,  1.75e+08),
           (-0.280,  2.61e+09),
           (-0.277,  1.03e+09),
           (-0.273,  4.83e+08),
           (-0.270,  2.41e+09),
           (-0.267,  5.42e+09),
           (-0.263,  1.06e+09),
           (-0.260,  4.35e+09),
           (-0.256,  4.65e+09),
           (-0.253,  5.69e+09),
           (-0.250,  5.57e+09),
           (-0.246,  3.34e+09),
           (-0.243,  4.91e+09),
           (-0.240,  5.66e+09),
           (-0.236,  5.92e+09),
           (-0.233,  4.53e+09),
           (-0.230,  1.99e+09),
           (-0.226,  1.98e+09),
           (-0.223,  6.05e+09),
           (-0.219,  2.77e+09),
           (-0.216,  1.41e+09),
           (-0.213,  5.19e+09),
           (-0.209,  9.62e+08),
           (-0.206,  5.99e+09),
           (-0.202,  6.95e+09),
           (-0.199,  5.14e+08),
           (-0.196,  5.81e+09),
           (-0.192,  7.19e+09),
           (-0.189,  5.11e+09),
           (-0.186,  6.43e+09),
           (-0.182,  5.03e+09),
           (-0.179,  1.09e+10),
           (-0.172,  7.14e+09),
           (-0.169,  9.54e+09),
           (-0.165,  9.94e+09),
           (-0.162,  9.06e+09),
           (-0.159,  7.14e+09),
           (-0.155,  6.16e+09),
           (-0.152,  8.20e+09),
           (-0.148,  8.61e+09),
           (-0.145,  6.23e+09),
           (-0.142,  5.89e+09),
           (-0.138,  8.87e+09),
           (-0.135,  7.49e+09),
           (-0.132,  7.67e+09),
           (-0.128,  7.27e+09),
           (-0.125,  8.73e+09),
           (-0.122,  1.23e+10),
           (-0.118,  9.70e+09),
           (-0.115,  1.20e+10),
           (-0.111,  6.51e+09),
           (-0.108,  5.42e+09),
           (-0.105,  8.39e+09),
           (-0.101,  1.25e+10),
           (-0.098,  1.08e+10),
           (-0.094,  1.21e+10),
           (-0.091,  1.03e+10),
           (-0.088,  1.10e+10),
           (-0.084,  1.29e+10),
           (-0.081,  9.56e+09),
           (-0.078,  1.20e+10),
           (-0.074,  9.36e+09),
           (-0.071,  4.77e+09),
           (-0.068,  5.36e+09),
           (-0.064,  1.17e+10),
           (-0.061,  5.35e+09),
           (-0.057,  4.35e+09),
           (-0.054,  7.27e+09),
           (-0.051,  1.37e+10),
           (-0.047,  9.82e+09),
           (-0.044,  9.18e+09),
           (-0.040,  1.45e+10),
           (-0.037,  1.31e+10),
           (-0.034,  1.03e+10),
           (-0.030,  1.17e+10),
           (-0.027,  1.03e+10),
           (-0.024,  1.51e+10),
           (-0.020,  1.83e+10),
           (-0.017,  1.34e+10),
           (-0.014,  1.52e+10),
           (-0.010,  1.55e+10),
           (-0.007,  2.08e+10),
           (-0.003,  2.17e+10),
           ( 0.000,  2.90e+10),
           ( 0.003,  3.09e+10),
           ( 0.010,  2.75e+10),
           ( 0.014,  2.74e+10),
           ( 0.017,  3.05e+10),
           ( 0.020,  3.16e+10),
           ( 0.024,  3.11e+10),
           ( 0.027,  3.29e+10),
           ( 0.030,  3.08e+10),
           ( 0.034,  3.33e+10),
           ( 0.037,  3.52e+10),
           ( 0.040,  3.89e+10),
           ( 0.044,  4.18e+10),
           ( 0.047,  4.60e+10),
           ( 0.051,  4.67e+10),
           ( 0.054,  4.59e+10),
           ( 0.057,  4.62e+10),
           ( 0.061,  4.62e+10),
           ( 0.064,  4.69e+10),
           ( 0.068,  5.24e+10),
           ( 0.071,  5.43e+10),
