Bolide Detection Notification: 2007-136

At 16:20:58 UT on 16 May 2007, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 4.5S, Lon 111.7E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 5.4E9 watts/steradian, and total radiated flash
energy  3.8E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.897,  1.05e+09),
           (-1.893,  8.15e+07),
           (-1.890,  6.92e+08),
           (-1.887,  2.32e+08),
           (-1.883,  8.70e+08),
           (-1.880,  1.04e+09),
           (-1.876,  9.14e+08),
           (-1.873,  5.08e+08),
           (-1.870,  1.78e+09),
           (-1.866,  1.24e+09),
           (-1.863, -9.45e+08),
           (-1.860, -1.61e+09),
           (-1.856,  9.13e+07),
           (-1.853, -1.22e+07),
           (-1.849, -9.34e+08),
           (-1.846, -2.79e+08),
           (-1.843, -5.14e+08),
           (-1.839, -1.50e+08),
           (-1.836, -1.31e+09),
           (-1.833, -3.57e+08),
           (-1.829, -3.39e+07),
           (-1.826,  7.93e+08),
           (-1.823,  2.05e+09),
           (-1.819,  1.32e+09),
           (-1.816,  1.45e+09),
           (-1.812,  1.08e+09),
           (-1.809,  9.88e+08),
           (-1.806,  1.20e+09),
           (-1.802,  1.24e+09),
           (-1.799,  3.52e+08),
           (-1.796,  3.41e+08),
           (-1.792,  1.46e+09),
           (-1.789,  7.86e+08),
           (-1.785,  3.88e+08),
           (-1.782,  7.09e+08),
           (-1.779,  1.23e+09),
           (-1.775,  5.05e+08),
           (-1.772, -3.17e+08),
           (-1.768, -4.73e+08),
           (-1.765, -6.72e+08),
           (-1.762,  1.08e+08),
           (-1.758,  6.42e+08),
           (-1.755, -1.12e+09),
           (-1.752, -2.02e+09),
           (-1.748, -4.75e+08),
           (-1.745, -1.12e+09),
           (-1.741,  3.98e+08),
           (-1.738, -5.37e+08),
           (-1.735, -1.16e+09),
           (-1.731, -1.56e+09),
           (-1.728, -2.24e+09),
           (-1.725, -2.23e+09),
           (-1.721, -1.34e+09),
           (-1.718, -8.68e+08),
           (-1.715,  2.31e+07),
           (-1.711, -1.70e+09),
           (-1.708, -4.75e+08),
           (-1.704,  3.89e+08),
           (-1.701,  5.47e+08),
           (-1.698,  8.01e+07),
           (-1.694, -8.36e+06),
           (-1.691,  2.17e+08),
           (-1.688,  6.59e+08),
           (-1.684,  1.19e+09),
           (-1.681,  8.33e+07),
           (-1.677, -3.03e+08),
           (-1.674,  1.82e+07),
           (-1.671,  1.80e+09),
           (-1.667,  2.44e+09),
           (-1.664,  1.16e+09),
           (-1.660,  1.61e+09),
           (-1.657,  5.62e+08),
           (-1.654, -7.16e+08),
           (-1.650, -3.91e+07),
           (-1.647,  1.21e+09),
           (-1.644,  5.45e+08),
           (-1.640,  1.55e+08),
           (-1.637,  2.62e+08),
           (-1.633, -4.92e+08),
           (-1.630,  1.08e+06),
           (-1.627,  4.85e+08),
           (-1.623,  3.60e+08),
           (-1.620, -4.39e+08),
           (-1.617, -1.04e+09),
           (-1.613, -2.02e+09),
           (-1.610, -1.55e+09),
           (-1.607, -2.16e+08),
           (-1.603,  1.03e+09),
           (-1.600,  3.48e+09),
           (-1.596,  2.35e+09),
           (-1.593,  2.33e+09),
           (-1.590,  2.41e+09),
           (-1.586,  2.04e+09),
           (-1.583,  1.73e+09),
           (-1.580,  1.82e+09),
           (-1.576,  9.58e+08),
           (-1.573,  5.69e+08),
           (-1.569,  7.24e+08),
           (-1.566,  6.97e+08),
           (-1.563,  1.75e+08),
           (-1.559,  7.88e+08),
           (-1.556,  2.95e+08),
           (-1.552,  8.65e+08),
           (-1.549,  4.32e+08),
           (-1.546, -7.19e+08),
           (-1.542, -2.18e+09),
           (-1.539, -2.57e+09),
           (-1.536, -7.26e+08),
           (-1.532,  3.60e+08),
           (-1.529,  1.02e+09),
           (-1.525,  1.32e+08),
           (-1.522,  2.16e+09),
           (-1.519,  3.12e+09),
           (-1.515,  3.01e+09),
           (-1.512,  2.85e+09),
           (-1.509,  2.84e+09),
           (-1.505,  2.39e+09),
           (-1.502,  8.52e+08),
           (-1.499,  1.63e+08),
           (-1.495,  1.12e+09),
           (-1.492,  1.14e+09),
           (-1.488,  1.67e+09),
           (-1.485,  2.74e+09),
           (-1.482,  1.97e+09),
           (-1.478,  1.70e+09),
           (-1.475,  1.27e+09),
           (-1.472,  2.86e+08),
           (-1.468,  3.35e+08),
           (-1.465, -2.03e+08),
           (-1.461, -7.64e+08),
           (-1.458,  1.03e+09),
           (-1.455,  4.71e+08),
           (-1.451,  2.56e+08),
           (-1.448,  3.63e+08),
           (-1.444,  7.00e+08),
           (-1.441,  1.26e+09),
           (-1.438,  1.73e+09),
           (-1.434,  2.13e+09),
           (-1.431,  3.65e+09),
           (-1.428,  2.95e+09),
           (-1.424,  1.17e+09),
           (-1.421,  1.45e+09),
           (-1.417,  9.93e+08),
           (-1.414,  3.73e+08),
           (-1.411, -1.01e+07),
           (-1.407,  5.73e+08),
           (-1.404,  7.44e+08),
           (-1.401,  1.11e+09),
           (-1.397,  7.67e+08),
           (-1.394,  1.01e+09),
           (-1.391,  1.80e+09),
           (-1.387,  1.39e+09),
           (-1.384,  1.52e+09),
           (-1.380,  1.35e+09),
           (-1.377,  8.79e+08),
           (-1.374,  1.91e+09),
           (-1.370,  2.82e+09),
           (-1.367,  1.96e+09),
           (-1.364,  2.46e+08),
           (-1.360,  7.46e+08),
           (-1.357,  2.35e+07),
           (-1.353, -5.65e+08),
           (-1.350, -1.03e+08),
           (-1.347, -5.03e+07),
           (-1.343,  1.05e+09),
           (-1.340,  4.06e+08),
           (-1.336,  1.23e+09),
           (-1.333,  2.44e+09),
           (-1.330,  6.92e+08),
           (-1.326,  3.23e+08),
           (-1.323,  7.70e+07),
           (-1.320, -1.06e+08),
           (-1.316, -3.77e+08),
           (-1.313, -8.38e+08),
           (-1.309, -1.84e+08),
           (-1.306,  1.27e+09),
           (-1.303,  1.84e+09),
           (-1.299, -1.53e+08),
           (-1.296, -2.68e+08),
           (-1.293, -2.17e+09),
           (-1.289, -1.41e+09),
           (-1.286,  2.38e+08),
           (-1.283, -3.87e+08),
           (-1.279, -6.20e+08),
           (-1.276, -6.64e+05),
           (-1.272,  9.84e+08),
           (-1.269,  1.94e+09),
           (-1.266,  1.59e+09),
           (-1.262,  2.16e+09),
           (-1.259,  1.20e+09),
           (-1.256,  1.73e+08),
           (-1.252,  6.75e+08),
           (-1.249,  6.91e+08),
           (-1.245,  4.31e+08),
           (-1.242,  1.37e+08),
           (-1.239, -6.21e+08),
           (-1.235, -1.50e+09),
           (-1.232, -1.50e+09),
           (-1.228, -1.36e+09),
           (-1.225, -9.77e+08),
           (-1.222, -7.09e+07),
           (-1.218, -6.71e+08),
           (-1.215, -8.55e+08),
           (-1.212, -8.07e+08),
           (-1.208, -1.22e+09),
           (-1.205, -1.60e+09),
           (-1.201, -2.11e+09),
           (-1.198, -1.92e+09),
           (-1.195, -2.58e+09),
           (-1.191, -2.57e+09),
           (-1.188, -2.70e+09),
           (-1.185, -1.71e+09),
           (-1.181, -2.03e+09),
           (-1.178, -1.33e+09),
           (-1.175,  8.05e+08),
           (-1.171,  4.20e+08),
           (-1.168,  4.23e+08),
           (-1.164, -4.86e+07),
           (-1.161, -6.64e+07),
           (-1.158,  1.19e+09),
           (-1.154,  2.54e+09),
           (-1.151,  1.12e+09),
           (-1.148,  5.16e+08),
           (-1.144,  1.94e+09),
           (-1.141,  7.70e+08),
           (-1.137, -4.52e+08),
           (-1.134, -6.71e+08),
           (-1.131, -1.05e+09),
           (-1.127, -1.03e+09),
           (-1.124, -7.61e+08),
           (-1.120,  2.57e+08),
           (-1.117,  9.48e+07),
           (-1.114, -5.82e+08),
           (-1.110,  1.18e+08),
           (-1.107,  6.46e+08),
           (-1.104, -3.79e+08),
           (-1.100, -5.25e+08),
           (-1.097, -1.03e+09),
           (-1.093, -9.36e+08),
           (-1.090, -8.75e+08),
           (-1.087,  5.30e+08),
           (-1.083,  1.49e+09),
           (-1.080,  6.77e+08),
           (-1.077,  2.79e+08),
           (-1.073,  1.24e+09),
           (-1.070,  1.37e+09),
           (-1.067,  1.08e+09),
           (-1.063,  1.01e+09),
           (-1.060,  1.07e+09),
           (-1.056, -2.55e+07),
           (-1.053, -2.05e+08),
