Bolide Detection Notification: 2007-159

At 13:32:00 UT on 08 Jun 2007, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 52.1S, Lon 175.3E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 4.0E10 watts/steradian, and total radiated flash
energy  2.35E11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.499, -4.55e+09),
           (-0.496,  2.65e+09),
           (-0.493,  1.00e+09),
           (-0.489,  8.85e+07),
           (-0.486,  6.93e+08),
           (-0.483,  1.36e+09),
           (-0.479, -1.95e+08),
           (-0.476, -2.80e+09),
           (-0.473, -5.12e+09),
           (-0.469,  1.31e+09),
           (-0.466,  4.88e+09),
           (-0.462,  2.14e+09),
           (-0.459,  2.35e+08),
           (-0.456,  3.52e+09),
           (-0.452,  4.70e+08),
           (-0.449, -1.86e+09),
           (-0.445,  1.50e+07),
           (-0.442,  9.35e+08),
           (-0.439,  4.65e+09),
           (-0.435,  2.05e+09),
           (-0.432, -1.57e+09),
           (-0.429,  4.60e+09),
           (-0.425, -3.60e+09),
           (-0.422, -3.15e+09),
           (-0.419, -6.74e+08),
           (-0.415,  2.01e+09),
           (-0.412, -6.89e+07),
           (-0.408,  3.40e+08),
           (-0.405, -2.47e+09),
           (-0.402,  1.89e+09),
           (-0.398,  7.00e+08),
           (-0.395, -1.77e+09),
           (-0.391, -4.32e+09),
           (-0.388,  2.95e+08),
           (-0.385,  5.74e+08),
           (-0.381, -1.68e+09),
           (-0.378,  2.53e+08),
           (-0.375, -1.31e+09),
           (-0.371, -3.53e+09),
           (-0.368, -2.17e+09),
           (-0.365,  4.83e+09),
           (-0.361,  1.77e+09),
           (-0.358,  3.85e+09),
           (-0.354,  5.36e+09),
           (-0.351,  2.96e+09),
           (-0.348,  1.18e+09),
           (-0.344, -1.64e+09),
           (-0.341, -9.36e+08),
           (-0.337,  2.98e+09),
           (-0.334,  4.56e+08),
           (-0.331,  2.16e+09),
           (-0.327,  1.47e+09),
           (-0.324, -2.60e+09),
           (-0.321, -1.04e+08),
           (-0.317,  1.09e+09),
           (-0.314, -4.06e+09),
           (-0.311,  1.23e+08),
           (-0.307,  4.76e+09),
           (-0.304, -1.90e+09),
           (-0.300, -9.99e+08),
           (-0.297, -3.22e+09),
           (-0.294,  1.50e+09),
           (-0.290,  2.64e+09),
           (-0.287, -2.95e+09),
           (-0.283,  1.48e+09),
           (-0.280, -2.30e+08),
           (-0.277,  9.29e+09),
           (-0.273, -1.94e+09),
           (-0.270, -7.58e+08),
           (-0.267, -8.99e+07),
           (-0.263,  2.80e+09),
           (-0.260,  2.28e+09),
           (-0.257, -1.84e+08),
           (-0.253,  1.28e+09),
           (-0.250, -2.55e+09),
           (-0.246, -4.22e+08),
           (-0.243, -1.17e+09),
           (-0.240, -4.33e+09),
           (-0.236, -3.60e+09),
           (-0.233,  7.00e+08),
           (-0.229,  2.63e+09),
           (-0.226,  4.49e+08),
           (-0.223, -2.43e+09),
           (-0.219,  4.11e+09),
           (-0.216,  8.05e+08),
           (-0.213,  5.95e+08),
           (-0.209, -4.88e+09),
           (-0.206, -6.63e+08),
           (-0.203, -3.87e+08),
           (-0.199,  2.53e+08),
           (-0.196, -7.24e+07),
           (-0.192,  6.18e+09),
           (-0.189,  4.81e+09),
           (-0.186,  7.32e+08),
           (-0.182,  3.34e+09),
           (-0.179,  2.18e+09),
           (-0.175,  1.81e+09),
           (-0.172,  1.60e+09),
           (-0.169,  3.12e+09),
           (-0.165,  2.33e+09),
           (-0.162,  1.17e+09),
           (-0.159, -1.17e+09),
           (-0.155,  3.62e+09),
           (-0.152,  1.98e+09),
           (-0.149,  2.37e+09),
           (-0.145,  2.58e+09),
           (-0.142, -2.26e+09),
           (-0.138,  6.37e+09),
           (-0.135,  3.86e+09),
           (-0.132,  1.17e+09),
           (-0.128,  5.71e+09),
           (-0.125,  1.48e+09),
           (-0.121,  5.88e+08),
           (-0.118,  6.40e+07),
           (-0.115,  3.83e+09),
           (-0.111,  1.70e+09),
           (-0.108,  6.12e+09),
           (-0.105,  3.25e+09),
           (-0.101,  1.19e+10),
           (-0.098,  8.11e+09),
           (-0.095,  1.25e+10),
           (-0.091,  1.39e+10),
           (-0.088,  1.48e+10),
           (-0.084,  1.55e+10),
           (-0.081,  1.56e+10),
           (-0.078,  1.84e+10),
           (-0.074,  1.80e+10),
           (-0.071,  1.82e+10),
           (-0.067,  1.96e+10),
           (-0.064,  1.87e+10),
           (-0.061,  1.48e+10),
           (-0.057,  2.01e+10),
           (-0.054,  1.90e+10),
           (-0.051,  1.77e+10),
           (-0.047,  2.07e+10),
           (-0.044,  2.24e+10),
           (-0.041,  1.95e+10),
           (-0.037,  1.37e+10),
           (-0.034,  1.85e+10),
           (-0.030,  2.45e+10),
           (-0.027,  2.15e+10),
           (-0.024,  2.46e+10),
           (-0.020,  2.18e+10),
           (-0.017,  2.35e+10),
           (-0.013,  2.81e+10),
           (-0.010,  2.38e+10),
           (-0.007,  2.72e+10),
           (-0.003,  3.12e+10),
           (-0.000,  3.13e+10),
           ( 0.003,  3.51e+10),
           ( 0.007,  3.67e+10),
           ( 0.010,  3.40e+10),
           ( 0.013,  4.12e+10),
           ( 0.017,  3.89e+10),
           ( 0.020,  4.05e+10),
           ( 0.024,  4.25e+10),
           ( 0.027,  3.93e+10),
           ( 0.030,  4.58e+10),
           ( 0.034,  4.63e+10),
           ( 0.037,  4.73e+10),
           ( 0.041,  4.86e+10),
           ( 0.044,  5.25e+10),
           ( 0.047,  5.41e+10),
           ( 0.051,  6.16e+10),
           ( 0.054,  6.54e+10),
           ( 0.057,  6.67e+10),
           ( 0.061,  7.27e+10),
           ( 0.064,  7.26e+10),
           ( 0.067,  7.15e+10),
           ( 0.071,  7.70e+10),
           ( 0.074,  8.04e+10),
           ( 0.078,  8.22e+10),
           ( 0.081,  8.22e+10),
           ( 0.084,  9.24e+10),
           ( 0.088,  1.00e+11),
           ( 0.091,  1.01e+11),
           ( 0.095,  1.10e+11),
           ( 0.098,  1.11e+11),
           ( 0.101,  1.19e+11),
           ( 0.105,  1.19e+11),
           ( 0.108,  1.23e+11),
           ( 0.111,  1.23e+11),
           ( 0.115,  1.28e+11),
           ( 0.118,  1.42e+11),
           ( 0.121,  1.46e+11),
           ( 0.125,  1.57e+11),
           ( 0.128,  1.59e+11),
           ( 0.132,  1.63e+11),
           ( 0.135,  1.69e+11),
           ( 0.138,  1.66e+11),
           ( 0.142,  1.64e+11),
           ( 0.145,  1.58e+11),
           ( 0.149,  1.53e+11),
           ( 0.152,  1.57e+11),
           ( 0.155,  1.61e+11),
           ( 0.159,  1.59e+11),
           ( 0.162,  1.55e+11),
           ( 0.165,  1.49e+11),
           ( 0.169,  1.47e+11),
           ( 0.172,  1.52e+11),
           ( 0.175,  1.55e+11),
           ( 0.179,  1.58e+11),
           ( 0.182,  1.61e+11),
           ( 0.186,  1.56e+11),
           ( 0.189,  1.60e+11),
           ( 0.192,  1.54e+11),
           ( 0.196,  1.50e+11),
           ( 0.199,  1.51e+11),
           ( 0.203,  1.51e+11),
           ( 0.206,  1.44e+11),
           ( 0.209,  1.53e+11),
