Bolide Detection Notification: 2007-161

At 09:47:05 on 10 June 2007, sensors aboard U. S. Government satellites recorded the
flash signature of a large meteoroid entry into the atmosphere. Location of the flash
was 23.4N, 170.9W.

Based on the visible-light intensity-time signature, peak brightness of the flash was
determined to be approximately 1.90e10 watts/steradian, and total radiated flash
energy 4.90e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.499,  2.60e+09),
           (-0.496, -1.53e+09),
           (-0.493,  1.10e+09),
           (-0.489,  1.39e+09),
           (-0.486, -7.10e+09),
           (-0.483,  1.51e+09),
           (-0.479, -2.46e+09),
           (-0.476,  1.07e+09),
           (-0.472, -3.03e+09),
           (-0.469,  7.28e+08),
           (-0.466,  1.83e+09),
           (-0.462,  9.64e+08),
           (-0.459, -1.06e+09),
           (-0.456, -3.27e+08),
           (-0.452, -4.53e+09),
           (-0.449, -3.52e+09),
           (-0.445,  2.39e+09),
           (-0.442, -3.27e+09),
           (-0.439,  4.12e+09),
           (-0.435, -1.19e+09),
           (-0.432,  1.20e+09),
           (-0.429,  3.83e+09),
           (-0.425,  4.18e+09),
           (-0.422,  2.64e+09),
           (-0.419,  5.56e+09),
           (-0.415, -1.37e+09),
           (-0.412, -1.41e+09),
           (-0.408,  2.65e+09),
           (-0.405, -4.98e+08),
           (-0.402, -5.35e+09),
           (-0.398, -7.98e+09),
           (-0.395, -1.23e+09),
           (-0.391,  3.36e+09),
           (-0.388, -7.58e+08),
           (-0.385, -1.96e+09),
           (-0.381, -8.27e+08),
           (-0.378, -4.02e+08),
           (-0.375,  5.38e+08),
           (-0.371,  3.62e+08),
           (-0.368, -1.54e+09),
           (-0.365,  3.32e+09),
           (-0.361, -6.06e+09),
           (-0.358, -4.15e+09),
           (-0.354,  6.23e+09),
           (-0.351, -5.03e+08),
           (-0.348, -2.90e+09),
           (-0.344,  1.33e+09),
           (-0.341,  8.59e+08),
           (-0.338,  2.20e+08),
           (-0.334, -7.87e+09),
           (-0.331, -7.50e+08),
           (-0.331, -7.50e+08),
           (-0.327,  6.44e+08),
           (-0.324, -4.43e+09),
           (-0.321,  2.77e+09),
           (-0.317, -2.53e+09),
           (-0.314, -9.01e+08),
           (-0.310, -1.46e+09),
           (-0.307, -6.28e+08),
           (-0.304,  4.79e+09),
