Bolide Detection Notification: 2007-360

At 06:46:20 UT on 26 Dec 2007, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 61.6S, Lon 158.9W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 2.5E10 watts/steradian, and total radiated flash
energy  1.36E11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.297, -1.00e+09),
           (-0.294,  1.90e+09),
           (-0.290,  2.97e+09),
           (-0.287, -7.83e+08),
           (-0.284, -5.63e+09),
           (-0.280, -3.34e+07),
           (-0.277, -1.73e+09),
           (-0.273, -3.63e+09),
           (-0.270, -1.44e+09),
           (-0.267, -1.28e+09),
           (-0.263, -1.72e+08),
           (-0.260,  2.89e+09),
           (-0.256,  4.73e+09),
           (-0.253,  4.21e+08),
           (-0.250,  1.34e+09),
           (-0.246,  1.46e+09),
           (-0.243, -5.90e+08),
           (-0.240,  3.18e+09),
           (-0.236,  2.91e+09),
           (-0.233,  1.76e+09),
           (-0.230, -6.14e+08),
           (-0.226, -7.17e+08),
           (-0.223,  1.61e+09),
           (-0.219, -6.63e+08),
           (-0.216, -3.14e+09),
           (-0.213,  1.41e+09),
           (-0.209,  3.35e+09),
           (-0.206, -5.30e+08),
           (-0.202, -1.85e+09),
           (-0.199, -3.01e+09),
           (-0.196,  1.12e+09),
           (-0.192,  2.10e+08),
           (-0.189,  3.16e+08),
           (-0.186,  3.38e+09),
           (-0.182, -2.32e+08),
           (-0.179, -1.29e+09),
           (-0.176,  1.39e+08),
           (-0.172, -5.01e+08),
           (-0.169, -2.52e+09),
           (-0.165, -3.42e+09),
           (-0.162,  1.74e+08),
           (-0.159,  2.17e+09),
           (-0.155,  5.67e+08),
           (-0.152, -6.64e+08),
           (-0.148, -1.52e+07),
           (-0.145, -1.83e+09),
           (-0.142,  1.14e+09),
           (-0.138,  3.37e+07),
           (-0.135, -1.54e+09),
           (-0.132, -1.11e+09),
           (-0.128, -1.11e+09),
           (-0.125, -1.07e+09),
           (-0.122, -4.06e+09),
           (-0.118, -3.48e+09),
           (-0.115, -1.53e+09),
           (-0.111,  1.91e+09),
           (-0.108,  3.38e+09),
           (-0.105, -6.19e+08),
           (-0.101, -2.04e+09),
           (-0.098,  1.88e+09),
           (-0.094,  4.14e+09),
           (-0.091,  1.62e+09),
           (-0.088,  9.01e+08),
           (-0.084, -2.11e+09),
           (-0.081,  2.24e+09),
           (-0.078, -1.07e+09),
           (-0.074, -1.50e+09),
           (-0.071,  2.94e+06),
           (-0.068,  1.93e+09),
           (-0.064,  3.89e+09),
           (-0.061,  4.90e+09),
           (-0.057,  6.85e+08),
           (-0.054,  4.28e+09),
           (-0.051,  2.07e+09),
           (-0.047,  6.31e+07),
           (-0.044, -1.68e+09),
           (-0.040,  1.29e+09),
           (-0.037,  3.78e+08),
           (-0.034, -1.89e+08),
           (-0.030,  8.14e+08),
           (-0.027,  2.83e+09),
           (-0.024,  6.11e+09),
           (-0.020,  5.27e+09),
           (-0.017,  5.73e+09),
           (-0.014,  9.05e+09),
           (-0.010,  4.25e+09),
           (-0.007,  6.13e+09),
           (-0.003,  1.33e+10),
           ( 0.000,  1.13e+10),
           ( 0.003,  1.08e+10),
           ( 0.007,  1.53e+10),
           ( 0.010,  1.88e+10),
           ( 0.014,  1.76e+10),
           ( 0.017,  1.64e+10),
           ( 0.020,  1.48e+10),
           ( 0.024,  1.51e+10),
           ( 0.027,  1.59e+10),
           ( 0.030,  1.49e+10),
           ( 0.034,  1.58e+10),
           ( 0.037,  1.64e+10),
           ( 0.040,  2.21e+10),
           ( 0.044,  2.27e+10),
           ( 0.047,  2.13e+10),
           ( 0.051,  2.26e+10),
           ( 0.054,  2.05e+10),
           ( 0.057,  1.81e+10),
           ( 0.061,  1.93e+10),
           ( 0.064,  2.08e+10),
           ( 0.068,  2.56e+10),
           ( 0.071,  2.34e+10),
           ( 0.074,  2.64e+10),
           ( 0.078,  2.84e+10),
           ( 0.081,  2.13e+10),
           ( 0.084,  1.61e+10),
           ( 0.088,  2.22e+10),
           ( 0.091,  1.96e+10),
           ( 0.094,  2.11e+10),
           ( 0.098,  2.24e+10),
           ( 0.101,  2.28e+10),
           ( 0.105,  2.56e+10),
           ( 0.108,  2.61e+10),
           ( 0.111,  2.52e+10),
           ( 0.115,  2.20e+10),
           ( 0.118,  2.26e+10),
           ( 0.122,  2.43e+10),
           ( 0.125,  2.58e+10),
           ( 0.128,  2.39e+10),
           ( 0.132,  2.60e+10),
           ( 0.135,  2.27e+10),
           ( 0.138,  2.07e+10),
           ( 0.142,  1.94e+10),
           ( 0.145,  2.04e+10),
           ( 0.148,  1.94e+10),
           ( 0.152,  2.04e+10),
           ( 0.155,  2.35e+10),
           ( 0.159,  2.46e+10),
           ( 0.162,  2.41e+10),
           ( 0.165,  2.84e+10),
           ( 0.169,  2.58e+10),
           ( 0.172,  1.58e+10),
           ( 0.176,  2.05e+10),
           ( 0.179,  2.10e+10),
           ( 0.182,  2.39e+10),
           ( 0.186,  2.53e+10),
           ( 0.189,  2.42e+10),
           ( 0.192,  2.57e+10),
