Bolide Detection Notification: 2008-009

At 03:53:16 UT on 09 Jan 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 66.8S, Lon 67.3W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 6.8E9 watts/steradian, and total radiated flash
energy  4.1E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.998, -7.30e+08),
           (-1.995, -1.01e+09),
           (-1.991, -9.24e+08),
           (-1.988, -1.64e+08),
           (-1.985, -4.29e+08),
           (-1.981, -1.30e+09),
           (-1.978, -2.18e+09),
           (-1.974, -3.41e+09),
           (-1.971, -4.50e+09),
           (-1.968, -3.37e+09),
           (-1.964, -3.60e+09),
           (-1.961, -4.14e+09),
           (-1.957, -4.73e+09),
           (-1.954, -3.02e+09),
           (-1.951, -2.33e+09),
           (-1.947, -3.76e+09),
           (-1.944, -4.30e+09),
           (-1.941, -4.80e+09),
           (-1.937, -3.54e+09),
           (-1.934, -1.79e+09),
           (-1.930, -2.92e+09),
           (-1.927, -3.25e+09),
           (-1.924, -2.10e+09),
           (-1.920, -1.18e+09),
           (-1.917, -1.67e+09),
           (-1.914, -1.82e+09),
           (-1.910, -5.68e+08),
           (-1.907, -1.02e+08),
           (-1.904,  1.21e+09),
           (-1.900,  1.34e+09),
           (-1.897,  2.92e+08),
           (-1.893, -3.10e+08),
           (-1.890, -1.98e+08),
           (-1.887, -5.54e+08),
           (-1.883, -2.11e+09),
           (-1.880, -2.68e+09),
           (-1.876, -2.22e+09),
           (-1.873, -1.72e+09),
           (-1.870, -5.63e+08),
           (-1.866, -1.75e+09),
           (-1.863, -2.90e+09),
           (-1.860, -2.58e+09),
           (-1.856, -1.29e+09),
           (-1.853, -2.33e+09),
           (-1.850, -3.21e+09),
           (-1.846, -1.97e+09),
           (-1.843,  4.50e+08),
           (-1.839, -1.09e+09),
           (-1.836, -1.75e+09),
           (-1.833, -5.15e+08),
           (-1.829,  3.26e+08),
           (-1.826,  8.93e+07),
           (-1.822,  9.47e+08),
