Bolide Detection Notification: 2008-018

At 01:17:39 UT on 18 Jan 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 1.2E10 watts/steradian, and total radiated flash
energy  4.4E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.597,  2.60e+08),
           (-0.594, -1.80e+09),
           (-0.591, -2.55e+09),
           (-0.587, -2.99e+09),
           (-0.584, -1.83e+09),
           (-0.580, -4.05e+09),
           (-0.577, -2.00e+09),
           (-0.574, -1.22e+09),
           (-0.570, -1.92e+09),
           (-0.567,  1.30e+09),
           (-0.564,  4.02e+08),
           (-0.560, -1.38e+09),
           (-0.557, -5.16e+08),
           (-0.554,  9.52e+08),
           (-0.550,  1.25e+09),
           (-0.547, -6.84e+08),
           (-0.543, -2.05e+08),
           (-0.540,  1.15e+09),
           (-0.537,  1.58e+09),
           (-0.533,  1.35e+09),
           (-0.530,  5.35e+08),
           (-0.526,  1.85e+09),
           (-0.523,  7.07e+08),
           (-0.520, -7.26e+08),
           (-0.516, -1.01e+09),
           (-0.513, -9.17e+08),
           (-0.510, -3.64e+08),
           (-0.506, -8.14e+08),
           (-0.503, -2.39e+08),
           (-0.500, -3.25e+08),
           (-0.496, -3.68e+08),
           (-0.493,  1.47e+09),
           (-0.489, -3.17e+08),
           (-0.486, -3.05e+08),
           (-0.483,  1.60e+09),
           (-0.479,  3.50e+09),
           (-0.476,  2.96e+09),
           (-0.472,  2.89e+09),
           (-0.469,  2.02e+09),
           (-0.466,  2.65e+09),
           (-0.462,  2.97e+09),
           (-0.459,  8.58e+08),
           (-0.456,  1.95e+09),
           (-0.452,  1.41e+09),
           (-0.449,  1.69e+09),
           (-0.446,  1.44e+09),
           (-0.442, -1.18e+08),
           (-0.439, -2.06e+09),
           (-0.435, -5.11e+08),
           (-0.432,  1.78e+09),
           (-0.429,  4.67e+09),
           (-0.425,  2.85e+09),
           (-0.422,  2.14e+09),
           (-0.418,  2.24e+09),
           (-0.415,  2.51e+09),
           (-0.412, -8.83e+08),
           (-0.408, -2.58e+09),
           (-0.405, -2.79e+09),
           (-0.402, -2.09e+09),
           (-0.398, -1.57e+09),
           (-0.395, -1.43e+09),
           (-0.392, -1.33e+08),
           (-0.388, -9.68e+08),
           (-0.385, -1.97e+09),
           (-0.381, -5.61e+08),
           (-0.378, -6.13e+07),
           (-0.375,  3.12e+08),
           (-0.371,  6.12e+08),
           (-0.368,  1.30e+09),
           (-0.364,  3.15e+09),
           (-0.361,  3.61e+09),
           (-0.358,  1.35e+09),
           (-0.354,  2.65e+09),
           (-0.351,  3.02e+09),
           (-0.348,  3.47e+09),
           (-0.344,  3.99e+09),
           (-0.341,  2.43e+09),
           (-0.338,  2.63e+09),
           (-0.334,  3.03e+09),
           (-0.331,  2.78e+09),
           (-0.327,  4.04e+09),
           (-0.324,  3.63e+09),
           (-0.321,  1.05e+09),
           (-0.317,  2.22e+09),
           (-0.314,  3.41e+09),
           (-0.310,  1.90e+08),
           (-0.307, -1.08e+09),
           (-0.304,  5.44e+08),
           (-0.300, -3.82e+07),
           (-0.297, -2.42e+08),
           (-0.294, -1.70e+08),
           (-0.290,  6.01e+08),
           (-0.287, -1.19e+09),
           (-0.284, -1.03e+09),
           (-0.280, -2.44e+08),
           (-0.277,  3.30e+08),
           (-0.273,  5.82e+08),
           (-0.270, -6.96e+08),
           (-0.267, -2.73e+09),
           (-0.263, -2.53e+09),
           (-0.260, -2.60e+09),
           (-0.256, -3.10e+09),
           (-0.253, -3.92e+09),
           (-0.250, -3.32e+09),
           (-0.246, -1.07e+09),
           (-0.243,  2.78e+09),
           (-0.240,  4.01e+09),
           (-0.236,  5.77e+09),
           (-0.233,  4.82e+09),
           (-0.230,  2.59e+09),
           (-0.226,  2.29e+09),
           (-0.223,  1.13e+09),
           (-0.219, -1.19e+09),
           (-0.216,  1.45e+09),
           (-0.213,  2.28e+09),
           (-0.209,  8.63e+07),
           (-0.206,  1.15e+09),
           (-0.202,  1.53e+09),
           (-0.199,  2.96e+09),
           (-0.196, -2.42e+07),
           (-0.192,  1.11e+08),
           (-0.189,  2.18e+09),
           (-0.186,  2.94e+09),
           (-0.182,  1.54e+09),
           (-0.179,  1.48e+09),
           (-0.176,  2.14e+09),
           (-0.172,  2.85e+09),
           (-0.169,  2.04e+09),
           (-0.165,  1.05e+09),
           (-0.162, -4.49e+08),
           (-0.159,  5.51e+08),
           (-0.155,  2.37e+09),
           (-0.152,  2.24e+09),
           (-0.148,  9.71e+08),
           (-0.145,  1.23e+09),
           (-0.142,  3.37e+09),
           (-0.138,  3.92e+09),
           (-0.135,  2.90e+09),
           (-0.132,  3.82e+09),
           (-0.128,  4.24e+09),
           (-0.125,  4.46e+09),
           (-0.122,  2.63e+09),
           (-0.118,  3.99e+09),
           (-0.115,  6.21e+09),
           (-0.111,  5.03e+09),
           (-0.108,  9.37e+08),
           (-0.105,  3.81e+09),
           (-0.101,  5.73e+09),
           (-0.098,  5.38e+09),
           (-0.094,  5.73e+09),
           (-0.091,  4.60e+09),
           (-0.088,  2.74e+09),
           (-0.084,  1.55e+09),
           (-0.081,  2.58e+09),
           (-0.078,  2.99e+09),
           (-0.074,  3.71e+09),
           (-0.071,  4.61e+09),
           (-0.068,  3.77e+09),
           (-0.064,  2.74e+09),
           (-0.061,  3.16e+09),
           (-0.057,  1.65e+09),
           (-0.054,  3.67e+08),
           (-0.051, -7.95e+08),
           (-0.047,  1.46e+08),
           (-0.044,  1.75e+09),
           (-0.040,  3.64e+09),
           (-0.037,  3.84e+09),
           (-0.034,  4.96e+09),
           (-0.030,  6.59e+09),
           (-0.027,  6.39e+09),
           (-0.024,  6.10e+09),
           (-0.020,  5.60e+09),
           (-0.017,  6.41e+09),
           (-0.014,  1.08e+10),
           (-0.010,  1.31e+10),
           (-0.007,  1.54e+10),
           (-0.003,  1.63e+10),
           ( 0.000,  1.57e+10),
           ( 0.003,  1.76e+10),
           ( 0.007,  2.09e+10),
           ( 0.010,  2.08e+10),
           ( 0.014,  2.28e+10),
           ( 0.017,  2.31e+10),
           ( 0.020,  2.60e+10),
           ( 0.024,  2.79e+10),
           ( 0.027,  2.89e+10),
           ( 0.030,  2.98e+10),
           ( 0.034,  3.07e+10),
           ( 0.037,  3.20e+10),
           ( 0.040,  3.10e+10),
           ( 0.044,  3.14e+10),
           ( 0.047,  3.26e+10),
           ( 0.051,  3.36e+10),
           ( 0.054,  3.28e+10),
           ( 0.057,  3.45e+10),
           ( 0.061,  3.42e+10),
           ( 0.064,  3.56e+10),
           ( 0.068,  3.55e+10),
           ( 0.071,  3.65e+10),
           ( 0.074,  3.85e+10),
           ( 0.078,  4.05e+10),
           ( 0.081,  3.95e+10),
           ( 0.084,  3.84e+10),
           ( 0.088,  4.02e+10),
           ( 0.091,  4.06e+10),
           ( 0.094,  3.88e+10),
           ( 0.098,  3.93e+10),
           ( 0.101,  4.01e+10),
           ( 0.105,  3.88e+10),
           ( 0.108,  3.91e+10),
           ( 0.111,  4.27e+10),
           ( 0.115,  4.48e+10),
           ( 0.118,  4.50e+10),
           ( 0.122,  4.59e+10),
           ( 0.125,  4.67e+10),
           ( 0.128,  4.79e+10),
           ( 0.132,  4.70e+10),
           ( 0.135,  4.78e+10),
           ( 0.138,  4.82e+10),
