Bolide Detection Notification: 2008-047

At 08:38:39 UT on 16 Feb 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 5.1E9 watts/steradian, and total radiated flash
energy  7.1E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.799,  1.19e+09),
           (-1.795,  7.58e+08),
           (-1.792, -7.08e+08),
           (-1.789,  4.37e+08),
           (-1.785,  1.58e+08),
           (-1.782, -8.97e+08),
           (-1.779, -1.18e+09),
           (-1.775, -1.42e+09),
           (-1.772, -1.57e+09),
           (-1.769, -1.63e+09),
           (-1.765, -2.21e+09),
           (-1.762, -2.45e+09),
           (-1.758, -2.08e+09),
           (-1.755, -3.52e+09),
           (-1.752, -2.53e+09),
           (-1.748, -9.31e+08),
           (-1.745, -1.41e+09),
           (-1.742, -1.09e+09),
           (-1.738, -1.25e+09),
           (-1.735,  2.89e+08),
           (-1.731, -7.26e+08),
           (-1.728,  1.13e+09),
           (-1.725,  1.43e+09),
           (-1.721, -8.19e+08),
           (-1.718, -9.15e+08),
           (-1.714, -1.56e+09),
           (-1.711, -3.49e+08),
           (-1.708,  1.07e+09),
           (-1.704,  1.40e+09),
           (-1.701, -6.65e+07),
           (-1.698, -7.07e+08),
           (-1.694,  1.06e+09),
           (-1.691,  1.54e+09),
           (-1.687,  4.08e+08),
           (-1.684,  1.51e+09),
           (-1.681,  1.65e+09),
           (-1.677,  2.19e+09),
           (-1.674,  1.19e+09),
           (-1.671,  7.82e+08),
           (-1.667,  6.00e+08),
           (-1.664, -1.03e+09),
           (-1.661,  9.16e+08),
           (-1.657, -6.95e+08),
           (-1.654, -5.95e+07),
           (-1.650,  1.36e+08),
           (-1.647, -7.19e+08),
           (-1.644,  1.93e+08),
           (-1.640,  1.80e+09),
           (-1.637, -2.20e+08),
           (-1.634,  1.49e+09),
           (-1.630,  2.03e+09),
           (-1.627,  1.64e+09),
           (-1.623,  1.12e+09),
           (-1.620, -1.02e+08),
           (-1.617,  6.31e+08),
           (-1.613, -1.06e+09),
           (-1.610,  3.52e+08),
           (-1.606,  2.29e+09),
           (-1.603,  1.81e+09),
           (-1.600,  4.56e+08),
           (-1.596, -1.31e+09),
           (-1.593, -1.90e+09),
           (-1.590, -1.39e+08),
           (-1.586,  2.80e+08),
           (-1.583,  1.25e+09),
           (-1.579,  9.64e+08),
           (-1.576,  1.27e+09),
           (-1.573,  1.31e+09),
           (-1.569,  1.06e+09),
           (-1.566,  8.04e+08),
           (-1.563,  1.27e+09),
           (-1.559,  5.75e+08),
           (-1.556,  9.44e+08),
           (-1.553,  1.36e+09),
           (-1.549,  2.29e+08),
           (-1.546, -9.12e+08),
           (-1.542, -2.71e+08),
           (-1.539,  1.28e+09),
           (-1.536,  1.82e+09),
           (-1.532,  1.18e+09),
           (-1.529,  3.05e+09),
           (-1.526,  1.84e+09),
           (-1.522,  3.59e+07),
           (-1.519,  2.41e+08),
           (-1.515,  3.37e+08),
           (-1.512, -1.16e+09),
           (-1.509, -3.67e+08),
           (-1.505, -1.05e+08),
           (-1.502, -9.38e+07),
           (-1.498,  2.14e+09),
           (-1.495,  2.55e+09),
           (-1.492,  1.62e+09),
           (-1.488,  1.85e+09),
           (-1.485,  1.11e+09),
           (-1.482, -1.22e+09),
           (-1.478,  3.28e+08),
           (-1.475,  2.52e+09),
           (-1.471,  3.30e+09),
           (-1.468,  2.76e+09),
           (-1.465,  6.06e+08),
           (-1.461,  3.95e+08),
           (-1.458,  1.49e+09),
           (-1.455,  2.61e+09),
           (-1.451,  9.97e+08),
           (-1.448,  5.33e+08),
           (-1.445,  1.35e+09),
           (-1.441,  1.01e+09),
           (-1.438,  1.02e+09),
           (-1.434,  1.82e+09),
           (-1.431, -2.03e+07),
           (-1.428, -6.85e+08),
           (-1.424, -1.22e+08),
           (-1.421, -1.72e+08),
           (-1.418, -1.06e+09),
           (-1.414, -3.22e+08),
           (-1.411, -7.35e+07),
           (-1.407, -1.77e+09),
           (-1.404, -7.03e+08),
           (-1.401,  1.95e+08),
           (-1.397, -4.95e+08),
           (-1.394,  3.94e+08),
           (-1.390, -1.05e+09),
           (-1.387,  2.62e+08),
           (-1.384,  2.13e+09),
           (-1.380,  2.06e+09),
           (-1.377,  1.34e+09),
           (-1.374,  5.46e+08),
           (-1.370, -1.55e+08),
           (-1.367, -2.10e+08),
           (-1.363,  1.12e+09),
           (-1.360,  9.95e+08),
           (-1.357,  1.49e+09),
           (-1.353,  8.72e+08),
           (-1.350,  2.20e+09),
           (-1.347,  2.05e+09),
           (-1.343,  2.52e+09),
           (-1.340,  4.29e+09),
           (-1.337,  3.71e+09),
           (-1.333,  2.81e+09),
           (-1.330,  2.88e+09),
           (-1.326,  3.69e+09),
           (-1.323,  2.54e+09),
           (-1.320,  1.40e+09),
           (-1.316,  1.40e+09),
           (-1.313,  9.70e+08),
           (-1.310,  1.30e+09),
           (-1.306,  1.63e+09),
           (-1.303,  2.11e+08),
           (-1.299,  5.38e+08),
           (-1.296,  2.09e+09),
           (-1.293,  7.99e+08),
           (-1.289,  1.00e+09),
           (-1.286,  9.03e+08),
           (-1.282,  3.38e+07),
           (-1.279,  1.35e+09),
           (-1.276, -1.36e+08),
           (-1.272,  7.45e+08),
           (-1.269,  2.10e+08),
           (-1.266, -1.58e+07),
           (-1.262, -4.11e+08),
           (-1.259, -1.02e+09),
           (-1.255, -3.15e+08),
