Bolide Detection Notification: 2008-050

At 13:30:30 UT on 19 Feb 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 48.9N, Lon 119.8W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 2.1e10 watts/steradian, and total radiated flash
energy  2.0e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.499, -6.36e+08),
           (-0.496,  1.94e+09),
           (-0.493,  3.70e+09),
           (-0.489,  2.02e+09),
           (-0.486, -1.58e+09),
           (-0.483,  2.62e+09),
           (-0.479,  7.20e+09),
           (-0.476, -4.70e+08),
           (-0.472,  9.26e+08),
           (-0.469,  1.69e+09),
           (-0.466, -5.30e+08),
           (-0.462, -2.71e+09),
           (-0.459,  1.58e+08),
           (-0.456, -3.47e+09),
           (-0.452, -3.16e+09),
           (-0.449, -9.70e+08),
           (-0.446, -3.96e+09),
           (-0.442, -6.35e+09),
           (-0.439, -4.24e+09),
           (-0.435, -3.76e+08),
           (-0.432, -1.46e+09),
           (-0.429, -5.06e+09),
           (-0.425,  1.54e+08),
           (-0.422,  3.51e+09),
           (-0.418,  3.28e+09),
           (-0.415,  9.15e+08),
           (-0.412,  4.77e+07),
           (-0.408, -1.80e+08),
           (-0.405,  3.48e+09),
           (-0.402,  3.27e+09),
           (-0.398,  2.07e+09),
           (-0.395,  8.87e+08),
           (-0.391, -1.62e+09),
           (-0.388, -2.75e+09),
           (-0.385, -4.76e+09),
           (-0.381, -3.17e+09),
           (-0.378,  1.59e+09),
           (-0.375,  2.70e+09),
           (-0.371,  2.45e+09),
           (-0.368,  1.73e+09),
           (-0.364,  3.63e+09),
           (-0.361,  9.50e+08),
           (-0.358,  2.41e+09),
           (-0.354,  1.81e+09),
           (-0.351, -1.60e+09),
           (-0.348,  5.23e+08),
           (-0.344,  1.69e+07),
           (-0.341, -4.87e+09),
           (-0.337, -1.23e+09),
           (-0.334,  7.62e+08),
           (-0.331,  6.03e+07),
           (-0.327, -2.99e+09),
           (-0.324, -5.74e+09),
           (-0.321, -2.10e+09),
           (-0.317, -1.47e+09),
           (-0.314, -7.54e+07),
           (-0.310, -1.01e+09),
           (-0.307, -2.59e+09),
           (-0.304, -3.29e+09),
           (-0.300,  2.07e+08),
           (-0.297,  9.00e+09),
           (-0.294,  1.52e+10),
           (-0.290,  1.74e+10),
           (-0.287,  2.39e+10),
           (-0.283,  1.99e+10),
           (-0.280,  1.40e+10),
           (-0.277,  8.06e+09),
           (-0.273,  3.95e+09),
           (-0.270,  2.65e+09),
           (-0.267,  1.54e+09),
           (-0.263, -6.82e+08),
           (-0.260,  3.90e+09),
           (-0.256,  6.25e+09),
           (-0.253,  6.20e+09),
           (-0.250,  3.82e+09),
           (-0.246,  3.43e+09),
