Bolide Detection Notification: 2008-070

At 17:16:07 UT on 10 Mar 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 48.5N, Lon 79.9W. GPS Satellites: SVN 55

 Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 1.3E10 watts/steradian, and total radiated flash
energy  1.7E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[( 0.601,  3.17e+09),
           ( 0.604, -2.56e+09),
           ( 0.607, -7.58e+08),
           ( 0.611,  3.03e+09),
           ( 0.614,  1.97e+09),
           ( 0.618, -3.71e+09),
           ( 0.621,  1.85e+08),
           ( 0.624, -1.63e+09),
           ( 0.628,  1.37e+09),
           ( 0.631, -1.16e+09),
           ( 0.635, -3.41e+08),
           ( 0.638,  5.59e+09),
           ( 0.641,  2.44e+09),
           ( 0.645,  8.06e+09),
           ( 0.648,  8.42e+09),
           ( 0.651,  7.87e+09),
           ( 0.655,  8.68e+09),
           ( 0.658,  1.05e+10),
           ( 0.661,  2.32e+09),
           ( 0.665,  7.14e+09),
           ( 0.668,  4.86e+09),
           ( 0.672,  6.39e+09),
           ( 0.675,  1.12e+10),
           ( 0.678,  4.61e+09),
           ( 0.682,  6.98e+09),
           ( 0.685,  4.20e+09),
           ( 0.688, -2.97e+09),
           ( 0.692,  1.87e+09),
           ( 0.695,  4.57e+09),
           ( 0.699,  2.23e+08),
           ( 0.702, -1.40e+09),
           ( 0.705,  1.30e+09),
           ( 0.709, -1.57e+09),
           ( 0.712,  1.15e+09),
           ( 0.716, -3.43e+09),
           ( 0.719, -7.49e+09),
           ( 0.722, -2.82e+09),
           ( 0.726, -8.80e+08),
           ( 0.729,  3.09e+09),
           ( 0.732,  3.16e+09),
           ( 0.736,  5.56e+09),
           ( 0.739,  7.41e+09),
           ( 0.742,  5.01e+09),
           ( 0.746,  2.23e+08),
           ( 0.749,  4.37e+09),
           ( 0.753,  3.95e+09),
           ( 0.756,  3.48e+09),
           ( 0.759,  3.04e+09),
           ( 0.763,  3.36e+09),
           ( 0.766,  4.15e+09),
           ( 0.770,  4.05e+09),
           ( 0.770,  4.05e+09),
           ( 0.773,  4.99e+09),
           ( 0.776,  2.16e+08),
           ( 0.780, -3.80e+09),
           ( 0.783, -1.20e+09),
           ( 0.786, -9.68e+07),
           ( 0.790,  7.03e+09),
           ( 0.793,  7.60e+09),
           ( 0.796,  6.55e+09),
           ( 0.800,  6.86e+09),
           ( 0.803,  8.65e+09),
           ( 0.807,  1.00e+10),
           ( 0.810,  8.21e+09),
           ( 0.813,  1.46e+10),
           ( 0.817,  1.70e+10),
           ( 0.820,  1.86e+10),
           ( 0.823,  1.79e+10),
           ( 0.827,  2.54e+10),
           ( 0.830,  3.09e+10),
           ( 0.834,  3.18e+10),
           ( 0.837,  3.43e+10),
           ( 0.840,  4.39e+10),
           ( 0.844,  4.63e+10),
           ( 0.847,  4.69e+10),
           ( 0.851,  4.73e+10),
           ( 0.854,  5.14e+10),
           ( 0.857,  5.54e+10),
           ( 0.861,  5.03e+10),
           ( 0.864,  4.73e+10),
           ( 0.867,  4.26e+10),
           ( 0.871,  4.26e+10),
           ( 0.874,  4.48e+10),
           ( 0.878,  4.29e+10),
           ( 0.881,  4.56e+10),
           ( 0.884,  4.74e+10),
           ( 0.888,  4.38e+10),
           ( 0.891,  4.05e+10),
           ( 0.894,  4.19e+10),
           ( 0.898,  4.05e+10),
           ( 0.901,  3.52e+10),
           ( 0.905,  2.76e+10),
           ( 0.908,  2.84e+10),
           ( 0.911,  2.39e+10),
           ( 0.915,  2.40e+10),
           ( 0.918,  2.34e+10),
           ( 0.921,  2.07e+10),
           ( 0.925,  1.85e+10),
           ( 0.928,  1.65e+10),
           ( 0.932,  1.23e+10),
           ( 0.935,  1.84e+10),
           ( 0.938,  2.01e+10),
           ( 0.938,  2.01e+10),
           ( 0.942,  1.54e+10),
           ( 0.945,  1.48e+10),
           ( 0.948,  1.04e+10),
           ( 0.952,  1.41e+10),
           ( 0.955,  1.22e+10),
           ( 0.959,  1.43e+10),
           ( 0.962,  1.47e+10),
           ( 0.965,  5.86e+09),
           ( 0.969,  9.85e+09),
           ( 0.972,  6.39e+09),
           ( 0.975,  1.13e+10),
           ( 0.979,  1.60e+10),
           ( 0.982,  1.31e+10),
           ( 0.986,  9.08e+09),
           ( 0.989,  9.66e+09),
           ( 0.992,  5.20e+09),
           ( 0.996,  9.26e+08),
           ( 0.999,  4.77e+09),
           ( 1.002,  2.74e+09),
           ( 1.006, -1.91e+09),
           ( 1.009,  4.87e+06),
           ( 1.012,  3.15e+09),
           ( 1.016,  1.52e+09),
           ( 1.019,  2.08e+09),
           ( 1.023,  3.06e+09),
           ( 1.026,  3.14e+09),
           ( 1.029,  2.29e+09),
           ( 1.033,  3.97e+09),
           ( 1.036,  6.41e+09),
           ( 1.039,  4.66e+09),
           ( 1.043,  6.42e+09),
           ( 1.046,  5.00e+09),
           ( 1.050,  5.09e+09),
           ( 1.053,  7.30e+09),
           ( 1.056,  2.81e+09),
           ( 1.060,  3.35e+09),
           ( 1.063,  2.58e+09),
           ( 1.066,  2.59e+09),
           ( 1.070,  8.90e+08),
           ( 1.073,  4.05e+09),
           ( 1.077,  5.35e+08),
           ( 1.080,  2.42e+09),
           ( 1.083,  1.85e+09),
           ( 1.087,  3.66e+09),
           ( 1.090,  2.87e+09),
           ( 1.094, -5.11e+08),
           ( 1.097, -4.31e+09)]
