Bolide Detection Notification: 2008-097

At 16:03:34 UT on 06 Apr 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 5.9E10 watts/steradian, and total radiated flash
energy  7.7E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.199, -3.79e+09),
           (-0.196,  2.39e+09),
           (-0.192,  3.56e+09),
           (-0.189, -3.01e+09),
           (-0.186, -1.15e+09),
           (-0.182,  3.14e+08),
           (-0.179, -2.81e+09),
           (-0.175,  4.82e+09),
           (-0.172, -3.61e+09),
           (-0.169,  2.52e+09),
           (-0.165, -4.45e+09),
           (-0.162, -2.66e+09),
           (-0.159,  6.42e+09),
           (-0.155,  4.54e+09),
           (-0.152,  2.10e+09),
           (-0.148, -2.06e+09),
           (-0.145,  6.43e+08),
           (-0.142,  5.70e+09),
           (-0.138,  8.70e+08),
           (-0.135, -1.21e+09),
           (-0.132,  1.64e+09),
           (-0.128,  1.23e+10),
           (-0.125,  1.53e+08),
           (-0.121, -2.17e+09),
           (-0.118,  4.93e+09),
           (-0.115,  8.49e+09),
           (-0.111,  1.81e+08),
           (-0.108, -2.97e+09),
           (-0.105, -4.97e+09),
           (-0.101, -1.84e+09),
           (-0.098,  2.44e+09),
           (-0.094,  1.02e+10),
           (-0.091, -9.57e+09),
           (-0.088,  5.09e+09),
           (-0.084, -6.65e+09),
           (-0.081,  6.81e+08),
           (-0.078,  6.67e+08),
           (-0.074, -2.93e+09),
           (-0.071,  5.14e+09),
           (-0.067,  9.56e+09),
           (-0.064,  4.59e+09),
           (-0.061, -1.50e+09),
           (-0.057,  2.83e+09),
           (-0.054, -7.76e+09),
           (-0.051, -1.90e+09),
           (-0.047,  6.69e+09),
           (-0.044, -3.56e+09),
           (-0.040,  3.64e+09),
           (-0.037,  3.27e+09),
           (-0.034, -1.73e+09),
           (-0.030,  3.15e+09),
           (-0.027,  3.36e+09),
           (-0.024,  2.23e+09),
           (-0.020, -5.90e+09),
           (-0.017,  5.04e+09),
           (-0.013,  9.40e+08),
           (-0.010,  1.81e+09),
           (-0.007,  6.58e+09),
           (-0.003,  2.14e+10),
           (-0.000,  2.31e+10),
           ( 0.003,  3.36e+10),
           ( 0.007,  3.83e+10),
           ( 0.010,  4.16e+10),
           ( 0.014,  4.57e+10),
           ( 0.017,  6.47e+10),
           ( 0.020,  9.95e+10),
           ( 0.024,  1.25e+11),
           ( 0.027,  9.79e+10),
           ( 0.030,  7.33e+10),
           ( 0.034,  6.53e+10),
           ( 0.037,  4.91e+10),
           ( 0.041,  4.12e+10),
           ( 0.044,  3.93e+10),
           ( 0.047,  2.93e+10),
           ( 0.051,  2.21e+10),
           ( 0.054,  2.63e+10),
           ( 0.057,  2.96e+10),
           ( 0.061,  3.78e+10),
           ( 0.064,  3.33e+10),
           ( 0.068,  2.60e+10),
           ( 0.071,  2.31e+10),
           ( 0.074,  3.40e+10),
           ( 0.078,  2.80e+10),
           ( 0.081,  1.86e+10),
           ( 0.084,  1.42e+10),
           ( 0.088,  1.79e+10),
           ( 0.091,  2.61e+10),
           ( 0.095,  2.68e+10),
           ( 0.098,  4.08e+10),
           ( 0.101,  6.72e+10),
           ( 0.105,  1.09e+11),
           ( 0.108,  1.21e+11),
           ( 0.111,  1.27e+11),
           ( 0.115,  9.25e+10),
           ( 0.118,  7.99e+10),
           ( 0.122,  8.40e+10),
           ( 0.125,  1.23e+11),
           ( 0.128,  1.49e+11),
           ( 0.132,  1.70e+11),
           ( 0.135,  2.18e+11),
           ( 0.138,  2.08e+11),
           ( 0.142,  2.28e+11),
           ( 0.145,  2.43e+11),
           ( 0.149,  2.40e+11),
           ( 0.152,  2.46e+11),
           ( 0.155,  2.17e+11),
