Bolide Detection Notification: 2008-098

At 01:02:28 UT on 07 Apr 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat31.8S, Lon 58.5W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 1.1E10 watts/steradian, and total radiated flash
energy  2.1E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.297,  4.02e+09),
           (-0.294,  3.99e+09),
           (-0.290, -2.17e+07),
           (-0.287,  6.39e+08),
           (-0.283,  1.23e+09),
           (-0.280, -1.58e+09),
           (-0.277,  6.77e+08),
           (-0.273,  4.18e+09),
           (-0.270,  6.08e+07),
           (-0.267, -5.08e+09),
           (-0.263,  1.40e+09),
           (-0.260,  6.20e+08),
           (-0.256,  5.96e+08),
           (-0.253, -3.39e+09),
           (-0.250, -1.17e+09),
           (-0.246, -3.20e+09),
           (-0.243, -9.79e+08),
           (-0.240, -2.95e+09),
           (-0.236, -7.06e+09),
           (-0.233,  2.99e+09),
           (-0.229,  1.00e+09),
           (-0.226, -3.93e+09),
           (-0.223, -1.51e+09),
           (-0.219, -2.67e+09),
           (-0.216,  2.35e+09),
           (-0.213,  1.70e+09),
           (-0.209, -1.68e+09),
           (-0.206,  9.18e+08),
           (-0.202, -1.02e+09),
           (-0.199, -9.89e+08),
           (-0.196, -6.56e+08),
           (-0.192, -4.41e+09),
           (-0.189, -2.84e+09),
           (-0.186, -1.09e+09),
           (-0.182, -2.01e+09),
           (-0.179,  2.81e+09),
           (-0.175,  3.39e+09),
           (-0.172, -3.34e+09),
           (-0.169,  1.16e+09),
           (-0.165,  8.99e+08),
           (-0.162,  2.90e+08),
           (-0.159, -3.33e+09),
           (-0.155,  4.26e+09),
           (-0.152,  1.62e+09),
           (-0.148, -7.99e+08),
           (-0.145,  3.09e+09),
           (-0.142, -4.03e+09),
           (-0.138,  6.48e+08),
           (-0.135,  3.47e+09),
           (-0.132,  3.17e+09),
           (-0.128, -2.83e+09),
           (-0.125,  6.76e+08),
           (-0.121,  4.58e+08),
           (-0.118,  1.23e+09),
           (-0.115, -1.65e+09),
           (-0.111,  9.01e+08),
           (-0.108,  4.87e+08),
           (-0.105,  6.03e+08),
           (-0.101, -3.49e+09),
           (-0.098, -3.29e+08),
           (-0.094,  2.85e+09),
           (-0.091, -6.69e+08),
           (-0.088, -9.48e+08),
           (-0.084,  5.58e+08),
           (-0.081,  2.04e+09),
           (-0.078, -1.14e+08),
           (-0.074, -6.55e+08),
           (-0.071,  1.73e+09),
           (-0.068, -5.43e+08),
           (-0.064,  4.73e+08),
           (-0.061,  1.36e+09),
           (-0.057, -1.74e+09),
           (-0.054,  2.55e+09),
           (-0.051,  2.02e+09),
           (-0.047, -1.62e+09),
           (-0.044,  5.89e+08),
           (-0.040,  8.94e+08),
           (-0.037,  3.22e+09),
           (-0.034,  2.63e+09),
           (-0.030,  1.28e+09),
           (-0.027,  7.43e+08),
           (-0.024,  6.96e+09),
           (-0.020,  4.46e+09),
           (-0.017,  8.82e+09),
           (-0.013,  4.90e+09),
           (-0.010,  5.76e+09),
           (-0.007,  1.26e+10),
           (-0.003,  1.04e+10),
           (-0.000,  1.18e+10),
           ( 0.003,  8.99e+09),
           ( 0.007,  9.58e+09),
           ( 0.010,  1.35e+10),
           ( 0.014,  1.59e+10),
           ( 0.017,  1.39e+10),
           ( 0.020,  1.58e+10),
           ( 0.024,  1.16e+10),
           ( 0.027,  1.71e+10),
           ( 0.030,  1.93e+10),
           ( 0.034,  1.83e+10),
           ( 0.037,  1.76e+10),
           ( 0.041,  1.67e+10),
           ( 0.044,  1.77e+10),
           ( 0.047,  1.76e+10),
           ( 0.051,  1.48e+10),
           ( 0.054,  1.09e+10),
           ( 0.057,  1.87e+10),
           ( 0.061,  1.34e+10),
           ( 0.064,  1.77e+10),
           ( 0.068,  1.61e+10),
           ( 0.071,  1.76e+10),
           ( 0.074,  1.61e+10),
           ( 0.078,  1.96e+10),
           ( 0.081,  2.15e+10),
           ( 0.084,  1.94e+10),
           ( 0.088,  1.89e+10),
           ( 0.091,  1.93e+10),
           ( 0.095,  1.68e+10),
           ( 0.098,  1.74e+10),
           ( 0.101,  1.72e+10),
           ( 0.105,  1.70e+10),
           ( 0.108,  2.34e+10),
           ( 0.111,  1.98e+10),
           ( 0.115,  2.07e+10),
           ( 0.118,  2.11e+10),
           ( 0.122,  2.70e+10),
           ( 0.125,  2.80e+10),
           ( 0.128,  2.99e+10),
           ( 0.132,  3.01e+10),
           ( 0.135,  3.91e+10),
           ( 0.138,  4.06e+10),
           ( 0.142,  4.52e+10),
           ( 0.145,  3.88e+10),
           ( 0.149,  4.29e+10),
           ( 0.152,  4.34e+10),
           ( 0.155,  4.62e+10),
           ( 0.159,  4.66e+10),
           ( 0.162,  4.31e+10),
           ( 0.165,  4.73e+10),
           ( 0.169,  4.92e+10),
           ( 0.172,  4.15e+10),
           ( 0.176,  3.98e+10),
           ( 0.179,  4.38e+10),
           ( 0.182,  3.72e+10),
           ( 0.186,  3.23e+10),
           ( 0.189,  3.34e+10),
           ( 0.192,  3.28e+10),
           ( 0.196,  3.27e+10),
           ( 0.199,  3.18e+10),
           ( 0.203,  3.01e+10),
           ( 0.206,  1.92e+10),
           ( 0.209,  2.39e+10),
           ( 0.213,  2.08e+10),
           ( 0.216,  2.26e+10),
           ( 0.219,  1.38e+10),
           ( 0.223,  1.70e+10),
           ( 0.226,  1.86e+10),
           ( 0.230,  1.43e+10),
           ( 0.233,  1.35e+10),
           ( 0.236,  1.41e+10),
           ( 0.240,  1.56e+10),
           ( 0.243,  1.09e+10),
           ( 0.246,  9.39e+09),
           ( 0.250,  1.39e+10),
           ( 0.253,  1.12e+10),
           ( 0.257,  1.31e+10),
           ( 0.260,  1.26e+10),
           ( 0.263,  1.22e+10),
           ( 0.267,  9.95e+09),
           ( 0.270,  1.10e+10),
           ( 0.273,  8.65e+09),
           ( 0.277,  7.31e+09),
           ( 0.280,  1.25e+10),
           ( 0.284,  9.47e+09),
           ( 0.287,  9.96e+09),
           ( 0.290,  7.38e+09),
           ( 0.294,  6.90e+09),
           ( 0.297,  7.27e+09),
           ( 0.300,  5.24e+09),
           ( 0.304,  2.08e+09),
           ( 0.307,  2.03e+09),
           ( 0.310, -2.62e+08),
           ( 0.314, -1.49e+09),
           ( 0.317, -3.50e+06),
           ( 0.321,  5.33e+09),
           ( 0.324, -2.34e+08),
           ( 0.327,  1.54e+09),
           ( 0.331,  1.71e+09),
           ( 0.334, -3.29e+09),
           ( 0.337,  1.06e+09),
           ( 0.341,  1.77e+09),
           ( 0.344, -3.24e+09),
           ( 0.348,  2.08e+08),
           ( 0.351,  1.35e+09),
           ( 0.354, -8.20e+08),
           ( 0.358,  1.02e+09),
           ( 0.361,  1.53e+09),
           ( 0.364, -1.46e+09),
           ( 0.368,  3.45e+09),
           ( 0.371, -1.66e+08),
           ( 0.375,  1.23e+09),
           ( 0.378,  1.11e+09),
           ( 0.381, -3.70e+08),
           ( 0.385,  1.04e+09),
           ( 0.388, -1.70e+09),
           ( 0.391, -2.82e+09),
           ( 0.395, -4.48e+09),
           ( 0.398,  8.94e+08),
           ( 0.402, -3.27e+08),
           ( 0.405, -6.04e+08),
           ( 0.408, -4.89e+09),
           ( 0.412,  1.82e+09),
           ( 0.415, -1.37e+09),
           ( 0.418, -1.74e+08),
           ( 0.422, -4.33e+09),
           ( 0.425,  1.59e+09),
           ( 0.429,  2.47e+09),
           ( 0.432, -5.51e+08),
           ( 0.435,  4.13e+09),
           ( 0.439, -4.43e+09),
           ( 0.442,  4.67e+09),
           ( 0.446,  6.08e+08),
           ( 0.449, -5.57e+09),
           ( 0.452,  1.32e+09),
           ( 0.456, -7.29e+08),
           ( 0.459, -3.93e+09),
           ( 0.462, -8.36e+08),
           ( 0.466,  1.33e+09),
           ( 0.469,  1.19e+09),
           ( 0.473,  3.41e+09),
           ( 0.476, -2.10e+09),
           ( 0.479,  1.73e+08),
           ( 0.483, -2.03e+09),
           ( 0.486,  2.83e+09),
           ( 0.489,  3.09e+09),
           ( 0.493, -3.55e+09),
           ( 0.496, -2.90e+09),
           ( 0.500,  2.15e+08),
           ( 0.503, -7.01e+08),
           ( 0.506, -2.40e+09),
           ( 0.510, -2.58e+09),
           ( 0.513,  1.87e+09),
           ( 0.516, -3.16e+08),
           ( 0.520,  3.48e+09),
           ( 0.523, -9.48e+08),
           ( 0.527,  5.44e+08),
           ( 0.530,  5.22e+09),
           ( 0.533,  6.71e+08),
           ( 0.537, -1.40e+09),
           ( 0.540,  7.62e+08),
           ( 0.543,  4.17e+09),
           ( 0.547, -3.25e+09),
           ( 0.550,  9.01e+08),
           ( 0.554, -2.27e+09),
           ( 0.557,  6.83e+08),
           ( 0.560, -8.72e+08),
           ( 0.564,  1.20e+08),
           ( 0.567, -9.97e+08),
           ( 0.570,  6.57e+08),
           ( 0.574, -8.10e+08),
           ( 0.577, -9.85e+08),
           ( 0.581,  2.48e+09),
           ( 0.584, -1.84e+09),
           ( 0.587, -3.52e+08),
           ( 0.591, -2.94e+07),
           ( 0.594,  1.86e+08),
           ( 0.597,  1.69e+08),
           ( 0.601, -1.90e+08),
           ( 0.604,  2.91e+08),
           ( 0.608, -4.15e+09),
           ( 0.611,  6.36e+08),
           ( 0.614,  2.93e+09),
           ( 0.618,  3.29e+09),
           ( 0.621, -3.58e+09),
           ( 0.624, -1.46e+09),
           ( 0.628, -2.94e+09),
           ( 0.631,  2.12e+09),
           ( 0.635, -1.52e+09),
           ( 0.638, -4.15e+09),
           ( 0.641,  7.10e+08),
           ( 0.645,  3.90e+09),
           ( 0.648,  1.75e+09),
           ( 0.651, -2.13e+09),
           ( 0.655, -2.61e+08),
           ( 0.658,  1.14e+09),
           ( 0.662, -9.47e+08),
           ( 0.665, -1.34e+09),
           ( 0.668, -3.53e+09),
           ( 0.672, -2.65e+09),
           ( 0.675,  6.35e+08),
           ( 0.678, -2.11e+09),
           ( 0.682, -4.90e+09),
           ( 0.685, -1.63e+09),
           ( 0.689,  3.46e+09),
           ( 0.692, -2.84e+09),
           ( 0.695, -7.92e+08),
           ( 0.699, -1.73e+08)]
