Bolide Detection Notification: 2008-121

At 01:18:38 UT on 30 Apr 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 33.6S, Lon 35.1W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 2.3E10 watts/steradian, and total radiated flash
energy  2.0E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.199,  1.36e+08),
           (-0.196,  1.07e+09),
           (-0.192, -7.86e+08),
           (-0.189,  1.40e+09),
           (-0.186,  1.18e+09),
           (-0.182, -1.51e+09),
           (-0.179,  3.38e+09),
           (-0.175, -9.91e+08),
           (-0.172, -3.16e+09),
           (-0.169,  1.81e+08),
           (-0.165,  3.90e+08),
           (-0.162, -3.12e+08),
           (-0.159,  1.71e+09),
           (-0.155,  3.35e+09),
           (-0.152,  2.76e+09),
           (-0.148, -4.43e+08),
           (-0.145, -2.82e+08),
           (-0.142,  5.00e+09),
           (-0.138,  2.60e+09),
           (-0.135, -2.03e+09),
           (-0.132,  2.78e+09),
           (-0.128, -1.51e+09),
           (-0.125, -1.69e+09),
           (-0.121,  4.48e+09),
           (-0.118,  1.02e+09),
           (-0.115, -3.15e+09),
           (-0.111, -3.01e+09),
           (-0.108,  2.66e+08),
           (-0.105, -2.76e+09),
           (-0.101, -1.91e+09),
           (-0.098, -3.63e+08),
           (-0.094, -8.05e+08),
           (-0.091, -2.71e+09),
           (-0.088,  7.93e+08),
           (-0.084, -1.46e+09),
           (-0.081, -3.84e+09),
           (-0.078, -3.28e+09),
           (-0.074,  5.68e+08),
           (-0.071, -6.37e+09),
           (-0.067, -4.24e+09),
           (-0.064,  2.63e+09),
           (-0.061, -8.19e+08),
           (-0.057, -3.02e+09),
           (-0.054, -1.76e+09),
           (-0.051, -2.59e+09),
           (-0.047, -2.54e+09),
           (-0.044,  2.52e+09),
           (-0.040,  2.66e+09),
           (-0.037, -4.79e+09),
           (-0.034, -9.10e+08),
           (-0.030,  4.55e+08),
           (-0.027, -2.07e+08),
           (-0.024, -1.48e+09),
           (-0.020,  1.86e+09),
           (-0.017,  8.06e+09),
           (-0.013,  9.43e+09),
           (-0.010,  1.51e+10),
           (-0.007,  1.80e+10),
           (-0.003,  1.24e+10),
           (-0.000,  9.29e+09),
           ( 0.003,  9.24e+09),
           ( 0.007,  1.20e+10),
           ( 0.010,  1.04e+10),
           ( 0.014,  6.00e+09),
           ( 0.017,  1.42e+09),
           ( 0.020,  3.70e+09),
           ( 0.024,  9.39e+09),
           ( 0.027,  1.14e+10),
           ( 0.030,  8.26e+09),
           ( 0.034,  5.08e+09),
           ( 0.037,  1.33e+10),
           ( 0.041,  8.37e+09),
           ( 0.044,  1.30e+10),
           ( 0.047,  1.55e+10),
           ( 0.051,  1.99e+10),
           ( 0.054,  3.03e+10),
           ( 0.057,  3.86e+10),
           ( 0.061,  3.12e+10),
           ( 0.064,  3.74e+10),
           ( 0.068,  4.91e+10),
           ( 0.071,  5.37e+10),
           ( 0.074,  3.69e+10),
           ( 0.078,  3.19e+10),
           ( 0.081,  3.83e+10),
           ( 0.084,  4.51e+10),
           ( 0.088,  3.44e+10),
           ( 0.091,  3.13e+10),
           ( 0.095,  2.44e+10),
           ( 0.098,  1.63e+10),
           ( 0.101,  1.18e+10),
           ( 0.105,  7.69e+09),
           ( 0.108,  8.71e+09),
           ( 0.111,  5.45e+09),
           ( 0.115,  7.52e+09),
           ( 0.118,  4.25e+09),
           ( 0.122,  3.29e+09),
           ( 0.125,  6.86e+09),
           ( 0.128,  3.97e+09),
           ( 0.132,  4.38e+09),
           ( 0.135,  4.70e+09),
           ( 0.138,  2.46e+09),
           ( 0.142,  8.37e+08),
           ( 0.145, -1.80e+09),
           ( 0.149,  2.04e+09),
           ( 0.152,  7.13e+08),
           ( 0.155, -2.63e+09),
           ( 0.159, -2.54e+08),
           ( 0.162, -1.32e+09),
           ( 0.165,  1.06e+09),
           ( 0.169, -2.24e+09),
           ( 0.172,  1.82e+09),
           ( 0.176, -1.40e+09),
           ( 0.179,  2.17e+09),
           ( 0.182,  2.59e+09),
           ( 0.186, -2.82e+08),
           ( 0.189, -2.47e+08),
           ( 0.192, -2.94e+09),
           ( 0.196,  3.95e+09),
           ( 0.199,  1.88e+09),
           ( 0.203,  2.02e+09),
           ( 0.206,  3.42e+09),
           ( 0.209,  2.78e+09),
           ( 0.213,  3.19e+09),
           ( 0.216, -3.43e+09),
           ( 0.219, -2.07e+09),
           ( 0.223,  3.75e+09),
           ( 0.226, -8.35e+08),
           ( 0.230,  8.56e+08),
           ( 0.233, -3.12e+09),
           ( 0.236, -2.61e+09),
           ( 0.240, -1.06e+09),
           ( 0.243, -7.63e+09),
           ( 0.246, -9.01e+08),
           ( 0.250, -1.32e+09),
           ( 0.253,  2.51e+09),
           ( 0.257, -3.77e+08),
           ( 0.260, -2.60e+09),
           ( 0.263,  1.54e+09),
           ( 0.267, -4.16e+09),
           ( 0.270, -4.15e+09),
           ( 0.273, -2.28e+09),
           ( 0.277, -7.98e+08),
           ( 0.280,  5.12e+08),
           ( 0.284, -3.82e+09),
           ( 0.287, -3.86e+09),
           ( 0.290, -4.80e+08),
           ( 0.294, -1.51e+09),
           ( 0.297, -3.29e+08),
           ( 0.300, -3.14e+09),
           ( 0.304, -6.00e+08),
           ( 0.307,  5.09e+08),
           ( 0.311,  2.63e+08),
           ( 0.314,  2.56e+09),
           ( 0.317, -6.43e+08),
           ( 0.321, -3.80e+09),
           ( 0.324, -1.33e+09),
           ( 0.327,  2.99e+09),
           ( 0.331,  2.47e+09),
           ( 0.334, -3.48e+09),
           ( 0.338, -1.56e+09),
           ( 0.341,  1.46e+09),
           ( 0.344,  3.34e+08),
           ( 0.348,  2.48e+10),
           ( 0.351,  6.49e+10),
           ( 0.354,  6.74e+10),
           ( 0.358,  6.03e+10),
           ( 0.361,  3.07e+10),
           ( 0.365,  2.30e+10),
           ( 0.368,  1.47e+10),
           ( 0.371,  1.34e+10),
           ( 0.375,  9.06e+09),
           ( 0.378,  6.97e+09),
           ( 0.381,  6.02e+09),
           ( 0.385,  4.74e+09),
           ( 0.388,  6.85e+09),
           ( 0.392,  8.57e+09),
           ( 0.395,  2.74e+09),
           ( 0.398,  1.52e+09),
           ( 0.402,  5.07e+09),
           ( 0.405,  1.17e+10),
           ( 0.408,  5.79e+10),
           ( 0.412,  9.36e+10),
           ( 0.415,  8.53e+10),
           ( 0.419,  7.23e+10),
           ( 0.422,  9.70e+10),
           ( 0.425,  8.58e+10),
           ( 0.429,  5.47e+10),
           ( 0.432,  3.72e+10),
           ( 0.435,  2.02e+10),
           ( 0.439,  2.33e+10),
           ( 0.442,  3.02e+10),
           ( 0.446,  2.36e+10),
           ( 0.449,  1.23e+10),
           ( 0.452,  9.56e+09),
           ( 0.456,  3.30e+09),
           ( 0.459,  1.17e+09),
           ( 0.462,  1.18e+10),
           ( 0.466,  7.37e+09),
           ( 0.469,  8.08e+09),
           ( 0.473,  7.78e+09),
           ( 0.476,  9.99e+09),
           ( 0.479,  8.24e+09),
           ( 0.483,  4.69e+09),
           ( 0.486,  5.01e+09),
           ( 0.489,  5.29e+09),
           ( 0.493,  4.08e+09),
           ( 0.496,  2.33e+09),
           ( 0.500,  3.08e+09),
           ( 0.503,  3.91e+09),
           ( 0.506,  3.12e+09),
           ( 0.510,  4.78e+09),
           ( 0.513,  6.45e+08),
           ( 0.516,  5.74e+09),
           ( 0.520,  5.15e+09),
