Bolide Detection Notification: 2008-127

At 01:08:56 UT on 06 May 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 1.7E10 watts/steradian, and total radiated flash
energy  5.7E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.499,  2.85e+09),
           (-0.496, -1.56e+09),
           (-0.493,  7.55e+09),
           (-0.489,  6.91e+08),
           (-0.486, -4.60e+09),
           (-0.483,  4.95e+09),
           (-0.479,  1.16e+09),
           (-0.476,  5.50e+09),
           (-0.473,  2.90e+09),
           (-0.469,  7.77e+09),
           (-0.466, -6.34e+09),
           (-0.462,  4.03e+09),
           (-0.459,  3.41e+09),
           (-0.456, -2.29e+08),
           (-0.452,  4.41e+09),
           (-0.449, -5.35e+09),
           (-0.445,  2.60e+09),
           (-0.442,  1.63e+09),
           (-0.439, -6.26e+09),
           (-0.435,  4.14e+09),
           (-0.432,  5.29e+09),
           (-0.429,  7.62e+08),
           (-0.425, -1.75e+09),
           (-0.422,  5.66e+09),
           (-0.419,  5.80e+08),
           (-0.415,  4.13e+09),
           (-0.412,  2.45e+09),
           (-0.408,  7.00e+09),
           (-0.405,  1.15e+09),
           (-0.402, -5.28e+09),
           (-0.398,  3.62e+09),
           (-0.395,  1.72e+09),
           (-0.391, -2.36e+09),
           (-0.388, -1.86e+09),
           (-0.385,  4.07e+09),
           (-0.381, -4.32e+09),
           (-0.378, -1.56e+09),
           (-0.375, -2.03e+09),
           (-0.371, -1.24e+09),
           (-0.368,  4.64e+08),
           (-0.365, -4.14e+09),
           (-0.361,  3.06e+09),
           (-0.358, -7.06e+08),
           (-0.354,  3.15e+09),
           (-0.351, -1.25e+09),
           (-0.348,  1.16e+08),
           (-0.344, -1.41e+09),
           (-0.341,  1.58e+08),
           (-0.337, -1.06e+09),
           (-0.334, -5.96e+09),
           (-0.331,  6.78e+08),
           (-0.327,  1.69e+09),
           (-0.324, -1.57e+09),
           (-0.321, -3.65e+09),
           (-0.317, -1.37e+09),
           (-0.314,  4.07e+09),
           (-0.311, -1.93e+09),
           (-0.307, -3.83e+09),
           (-0.304, -3.41e+09),
           (-0.300,  2.93e+09),
           (-0.297, -1.70e+09),
           (-0.294,  6.67e+08),
           (-0.290, -1.90e+08),
           (-0.287, -1.35e+09),
           (-0.283, -3.39e+09),
           (-0.280, -1.53e+09),
           (-0.277,  2.55e+09),
           (-0.273,  2.93e+09),
           (-0.270,  4.45e+09),
