Bolide Detection Notification: 2008-143

At 20:50:28 UT on 22 May 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 46.9N, Lon 134.5E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 6.1E9 watts/steradian, and total radiated flash
energy  2.1E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.800, -7.10e+08),
           (-0.796,  2.02e+08),
           (-0.793, -5.40e+08),
           (-0.790, -5.45e+08),
           (-0.786,  5.87e+08),
           (-0.783,  2.68e+09),
           (-0.780,  1.86e+09),
           (-0.776,  1.71e+09),
           (-0.773,  1.48e+09),
           (-0.770, -1.03e+09),
           (-0.766,  2.42e+08),
           (-0.763, -1.40e+08),
           (-0.759, -1.67e+08),
           (-0.756,  1.62e+09),
           (-0.753,  1.79e+09),
           (-0.749,  3.12e+09),
           (-0.746,  4.12e+09),
           (-0.742,  7.07e+08),
           (-0.739, -9.35e+08),
           (-0.736, -2.47e+07),
           (-0.732,  1.30e+09),
           (-0.729,  1.47e+09),
           (-0.726,  5.84e+08),
           (-0.722,  1.02e+09),
           (-0.719, -7.34e+08),
           (-0.716,  1.84e+09),
           (-0.712,  2.66e+09),
           (-0.709, -6.02e+08),
           (-0.705,  2.84e+08),
           (-0.702, -1.17e+09),
           (-0.699, -1.86e+09),
           (-0.695, -3.14e+09),
           (-0.692, -2.75e+09),
           (-0.688,  1.54e+08),
           (-0.685,  2.91e+08),
           (-0.682,  1.92e+09),
           (-0.678,  3.10e+09),
           (-0.675,  1.97e+09),
           (-0.672, -1.55e+09),
           (-0.668, -2.11e+09),
           (-0.665, -2.69e+09),
           (-0.662, -1.49e+09),
           (-0.658, -1.31e+09),
           (-0.655, -8.51e+08),
           (-0.651,  6.26e+08),
           (-0.648,  5.64e+08),
           (-0.645, -2.55e+09),
           (-0.641, -1.47e+09),
           (-0.638, -7.36e+08),
           (-0.634, -2.16e+09),
           (-0.631, -1.31e+09),
           (-0.628, -3.58e+08),
           (-0.624,  9.53e+08),
           (-0.621,  1.29e+09),
           (-0.618,  1.82e+09),
           (-0.614,  5.16e+08),
           (-0.611, -1.22e+08),
           (-0.608,  2.09e+09),
           (-0.604,  2.41e+09),
           (-0.601,  1.37e+09),
           (-0.597,  2.15e+09),
           (-0.594,  3.84e+08),
           (-0.591,  7.88e+08),
           (-0.587,  1.07e+09),
           (-0.584, -6.21e+07),
           (-0.580, -2.85e+08),
           (-0.577,  6.57e+08),
           (-0.574, -8.26e+08),
           (-0.570, -5.15e+08),
           (-0.567,  1.34e+09),
           (-0.564,  2.69e+09),
           (-0.560,  2.32e+09),
           (-0.557,  1.71e+09),
           (-0.554,  2.25e+09),
           (-0.550,  3.33e+09),
           (-0.547,  3.54e+09),
           (-0.543,  1.05e+09),
           (-0.540,  2.66e+09),
           (-0.537,  2.61e+09),
           (-0.533,  1.06e+09),
           (-0.530,  7.69e+08),
           (-0.526,  1.63e+09),
           (-0.523,  8.24e+08),
           (-0.520,  3.88e+08),
           (-0.516,  2.24e+09),
           (-0.513,  1.14e+09),
           (-0.510,  1.74e+09),
           (-0.506,  2.11e+09),
           (-0.503,  1.86e+09),
           (-0.500,  2.66e+09),
           (-0.496,  2.35e+09),
           (-0.493,  1.42e+09),
           (-0.489, -1.43e+09),
           (-0.486,  5.08e+08),
           (-0.483,  1.01e+09),
           (-0.479,  1.04e+09),
           (-0.476, -1.30e+09),
           (-0.472, -3.16e+09),
           (-0.469, -1.55e+09),
           (-0.466, -6.75e+08),
           (-0.462, -3.46e+08),
           (-0.459, -1.90e+09),
           (-0.456, -2.37e+09),
           (-0.452,  1.64e+08),
           (-0.449, -1.07e+09),
           (-0.446, -1.78e+08),
           (-0.442,  2.99e+09),
           (-0.439,  6.03e+09),
           (-0.435,  6.28e+09),
           (-0.432,  6.67e+09),
           (-0.429,  8.69e+09),
           (-0.425,  8.80e+09),
           (-0.422,  6.78e+09),
           (-0.418,  5.22e+09),
           (-0.415,  6.11e+09),
           (-0.412,  7.82e+09),
           (-0.408,  9.21e+09),
           (-0.405,  1.06e+10),
           (-0.402,  9.36e+09),
           (-0.398,  6.49e+09),
           (-0.395,  5.97e+09),
           (-0.392,  4.70e+09),
           (-0.388,  4.48e+09),
           (-0.385,  5.38e+09),
           (-0.381,  4.25e+09),
           (-0.378,  4.96e+09),
           (-0.375,  9.14e+09),
           (-0.371,  1.05e+10),
           (-0.368,  1.27e+10),
           (-0.364,  1.07e+10),
