Bolide Detection Notification: 2008-179

At 02:01:23 UT on 27 Jun 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 26.9S, Lon 17.7W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 3.4E10 watts/steradian, and total radiated flash
energy  1.72E11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.398, -3.03e+08),
           (-0.395,  3.89e+08),
           (-0.392,  1.36e+09),
           (-0.388, -1.00e+09),
           (-0.385, -1.24e+09),
           (-0.381, -1.47e+09),
           (-0.378,  2.54e+09),
           (-0.375,  2.70e+09),
           (-0.371, -3.85e+09),
           (-0.368, -1.01e+09),
           (-0.364, -1.91e+08),
           (-0.361, -8.14e+08),
           (-0.358,  3.80e+09),
           (-0.354,  4.58e+09),
           (-0.351,  2.05e+09),
           (-0.348, -1.21e+09),
           (-0.344, -1.21e+09),
           (-0.341,  4.52e+09),
           (-0.338,  4.24e+08),
           (-0.334,  6.17e+09),
           (-0.331,  2.89e+09),
           (-0.327,  3.22e+09),
           (-0.324,  1.03e+09),
           (-0.321, -9.33e+08),
           (-0.317,  3.43e+09),
           (-0.314, -4.92e+08),
           (-0.310, -1.40e+09),
           (-0.307, -2.34e+09),
           (-0.304,  1.71e+09),
           (-0.300,  3.75e+08),
           (-0.297,  5.16e+09),
           (-0.294,  7.63e+08),
           (-0.290, -1.14e+08),
           (-0.287,  5.64e+08),
           (-0.284,  3.96e+09),
           (-0.280,  5.26e+09),
           (-0.277,  5.78e+08),
           (-0.273,  3.73e+09),
           (-0.270,  3.20e+09),
           (-0.267,  5.09e+09),
           (-0.263,  3.14e+09),
           (-0.260,  1.88e+09),
           (-0.256,  5.58e+09),
           (-0.253,  6.58e+09),
           (-0.250,  6.67e+09),
           (-0.246,  1.08e+10),
           (-0.243,  2.36e+09),
           (-0.240,  1.09e+10),
           (-0.236,  1.24e+10),
           (-0.233,  1.42e+10),
           (-0.230,  1.11e+10),
           (-0.226,  1.35e+10),
           (-0.223,  1.36e+10),
           (-0.219,  1.59e+10),
           (-0.216,  1.26e+10),
           (-0.213,  1.09e+10),
           (-0.209,  1.43e+10),
