Bolide Detection Notification: 2008-190

At 15:55:30 UT on 08 Jul 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat72.8N, Lon 147.3E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 4.2E9 watts/steradian, and total radiated flash
energy  6.6E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -1.82e+09),
           (-0.996, -2.54e+09),
           (-0.992, -1.52e+08),
           (-0.989, -4.11e+08),
           (-0.986, -6.80e+08),
           (-0.982, -8.49e+08),
           (-0.979, -2.01e+09),
           (-0.975, -2.85e+09),
           (-0.972,  8.19e+08),
           (-0.969,  1.54e+08),
           (-0.965, -2.27e+09),
           (-0.962, -1.27e+09),
           (-0.958, -1.83e+09),
           (-0.955, -4.15e+09),
           (-0.952, -9.85e+08),
           (-0.948, -3.27e+08),
           (-0.945, -2.54e+09),
           (-0.942, -8.48e+07),
           (-0.938,  1.31e+08),
           (-0.935, -3.61e+09),
           (-0.931, -1.71e+09),
           (-0.928, -1.93e+09),
           (-0.925, -2.72e+09),
           (-0.921, -1.76e+09),
           (-0.918, -2.72e+09),
           (-0.915, -1.54e+09),
           (-0.911, -6.10e+08),
           (-0.908, -9.45e+08),
           (-0.905, -3.93e+08),
           (-0.901, -1.27e+09),
           (-0.898, -3.18e+09),
           (-0.894, -2.91e+09),
           (-0.891, -7.12e+08),
           (-0.888, -1.49e+09),
           (-0.884, -1.86e+09),
           (-0.881, -1.15e+09),
           (-0.877, -1.17e+09),
           (-0.874, -1.61e+09),
           (-0.871,  1.54e+08),
           (-0.867,  3.16e+08),
           (-0.864, -4.08e+08),
           (-0.861, -2.31e+09),
           (-0.857, -2.52e+09),
           (-0.854, -2.65e+09),
           (-0.851, -2.57e+09),
           (-0.847, -1.46e+09),
           (-0.844, -5.33e+08),
           (-0.840,  3.82e+08),
           (-0.837, -4.16e+08),
           (-0.834, -1.00e+09),
           (-0.830, -5.90e+08),
           (-0.827,  9.03e+08),
           (-0.823, -8.94e+07),
           (-0.820, -3.33e+09),
           (-0.817, -7.18e+08),
           (-0.813,  5.26e+08),
           (-0.810,  8.00e+08),
           (-0.807,  9.04e+08),
           (-0.803, -2.84e+08),
           (-0.800, -1.52e+09),
           (-0.797, -1.32e+09),
           (-0.793, -9.70e+08),
           (-0.790, -9.42e+08),
           (-0.786, -1.97e+08),
           (-0.783, -4.03e+09),
           (-0.780, -3.96e+09),
           (-0.776, -3.47e+09),
           (-0.773, -1.97e+09),
           (-0.770, -7.61e+08),
           (-0.766, -2.48e+09),
           (-0.763, -1.60e+09),
           (-0.759, -1.95e+09),
           (-0.756, -1.94e+09),
           (-0.753, -2.20e+09),
           (-0.749, -1.04e+09),
           (-0.746,  1.56e+08),
           (-0.742, -1.43e+09),
           (-0.739, -2.71e+09),
           (-0.736, -4.69e+09),
           (-0.732, -3.99e+09),
           (-0.729, -1.68e+09),
           (-0.726, -2.47e+09),
           (-0.722, -2.14e+09),
           (-0.719, -9.01e+08),
           (-0.716, -1.23e+09),
           (-0.712, -2.49e+09),
           (-0.709,  3.30e+07),
           (-0.705,  2.32e+07),
           (-0.702, -1.00e+09),
           (-0.699, -3.10e+09),
           (-0.695, -2.88e+09),
           (-0.692, -2.09e+09),
           (-0.688,  1.86e+08),
           (-0.685, -2.00e+09),
           (-0.682,  4.16e+08),
           (-0.678,  2.35e+08),
           (-0.675, -1.32e+09),
           (-0.672, -2.24e+09),
           (-0.668, -1.62e+09),
           (-0.665, -1.93e+09),
           (-0.662, -1.70e+08),
           (-0.658,  2.04e+08),
           (-0.655,  1.25e+08),
           (-0.651, -2.52e+09),
           (-0.648, -1.99e+09),
           (-0.645,  2.96e+08),
           (-0.641, -2.21e+08),
           (-0.638, -1.07e+09),
           (-0.635,  1.73e+07),
           (-0.631, -3.02e+09),
           (-0.628, -2.18e+09),
           (-0.624, -3.66e+08),
           (-0.621,  6.50e+08),
           (-0.618, -4.17e+08),
           (-0.614, -1.26e+09),
           (-0.611, -2.11e+09),
           (-0.607, -2.11e+09),
           (-0.604, -4.92e+08),
           (-0.601,  2.90e+08),
           (-0.597, -8.82e+08),
           (-0.594,  8.76e+08),
           (-0.591,  5.50e+08),
           (-0.587, -5.69e+07),
           (-0.584,  1.38e+09),
           (-0.581,  2.52e+09),
           (-0.577, -1.58e+09),
           (-0.574, -1.23e+09),
           (-0.570,  7.81e+08),
           (-0.567,  1.12e+09),
           (-0.564,  7.07e+08),
           (-0.560, -1.78e+09),
           (-0.557, -7.39e+08),
           (-0.553, -3.48e+08),
           (-0.550, -3.32e+09),
           (-0.547, -2.07e+09),
           (-0.543, -1.69e+09),
           (-0.540, -1.44e+09),
           (-0.537, -6.62e+08),
           (-0.533,  6.92e+08),
           (-0.530, -1.22e+09),
           (-0.527,  3.45e+08),
           (-0.523,  1.17e+09),
           (-0.520,  1.58e+09),
           (-0.516, -7.12e+08),
           (-0.513, -1.34e+09),
           (-0.510, -1.75e+09),
           (-0.506,  1.56e+09),
           (-0.503, -6.71e+08),
           (-0.500, -3.45e+09),
           (-0.496, -3.13e+09),
           (-0.493, -1.98e+09),
           (-0.489, -2.19e+09),
           (-0.486, -1.50e+09),
           (-0.483,  4.59e+08),
           (-0.479,  1.46e+09),
           (-0.476, -1.74e+09),
           (-0.472, -3.37e+09),
           (-0.469, -4.41e+09),
           (-0.466, -3.40e+09),
           (-0.462, -2.56e+09),
           (-0.459, -3.26e+09),
           (-0.456, -2.91e+09),
           (-0.452,  3.62e+08),
           (-0.449, -3.27e+09),
           (-0.446, -4.21e+09),
           (-0.442, -3.44e+09),
           (-0.439, -3.32e+09),
           (-0.435, -4.81e+09),
           (-0.432, -3.76e+09),
           (-0.429, -1.42e+09),
           (-0.425, -7.52e+08),
           (-0.422, -3.27e+09),
           (-0.418, -1.51e+09),
           (-0.415, -4.64e+09),
           (-0.412, -2.05e+09),
           (-0.408, -1.76e+09),
           (-0.405, -3.88e+09),
           (-0.402, -3.18e+09),
           (-0.398, -1.42e+09),
           (-0.395, -3.79e+09),
           (-0.392, -2.50e+09),
           (-0.388, -1.92e+09),
           (-0.385, -2.12e+09),
           (-0.381, -3.33e+09),
           (-0.378, -3.91e+09),
           (-0.375, -3.19e+09),
           (-0.371, -3.93e+09),
           (-0.368, -4.31e+09),
           (-0.365, -2.02e+09),
           (-0.361, -3.02e+09),
           (-0.358, -4.02e+09),
           (-0.354, -1.94e+09),
           (-0.351, -8.97e+08),
           (-0.348, -2.45e+09),
           (-0.344, -2.07e+09),
           (-0.341, -4.50e+09),
           (-0.337, -3.31e+09),
           (-0.334, -4.11e+09),
           (-0.331, -2.44e+09),
           (-0.327, -4.11e+09),
           (-0.324, -3.67e+09),
           (-0.321, -2.53e+09),
           (-0.317, -2.97e+09),
           (-0.314, -3.12e+09),
           (-0.311, -2.18e+09),
           (-0.307, -3.40e+09),
           (-0.304, -4.04e+09),
