Bolide Detection Notification: 2008-193

At 14:35:28 UT on 11 Jul 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 1.7E10 watts/steradian, and total radiated flash
energy  5.2E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.297, -2.39e+09),
           (-0.294, -2.60e+09),
           (-0.290, -5.35e+09),
           (-0.287,  1.72e+09),
           (-0.284,  2.63e+09),
           (-0.280,  5.64e+08),
           (-0.277, -6.20e+09),
           (-0.273,  2.25e+09),
           (-0.270, -2.22e+09),
           (-0.267,  4.70e+09),
           (-0.263,  6.82e+09),
           (-0.260, -9.09e+08),
           (-0.256,  3.11e+09),
           (-0.253,  7.71e+09),
           (-0.250,  6.81e+08),
           (-0.246, -2.04e+09),
           (-0.243,  4.64e+09),
           (-0.240,  2.99e+09),
           (-0.236, -1.76e+09),
           (-0.233, -4.88e+09),
           (-0.230,  2.03e+09),
           (-0.226,  1.83e+09),
           (-0.223,  2.64e+08),
           (-0.219, -4.64e+09),
           (-0.216, -1.99e+09),
           (-0.213,  2.18e+08),
           (-0.209, -3.62e+09),
           (-0.206, -1.08e+09),
           (-0.202, -3.73e+09),
           (-0.199, -4.06e+09),
           (-0.196,  8.66e+07),
           (-0.192, -5.41e+09),
           (-0.189, -7.07e+06),
           (-0.186,  1.95e+09),
           (-0.182,  1.52e+09),
           (-0.179,  3.93e+08),
           (-0.176,  2.04e+09),
           (-0.172,  1.56e+09),
           (-0.169,  1.60e+09),
           (-0.165, -2.58e+09),
           (-0.162,  2.61e+09),
           (-0.159,  1.57e+08),
           (-0.155, -8.31e+08),
           (-0.152, -5.34e+09),
           (-0.148,  5.87e+09),
           (-0.145,  1.03e+09),
           (-0.142,  4.65e+09),
           (-0.138,  8.95e+09),
           (-0.135,  1.12e+09),
           (-0.132, -4.15e+09),
           (-0.128, -7.48e+08),
           (-0.125, -3.42e+09),
           (-0.122, -5.04e+09),
           (-0.118,  4.16e+08),
           (-0.115,  2.81e+09),
           (-0.111, -3.76e+08),
           (-0.108, -5.23e+08),
           (-0.105, -5.59e+09),
           (-0.101,  4.58e+08),
           (-0.098,  2.00e+09),
           (-0.094, -4.04e+09),
           (-0.091,  1.04e+09),
           (-0.088, -3.87e+09),
           (-0.084, -5.98e+08),
           (-0.081, -2.18e+09),
           (-0.078,  7.45e+08),
           (-0.074,  4.63e+08),
           (-0.071, -1.39e+08),
           (-0.068,  2.93e+09),
           (-0.064,  4.53e+09),
           (-0.061,  6.43e+09),
           (-0.057,  9.38e+09),
           (-0.054,  9.64e+09),
           (-0.051,  4.78e+09),
           (-0.047,  6.16e+09),
           (-0.044,  4.29e+09),
           (-0.040,  1.82e+09),
           (-0.037,  5.67e+09),
           (-0.034,  6.90e+09),
           (-0.030,  3.98e+09),
           (-0.027,  1.10e+10),
           (-0.024,  8.30e+09),
           (-0.020,  1.27e+10),
           (-0.017,  1.42e+10),
           (-0.014,  7.50e+09),
           (-0.010,  1.58e+10),
           (-0.007,  1.36e+10),
           (-0.003,  9.73e+09),
           ( 0.000,  1.50e+10),
           ( 0.003,  1.28e+10),
           ( 0.007,  4.76e+09),
           ( 0.010,  7.52e+09),
           ( 0.014,  7.84e+09),
           ( 0.017,  1.12e+10),
