Bolide Detection Notification: 2008-205

At 14:45:25 UT on 23 Jul 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 38.6N, Lon 68.0E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 3.3E10 watts/steradian, and total radiated flash
energy  1.21E11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.398,  1.50e+09),
           (-0.395,  2.29e+09),
           (-0.392,  8.94e+08),
           (-0.388,  5.57e+08),
           (-0.385,  4.77e+08),
           (-0.381,  2.43e+09),
           (-0.378,  3.75e+08),
           (-0.375, -2.00e+09),
           (-0.371,  1.68e+09),
           (-0.368,  8.78e+08),
           (-0.364, -1.10e+09),
           (-0.361, -7.06e+08),
           (-0.358,  9.29e+08),
           (-0.354, -4.91e+07),
           (-0.351, -4.27e+08),
           (-0.348, -1.83e+09),
           (-0.344,  1.51e+09),
           (-0.341,  2.61e+09),
           (-0.338,  3.41e+09),
           (-0.334, -8.96e+07),
           (-0.331, -2.71e+09),
           (-0.327,  5.70e+08),
           (-0.324,  3.82e+09),
           (-0.321,  1.87e+09),
           (-0.317,  9.06e+08),
           (-0.314,  2.41e+09),
           (-0.310, -8.78e+08),
           (-0.307,  1.24e+09),
           (-0.304,  2.99e+09),
           (-0.300,  4.87e+08),
           (-0.297,  1.70e+09),
           (-0.294, -2.69e+08),
           (-0.290,  2.36e+07),
           (-0.287, -7.48e+08),
           (-0.284, -2.78e+09),
           (-0.280, -2.10e+09),
           (-0.277,  1.20e+08),
           (-0.273, -2.00e+09),
           (-0.270, -7.72e+08),
           (-0.267,  1.24e+09),
           (-0.263, -3.43e+08),
           (-0.260, -5.78e+08),
           (-0.256, -1.59e+09),
           (-0.253, -1.97e+09),
           (-0.250,  8.66e+07),
           (-0.246,  1.62e+08),
           (-0.243,  5.83e+08),
           (-0.240,  4.99e+08),
           (-0.236, -2.84e+08),
           (-0.233,  3.31e+08),
           (-0.230,  2.66e+09),
           (-0.226,  1.99e+09),
           (-0.223, -2.56e+09),
           (-0.219, -1.48e+09),
           (-0.216, -2.43e+09),
           (-0.213, -2.65e+09),
           (-0.209, -3.63e+09),
           (-0.206, -3.02e+09),
           (-0.202, -1.21e+09),
           (-0.199, -1.72e+09),
           (-0.196, -2.14e+09),
           (-0.192, -2.89e+09),
           (-0.189, -2.11e+09),
           (-0.186, -1.78e+09),
           (-0.182, -3.51e+09),
           (-0.179, -2.50e+09),
           (-0.176, -3.56e+09),
           (-0.172, -2.54e+09),
           (-0.169,  1.69e+08),
           (-0.165,  6.42e+07),
           (-0.162,  2.92e+07),
           (-0.159, -9.46e+08),
           (-0.155, -3.21e+09),
           (-0.152, -1.13e+09),
           (-0.148, -2.47e+09),
           (-0.145, -3.55e+09),
           (-0.142, -3.03e+09),
           (-0.138, -2.87e+09),
           (-0.135, -3.13e+09),
           (-0.132, -5.99e+09),
           (-0.128, -2.71e+09),
           (-0.125, -4.85e+09),
           (-0.122, -3.40e+09),
           (-0.118, -3.74e+09),
           (-0.115, -4.40e+09),
           (-0.111, -3.70e+09),
           (-0.108, -5.13e+09),
           (-0.105, -3.68e+09),
           (-0.101, -1.87e+09),
           (-0.098,  5.47e+08),
           (-0.094, -2.11e+09),
           (-0.091, -2.30e+09),
           (-0.088, -3.77e+09),
           (-0.084, -3.28e+09),
           (-0.081, -4.62e+09),
           (-0.078, -1.41e+09),
           (-0.074, -2.28e+09),
           (-0.071, -2.72e+09),
           (-0.068, -2.31e+09),
           (-0.064, -4.04e+09),
           (-0.061, -3.80e+09),
           (-0.057, -2.01e+09),
           (-0.054, -2.58e+09),
           (-0.051, -4.30e+09),
           (-0.047, -4.05e+09),
           (-0.044, -1.97e+09),
           (-0.040, -2.75e+09),
           (-0.037, -1.15e+09),
           (-0.034, -1.55e+09),
           (-0.030, -1.50e+09),
           (-0.027, -2.56e+08),
           (-0.024,  1.70e+09),
           (-0.020,  1.49e+09),
           (-0.017,  1.91e+09),
           (-0.014,  8.14e+08),
           (-0.010,  2.87e+09),
           (-0.007,  4.65e+09),
           (-0.003,  6.34e+09),
           (-0.000,  8.85e+09),
           ( 0.003,  1.07e+10),
           ( 0.007,  1.14e+10),
           ( 0.010,  8.69e+09),
           ( 0.014,  1.06e+10),
           ( 0.017,  1.42e+10),
           ( 0.020,  1.39e+10),
           ( 0.024,  1.38e+10),
           ( 0.027,  1.77e+10),
           ( 0.030,  1.98e+10),
           ( 0.034,  2.01e+10),
           ( 0.037,  2.24e+10),
           ( 0.040,  2.18e+10),
           ( 0.044,  2.06e+10),
           ( 0.047,  2.49e+10),
           ( 0.051,  2.62e+10),
           ( 0.054,  2.96e+10),
           ( 0.057,  3.39e+10),
           ( 0.061,  3.84e+10),
           ( 0.064,  4.22e+10),
           ( 0.068,  4.26e+10),
           ( 0.071,  4.45e+10),
           ( 0.074,  4.59e+10),
           ( 0.078,  4.94e+10),
           ( 0.081,  5.41e+10),
           ( 0.084,  5.44e+10),
           ( 0.088,  5.86e+10),
           ( 0.091,  6.33e+10),
           ( 0.094,  6.93e+10),
           ( 0.098,  7.42e+10),
           ( 0.101,  7.74e+10),
           ( 0.105,  8.35e+10),
           ( 0.108,  8.45e+10),
           ( 0.111,  8.55e+10),
           ( 0.115,  8.62e+10),
           ( 0.118,  9.13e+10),
           ( 0.122,  9.70e+10),
           ( 0.125,  1.01e+11),
