Bolide Detection Notification: 2008-225

At 11:44:10 UT on 12 Aug 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 11.6S, Lon 175.0W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 6.9E9 watts/steradian, and total radiated flash
energy  2.0E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.597,  8.61e+08),
           (-0.594,  2.65e+08),
           (-0.591,  5.99e+08),
           (-0.587,  1.44e+09),
           (-0.584,  1.72e+09),
           (-0.580,  1.16e+09),
           (-0.577,  1.94e+09),
           (-0.574,  3.24e+09),
           (-0.570,  2.02e+09),
           (-0.567,  2.42e+09),
           (-0.564,  2.02e+09),
           (-0.560,  6.06e+08),
           (-0.557,  4.57e+08),
           (-0.554, -3.64e+08),
           (-0.550, -8.81e+08),
           (-0.547, -3.69e+08),
           (-0.543,  1.35e+08),
           (-0.540,  1.98e+08),
           (-0.537,  8.99e+08),
           (-0.533,  1.89e+09),
           (-0.530,  2.06e+09),
           (-0.526,  1.16e+09),
           (-0.523,  5.53e+08),
           (-0.520,  5.15e+08),
           (-0.516,  2.22e+08),
           (-0.513,  1.73e+08),
           (-0.510, -6.96e+08),
           (-0.506,  1.55e+08),
           (-0.503,  2.49e+08),
           (-0.500, -2.52e+08),
           (-0.496, -1.02e+09),
           (-0.493,  2.20e+08),
           (-0.489,  1.02e+09),
           (-0.486,  1.68e+09),
           (-0.483,  2.50e+09),
           (-0.479,  1.20e+09),
           (-0.476,  1.58e+09),
           (-0.472,  7.23e+08),
           (-0.469,  2.66e+08),
           (-0.466, -8.05e+08),
           (-0.462, -7.46e+08),
           (-0.459, -2.40e+08),
           (-0.456, -5.87e+07),
           (-0.452, -9.89e+07),
           (-0.449, -9.05e+08),
           (-0.446, -8.39e+08),
           (-0.442,  1.44e+08),
           (-0.439,  5.01e+08),
           (-0.435, -2.88e+08),
           (-0.432, -7.02e+08),
           (-0.429, -5.90e+08),
           (-0.425, -1.11e+09),
           (-0.422, -1.68e+08),
           (-0.418, -2.34e+08),
           (-0.415, -5.81e+08),
           (-0.412, -5.62e+08),
           (-0.408, -7.27e+07),
           (-0.405,  6.75e+07),
           (-0.402,  3.64e+08),
           (-0.398,  1.02e+09),
           (-0.395,  1.22e+09),
           (-0.392,  5.48e+08),
           (-0.388,  9.57e+08),
           (-0.385,  6.29e+08),
           (-0.381, -3.63e+08),
           (-0.378, -5.36e+08),
           (-0.375,  3.19e+07),
           (-0.371, -7.36e+08),
           (-0.368, -8.84e+08),
           (-0.364, -5.57e+08),
           (-0.361, -1.97e+09),
           (-0.358, -2.16e+09),
           (-0.354, -7.28e+08),
           (-0.351,  8.20e+08),
           (-0.348,  8.95e+07),
           (-0.344, -4.89e+07),
           (-0.341, -6.67e+07),
           (-0.338, -3.84e+08),
           (-0.334,  2.57e+08),
           (-0.331,  2.53e+08),
           (-0.327,  1.17e+09),
           (-0.324, -5.47e+08),
           (-0.321, -6.28e+08),
           (-0.317, -1.02e+09),
           (-0.314, -6.11e+08),
           (-0.310, -1.22e+09),
           (-0.307, -2.30e+09),
           (-0.304, -7.21e+08),
           (-0.300, -3.20e+08),
           (-0.297,  7.27e+08),
           (-0.294,  9.57e+08),
           (-0.290,  6.74e+08),
           (-0.287,  5.13e+08),
           (-0.284,  7.92e+08),
