Bolide Detection Notification: 2008-229

At 14:40:24 UT on 16 Aug 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 11.3N, Lon 97.2E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 4.7E10 watts/steradian, and total radiated flash
energy  1.31E11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.297, -2.92e+08),
           (-0.294, -2.99e+08),
           (-0.290,  8.83e+08),
           (-0.287,  1.65e+09),
           (-0.284,  5.90e+08),
           (-0.280,  9.11e+06),
           (-0.277,  6.07e+08),
           (-0.273,  1.30e+09),
           (-0.270,  2.43e+08),
           (-0.267, -6.52e+08),
           (-0.263,  5.62e+08),
           (-0.260,  2.79e+09),
           (-0.256,  3.05e+09),
           (-0.253, -1.89e+07),
           (-0.250, -8.48e+08),
           (-0.246, -1.62e+08),
           (-0.243, -9.38e+08),
           (-0.240,  3.59e+08),
           (-0.236, -1.45e+09),
           (-0.233, -4.63e+09),
           (-0.230, -3.39e+09),
           (-0.226, -2.40e+09),
           (-0.223, -9.84e+08),
           (-0.219, -2.26e+09),
           (-0.216, -1.25e+09),
           (-0.213, -2.53e+08),
           (-0.209, -1.95e+09),
           (-0.206, -2.70e+09),
           (-0.202, -1.67e+09),
           (-0.199, -1.27e+09),
           (-0.196, -9.31e+08),
           (-0.192,  1.76e+09),
           (-0.189,  3.62e+09),
           (-0.186,  1.76e+09),
           (-0.182,  1.64e+09),
           (-0.179,  3.24e+09),
           (-0.176,  2.84e+09),
           (-0.172,  6.66e+08),
           (-0.169,  8.59e+08),
           (-0.165,  1.24e+09),
           (-0.162,  1.94e+09),
           (-0.159,  2.09e+09),
           (-0.155,  1.73e+09),
           (-0.152,  5.79e+08),
           (-0.148,  2.54e+08),
           (-0.145, -1.58e+09),
           (-0.142,  5.06e+08),
           (-0.138,  7.19e+08),
           (-0.135,  1.47e+09),
           (-0.132, -5.26e+08),
           (-0.128,  4.74e+08),
           (-0.125,  3.38e+08),
           (-0.122,  9.50e+08),
           (-0.118,  3.97e+08),
           (-0.115,  5.27e+08),
           (-0.111,  2.26e+08),
           (-0.108,  9.50e+08),
           (-0.105,  5.06e+08),
           (-0.101,  9.22e+08),
           (-0.098, -7.99e+08),
           (-0.094, -9.59e+08),
           (-0.091, -8.37e+08),
           (-0.088, -1.19e+09),
           (-0.084, -2.57e+09),
           (-0.081, -2.37e+09),
           (-0.078, -2.20e+09),
           (-0.074, -2.17e+09),
           (-0.071,  1.66e+08),
           (-0.068,  2.39e+09),
           (-0.064,  2.34e+09),
           (-0.061,  2.87e+09),
