Bolide Detection Notification: 2008-253

At 09:49:41 UT on 09 Sep 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 1.9E10 watts/steradian, and total radiated flash
energy  5.9E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.499,  2.38e+09),
           (-0.496,  1.62e+09),
           (-0.493, -2.86e+08),
           (-0.489, -4.89e+08),
           (-0.486,  1.02e+09),
           (-0.483,  1.04e+09),
           (-0.479,  4.31e+08),
           (-0.476, -2.26e+08),
           (-0.473,  8.02e+08),
           (-0.469,  2.82e+08),
           (-0.466,  8.96e+08),
           (-0.462,  3.60e+09),
           (-0.459,  2.24e+09),
           (-0.456,  6.94e+08),
           (-0.452,  1.20e+09),
           (-0.449,  1.02e+09),
           (-0.445,  3.07e+08),
           (-0.442, -4.22e+08),
           (-0.439,  1.11e+09),
           (-0.435,  5.28e+08),
           (-0.432,  1.51e+09),
           (-0.429,  3.74e+09),
           (-0.425,  4.21e+09),
           (-0.422,  7.77e+09),
           (-0.419,  6.59e+09),
           (-0.415,  4.68e+09),
           (-0.412,  5.12e+09),
           (-0.408,  2.47e+09),
           (-0.405,  3.47e+09),
           (-0.402,  5.45e+09),
           (-0.398,  4.00e+09),
           (-0.395,  1.36e+09),
           (-0.391,  3.75e+09),
           (-0.388,  2.28e+09),
           (-0.385,  2.05e+09),
           (-0.381,  2.50e+09),
           (-0.378,  2.14e+09),
           (-0.375,  1.85e+09),
           (-0.371,  1.23e+09),
           (-0.368,  2.06e+09),
           (-0.365,  3.11e+09),
           (-0.361,  1.08e+09),
           (-0.358,  1.17e+09),
           (-0.354,  4.44e+08),
           (-0.351, -1.63e+09),
           (-0.348, -1.26e+09),
           (-0.344,  8.86e+08),
           (-0.341,  6.38e+08),
           (-0.337, -7.35e+08),
           (-0.334, -5.41e+08),
           (-0.331,  3.03e+08),
           (-0.327,  1.09e+09),
           (-0.324,  1.10e+09),
           (-0.321,  2.09e+09),
           (-0.317,  2.69e+09),
           (-0.314,  4.80e+09),
           (-0.311,  5.69e+09),
           (-0.307,  5.43e+09),
           (-0.304,  7.88e+09),
           (-0.300,  5.68e+09),
           (-0.297,  5.50e+09),
           (-0.294,  5.72e+09),
           (-0.290,  5.54e+09),
           (-0.287,  6.42e+09),
           (-0.283,  7.91e+09),
           (-0.280,  7.79e+09),
           (-0.277,  5.80e+09),
           (-0.273,  6.15e+09),
           (-0.270,  9.04e+09),
           (-0.267,  5.42e+09),
           (-0.263,  4.79e+09),
           (-0.260,  3.12e+09),
           (-0.257,  2.23e+09),
           (-0.253,  1.66e+09),
           (-0.250,  1.01e+09),
           (-0.246,  1.10e+09),
           (-0.243,  9.18e+08),
           (-0.240,  2.79e+09),
           (-0.236,  1.75e+09),
           (-0.233,  2.81e+09),
           (-0.229,  3.78e+09),
           (-0.226,  2.07e+09),
           (-0.223,  3.23e+09),
           (-0.219,  4.16e+09),
           (-0.216,  4.91e+09),
           (-0.213,  3.60e+09),
           (-0.209,  2.16e+09),
           (-0.206,  2.16e+09),
           (-0.203,  3.27e+09),
           (-0.199,  3.50e+09),
           (-0.196,  3.32e+09),
           (-0.192,  1.27e+09),
           (-0.189,  8.54e+08),
           (-0.186,  1.61e+09),
           (-0.182,  3.08e+09),
           (-0.179,  4.41e+09),
           (-0.175,  3.90e+09),
           (-0.172,  2.28e+09),
           (-0.169,  2.88e+09),
           (-0.165,  4.96e+09),
           (-0.162,  5.15e+09),
           (-0.159,  5.25e+09),
           (-0.155,  3.69e+09),
           (-0.152,  4.33e+09),
           (-0.149,  4.43e+09),
           (-0.145,  5.03e+09),
           (-0.142,  5.87e+09),
           (-0.138,  4.56e+09),
           (-0.135,  4.89e+09),
           (-0.132,  4.19e+09),
           (-0.128,  2.41e+09),
           (-0.125,  2.30e+09),
           (-0.121,  3.62e+09),
           (-0.118,  2.97e+09),
           (-0.115,  3.93e+09),
           (-0.111,  4.84e+09),
           (-0.108,  3.86e+09),
           (-0.105,  1.17e+09),
           (-0.101,  2.19e+09),
           (-0.098,  3.14e+09),
           (-0.095,  2.84e+09),
           (-0.091,  1.42e+09),
           (-0.088,  6.41e+08),
           (-0.084, -4.55e+08),
           (-0.081, -7.78e+08),
           (-0.078, -1.53e+09),
           (-0.074,  1.34e+09),
           (-0.071,  1.55e+09),
           (-0.067, -1.90e+09),
           (-0.064,  1.28e+08),
           (-0.061,  2.78e+09),
           (-0.057,  1.28e+09),
           (-0.054, -5.95e+08),
           (-0.051,  5.17e+08),
           (-0.047,  1.49e+09),
           (-0.044,  1.67e+09),
           (-0.041,  1.54e+09),
           (-0.037,  5.38e+08),
           (-0.034,  1.52e+09),
           (-0.030,  5.03e+08),
           (-0.027,  2.07e+09),
           (-0.024,  4.06e+09),
           (-0.020,  5.22e+09),
           (-0.017,  8.02e+09),
           (-0.013,  9.70e+09),
           (-0.010,  1.05e+10),
           (-0.007,  1.37e+10),
           (-0.003,  1.57e+10),
           (-0.000,  1.74e+10),
           ( 0.003,  2.09e+10),
           ( 0.007,  2.65e+10),
           ( 0.010,  3.13e+10),
           ( 0.013,  3.31e+10),
           ( 0.017,  3.93e+10),
           ( 0.020,  4.75e+10),
           ( 0.024,  5.33e+10),
           ( 0.027,  5.79e+10),
           ( 0.030,  6.30e+10),
           ( 0.034,  6.59e+10),
           ( 0.037,  7.02e+10),
           ( 0.041,  7.34e+10),
           ( 0.044,  7.56e+10),
           ( 0.047,  8.04e+10),
           ( 0.051,  7.97e+10),
           ( 0.054,  7.56e+10),
           ( 0.057,  7.16e+10),
           ( 0.061,  6.82e+10),
           ( 0.064,  6.37e+10),
           ( 0.067,  5.72e+10),
           ( 0.071,  5.30e+10),
           ( 0.074,  5.09e+10),
           ( 0.078,  4.87e+10),
           ( 0.081,  4.68e+10),
           ( 0.084,  4.44e+10),
           ( 0.088,  4.30e+10),
           ( 0.091,  3.94e+10),
           ( 0.095,  3.83e+10),
           ( 0.098,  3.90e+10),
           ( 0.101,  3.90e+10),
           ( 0.105,  4.29e+10),
           ( 0.108,  4.33e+10),
           ( 0.111,  4.16e+10),
           ( 0.115,  4.07e+10),
           ( 0.118,  3.91e+10),
           ( 0.121,  3.68e+10),
           ( 0.125,  3.76e+10),
           ( 0.128,  4.03e+10),
           ( 0.132,  4.31e+10),
           ( 0.135,  4.28e+10),
           ( 0.138,  3.87e+10),
           ( 0.142,  3.51e+10),
           ( 0.145,  3.55e+10),
           ( 0.149,  3.63e+10),
           ( 0.152,  3.72e+10),
           ( 0.155,  3.55e+10),
           ( 0.159,  3.39e+10),
           ( 0.162,  3.25e+10),
           ( 0.165,  3.22e+10),
           ( 0.169,  3.13e+10),
           ( 0.172,  3.20e+10),
           ( 0.175,  3.27e+10),
           ( 0.179,  3.16e+10),
           ( 0.182,  3.04e+10),
           ( 0.186,  3.23e+10),
           ( 0.189,  3.25e+10),
           ( 0.192,  3.27e+10),
           ( 0.196,  3.07e+10),
           ( 0.199,  3.03e+10),
