Bolide Detection Notification: 2008-281

At 02:45:45 UT on 07 Oct 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 20.9N, Lon 31.4E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 2.9E10 watts/steradian, and total radiated flash
energy  3.95E11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.499,  3.31e+09),
           (-1.495,  3.09e+09),
           (-1.492,  1.88e+09),
           (-1.488,  9.57e+08),
           (-1.485,  3.41e+09),
           (-1.482,  8.27e+08),
           (-1.478,  1.28e+09),
           (-1.475,  2.62e+09),
           (-1.471,  1.88e+08),
           (-1.468,  1.09e+09),
           (-1.465,  5.76e+07),
           (-1.461, -1.57e+09),
           (-1.458,  1.04e+09),
           (-1.455,  3.06e+09),
           (-1.451,  3.05e+09),
           (-1.448,  3.11e+09),
           (-1.445,  2.13e+09),
           (-1.441,  3.33e+09),
           (-1.438, -6.82e+07),
           (-1.434, -2.66e+09),
           (-1.431, -1.02e+09),
           (-1.428, -4.43e+08),
           (-1.424, -1.23e+09),
           (-1.421, -1.03e+09),
           (-1.417,  1.37e+08),
           (-1.414,  1.44e+09),
           (-1.411, -1.79e+07),
           (-1.407,  5.96e+08),
           (-1.404,  1.43e+08),
           (-1.401, -4.71e+08),
           (-1.397,  4.88e+08),
           (-1.394,  5.22e+08),
           (-1.391, -6.39e+08),
           (-1.387, -5.06e+08),
           (-1.384, -1.15e+09),
           (-1.380, -2.69e+09),
           (-1.377, -4.93e+09),
           (-1.374, -4.60e+09),
           (-1.370, -2.63e+09),
           (-1.367, -2.06e+09),
           (-1.364, -2.09e+09),
           (-1.360,  3.53e+08),
           (-1.357, -4.65e+08),
           (-1.353, -2.84e+08),
           (-1.350, -9.06e+07),
           (-1.347,  1.89e+08),
           (-1.343,  1.27e+09),
           (-1.340,  1.03e+09),
           (-1.336, -3.14e+08),
           (-1.333, -1.30e+09),
           (-1.330, -2.67e+09),
           (-1.326, -2.11e+09),
           (-1.323, -3.14e+09),
           (-1.320, -1.94e+09),
           (-1.316, -2.52e+09),
           (-1.313, -1.98e+09),
           (-1.310,  7.88e+08),
           (-1.306,  2.65e+09),
           (-1.303,  3.20e+09),
           (-1.299,  3.61e+09),
           (-1.296,  3.35e+09),
           (-1.293,  9.23e+08),
           (-1.289,  8.14e+07),
           (-1.286, -1.11e+09),
           (-1.282, -1.31e+09),
           (-1.279,  7.58e+07),
           (-1.276,  1.24e+09),
           (-1.272,  6.45e+08),
           (-1.269,  2.37e+09),
           (-1.266,  3.24e+09),
           (-1.262,  1.87e+09),
           (-1.259, -1.76e+08),
           (-1.256,  2.65e+08),
           (-1.252,  2.37e+09),
           (-1.249,  1.65e+09),
           (-1.245,  1.68e+09),
           (-1.242,  7.07e+08),
           (-1.239,  1.68e+06),
           (-1.235,  1.92e+09),
           (-1.232,  2.18e+09),
           (-1.229, -1.86e+08),
           (-1.225,  2.88e+08),
           (-1.222,  5.88e+08),
           (-1.218,  5.23e+08),
           (-1.215,  7.02e+08),
           (-1.212,  2.99e+09),
           (-1.208,  2.46e+09),
           (-1.205,  5.23e+08),
           (-1.201, -6.13e+07),
           (-1.198,  2.82e+09),
           (-1.195,  2.06e+09),
           (-1.191,  2.14e+09),
           (-1.188,  1.80e+09),
           (-1.185, -4.32e+08),
           (-1.181,  2.40e+09),
           (-1.178,  3.32e+09),
           (-1.175,  4.24e+08),
           (-1.171, -1.90e+09),
           (-1.168, -1.80e+08),
           (-1.164,  1.30e+09),
           (-1.161,  7.95e+08),
           (-1.158,  6.60e+07),
           (-1.154, -1.27e+09),
           (-1.151, -8.03e+08),
           (-1.147, -4.63e+08),
           (-1.144, -4.70e+08),
           (-1.141, -1.05e+09),
           (-1.137, -7.31e+08),
           (-1.134, -2.56e+08),
           (-1.131,  8.91e+08),
           (-1.127, -2.05e+08),
           (-1.124, -1.00e+08),
           (-1.121, -6.27e+07),
           (-1.117,  1.32e+09),
           (-1.114,  7.88e+08),
           (-1.110,  5.92e+08),
           (-1.107, -5.85e+07),
           (-1.104,  6.83e+08),
           (-1.100,  1.14e+09),
           (-1.097,  1.15e+09),
           (-1.094, -3.19e+07),
           (-1.090, -1.54e+09),
           (-1.087, -3.91e+08),
           (-1.083,  3.49e+08),
           (-1.080,  2.82e+09),
           (-1.077,  2.99e+09),
           (-1.073,  2.43e+09),
           (-1.070,  4.22e+09),
           (-1.066,  4.32e+09),
           (-1.063,  5.75e+09),
           (-1.060,  4.57e+09),
           (-1.056,  2.03e+09),
           (-1.053,  2.75e+09),
           (-1.050,  2.56e+09),
           (-1.046,  1.91e+09),
           (-1.043,  3.12e+09),
           (-1.040,  3.44e+09),
           (-1.036,  4.25e+09),
           (-1.033,  2.36e+09),
           (-1.029,  3.52e+09),
           (-1.026,  5.69e+09),
           (-1.023,  3.19e+09),
           (-1.019,  2.88e+09),
           (-1.016,  3.62e+09),
           (-1.012,  3.58e+09),
           (-1.009,  4.20e+09),
           (-1.006,  2.63e+09),
           (-1.002,  1.95e+09),
           (-0.999,  1.19e+08),
           (-0.996,  2.36e+09),
           (-0.992,  2.56e+09),
           (-0.989,  2.86e+09),
           (-0.986,  3.36e+09),
           (-0.982,  1.18e+09),
           (-0.979,  6.41e+08),
           (-0.975,  2.45e+09),
           (-0.972,  1.51e+09),
           (-0.969,  2.86e+09),
           (-0.965,  2.15e+09),
           (-0.962,  1.71e+08),
           (-0.959,  2.56e+09),
           (-0.955,  4.37e+09),
           (-0.952,  3.95e+09),
           (-0.948,  2.24e+09),
           (-0.945,  3.11e+09),
           (-0.942,  1.10e+09),
           (-0.938,  7.78e+08),
           (-0.935,  2.19e+09),
           (-0.931,  1.56e+09),
           (-0.928, -9.20e+07),
           (-0.925,  1.04e+09),
           (-0.921,  2.80e+09),
           (-0.918,  2.14e+08),
