Bolide Detection Notification: 2008-284

At 09:34:18 UT on 10 Oct 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 57.3S, Lon 17.0E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 5.0E10 watts/steradian, and total radiated flash
energy  1.8E11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.699, -9.79e+08),
           (-0.695,  1.78e+09),
           (-0.692,  2.65e+08),
           (-0.688,  5.91e+07),
           (-0.685,  2.02e+08),
           (-0.682,  5.38e+08),
           (-0.678,  1.23e+09),
           (-0.675, -1.78e+07),
           (-0.672, -1.30e+09),
           (-0.668, -2.08e+09),
           (-0.665, -1.78e+09),
           (-0.662, -1.61e+09),
           (-0.658, -3.95e+09),
           (-0.655, -2.29e+09),
           (-0.651, -5.42e+08),
           (-0.648, -1.74e+09),
           (-0.645, -1.59e+09),
           (-0.641,  1.33e+09),
           (-0.638,  8.77e+08),
           (-0.634,  2.06e+08),
           (-0.631,  1.42e+09),
           (-0.628,  8.28e+08),
           (-0.624, -5.70e+08),
           (-0.621, -3.22e+08),
           (-0.618,  8.25e+08),
           (-0.614,  4.75e+08),
           (-0.611, -9.27e+08),
           (-0.608,  9.58e+08),
           (-0.604,  1.92e+09),
           (-0.601, -6.02e+08),
           (-0.597, -2.78e+09),
           (-0.594, -9.76e+08),
           (-0.591,  2.14e+09),
           (-0.587,  1.08e+09),
           (-0.584, -1.62e+09),
           (-0.580, -5.63e+08),
           (-0.577,  6.85e+08),
           (-0.574,  9.96e+08),
           (-0.570,  1.64e+09),
           (-0.567,  2.84e+09),
           (-0.564,  4.98e+09),
           (-0.560,  5.11e+09),
           (-0.557,  3.94e+09),
           (-0.554,  4.15e+09),
           (-0.550,  4.84e+09),
           (-0.547,  5.65e+09),
           (-0.543,  5.43e+09),
           (-0.540,  5.73e+09),
           (-0.537,  4.99e+09),
           (-0.533,  3.25e+09),
           (-0.530,  3.14e+09),
           (-0.526,  3.65e+09),
           (-0.523,  2.71e+09),
           (-0.520,  2.08e+09),
           (-0.516,  3.09e+09),
           (-0.513,  5.27e+09),
           (-0.510,  5.73e+09),
           (-0.506,  6.49e+09),
           (-0.503,  6.07e+09),
           (-0.500,  6.74e+09),
           (-0.496,  6.75e+09),
           (-0.493,  3.92e+09),
           (-0.489,  3.57e+09),
           (-0.486,  3.62e+09),
           (-0.483,  5.87e+08),
           (-0.479,  1.01e+09),
           (-0.476,  9.51e+08),
           (-0.472,  1.10e+09),
           (-0.469,  7.90e+08),
           (-0.466,  1.17e+09),
           (-0.462,  3.39e+08),
           (-0.459,  1.12e+09),
           (-0.456,  1.94e+09),
           (-0.452,  5.55e+09),
           (-0.449,  5.41e+09),
           (-0.446,  4.95e+09),
           (-0.442,  4.88e+09),
           (-0.439,  4.97e+09),
           (-0.435,  3.89e+09),
           (-0.432,  3.19e+09),
           (-0.429,  5.42e+09),
           (-0.425,  3.91e+09),
           (-0.422,  3.43e+09),
           (-0.418,  6.04e+09),
           (-0.415,  6.30e+09),
           (-0.412,  6.60e+09),
           (-0.408,  6.97e+09),
           (-0.405,  5.74e+09),
           (-0.402,  6.47e+09),
           (-0.398,  5.86e+09),
           (-0.395,  5.04e+09),
           (-0.392,  6.34e+09),
           (-0.388,  5.37e+09),
           (-0.385,  6.27e+09),
           (-0.381,  6.26e+09),
           (-0.378,  6.29e+09),
           (-0.375,  8.43e+09),
           (-0.371,  7.31e+09),
           (-0.368,  4.03e+09),
           (-0.364,  2.75e+09),
           (-0.361,  4.52e+09),
           (-0.358,  8.37e+09),
           (-0.354,  9.44e+09),
           (-0.351,  1.15e+10),
           (-0.348,  8.53e+09),
           (-0.344,  6.67e+09),
           (-0.341,  5.24e+09),
           (-0.338,  6.05e+09),
           (-0.334,  4.87e+09),
           (-0.331,  5.56e+09),
           (-0.327,  5.17e+09),
           (-0.324,  4.82e+09),
           (-0.321,  5.34e+09),
           (-0.317,  6.43e+09),
           (-0.314,  7.71e+09),
           (-0.310,  5.32e+09),
           (-0.307,  4.16e+09),
           (-0.304,  4.38e+09),
           (-0.300,  5.42e+09),
           (-0.297,  8.57e+09),
           (-0.294,  9.46e+09),
           (-0.290,  9.25e+09),
           (-0.287,  6.38e+09),
           (-0.284,  6.16e+09),
           (-0.280,  8.08e+09),
           (-0.277,  8.33e+09),
           (-0.273,  9.32e+09),
           (-0.270,  6.24e+09),
           (-0.267,  6.04e+09),
           (-0.263,  7.23e+09),
           (-0.260,  8.80e+09),
           (-0.256,  8.17e+09),
           (-0.253,  9.89e+09),
           (-0.250,  1.23e+10),
           (-0.246,  1.18e+10),
           (-0.243,  1.12e+10),
           (-0.240,  1.03e+10),
           (-0.236,  1.03e+10),
           (-0.233,  1.22e+10),
           (-0.230,  1.38e+10),
           (-0.226,  1.35e+10),
           (-0.223,  1.25e+10),
           (-0.219,  1.06e+10),
           (-0.216,  1.07e+10),
           (-0.213,  9.55e+09),
           (-0.209,  9.44e+09),
           (-0.206,  7.44e+09),
           (-0.202,  6.16e+09),
           (-0.199,  6.85e+09),
           (-0.196,  7.57e+09),
           (-0.192,  8.64e+09),
           (-0.189,  9.36e+09),
           (-0.186,  6.62e+09),
           (-0.182,  7.42e+09),
           (-0.179,  7.21e+09),
           (-0.176,  5.56e+09),
           (-0.172,  4.16e+09),
           (-0.169,  4.67e+09),
           (-0.165,  6.82e+09),
           (-0.162,  5.15e+09),
           (-0.159,  7.29e+09),
           (-0.155,  8.88e+09),
           (-0.152,  9.59e+09),
           (-0.148,  9.78e+09),
           (-0.145,  9.37e+09),
           (-0.142,  9.94e+09),
           (-0.138,  1.30e+10),
           (-0.135,  1.51e+10),
           (-0.132,  1.49e+10),
           (-0.128,  1.48e+10),
           (-0.125,  1.51e+10),
           (-0.122,  1.37e+10),
           (-0.118,  1.07e+10),
           (-0.115,  9.86e+09),
           (-0.111,  1.01e+10),
           (-0.108,  8.81e+09),
           (-0.105,  7.85e+09),
           (-0.101,  6.48e+09),
           (-0.098,  9.01e+09),
           (-0.094,  1.07e+10),
           (-0.091,  9.56e+09),
           (-0.088,  8.50e+09),
           (-0.084,  8.61e+09),
           (-0.081,  1.05e+10),
           (-0.078,  9.34e+09),
           (-0.074,  6.32e+09),
           (-0.071,  8.74e+09),
           (-0.068,  9.84e+09),
           (-0.064,  1.16e+10),
           (-0.061,  1.33e+10),
           (-0.057,  1.39e+10),
           (-0.054,  1.48e+10),
           (-0.051,  1.32e+10),
           (-0.047,  1.25e+10),
           (-0.044,  1.50e+10),
           (-0.040,  1.70e+10),
           (-0.037,  1.93e+10),
           (-0.034,  1.80e+10),
           (-0.030,  1.91e+10),
           (-0.027,  2.04e+10),
           (-0.024,  1.71e+10),
           (-0.020,  1.45e+10),
           (-0.017,  1.61e+10),
           (-0.014,  1.57e+10),
           (-0.010,  1.63e+10),
           (-0.007,  1.93e+10),
           (-0.003,  2.24e+10),
           (-0.000,  2.40e+10),
           ( 0.003,  2.76e+10),
           ( 0.007,  3.71e+10),
           ( 0.010,  4.33e+10),
           ( 0.014,  4.82e+10),
           ( 0.017,  5.62e+10),
           ( 0.020,  6.87e+10),
           ( 0.024,  7.75e+10),
           ( 0.027,  8.48e+10),
           ( 0.030,  9.21e+10),
           ( 0.034,  9.47e+10),
           ( 0.037,  9.56e+10),
           ( 0.040,  9.67e+10),
           ( 0.044,  9.66e+10),
           ( 0.047,  9.52e+10),
           ( 0.051,  9.32e+10),
           ( 0.054,  9.32e+10),
           ( 0.057,  9.59e+10),
           ( 0.061,  9.46e+10),
           ( 0.064,  9.24e+10),
           ( 0.068,  9.25e+10),
           ( 0.071,  9.06e+10),
           ( 0.074,  8.94e+10),
           ( 0.078,  9.11e+10),
           ( 0.081,  9.16e+10),
           ( 0.084,  9.08e+10),
           ( 0.088,  9.25e+10),
           ( 0.091,  9.64e+10),
           ( 0.094,  1.00e+11),
           ( 0.098,  1.04e+11),
           ( 0.101,  1.12e+11),
           ( 0.105,  1.21e+11),
           ( 0.108,  1.30e+11),
           ( 0.111,  1.39e+11),
           ( 0.115,  1.49e+11),
           ( 0.118,  1.59e+11),
           ( 0.122,  1.68e+11),
           ( 0.125,  1.73e+11),
           ( 0.128,  1.75e+11),
           ( 0.132,  1.76e+11),
           ( 0.135,  1.77e+11),
           ( 0.138,  1.83e+11),
           ( 0.142,  1.90e+11),
           ( 0.145,  1.96e+11),
           ( 0.148,  2.02e+11),
           ( 0.152,  2.05e+11),
           ( 0.155,  2.05e+11),
           ( 0.159,  2.05e+11),
           ( 0.162,  2.03e+11),
           ( 0.165,  1.97e+11),
           ( 0.169,  1.89e+11),
           ( 0.172,  1.82e+11),
           ( 0.176,  1.76e+11),
           ( 0.179,  1.73e+11),
           ( 0.182,  1.68e+11),
           ( 0.186,  1.60e+11),
           ( 0.189,  1.51e+11),
           ( 0.192,  1.45e+11),
           ( 0.196,  1.39e+11),
           ( 0.199,  1.33e+11),
           ( 0.202,  1.26e+11),
           ( 0.206,  1.22e+11),
           ( 0.209,  1.15e+11),
           ( 0.213,  1.07e+11),
           ( 0.216,  1.04e+11),
           ( 0.219,  9.60e+10),
           ( 0.223,  8.91e+10),
           ( 0.226,  8.22e+10),
           ( 0.230,  7.75e+10),
           ( 0.233,  7.28e+10),
           ( 0.236,  7.03e+10),
           ( 0.240,  6.77e+10),
           ( 0.243,  6.44e+10),
           ( 0.246,  6.28e+10),
           ( 0.250,  6.21e+10),
           ( 0.253,  5.77e+10),
           ( 0.256,  5.45e+10),
           ( 0.260,  4.91e+10),
           ( 0.263,  4.70e+10),
           ( 0.267,  4.56e+10),
           ( 0.270,  4.30e+10),
           ( 0.273,  4.32e+10),
           ( 0.277,  4.44e+10),
           ( 0.280,  4.65e+10),
           ( 0.284,  5.18e+10),
           ( 0.287,  5.95e+10),
           ( 0.290,  6.71e+10),
           ( 0.294,  7.92e+10),
           ( 0.297,  9.33e+10),
           ( 0.300,  1.11e+11),
           ( 0.304,  1.23e+11),
           ( 0.307,  1.36e+11),
           ( 0.310,  1.46e+11),
           ( 0.314,  1.51e+11),
           ( 0.317,  1.61e+11),
           ( 0.321,  1.76e+11),
           ( 0.324,  1.92e+11),
           ( 0.327,  2.00e+11),
           ( 0.331,  2.04e+11),
           ( 0.334,  2.12e+11),
           ( 0.338,  2.11e+11),
           ( 0.341,  2.06e+11),
           ( 0.344,  2.02e+11),
           ( 0.348,  1.94e+11),
           ( 0.351,  1.92e+11),
           ( 0.354,  1.90e+11),
           ( 0.358,  1.89e+11),
           ( 0.361,  1.87e+11),
           ( 0.364,  1.83e+11),
           ( 0.368,  1.77e+11),
           ( 0.371,  1.72e+11),
           ( 0.375,  1.67e+11),
           ( 0.378,  1.61e+11),
           ( 0.381,  1.57e+11),
           ( 0.385,  1.55e+11),
           ( 0.388,  1.52e+11),
           ( 0.392,  1.45e+11),
           ( 0.395,  1.38e+11),
           ( 0.398,  1.34e+11),
           ( 0.402,  1.28e+11),
           ( 0.405,  1.21e+11),
           ( 0.408,  1.13e+11),
           ( 0.412,  1.07e+11),
           ( 0.415,  1.02e+11),
           ( 0.418,  9.61e+10),
           ( 0.422,  8.91e+10),
           ( 0.425,  8.38e+10),
           ( 0.429,  7.79e+10),
           ( 0.432,  7.28e+10),
           ( 0.435,  6.72e+10),
           ( 0.439,  6.39e+10),
           ( 0.442,  6.00e+10),
           ( 0.446,  5.77e+10),
           ( 0.449,  5.48e+10),
           ( 0.452,  4.99e+10),
           ( 0.456,  4.92e+10),
           ( 0.459,  4.76e+10),
           ( 0.462,  4.44e+10),
           ( 0.466,  4.17e+10),
           ( 0.469,  3.62e+10),
           ( 0.472,  3.47e+10),
           ( 0.476,  3.33e+10),
           ( 0.479,  3.38e+10),
           ( 0.483,  3.30e+10),
           ( 0.486,  2.95e+10),
           ( 0.489,  2.88e+10),
           ( 0.493,  2.88e+10),
           ( 0.496,  2.35e+10),
           ( 0.500,  2.10e+10),
           ( 0.503,  1.91e+10),
           ( 0.506,  1.50e+10),
           ( 0.510,  1.18e+10),
           ( 0.513,  1.13e+10),
           ( 0.516,  9.35e+09),
           ( 0.520,  4.50e+09),
           ( 0.523,  3.30e+09),
           ( 0.526,  4.98e+09),
           ( 0.530,  4.76e+09),
           ( 0.533,  2.68e+09),
           ( 0.537,  3.47e+09),
           ( 0.540,  3.59e+09),
           ( 0.543,  1.23e+09),
           ( 0.547,  1.73e+09),
           ( 0.550,  1.00e+09),
           ( 0.554,  7.13e+08),
           ( 0.557,  1.35e+09),
           ( 0.560, -5.21e+08),
           ( 0.564, -9.16e+08),
           ( 0.567, -1.99e+09),
           ( 0.570, -3.34e+09),
           ( 0.574, -3.57e+09),
           ( 0.577, -5.73e+09),
           ( 0.580, -5.71e+09),
           ( 0.584, -6.87e+09),
           ( 0.587, -7.83e+09),
           ( 0.591, -8.63e+09),
           ( 0.594, -8.35e+09),
           ( 0.597, -1.12e+10),
           ( 0.601, -9.61e+09),
           ( 0.604, -6.91e+09),
           ( 0.608, -6.51e+09),
           ( 0.611, -7.95e+09),
           ( 0.614, -3.95e+09),
           ( 0.618, -2.88e+09),
           ( 0.621, -4.70e+09),
           ( 0.624, -5.73e+09),
           ( 0.628, -6.61e+09),
           ( 0.631, -6.76e+09),
           ( 0.634, -6.18e+09),
           ( 0.638, -3.71e+09),
           ( 0.641, -3.68e+09),
           ( 0.645, -4.65e+09),
           ( 0.648, -2.47e+09),
           ( 0.651, -3.60e+09),
           ( 0.655, -3.73e+09),
           ( 0.658, -2.66e+09),
           ( 0.662, -1.02e+09),
           ( 0.665, -1.21e+09),
           ( 0.668,  5.21e+07),
           ( 0.672, -7.24e+08),
           ( 0.675, -3.71e+09),
           ( 0.678, -5.79e+09),
           ( 0.682, -4.88e+09),
           ( 0.685, -4.46e+09),
           ( 0.688, -2.36e+09),
