Bolide Detection Notification: 2008-314

At 02:38:34 UT on 09 Nov 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 14.5N, Lon 112.7E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 1.15E11 watts/steradian, and total radiated flash
energy  2.22E11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.699, -1.51e+09),
           (-0.695, -6.87e+08),
           (-0.692, -3.66e+08),
           (-0.688, -1.98e+08),
           (-0.685,  3.04e+09),
           (-0.682,  2.73e+09),
           (-0.678,  1.28e+09),
           (-0.675,  1.11e+09),
           (-0.672,  8.51e+08),
           (-0.668,  1.01e+09),
           (-0.665, -2.47e+08),
           (-0.662,  2.38e+09),
           (-0.658,  1.18e+09),
           (-0.655,  1.04e+09),
           (-0.651, -4.22e+08),
           (-0.648, -1.09e+09),
           (-0.645,  4.45e+08),
           (-0.641,  9.56e+08),
           (-0.638,  1.38e+08),
           (-0.634, -1.79e+09),
           (-0.631, -2.62e+09),
           (-0.628, -3.61e+09),
           (-0.624, -1.34e+09),
           (-0.621,  9.07e+08),
           (-0.618,  1.49e+09),
           (-0.614,  1.84e+09),
           (-0.611,  2.80e+09),
           (-0.608,  3.28e+09),
           (-0.604,  3.62e+09),
           (-0.601,  4.11e+09),
           (-0.597,  4.54e+09),
           (-0.594,  2.93e+09),
           (-0.591,  1.33e+09),
           (-0.587, -4.99e+08),
           (-0.584,  1.55e+09),
           (-0.580,  1.43e+09),
           (-0.577, -1.72e+09),
           (-0.574, -1.91e+09),
           (-0.570,  1.62e+09),
           (-0.567,  1.54e+09),
           (-0.564, -1.35e+08),
           (-0.560,  2.88e+09),
           (-0.557,  3.49e+09),
           (-0.554,  7.88e+08),
           (-0.550,  1.50e+09),
           (-0.547,  1.49e+09),
           (-0.543,  6.62e+08),
           (-0.540,  2.22e+09),
           (-0.537,  3.31e+09),
           (-0.533,  1.96e+09),
           (-0.530,  1.80e+09),
           (-0.526,  1.14e+09),
           (-0.523,  1.80e+09),
           (-0.520,  1.18e+07),
           (-0.516,  6.62e+08),
           (-0.513,  1.63e+09),
           (-0.510,  1.07e+09),
           (-0.506,  1.34e+09),
           (-0.503,  2.05e+09),
           (-0.500,  6.97e+08),
           (-0.496,  1.94e+08),
           (-0.493, -1.63e+09),
           (-0.489,  1.03e+09),
           (-0.486,  2.41e+09),
           (-0.483,  1.57e+09),
           (-0.479,  3.06e+09),
           (-0.476,  9.28e+08),
           (-0.472,  2.60e+09),
           (-0.469,  2.38e+09),
           (-0.466,  2.60e+09),
           (-0.462,  4.21e+09),
           (-0.459,  5.39e+09),
           (-0.456,  4.24e+09),
           (-0.452,  6.73e+09),
           (-0.449,  8.59e+09),
           (-0.446,  6.07e+09),
           (-0.442,  2.68e+09),
           (-0.439,  2.33e+09),
           (-0.435,  1.07e+09),
           (-0.432,  3.82e+08),
           (-0.429,  1.97e+09),
           (-0.425,  1.61e+09),
           (-0.422,  6.27e+08),
           (-0.418, -1.74e+09),
           (-0.415,  2.38e+09),
           (-0.412,  5.23e+09),
           (-0.408,  2.72e+09),
           (-0.405, -4.41e+07),
           (-0.402,  2.22e+09),
           (-0.398,  3.91e+09),
           (-0.395,  1.45e+08),
           (-0.392, -6.11e+08),
           (-0.388,  2.21e+09),
           (-0.385,  2.01e+09),
           (-0.381,  2.45e+09),
           (-0.378,  2.98e+09),
           (-0.375,  1.57e+09),
           (-0.371, -1.49e+09),
           (-0.368,  1.47e+09),
           (-0.364,  5.70e+09),
           (-0.361,  5.52e+09),
           (-0.358,  8.18e+09),
           (-0.354,  1.01e+10),
           (-0.351,  9.35e+09),
           (-0.348,  8.34e+09),
           (-0.344,  6.32e+09),
           (-0.341,  6.74e+09),
           (-0.338,  8.91e+09),
           (-0.334,  1.27e+10),
           (-0.331,  1.05e+10),
           (-0.327,  8.84e+09),
           (-0.324,  1.09e+10),
           (-0.321,  9.12e+09),
           (-0.317,  7.83e+09),
           (-0.314,  7.66e+09),
           (-0.310,  6.01e+09),
           (-0.307,  4.00e+09),
           (-0.304,  5.40e+09),
           (-0.300,  3.38e+09),
           (-0.297,  2.12e+09),
           (-0.294,  3.58e+09),
           (-0.290,  3.73e+09),
           (-0.287,  4.42e+09),
           (-0.284,  4.66e+09),
           (-0.280,  2.50e+09),
           (-0.277,  2.61e+09),
           (-0.273,  4.58e+09),
           (-0.270,  2.30e+09),
           (-0.267,  1.12e+09),
           (-0.263,  2.32e+09),
           (-0.260,  1.43e+09),
           (-0.256,  1.30e+09),
           (-0.253,  4.05e+09),
           (-0.250,  5.07e+09),
           (-0.246,  5.93e+09),
           (-0.243,  4.70e+09),
           (-0.240,  5.19e+09),
           (-0.236,  6.03e+09),
           (-0.233,  3.98e+09),
           (-0.230,  3.52e+09),
           (-0.226,  3.07e+09),
           (-0.223,  1.98e+09),
           (-0.219,  5.47e+09),
           (-0.216,  6.79e+09),
           (-0.213,  6.82e+09),
           (-0.209,  5.17e+09),
           (-0.206,  6.15e+09),
           (-0.202,  7.70e+09),
           (-0.199,  6.51e+09),
           (-0.196,  4.54e+09),
           (-0.192,  6.30e+09),
           (-0.189,  6.90e+09),
           (-0.186,  1.95e+09),
           (-0.182,  7.46e+08),
           (-0.179,  5.15e+08),
           (-0.176,  1.95e+09),
           (-0.172,  4.21e+09),
           (-0.169,  5.02e+09),
           (-0.165,  4.31e+09),
           (-0.162,  5.24e+09),
           (-0.159,  3.09e+09),
           (-0.155,  3.98e+09),
           (-0.152,  4.79e+09),
           (-0.148,  3.18e+09),
           (-0.145,  6.28e+09),
           (-0.142,  8.33e+09),
           (-0.138,  7.98e+09),
           (-0.135,  8.46e+09),
           (-0.132,  7.35e+09),
           (-0.128,  4.52e+09),
           (-0.125,  5.62e+09),
           (-0.122,  5.22e+09),
           (-0.118,  5.25e+09),
           (-0.115,  5.27e+09),
           (-0.111,  6.91e+09),
           (-0.108,  8.43e+09),
           (-0.105,  7.57e+09),
           (-0.101,  9.35e+09),
           (-0.098,  1.00e+10),
           (-0.094,  1.08e+10),
           (-0.091,  1.11e+10),
           (-0.088,  1.26e+10),
           (-0.084,  1.20e+10),
           (-0.081,  1.10e+10),
           (-0.078,  9.22e+09),
           (-0.074,  1.20e+10),
           (-0.071,  1.20e+10),
           (-0.068,  1.06e+10),
           (-0.064,  9.12e+09),
           (-0.061,  7.40e+09),
           (-0.057,  7.95e+09),
           (-0.054,  9.13e+09),
           (-0.051,  7.40e+09),
           (-0.047,  7.50e+09),
           (-0.044,  7.21e+09),
           (-0.040,  5.14e+09),
           (-0.037,  6.82e+09),
           (-0.034,  6.66e+09),
           (-0.030,  8.15e+09),
           (-0.027,  7.00e+09),
           (-0.024,  6.62e+09),
           (-0.020,  7.17e+09),
           (-0.017,  7.47e+09),
           (-0.014,  9.00e+09),
           (-0.010,  1.21e+10),
           (-0.007,  1.65e+10),
           (-0.003,  1.83e+10),
           (-0.000,  2.36e+10),
           ( 0.003,  2.94e+10),
           ( 0.007,  3.32e+10),
           ( 0.010,  3.91e+10),
           ( 0.014,  4.88e+10),
           ( 0.017,  5.62e+10),
           ( 0.020,  6.07e+10),
           ( 0.024,  6.81e+10),
           ( 0.027,  7.17e+10),
           ( 0.030,  6.84e+10),
           ( 0.034,  6.18e+10),
           ( 0.037,  5.50e+10),
           ( 0.040,  5.14e+10),
           ( 0.044,  4.72e+10),
           ( 0.047,  4.47e+10),
           ( 0.051,  3.81e+10),
           ( 0.054,  3.50e+10),
           ( 0.057,  3.37e+10),
           ( 0.061,  3.41e+10),
           ( 0.064,  3.20e+10),
           ( 0.068,  3.16e+10),
           ( 0.071,  3.31e+10),
           ( 0.074,  3.33e+10),
           ( 0.078,  3.52e+10),
           ( 0.081,  3.64e+10),
           ( 0.084,  3.67e+10),
           ( 0.088,  4.08e+10),
           ( 0.091,  4.37e+10),
           ( 0.094,  4.82e+10),
           ( 0.098,  5.22e+10),
           ( 0.101,  5.94e+10),
           ( 0.105,  6.63e+10),
           ( 0.108,  6.97e+10),
           ( 0.111,  7.46e+10),
           ( 0.115,  7.80e+10),
           ( 0.118,  9.00e+10),
           ( 0.122,  1.13e+11),
           ( 0.125,  1.45e+11),
           ( 0.128,  1.79e+11),
           ( 0.132,  2.16e+11),
           ( 0.135,  2.53e+11),
           ( 0.138,  2.81e+11),
           ( 0.142,  3.04e+11),
           ( 0.145,  3.12e+11),
           ( 0.148,  3.11e+11),
           ( 0.152,  3.14e+11),
           ( 0.155,  3.24e+11),
           ( 0.159,  3.28e+11),
           ( 0.162,  3.26e+11),
           ( 0.165,  3.29e+11),
           ( 0.169,  3.35e+11),
           ( 0.172,  3.41e+11),
           ( 0.176,  3.49e+11),
           ( 0.179,  3.62e+11),
           ( 0.182,  3.80e+11),
           ( 0.186,  4.08e+11),
           ( 0.189,  4.41e+11),
           ( 0.192,  4.63e+11),
           ( 0.196,  4.76e+11),
           ( 0.199,  4.82e+11),
           ( 0.202,  4.87e+11),
           ( 0.206,  4.78e+11),
           ( 0.209,  4.53e+11),
           ( 0.213,  4.36e+11),
           ( 0.216,  4.13e+11),
           ( 0.219,  3.76e+11),
           ( 0.223,  3.34e+11),
           ( 0.226,  2.89e+11),
           ( 0.230,  2.51e+11),
           ( 0.233,  2.19e+11),
           ( 0.236,  1.91e+11),
           ( 0.240,  1.75e+11),
           ( 0.243,  1.61e+11),
           ( 0.246,  1.47e+11),
           ( 0.250,  1.33e+11),
           ( 0.253,  1.26e+11),
           ( 0.256,  1.20e+11),
           ( 0.260,  1.13e+11),
           ( 0.263,  1.09e+11),
           ( 0.267,  1.06e+11),
           ( 0.270,  1.02e+11),
           ( 0.273,  9.87e+10),
           ( 0.277,  9.35e+10),
           ( 0.280,  8.99e+10),
           ( 0.284,  8.80e+10),
           ( 0.287,  8.82e+10),
           ( 0.290,  8.52e+10),
           ( 0.294,  8.33e+10),
           ( 0.297,  7.93e+10),
           ( 0.300,  7.92e+10),
           ( 0.304,  7.61e+10),
           ( 0.307,  7.26e+10),
           ( 0.310,  7.28e+10),
           ( 0.314,  7.00e+10),
           ( 0.317,  6.85e+10),
           ( 0.321,  7.10e+10),
           ( 0.324,  7.16e+10),
           ( 0.327,  6.90e+10),
           ( 0.331,  6.78e+10),
           ( 0.334,  6.77e+10),
           ( 0.338,  6.55e+10),
           ( 0.341,  6.39e+10),
           ( 0.344,  6.42e+10),
           ( 0.348,  6.32e+10),
           ( 0.351,  6.46e+10),
           ( 0.354,  6.64e+10),
           ( 0.358,  6.62e+10),
           ( 0.361,  6.47e+10),
           ( 0.364,  6.51e+10),
           ( 0.368,  6.54e+10),
           ( 0.371,  6.22e+10),
           ( 0.375,  6.11e+10),
           ( 0.378,  5.89e+10),
           ( 0.381,  5.85e+10),
           ( 0.385,  6.33e+10),
           ( 0.388,  6.52e+10),
           ( 0.392,  6.26e+10),
           ( 0.395,  5.96e+10),
           ( 0.398,  5.98e+10),
           ( 0.402,  5.99e+10),
           ( 0.405,  6.00e+10),
           ( 0.408,  5.90e+10),
           ( 0.412,  5.82e+10),
           ( 0.415,  5.65e+10),
           ( 0.418,  5.46e+10),
           ( 0.422,  5.44e+10),
           ( 0.425,  5.62e+10),
           ( 0.429,  5.45e+10),
           ( 0.432,  5.52e+10),
           ( 0.435,  5.41e+10),
           ( 0.439,  4.93e+10),
           ( 0.442,  4.87e+10),
           ( 0.446,  5.05e+10),
           ( 0.449,  5.41e+10),
           ( 0.452,  5.58e+10),
           ( 0.456,  5.52e+10),
           ( 0.459,  5.22e+10),
           ( 0.462,  4.98e+10),
           ( 0.466,  4.92e+10),
           ( 0.469,  5.01e+10),
           ( 0.472,  4.91e+10),
           ( 0.476,  4.83e+10),
           ( 0.479,  4.70e+10),
           ( 0.483,  4.44e+10),
           ( 0.486,  4.55e+10),
           ( 0.489,  4.59e+10),
           ( 0.493,  4.65e+10),
           ( 0.496,  4.68e+10),
           ( 0.500,  4.49e+10),
           ( 0.503,  4.48e+10),
           ( 0.506,  4.69e+10),
           ( 0.510,  4.59e+10),
           ( 0.513,  4.38e+10),
           ( 0.516,  4.15e+10),
           ( 0.520,  4.26e+10),
           ( 0.523,  4.18e+10),
           ( 0.526,  4.13e+10),
           ( 0.530,  4.08e+10),
           ( 0.533,  4.27e+10),
           ( 0.537,  4.36e+10),
           ( 0.540,  4.31e+10),
           ( 0.543,  4.35e+10),
           ( 0.547,  4.05e+10),
           ( 0.550,  3.91e+10),
           ( 0.554,  3.66e+10),
           ( 0.557,  3.43e+10),
           ( 0.560,  3.44e+10),
           ( 0.564,  3.26e+10),
           ( 0.567,  3.34e+10),
           ( 0.570,  3.32e+10),
           ( 0.574,  3.27e+10),
           ( 0.577,  3.35e+10),
           ( 0.580,  3.13e+10),
           ( 0.584,  2.78e+10),
           ( 0.587,  2.86e+10),
           ( 0.591,  2.93e+10),
           ( 0.594,  3.01e+10),
           ( 0.597,  2.82e+10),
           ( 0.601,  2.56e+10),
           ( 0.604,  2.28e+10),
           ( 0.608,  2.22e+10),
           ( 0.611,  2.07e+10),
           ( 0.614,  2.07e+10),
           ( 0.618,  1.77e+10),
           ( 0.621,  1.51e+10),
           ( 0.624,  1.67e+10),
           ( 0.628,  2.09e+10),
           ( 0.631,  1.92e+10),
           ( 0.634,  1.53e+10),
           ( 0.638,  1.63e+10),
           ( 0.641,  2.03e+10),
           ( 0.645,  2.10e+10),
           ( 0.648,  1.99e+10),
           ( 0.651,  2.42e+10),
           ( 0.655,  2.52e+10),
           ( 0.658,  2.38e+10),
           ( 0.662,  2.28e+10),
           ( 0.665,  2.24e+10),
           ( 0.668,  2.10e+10),
           ( 0.672,  1.77e+10),
           ( 0.675,  1.48e+10),
           ( 0.678,  1.57e+10),
           ( 0.682,  1.62e+10),
           ( 0.685,  1.48e+10),
           ( 0.688,  1.39e+10),
           ( 0.692,  1.65e+10),
           ( 0.695,  1.64e+10),
           ( 0.699,  1.63e+10),
           ( 0.702,  1.55e+10),
           ( 0.705,  1.31e+10),
           ( 0.709,  1.42e+10),
           ( 0.712,  1.49e+10),
           ( 0.716,  1.24e+10),
           ( 0.719,  1.16e+10),
           ( 0.722,  1.59e+10),
           ( 0.726,  1.73e+10),
           ( 0.729,  1.40e+10),
           ( 0.732,  1.19e+10),
           ( 0.736,  1.26e+10),
           ( 0.739,  1.11e+10),
           ( 0.742,  1.26e+10),
           ( 0.746,  1.45e+10),
           ( 0.749,  1.30e+10),
           ( 0.753,  1.08e+10),
           ( 0.756,  1.28e+10),
           ( 0.759,  9.45e+09),
           ( 0.763,  8.11e+09),
           ( 0.766,  1.04e+10),
           ( 0.770,  1.18e+10),
