Bolide Detection Notification: 2008-326

At 00:26:44 UT on 21 Nov 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 53.1N, Lon 109.9W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 2.1E10 watts/steradian, and total radiated flash
energy  1.42E11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.499,  4.76e+08),
           (-1.495,  3.30e+09),
           (-1.492,  4.43e+09),
           (-1.488,  3.46e+09),
           (-1.485,  3.48e+09),
           (-1.482,  1.55e+09),
           (-1.478,  2.19e+09),
           (-1.475,  1.99e+09),
           (-1.471,  1.84e+09),
           (-1.468,  1.46e+09),
           (-1.465,  1.42e+09),
           (-1.461,  1.22e+09),
           (-1.458,  2.99e+07),
           (-1.455, -3.02e+07),
           (-1.451,  7.50e+08),
           (-1.448, -6.86e+08),
           (-1.445, -1.39e+09),
           (-1.441, -1.28e+09),
           (-1.438, -5.63e+08),
           (-1.434, -1.73e+08),
           (-1.431,  2.45e+08),
           (-1.428,  2.41e+08),
           (-1.424,  6.01e+08),
           (-1.421, -1.05e+09),
           (-1.417, -3.67e+08),
           (-1.414,  9.25e+08),
           (-1.411, -7.97e+08),
           (-1.407,  7.67e+08),
           (-1.404,  1.73e+09),
           (-1.401,  2.10e+09),
           (-1.397,  2.94e+09),
           (-1.394,  4.20e+09),
           (-1.391,  2.33e+09),
           (-1.387,  2.63e+09),
           (-1.384,  2.49e+09),
           (-1.380,  2.20e+09),
           (-1.377,  2.94e+09),
           (-1.374,  3.16e+09),
           (-1.370,  1.44e+09),
           (-1.367,  1.56e+09),
           (-1.364,  1.80e+09),
           (-1.360,  3.15e+09),
           (-1.357,  3.14e+09),
           (-1.353,  2.44e+09),
           (-1.350,  3.01e+09),
           (-1.347,  1.98e+09),
           (-1.343,  2.86e+09),
           (-1.340,  2.95e+09),
           (-1.336,  1.50e+09),
           (-1.333,  1.58e+09),
           (-1.330,  2.98e+09),
           (-1.326,  3.06e+09),
           (-1.323,  2.32e+09),
           (-1.320,  3.95e+09),
           (-1.316,  3.09e+09),
           (-1.313,  1.40e+09),
           (-1.310,  4.10e+08),
           (-1.306,  7.75e+08),
           (-1.303,  1.20e+09),
           (-1.299,  1.51e+09),
           (-1.296,  7.87e+08),
           (-1.293,  6.50e+08),
           (-1.289,  7.73e+08),
           (-1.286,  1.22e+08),
           (-1.282,  5.46e+08),
           (-1.279,  7.28e+08),
           (-1.276,  1.18e+09),
           (-1.272, -4.74e+08),
           (-1.269,  3.99e+08),
           (-1.266,  4.91e+08),
           (-1.262,  2.11e+09),
           (-1.259,  7.99e+08),
           (-1.256,  1.29e+09),
           (-1.252,  1.33e+09),
           (-1.249,  4.77e+08),
           (-1.245, -5.59e+08),
           (-1.242,  8.84e+08),
           (-1.239,  1.51e+09),
           (-1.235,  1.41e+09),
           (-1.232,  1.06e+09),
           (-1.229,  9.46e+08),
           (-1.225,  1.97e+09),
           (-1.222,  1.23e+09),
           (-1.218,  1.06e+09),
           (-1.215,  2.22e+09),
           (-1.212,  1.89e+09),
           (-1.208,  1.16e+09),
           (-1.205,  7.26e+08),
           (-1.201,  2.08e+08),
           (-1.198,  1.74e+09),
           (-1.195,  1.85e+09),
           (-1.191,  1.51e+09),
           (-1.188,  1.03e+09),
           (-1.185,  1.30e+09),
           (-1.181,  8.76e+08),
           (-1.178,  4.40e+08),
           (-1.175,  1.76e+09),
           (-1.171,  6.65e+08),
           (-1.168,  1.62e+09),
           (-1.164,  7.50e+08),
           (-1.161, -1.92e+08),
           (-1.158,  3.36e+06),
           (-1.154,  1.40e+08),
           (-1.151,  1.44e+09),
           (-1.147,  1.43e+09),
           (-1.144,  1.91e+09),
           (-1.141,  1.70e+09),
           (-1.137,  2.37e+09),
           (-1.134,  2.29e+09),
           (-1.131,  2.18e+09),
           (-1.127,  1.01e+09),
           (-1.124,  9.10e+08),
           (-1.121,  8.79e+08),
           (-1.117, -5.32e+08),
           (-1.114, -5.14e+08),
           (-1.110, -2.09e+08),
           (-1.107,  1.06e+09),
           (-1.104,  2.92e+09),
           (-1.100,  8.75e+08),
           (-1.097,  2.17e+08),
           (-1.094,  9.82e+08),
           (-1.090,  2.58e+08),
           (-1.087,  4.01e+08),
           (-1.083,  1.51e+09),
           (-1.080,  1.89e+08),
           (-1.077, -3.10e+08),
           (-1.073, -1.73e+08),
