Bolide Detection Notification: 2008-329

At 22:01:19 UT on 24 Nov 2008, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 57.9S, Lon 146.1E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 2.4E10 watts/steradian, and total radiated flash
energy  1.46E11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.499, -3.49e+08),
           (-1.495, -9.63e+08),
           (-1.492, -2.72e+08),
           (-1.488, -3.18e+08),
           (-1.485,  5.41e+08),
           (-1.482, -5.31e+08),
           (-1.478, -1.56e+09),
           (-1.475, -1.39e+09),
           (-1.471,  1.20e+09),
           (-1.468,  1.93e+09),
           (-1.465,  1.56e+09),
           (-1.461,  3.71e+09),
           (-1.458,  2.75e+09),
           (-1.455,  2.04e+09),
           (-1.451,  1.28e+09),
           (-1.448,  2.78e+08),
           (-1.445,  2.29e+08),
           (-1.441, -1.42e+09),
           (-1.438, -1.73e+09),
           (-1.434, -2.51e+09),
           (-1.431, -2.06e+09),
           (-1.428, -1.89e+09),
           (-1.424, -1.81e+09),
           (-1.421, -2.30e+09),
           (-1.417, -1.92e+09),
           (-1.414, -2.10e+08),
           (-1.411,  6.02e+08),
           (-1.407,  7.07e+08),
           (-1.404, -7.46e+08),
           (-1.401,  7.06e+08),
           (-1.397,  1.25e+09),
           (-1.394, -4.20e+08),
           (-1.391, -4.72e+08),
           (-1.387,  1.07e+09),
           (-1.384,  8.15e+08),
           (-1.380,  4.50e+08),
           (-1.377,  1.80e+08),
           (-1.374,  1.54e+09),
           (-1.370,  6.75e+08),
           (-1.367,  5.04e+08),
           (-1.364,  1.88e+09),
           (-1.360,  5.13e+08),
           (-1.357,  1.38e+08),
           (-1.353,  7.96e+08),
           (-1.350,  6.13e+08),
           (-1.347, -4.08e+08),
           (-1.343, -2.12e+08),
           (-1.340,  6.08e+08),
           (-1.336,  8.03e+08),
           (-1.333, -2.66e+08),
           (-1.330, -3.71e+07),
           (-1.326,  1.19e+09),
           (-1.323,  3.10e+09),
           (-1.320,  1.70e+09),
           (-1.316,  3.95e+08),
           (-1.313,  1.66e+09),
           (-1.310,  8.45e+08),
           (-1.306,  8.40e+08),
           (-1.303, -3.94e+08),
           (-1.299, -5.83e+08),
           (-1.296,  4.52e+08),
           (-1.293,  1.07e+09),
           (-1.289,  1.65e+09),
           (-1.286,  2.59e+09),
           (-1.282,  1.27e+09),
           (-1.279, -4.51e+08),
           (-1.276,  1.11e+09),
           (-1.272,  2.85e+08),
           (-1.269,  4.48e+08),
           (-1.266,  1.31e+09),
           (-1.262,  1.52e+09),
           (-1.259,  6.43e+08),
           (-1.256,  1.81e+09),
           (-1.252,  1.94e+09),
           (-1.249,  1.49e+09),
           (-1.245,  2.87e+09),
           (-1.242,  4.99e+09),
           (-1.239,  4.24e+09),
           (-1.235,  4.53e+09),
           (-1.232,  3.31e+09),
           (-1.229,  2.28e+09),
           (-1.225,  2.21e+09),
           (-1.222,  9.71e+08),
           (-1.218,  1.62e+09),
           (-1.215,  1.27e+09),
           (-1.212,  2.45e+09),
           (-1.208,  9.66e+08),
           (-1.205,  6.54e+08),
           (-1.201,  1.55e+09),
           (-1.198,  3.22e+08),
           (-1.195, -4.44e+08),
           (-1.191, -2.06e+08),
           (-1.188, -1.73e+08),
           (-1.185, -5.27e+08),
           (-1.181,  3.77e+08),
           (-1.178,  2.10e+09),
           (-1.175,  1.42e+09),
           (-1.171, -1.15e+08),
           (-1.168, -4.40e+08),
           (-1.164, -7.32e+08),
           (-1.161,  4.41e+08),
           (-1.158,  4.44e+08),
           (-1.154,  1.13e+09),
           (-1.151,  2.47e+09),
           (-1.147,  2.37e+09),
           (-1.144,  1.02e+09),
           (-1.141,  7.29e+08),
           (-1.137, -2.79e+08),
           (-1.134, -1.38e+08),
           (-1.131,  6.76e+08),
           (-1.127,  6.15e+08),
           (-1.124,  2.87e+08),
           (-1.121,  1.17e+09),
           (-1.117,  1.37e+09),
           (-1.114,  1.16e+09),
           (-1.110,  1.34e+09),
           (-1.107,  9.46e+08),
           (-1.104,  4.10e+08),
           (-1.100,  6.34e+08),
           (-1.097,  3.43e+09),
           (-1.094,  2.37e+09),
           (-1.090,  5.43e+08),
           (-1.087,  1.21e+09),
           (-1.083,  1.47e+09),
           (-1.080,  1.64e+09),
           (-1.077,  1.13e+09),
           (-1.073,  1.17e+09),
           (-1.070,  1.79e+09),
           (-1.066, -1.46e+08),
           (-1.063, -5.15e+08),
           (-1.060, -5.59e+08),
           (-1.056, -6.30e+08),
           (-1.053, -9.42e+08),
           (-1.050, -1.15e+09),
           (-1.046, -1.10e+09),
           (-1.043, -2.13e+09),
           (-1.040, -6.30e+08),
           (-1.036, -3.29e+08),
           (-1.033,  4.82e+07),
           (-1.029,  1.18e+09),
           (-1.026, -3.94e+08),
           (-1.023, -1.73e+09),
           (-1.019, -7.66e+08),
           (-1.016, -1.80e+09),
           (-1.012, -5.03e+08),
           (-1.009, -2.06e+08),
           (-1.006, -1.77e+09),
           (-1.002, -2.36e+09),
           (-0.999, -1.42e+09),
           (-0.996, -2.05e+09),
           (-0.992, -2.62e+09),
           (-0.989, -1.21e+09),
           (-0.986, -1.31e+09),
           (-0.982,  3.76e+08),
           (-0.979,  5.24e+08),
           (-0.975, -8.59e+08),
           (-0.972, -1.99e+09),
           (-0.969, -1.93e+09),
           (-0.965, -1.21e+09),
           (-0.962, -1.99e+08),
           (-0.959,  6.27e+08),
           (-0.955,  1.12e+09),
           (-0.952,  1.04e+09),
           (-0.948, -4.58e+08),
           (-0.945,  7.68e+06),
           (-0.942, -7.49e+08),
           (-0.938, -2.86e+08),
           (-0.935,  1.39e+08),
           (-0.931, -8.69e+08),
           (-0.928,  2.97e+08),
           (-0.925,  8.50e+08),
           (-0.921,  1.49e+09),
           (-0.918, -2.71e+08),
           (-0.915, -6.27e+08),
           (-0.911,  1.63e+09),
           (-0.908,  2.37e+09),
           (-0.905,  3.21e+09),
           (-0.901,  1.81e+09),
           (-0.898,  1.13e+09),
           (-0.894,  9.60e+08),
           (-0.891, -4.97e+07),
           (-0.888,  1.13e+09),
           (-0.884,  2.00e+09),
           (-0.881,  1.64e+09),
           (-0.877,  4.52e+08),
           (-0.874,  5.35e+08),
           (-0.871,  1.09e+09),
           (-0.867,  6.99e+08),
           (-0.864,  2.73e+08),
           (-0.861, -1.89e+07),
           (-0.857,  1.18e+09),
           (-0.854,  3.32e+09),
           (-0.851,  2.31e+09),
           (-0.847,  1.70e+09),
           (-0.844,  1.20e+09),
           (-0.840,  1.29e+09),
           (-0.837,  1.83e+09),
           (-0.834,  7.56e+08),
           (-0.830,  2.45e+09),
           (-0.827,  3.62e+09),
           (-0.824,  4.37e+09),
           (-0.820,  4.25e+09),
           (-0.817,  3.75e+09),
           (-0.813,  4.66e+09),
           (-0.810,  4.03e+09),
           (-0.807,  2.65e+09),
           (-0.803,  9.95e+08),
           (-0.800,  2.74e+09),
           (-0.796,  4.09e+09),
           (-0.793,  4.21e+09),
           (-0.790,  3.44e+09),
           (-0.786,  2.66e+09),
           (-0.783,  2.75e+09),
           (-0.780,  3.16e+09),
           (-0.776,  1.41e+09),
           (-0.773,  1.22e+09),
           (-0.770,  1.88e+09),
           (-0.766,  1.85e+09),
           (-0.763,  1.79e+09),
           (-0.759,  1.19e+09),
           (-0.756,  1.10e+09),
           (-0.753,  1.25e+09),
           (-0.749,  5.10e+07),
           (-0.746, -6.38e+08),
           (-0.742, -3.15e+08),
           (-0.739,  4.41e+08),
           (-0.736,  1.31e+09),
           (-0.732,  5.69e+08),
           (-0.729, -5.57e+08),
           (-0.726, -9.72e+07),
           (-0.722,  3.96e+08),
           (-0.719,  9.15e+08),
           (-0.716,  1.60e+09),
           (-0.712,  1.75e+07),
           (-0.709,  7.67e+08),
           (-0.705,  3.66e+09),
           (-0.702,  2.93e+09),
           (-0.699,  1.63e+09),
           (-0.695,  1.31e+09),
           (-0.692,  5.01e+08),
           (-0.689, -1.19e+09),
           (-0.685, -1.32e+09),
           (-0.682, -4.76e+08),
           (-0.678, -6.44e+08),
           (-0.675, -3.71e+08),
           (-0.672,  1.63e+09),
           (-0.668,  2.74e+09),
           (-0.665,  1.80e+09),
           (-0.661, -4.65e+08),
           (-0.658, -1.89e+07),
           (-0.655,  1.32e+09),
           (-0.651,  9.57e+08),
           (-0.648,  1.12e+09),
           (-0.645, -4.05e+08),
           (-0.641,  8.64e+08),
           (-0.638,  2.22e+09),
           (-0.635,  1.68e+09),
           (-0.631,  8.03e+08),
           (-0.628,  2.60e+09),
           (-0.624,  2.56e+09),
           (-0.621,  2.36e+09),
           (-0.618,  2.51e+09),
           (-0.614,  3.80e+09),
           (-0.611,  4.36e+09),
           (-0.607,  3.51e+09),
           (-0.604,  2.82e+09),
           (-0.601,  2.56e+09),
           (-0.597,  1.35e+09),
           (-0.594,  2.27e+09),
           (-0.591,  2.89e+09),
           (-0.587,  2.43e+09),
           (-0.584,  2.16e+09),
           (-0.581,  3.21e+09),
           (-0.577,  3.43e+09),
           (-0.574,  3.43e+09),
           (-0.570,  1.83e+09),
           (-0.567, -3.43e+08),
           (-0.564,  4.73e+08),
           (-0.560,  1.89e+09),
           (-0.557,  1.82e+09),
           (-0.554,  1.86e+09),
           (-0.550,  1.52e+09),
           (-0.547,  2.39e+09),
           (-0.543,  2.43e+09),
           (-0.540,  2.81e+09),
           (-0.537,  1.51e+09),
           (-0.533,  1.86e+09),
           (-0.530,  2.14e+09),
           (-0.526,  2.07e+09),
           (-0.523,  1.85e+09),
           (-0.520,  1.82e+09),
           (-0.516,  6.26e+08),
           (-0.513,  5.08e+08),
           (-0.510,  2.62e+09),
           (-0.506,  2.40e+09),
           (-0.503,  1.87e+09),
           (-0.500,  1.64e+09),
           (-0.496,  1.38e+09),
           (-0.493,  1.90e+09),
           (-0.489, -1.24e+08),
           (-0.486,  3.20e+08),
           (-0.483,  8.86e+08),
           (-0.479,  8.57e+08),
           (-0.476,  1.40e+09),
           (-0.472,  2.63e+09),
           (-0.469,  3.56e+09),
           (-0.466,  4.31e+09),
           (-0.462,  2.54e+09),
           (-0.459,  1.74e+09),
           (-0.456,  2.53e+09),
           (-0.452,  3.02e+09),
           (-0.449,  1.74e+09),
           (-0.446,  8.85e+08),
           (-0.442,  1.29e+09),
           (-0.439,  2.15e+09),
           (-0.435,  2.35e+09),
           (-0.432,  2.48e+09),
           (-0.429,  1.94e+09),
           (-0.425,  1.89e+09),
           (-0.422,  3.27e+09),
           (-0.419,  2.35e+09),
           (-0.415,  1.21e+09),
           (-0.412,  1.55e+09),
           (-0.408,  2.39e+09),
           (-0.405,  2.54e+09),
           (-0.402,  2.28e+09),
           (-0.398,  2.61e+09),
           (-0.395,  3.47e+09),
           (-0.391,  2.53e+09),
           (-0.388,  2.66e+09),
           (-0.385,  2.60e+09),
           (-0.381,  3.15e+09),
           (-0.378,  2.69e+09),
           (-0.375,  3.22e+09),
           (-0.371,  2.80e+09),
           (-0.368,  3.05e+09),
           (-0.365,  3.55e+09),
           (-0.361,  4.84e+09),
           (-0.358,  6.71e+09),
           (-0.354,  5.00e+09),
           (-0.351,  3.84e+09),
           (-0.348,  1.25e+09),
           (-0.344,  2.64e+09),
           (-0.341,  3.24e+09),
           (-0.337,  2.42e+09),
           (-0.334,  6.96e+08),
           (-0.331,  6.10e+08),
           (-0.327,  1.04e+09),
           (-0.324,  1.13e+09),
           (-0.321,  1.43e+09),
           (-0.317,  5.53e+08),
           (-0.314,  1.06e+09),
           (-0.311,  1.68e+09),
           (-0.307,  1.49e+09),
           (-0.304,  1.50e+08),
           (-0.300,  9.15e+08),
           (-0.297,  2.29e+08),
           (-0.294,  6.83e+08),
           (-0.290,  1.73e+09),
           (-0.287,  9.63e+08),
           (-0.284,  8.83e+08),
           (-0.280,  3.03e+09),
           (-0.277,  2.85e+09),
           (-0.273,  3.48e+09),
           (-0.270,  3.59e+09),
           (-0.267,  3.32e+09),
           (-0.263,  2.20e+09),
           (-0.260,  2.72e+09),
           (-0.256,  3.37e+09),
           (-0.253,  3.54e+09),
           (-0.250,  4.24e+09),
           (-0.246,  2.41e+09),
           (-0.243,  1.49e+09),
           (-0.240,  2.53e+09),
           (-0.236,  8.40e+08),
           (-0.233,  2.84e+09),
           (-0.230,  2.39e+09),
           (-0.226,  2.11e+09),
           (-0.223,  4.36e+09),
           (-0.219,  5.54e+09),
           (-0.216,  5.05e+09),
           (-0.213,  4.34e+09),
           (-0.209,  2.90e+09),
           (-0.206,  3.84e+09),
           (-0.202,  4.01e+09),
           (-0.199,  5.15e+09),
           (-0.196,  6.18e+09),
           (-0.192,  4.12e+09),
           (-0.189,  3.71e+09),
           (-0.186,  5.51e+09),
           (-0.182,  5.71e+09),
           (-0.179,  6.41e+09),
           (-0.176,  8.39e+09),
           (-0.172,  9.81e+09),
           (-0.169,  1.09e+10),
           (-0.165,  8.92e+09),
           (-0.162,  9.00e+09),
           (-0.159,  8.71e+09),
           (-0.155,  7.92e+09),
           (-0.152,  7.40e+09),
           (-0.149,  6.01e+09),
           (-0.145,  5.81e+09),
           (-0.142,  5.64e+09),
           (-0.138,  5.84e+09),
           (-0.135,  6.42e+09),
           (-0.132,  4.90e+09),
           (-0.128,  4.97e+09),
           (-0.125,  7.29e+09),
           (-0.121,  7.27e+09),
           (-0.118,  6.59e+09),
           (-0.115,  6.20e+09),
           (-0.111,  5.58e+09),
           (-0.108,  5.09e+09),
           (-0.105,  6.47e+09),
           (-0.101,  7.75e+09),
           (-0.098,  6.05e+09),
           (-0.095,  6.51e+09),
           (-0.091,  7.93e+09),
           (-0.088,  8.73e+09),
           (-0.084,  6.22e+09),
           (-0.081,  5.90e+09),
           (-0.078,  7.25e+09),
           (-0.074,  6.98e+09),
           (-0.071,  8.93e+09),
           (-0.067,  9.66e+09),
           (-0.064,  9.68e+09),
           (-0.061,  1.02e+10),
           (-0.057,  8.37e+09),
           (-0.054,  8.43e+09),
           (-0.051,  9.63e+09),
           (-0.047,  1.00e+10),
           (-0.044,  9.19e+09),
           (-0.041,  9.36e+09),
           (-0.037,  1.08e+10),
           (-0.034,  1.24e+10),
           (-0.030,  1.15e+10),
           (-0.027,  1.16e+10),
           (-0.024,  1.14e+10),
           (-0.020,  1.11e+10),
           (-0.017,  1.25e+10),
           (-0.014,  1.31e+10),
           (-0.010,  1.31e+10),
           (-0.007,  1.48e+10),
           (-0.003,  1.62e+10),
           (-0.000,  1.67e+10),
           ( 0.003,  2.03e+10),
           ( 0.007,  2.34e+10),
           ( 0.010,  2.60e+10),
           ( 0.014,  2.84e+10),
           ( 0.017,  3.08e+10),
           ( 0.020,  3.52e+10),
           ( 0.024,  3.99e+10),
           ( 0.027,  4.50e+10),
           ( 0.030,  5.20e+10),
           ( 0.034,  5.76e+10),
           ( 0.037,  5.94e+10),
           ( 0.040,  5.82e+10),
           ( 0.044,  5.61e+10),
           ( 0.047,  5.62e+10),
           ( 0.051,  5.64e+10),
           ( 0.054,  5.72e+10),
           ( 0.057,  5.93e+10),
           ( 0.061,  6.37e+10),
           ( 0.064,  7.17e+10),
           ( 0.068,  7.94e+10),
           ( 0.071,  8.70e+10),
           ( 0.074,  9.13e+10),
           ( 0.078,  9.56e+10),
           ( 0.081,  9.76e+10),
           ( 0.084,  9.83e+10),
           ( 0.088,  9.81e+10),
           ( 0.091,  9.96e+10),
           ( 0.094,  1.01e+11),
           ( 0.098,  1.02e+11),
           ( 0.101,  1.02e+11),
           ( 0.105,  9.80e+10),
           ( 0.108,  9.09e+10),
           ( 0.111,  8.31e+10),
           ( 0.115,  7.77e+10),
           ( 0.118,  7.10e+10),
           ( 0.121,  6.54e+10),
           ( 0.125,  5.99e+10),
           ( 0.128,  5.55e+10),
           ( 0.132,  5.15e+10),
           ( 0.135,  4.97e+10),
           ( 0.138,  4.97e+10),
           ( 0.142,  4.95e+10),
           ( 0.145,  5.01e+10),
           ( 0.149,  4.82e+10),
           ( 0.152,  4.69e+10),
           ( 0.155,  4.53e+10),
           ( 0.159,  4.50e+10),
           ( 0.162,  4.47e+10),
           ( 0.165,  4.60e+10),
           ( 0.169,  4.74e+10),
           ( 0.172,  4.67e+10),
           ( 0.175,  4.73e+10),
           ( 0.179,  4.56e+10),
           ( 0.182,  4.75e+10),
           ( 0.186,  4.90e+10),
           ( 0.189,  4.75e+10),
           ( 0.192,  4.54e+10),
           ( 0.196,  4.45e+10),
           ( 0.199,  4.42e+10),
           ( 0.203,  4.39e+10),
           ( 0.206,  4.49e+10),
           ( 0.209,  4.53e+10),
           ( 0.213,  4.37e+10),
           ( 0.216,  4.32e+10),
           ( 0.219,  4.15e+10),
           ( 0.223,  4.01e+10),
           ( 0.226,  4.20e+10),
