Bolide Detection Notification: 2009-010

At 07:42:40 UT on 10 Jan 2009, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 64.0S, Lon 122.8E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 1.1E10 watts/steradian, and total radiated flash
energy  2.3E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.597,  2.15e+09),
           (-0.594, -8.32e+08),
           (-0.591,  3.52e+09),
           (-0.587,  4.39e+09),
           (-0.584,  4.60e+09),
           (-0.580, -3.40e+09),
           (-0.577,  3.86e+09),
           (-0.574,  4.64e+09),
           (-0.570,  3.81e+09),
           (-0.567, -1.74e+09),
           (-0.564,  2.09e+09),
           (-0.560, -5.72e+08),
           (-0.557, -1.14e+09),
           (-0.554,  1.52e+09),
           (-0.550,  4.32e+09),
           (-0.547, -4.77e+07),
           (-0.543,  3.83e+09),
           (-0.540,  1.60e+09),
           (-0.537,  1.81e+09),
           (-0.533,  3.51e+09),
           (-0.530,  2.15e+07),
           (-0.526, -5.41e+08),
           (-0.523,  9.10e+08),
           (-0.520, -6.64e+09),
           (-0.516,  4.21e+09),
           (-0.513, -2.27e+09),
           (-0.510, -9.79e+08),
           (-0.506,  3.28e+09),
           (-0.503, -3.82e+09),
           (-0.500, -1.74e+09),
           (-0.496,  4.74e+09),
           (-0.493,  3.47e+09),
           (-0.489, -2.88e+07),
           (-0.486, -5.38e+09),
           (-0.483, -1.10e+09),
           (-0.479, -4.59e+08),
           (-0.476,  2.81e+09),
           (-0.472,  1.83e+09),
           (-0.469,  1.79e+09),
           (-0.466,  6.81e+08),
           (-0.462,  5.05e+09),
           (-0.459,  5.79e+07),
           (-0.456,  5.99e+08),
           (-0.452, -1.34e+07),
           (-0.449, -5.87e+09),
           (-0.446,  5.93e+09),
           (-0.442,  9.59e+08),
           (-0.439, -1.26e+09),
           (-0.435,  6.81e+09),
           (-0.432, -1.35e+09),
           (-0.429, -8.46e+08),
           (-0.425,  4.11e+09),
           (-0.422,  7.94e+09),
