Bolide Detection Notification: 2009-074

At 05:44:33 UT on 15 Mar 2009, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 21.7S, Lon 98.6W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 1.0e10 watts/steradian, and total radiated flash
energy  3.2e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.847, -1.58e+09),
           (-0.844,  9.71e+08),
           (-0.840, -9.84e+09),
           (-0.837, -1.85e+09),
           (-0.834,  8.87e+08),
           (-0.830,  1.24e+09),
           (-0.827, -2.27e+09),
           (-0.823,  4.46e+09),
           (-0.820, -3.14e+08),
           (-0.817,  7.94e+08),
           (-0.813,  1.90e+09),
           (-0.810, -9.34e+08),
           (-0.807, -2.93e+09),
           (-0.803, -5.82e+08),
           (-0.800,  2.73e+09),
           (-0.797, -1.12e+09),
           (-0.793,  3.96e+09),
           (-0.790, -5.09e+08),
           (-0.786,  3.58e+09),
           (-0.783,  4.67e+08),
           (-0.780, -1.77e+09),
           (-0.776, -1.47e+09),
           (-0.773,  3.77e+09),
           (-0.770, -6.78e+09),
           (-0.766, -1.41e+09),
           (-0.763, -1.07e+08),
           (-0.759,  4.28e+08),
           (-0.756, -2.00e+09),
           (-0.753, -1.79e+09),
           (-0.749,  1.96e+09),
           (-0.746, -8.29e+08),
           (-0.743,  5.66e+08),
           (-0.739, -4.69e+07),
           (-0.736, -5.26e+09),
           (-0.732,  2.20e+09),
           (-0.729, -2.66e+08),
           (-0.726,  5.82e+09),
           (-0.722,  7.62e+07),
           (-0.719,  3.70e+08),
           (-0.715, -2.95e+08),
           (-0.712, -9.18e+08),
           (-0.709,  2.41e+09),
           (-0.705,  1.21e+09),
           (-0.702, -2.44e+09),
           (-0.699,  1.72e+09),
           (-0.695,  4.01e+09),
           (-0.692,  1.54e+09),
           (-0.688,  2.12e+09),
           (-0.685, -1.84e+09),
           (-0.682,  7.58e+08),
           (-0.678,  2.01e+09),
