Bolide Detection Notification: 2009-110

At 04:01:39 UT on 20 Apr 2009, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 6.0 °N, Lon 84.3 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 8.87e+09 watts/steradian, and total radiated flash
energy 3.35e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -6.08e+08),
           (-0.996, -4.46e+08),
           (-0.992, -4.21e+08),
           (-0.989,  5.71e+08),
           (-0.986, -2.23e+08),
           (-0.982, -4.54e+08),
           (-0.979,  2.55e+09),
           (-0.975,  1.27e+08),
           (-0.972, -2.72e+08),
           (-0.969, -5.41e+08),
           (-0.965, -9.48e+08),
           (-0.962,  1.27e+08),
           (-0.959,  1.80e+09),
           (-0.955,  3.95e+08),
           (-0.952, -7.76e+07),
           (-0.948,  5.26e+08),
           (-0.945,  1.41e+09),
           (-0.942, -1.47e+09),
           (-0.938, -8.69e+08),
           (-0.935,  7.06e+08),
           (-0.931,  3.63e+08),
           (-0.928,  1.71e+09),
           (-0.925, -1.47e+09),
           (-0.921, -8.60e+08),
           (-0.918,  1.32e+09),
           (-0.915,  7.46e+08),
           (-0.911, -4.50e+08),
           (-0.905,  4.42e+08),
           (-0.901,  6.00e+08),
           (-0.898, -4.80e+08),
           (-0.894,  6.42e+08),
           (-0.891, -1.48e+09),
           (-0.888,  8.99e+07),
           (-0.884, -2.04e+08),
           (-0.881,  5.07e+08),
           (-0.878, -1.45e+09),
           (-0.874,  3.80e+08),
           (-0.871,  5.39e+08),
           (-0.867,  4.54e+08),
           (-0.864,  1.46e+09),
           (-0.861,  8.22e+08),
           (-0.857,  1.22e+09),
           (-0.854, -1.33e+07),
           (-0.851,  6.22e+08),
           (-0.847,  8.93e+08),
           (-0.844,  6.32e+08),
           (-0.840,  1.53e+09),
           (-0.837, -7.16e+07),
           (-0.834,  2.70e+09),
           (-0.830,  2.02e+09),
           (-0.827,  8.52e+07),
           (-0.824,  2.12e+08),
           (-0.820,  8.49e+08),
           (-0.817, -7.53e+08),
           (-0.813,  2.25e+08),
           (-0.810, -4.35e+08),
           (-0.807,  4.92e+08),
           (-0.803, -2.49e+08),
           (-0.800, -4.28e+08),
           (-0.797, -2.26e+08),
           (-0.793,  1.25e+08),
           (-0.790,  3.19e+08),
           (-0.786,  1.01e+08),
           (-0.783, -1.03e+09),
           (-0.780, -6.93e+08),
           (-0.776,  1.12e+09),
           (-0.770, -9.40e+08),
           (-0.763,  1.38e+09),
           (-0.759, -1.51e+08),
           (-0.756, -1.20e+09),
           (-0.753,  2.21e+09),
           (-0.749,  8.41e+08),
           (-0.746, -1.51e+09),
           (-0.743,  3.20e+08),
           (-0.739,  7.15e+08),
           (-0.736,  1.63e+09),
           (-0.732,  7.84e+08),
           (-0.729,  1.27e+09),
           (-0.726,  1.60e+08),
           (-0.722,  1.92e+09),
           (-0.719,  1.29e+09),
           (-0.716,  1.17e+09),
           (-0.712,  5.47e+08),
           (-0.709, -8.59e+08),
           (-0.705,  3.69e+08),
           (-0.702,  4.74e+07),
           (-0.699, -9.79e+08),
           (-0.695, -1.77e+08),
           (-0.692,  3.86e+08),
           (-0.689,  2.29e+09),
           (-0.685,  6.80e+07),
           (-0.682,  1.28e+09),
           (-0.678,  1.04e+09),
           (-0.675, -1.31e+09),
           (-0.672, -2.54e+08),
           (-0.668, -9.79e+08),
           (-0.665, -2.97e+08),
           (-0.662, -7.02e+08),
           (-0.658,  9.75e+08),
           (-0.655,  9.14e+08),
           (-0.651,  6.14e+08),
           (-0.648, -1.11e+09),
           (-0.645,  9.87e+08),
           (-0.641, -5.20e+08),
           (-0.638,  1.10e+09),
           (-0.631, -6.68e+08),
           (-0.628,  6.68e+08),
           (-0.624,  4.73e+08),
