Bolide Detection Notification: 2009-133

At 22:20:16 UT on 13 May 2009, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.57e+10 watts/steradian, and total radiated flash
energy 7.61e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.699,  7.52e+07),
           (-0.695, -5.66e+08),
           (-0.692,  4.41e+08),
           (-0.689,  4.81e+08),
           (-0.685,  8.41e+08),
           (-0.682,  1.93e+08),
           (-0.678, -6.97e+08),
           (-0.675,  2.90e+08),
           (-0.672, -3.39e+08),
           (-0.668, -8.27e+08),
           (-0.665, -6.88e+08),
           (-0.661, -2.52e+08),
           (-0.658, -4.39e+08),
           (-0.655, -7.18e+08),
           (-0.651,  3.53e+08),
           (-0.648, -9.38e+07),
           (-0.645, -2.35e+08),
           (-0.641,  3.30e+08),
           (-0.638, -1.11e+09),
           (-0.635, -1.26e+08),
           (-0.631,  6.47e+08),
           (-0.628, -4.69e+08),
           (-0.624, -6.14e+08),
           (-0.621, -6.26e+08),
           (-0.618, -5.73e+08),
           (-0.614, -1.06e+09),
           (-0.608, -2.35e+07),
           (-0.604, -9.47e+08),
           (-0.601, -1.03e+09),
           (-0.597, -5.72e+08),
           (-0.594,  4.00e+08),
           (-0.591, -4.58e+08),
           (-0.587, -1.03e+09),
           (-0.584, -3.50e+08),
           (-0.580, -6.12e+08),
           (-0.577, -1.19e+09),
           (-0.574,  5.82e+08),
           (-0.570, -1.81e+09),
           (-0.567,  6.77e+08),
           (-0.564, -1.20e+09),
           (-0.560, -1.01e+09),
           (-0.557,  2.09e+08),
           (-0.550, -7.75e+08),
           (-0.547,  1.25e+07),
           (-0.543, -6.37e+08),
           (-0.540, -1.57e+09),
           (-0.537, -1.73e+08),
           (-0.533,  4.68e+08),
           (-0.530, -1.43e+09),
           (-0.527, -4.14e+08),
           (-0.523, -1.40e+09),
           (-0.520, -9.11e+08),
           (-0.516, -2.62e+08),
           (-0.513, -5.73e+08),
           (-0.510, -2.60e+08),
           (-0.506,  7.81e+08),
           (-0.503, -8.59e+08),
           (-0.500, -4.43e+08),
           (-0.496, -1.53e+09),
           (-0.493, -1.06e+08),
           (-0.489,  3.22e+08),
           (-0.486, -1.29e+09),
           (-0.483, -5.98e+08),
           (-0.479,  2.03e+09),
           (-0.476, -5.56e+08),
           (-0.473, -2.26e+09),
           (-0.469,  1.12e+09),
           (-0.466, -1.64e+09),
           (-0.462, -1.63e+08),
           (-0.459, -4.51e+08),
           (-0.456,  1.09e+08),
           (-0.452, -5.78e+08),
           (-0.449,  4.91e+08),
           (-0.446, -1.32e+09),
           (-0.442, -3.42e+07),
           (-0.439,  8.16e+08),
           (-0.435,  4.77e+08),
           (-0.432, -5.46e+07),
           (-0.429, -9.57e+07),
           (-0.425, -3.21e+08),
           (-0.422, -2.93e+08),
           (-0.418, -1.02e+08),
           (-0.415, -1.51e+09),
           (-0.412, -5.91e+08),
           (-0.408, -1.34e+09),
           (-0.405,  2.10e+08),
           (-0.402, -4.64e+08),
           (-0.398,  4.80e+08),
           (-0.395, -9.68e+08),
           (-0.392, -8.34e+08),
           (-0.388,  5.89e+07),
           (-0.385, -3.83e+07),
           (-0.381, -5.61e+08),
           (-0.378, -2.04e+09),
           (-0.371, -2.40e+08),
           (-0.368,  2.91e+08),
           (-0.365, -1.13e+09),
           (-0.361,  1.13e+09),
           (-0.358, -7.02e+08),
           (-0.354,  2.19e+07),
           (-0.351, -1.28e+09),
           (-0.348, -1.67e+09),
           (-0.344,  1.36e+09),
           (-0.341, -1.68e+09),
           (-0.338,  1.23e+08),
           (-0.334, -1.12e+09),
           (-0.331, -8.95e+08),
           (-0.327,  3.82e+08),
           (-0.324, -1.12e+09),
           (-0.321, -2.39e+08),
           (-0.314, -1.49e+09),
           (-0.310, -5.87e+08),
           (-0.307, -1.67e+09),
           (-0.304, -1.31e+09),
           (-0.300, -4.04e+08),
           (-0.297, -1.56e+09),
           (-0.294, -1.96e+08),
           (-0.290, -1.10e+09),
           (-0.283, -2.81e+08),
           (-0.280, -7.05e+07),
           (-0.277, -6.62e+08),
           (-0.273, -9.28e+08),
           (-0.270, -2.01e+09),
           (-0.267, -5.71e+08),
           (-0.263,  4.18e+08),
           (-0.260, -3.95e+08),
           (-0.257,  1.00e+09),
           (-0.253, -1.52e+09),
           (-0.250, -6.94e+08),
           (-0.246, -1.73e+08),
           (-0.243, -8.33e+08),
           (-0.240, -2.53e+09),
           (-0.236, -1.49e+09),
           (-0.233, -8.85e+08),
           (-0.230, -1.98e+09),
           (-0.226, -4.08e+08),
           (-0.223, -6.95e+08),
           (-0.219, -8.14e+08),
           (-0.216, -2.56e+09),
           (-0.213,  2.04e+08),
           (-0.209, -1.91e+08),
           (-0.206, -7.78e+08),
           (-0.202, -1.94e+08),
           (-0.199, -2.20e+08),
           (-0.196,  3.33e+08),
           (-0.192,  7.01e+08),
           (-0.189,  2.18e+08),
           (-0.186, -1.22e+09),
           (-0.182,  3.14e+08),
           (-0.179, -7.30e+08),
           (-0.175, -3.85e+08),
           (-0.172, -5.62e+08),
           (-0.169, -2.25e+09),
           (-0.165, -1.45e+09),
           (-0.162, -1.04e+09),
           (-0.159, -5.05e+08),
           (-0.155, -1.52e+09),
           (-0.152, -1.31e+08),
           (-0.148, -6.80e+08),
           (-0.145, -1.49e+09),
           (-0.142, -6.20e+08),
           (-0.138, -1.70e+09),
           (-0.135, -1.19e+09),
           (-0.132,  6.52e+08),
           (-0.128, -1.06e+09),
           (-0.125, -5.68e+07),
           (-0.121, -1.29e+09),
           (-0.118, -9.04e+08),
           (-0.115, -1.17e+09),
           (-0.111, -1.19e+09),
           (-0.108, -3.89e+08),
           (-0.105, -4.77e+08),
           (-0.101, -8.59e+08),
           (-0.098,  3.47e+08),
           (-0.095, -1.11e+09),
           (-0.091, -1.11e+09),
           (-0.088, -1.76e+08),
           (-0.084, -5.39e+08),
           (-0.081, -1.89e+09),
           (-0.078, -4.32e+08),
           (-0.074, -9.78e+07),
           (-0.071, -7.47e+08),
           (-0.067, -1.07e+09),
           (-0.064, -1.20e+09),
           (-0.061,  1.48e+09),
           (-0.057, -5.08e+08),
           (-0.054, -1.30e+09),
           (-0.051, -8.00e+08),
           (-0.047, -2.62e+07),
           (-0.044, -3.80e+08),
           (-0.040,  1.08e+09),
           (-0.037,  1.03e+08),
           (-0.034,  8.03e+08),
           (-0.030,  6.93e+08),
           (-0.024,  1.52e+09),
           (-0.020,  9.56e+08),
           (-0.017,  1.48e+09),
           (-0.013, -3.93e+08),
           (-0.010,  2.23e+09),
           (-0.007,  2.69e+09),
           (-0.003,  5.96e+08),
           ( 0.000,  2.23e+09),
           ( 0.003,  2.00e+09),
           ( 0.007,  1.43e+09),
           ( 0.010,  2.50e+09),
           ( 0.014,  1.80e+09),
           ( 0.017,  5.61e+08),
           ( 0.020,  2.92e+09),
           ( 0.024,  2.09e+09),
           ( 0.027,  2.10e+09),
           ( 0.030,  2.90e+09),
           ( 0.034,  2.42e+09),
           ( 0.037,  1.49e+09),
           ( 0.041,  1.34e+09),
           ( 0.044,  2.90e+08),
           ( 0.047,  1.77e+09),
           ( 0.051,  4.96e+08),
           ( 0.054,  1.60e+09),
           ( 0.057,  1.07e+09),
           ( 0.061,  2.44e+09),
           ( 0.064,  3.41e+09),
           ( 0.071,  6.52e+09),
           ( 0.074,  6.05e+09),
           ( 0.078,  7.31e+09),
           ( 0.081,  6.80e+09),
           ( 0.084,  7.41e+09),
           ( 0.091,  8.92e+09),
           ( 0.094,  1.06e+10),
           ( 0.098,  1.33e+10),
           ( 0.101,  1.34e+10),
           ( 0.105,  1.30e+10),
           ( 0.108,  1.49e+10),
           ( 0.111,  1.49e+10),
           ( 0.115,  1.58e+10),
           ( 0.118,  1.64e+10),
           ( 0.122,  1.60e+10),
           ( 0.125,  1.80e+10),
           ( 0.128,  1.88e+10),
           ( 0.135,  2.15e+10),
           ( 0.138,  1.95e+10),
           ( 0.145,  2.21e+10),
           ( 0.149,  2.09e+10),
           ( 0.152,  2.13e+10),
           ( 0.155,  2.19e+10),
           ( 0.159,  2.21e+10),
           ( 0.162,  2.33e+10),
           ( 0.165,  2.13e+10),
           ( 0.169,  2.22e+10),
           ( 0.172,  2.35e+10),
           ( 0.176,  2.35e+10),
           ( 0.179,  2.36e+10),
           ( 0.182,  2.57e+10),
           ( 0.186,  2.51e+10),
           ( 0.189,  2.42e+10),
           ( 0.192,  2.50e+10),
           ( 0.196,  2.36e+10),
           ( 0.199,  2.08e+10),
           ( 0.203,  2.14e+10),
           ( 0.206,  2.22e+10),
           ( 0.209,  2.38e+10),
           ( 0.213,  2.10e+10),
           ( 0.216,  2.20e+10),
           ( 0.219,  2.11e+10),
           ( 0.223,  1.88e+10),
           ( 0.226,  2.25e+10),
           ( 0.229,  2.05e+10),
           ( 0.233,  2.08e+10),
           ( 0.236,  2.02e+10),
           ( 0.240,  1.84e+10),
           ( 0.243,  1.83e+10),
           ( 0.246,  1.77e+10),
           ( 0.250,  1.69e+10),
           ( 0.253,  1.71e+10),
           ( 0.257,  1.68e+10),
           ( 0.260,  1.61e+10),
           ( 0.263,  1.37e+10),
           ( 0.267,  1.46e+10),
           ( 0.270,  1.51e+10),
           ( 0.273,  1.43e+10),
           ( 0.277,  1.33e+10),
           ( 0.280,  1.41e+10),
           ( 0.284,  1.37e+10),
           ( 0.287,  1.32e+10),
           ( 0.290,  1.18e+10),
           ( 0.294,  1.18e+10),
           ( 0.297,  1.16e+10),
           ( 0.300,  1.26e+10),
           ( 0.304,  1.34e+10),
           ( 0.307,  1.09e+10),
           ( 0.311,  1.03e+10),
           ( 0.314,  1.04e+10),
           ( 0.317,  1.04e+10),
           ( 0.321,  9.64e+09),
           ( 0.324,  1.07e+10),
           ( 0.327,  8.53e+09),
           ( 0.331,  9.66e+09),
           ( 0.334,  8.80e+09),
           ( 0.338,  1.01e+10),
           ( 0.341,  8.54e+09),
           ( 0.344,  9.95e+09),
           ( 0.348,  8.09e+09),
           ( 0.351,  9.62e+09),
           ( 0.358,  7.58e+09),
           ( 0.361,  7.33e+09),
           ( 0.364,  7.64e+09),
           ( 0.371,  5.52e+09),
           ( 0.375,  5.93e+09),
           ( 0.378,  6.54e+09),
           ( 0.381,  6.14e+09),
           ( 0.385,  7.19e+09),
           ( 0.388,  5.73e+09),
           ( 0.392,  7.22e+09),
           ( 0.395,  5.79e+09),
           ( 0.398,  6.50e+09),
           ( 0.402,  7.69e+09),
           ( 0.405,  6.54e+09),
           ( 0.408,  8.48e+09),
