Bolide Detection Notification: 2009-184

At 04:02:00 UT on 03 Jul 2009, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.31e+10 watts/steradian, and total radiated flash
energy 2.84e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.199, -1.55e+08),
           (-0.196, -6.31e+07),
           (-0.192, -3.09e+08),
           (-0.189, -9.68e+08),
           (-0.186, -4.42e+08),
           (-0.182, -3.79e+08),
           (-0.179, -3.98e+08),
           (-0.176, -3.97e+08),
           (-0.172, -8.84e+08),
           (-0.169, -1.13e+09),
           (-0.165, -4.35e+08),
           (-0.159, -7.88e+08),
           (-0.155, -6.99e+08),
           (-0.152, -5.83e+08),
           (-0.149, -8.61e+07),
           (-0.145, -2.93e+08),
           (-0.142, -2.67e+08),
           (-0.138, -5.04e+08),
           (-0.135,  7.39e+07),
           (-0.132, -4.79e+08),
           (-0.128,  4.18e+08),
           (-0.125, -2.66e+08),
           (-0.121, -6.23e+08),
           (-0.118, -4.71e+08),
           (-0.115, -5.94e+08),
           (-0.111, -5.92e+08),
           (-0.108, -7.37e+08),
           (-0.105,  5.17e+08),
           (-0.101, -9.45e+08),
           (-0.098, -3.01e+08),
           (-0.095, -3.25e+08),
           (-0.091, -5.85e+08),
           (-0.088,  4.72e+08),
           (-0.084,  1.08e+08),
           (-0.081, -3.98e+08),
           (-0.078,  1.15e+08),
           (-0.074, -5.23e+08),
           (-0.071,  3.53e+08),
           (-0.068, -8.15e+08),
           (-0.064, -3.81e+08),
           (-0.061, -9.56e+08),
           (-0.057, -6.53e+08),
           (-0.054, -1.33e+09),
           (-0.051,  1.21e+08),
           (-0.047, -1.36e+09),
           (-0.044, -5.87e+08),
           (-0.040,  2.73e+08),
           (-0.037, -8.16e+08),
           (-0.034, -6.08e+08),
           (-0.030, -1.30e+09),
           (-0.027, -8.84e+08),
           (-0.024,  1.29e+08),
           (-0.020, -7.65e+08),
           (-0.017,  2.13e+07),
           (-0.014,  1.49e+09),
           (-0.010,  3.17e+09),
           (-0.007,  2.88e+09),
           ( 0.000,  5.49e+09),
           ( 0.003,  8.44e+09),
           ( 0.007,  9.56e+09),
           ( 0.010,  1.14e+10),
           ( 0.014,  1.22e+10),
           ( 0.017,  1.14e+10),
           ( 0.020,  1.10e+10),
           ( 0.024,  1.07e+10),
           ( 0.027,  1.07e+10),
           ( 0.030,  1.09e+10),
           ( 0.034,  1.01e+10),
           ( 0.037,  1.02e+10),
           ( 0.040,  9.38e+09),
           ( 0.044,  9.12e+09),
           ( 0.047,  9.30e+09),
           ( 0.051,  8.31e+09),
           ( 0.054,  7.91e+09),
           ( 0.057,  9.03e+09),
           ( 0.061,  9.34e+09),
           ( 0.064,  1.06e+10),
           ( 0.067,  1.08e+10),
           ( 0.071,  1.07e+10),
           ( 0.074,  1.12e+10),
           ( 0.078,  1.16e+10),
           ( 0.081,  1.25e+10),
           ( 0.084,  1.20e+10),
           ( 0.088,  1.18e+10),
           ( 0.091,  1.18e+10),
           ( 0.098,  1.02e+10),
           ( 0.101,  1.01e+10),
           ( 0.105,  9.69e+09),
           ( 0.108,  9.11e+09),
           ( 0.111,  9.85e+09),
           ( 0.115,  1.01e+10),
           ( 0.118,  1.06e+10),
           ( 0.121,  1.16e+10),
           ( 0.125,  1.11e+10),
           ( 0.128,  1.12e+10),
           ( 0.132,  1.16e+10),
           ( 0.135,  1.26e+10),
           ( 0.138,  1.07e+10),
           ( 0.142,  1.03e+10),
           ( 0.145,  1.05e+10),
           ( 0.149,  1.02e+10),
           ( 0.152,  1.10e+10),
           ( 0.155,  1.15e+10),
           ( 0.159,  1.14e+10),
           ( 0.162,  1.11e+10),
           ( 0.165,  1.03e+10),
           ( 0.169,  8.47e+09),
           ( 0.172,  8.20e+09),
           ( 0.175,  7.46e+09),
           ( 0.179,  7.54e+09),
           ( 0.182,  7.20e+09),
           ( 0.186,  6.41e+09),
           ( 0.189,  6.41e+09),
           ( 0.196,  4.79e+09),
           ( 0.199,  3.55e+09),
           ( 0.202,  4.12e+09),
           ( 0.206,  3.54e+09),
           ( 0.209,  3.42e+09),
           ( 0.213,  3.56e+09),
           ( 0.216,  2.34e+09),
           ( 0.219,  2.28e+09),
           ( 0.223,  2.02e+09),
           ( 0.226,  2.67e+09),
           ( 0.233,  1.71e+09),
           ( 0.236,  1.93e+09),
           ( 0.240,  1.43e+09),
           ( 0.243,  1.86e+09),
           ( 0.246,  8.81e+08),
           ( 0.250,  2.83e+08),
           ( 0.253,  9.93e+08),
           ( 0.257,  1.72e+08),
           ( 0.260,  8.65e+08),
           ( 0.263,  6.70e+08),
           ( 0.267,  7.93e+08),
           ( 0.270,  4.42e+08),
           ( 0.273,  9.16e+08),
           ( 0.277,  3.68e+08),
           ( 0.280,  5.84e+08),
           ( 0.283, -4.72e+08),
           ( 0.287,  5.25e+08),
           ( 0.290,  1.13e+09),
           ( 0.294, -2.41e+08),
           ( 0.297, -2.43e+08),
           ( 0.300,  2.54e+08),
           ( 0.304, -1.35e+08),
           ( 0.307, -2.53e+08),
           ( 0.310, -1.36e+08),
           ( 0.314, -4.39e+08),
           ( 0.317,  1.30e+08),
           ( 0.321,  1.86e+08),
           ( 0.324,  2.13e+08),
           ( 0.327, -1.65e+08),
           ( 0.331, -2.21e+07),
           ( 0.334, -1.78e+08),
           ( 0.337, -6.02e+08),
           ( 0.341, -2.94e+08),
           ( 0.344, -1.33e+09),
           ( 0.348, -4.79e+08),
           ( 0.351,  7.14e+08),
           ( 0.354, -1.25e+08),
           ( 0.358, -8.85e+08),
           ( 0.361,  4.67e+08),
           ( 0.364, -2.21e+08),
           ( 0.368,  6.89e+06),
           ( 0.371, -2.22e+08),
           ( 0.375, -8.41e+08),
           ( 0.378, -4.07e+08),
           ( 0.381,  5.30e+08),
           ( 0.385,  1.48e+08),
           ( 0.388,  6.11e+08),
           ( 0.392, -4.48e+08),
           ( 0.395, -3.92e+08),
           ( 0.398, -7.08e+08),
           ( 0.402,  6.16e+08),
           ( 0.405,  1.48e+08),
           ( 0.408, -1.69e+08),
           ( 0.412, -1.08e+09),
           ( 0.415, -2.01e+08),
           ( 0.418, -5.90e+08),
           ( 0.422, -1.44e+08),
           ( 0.425, -2.22e+08),
           ( 0.429, -6.23e+07),
           ( 0.432,  3.76e+08),
           ( 0.435, -2.13e+08),
           ( 0.439,  5.54e+08),
           ( 0.442,  3.30e+08),
           ( 0.445,  5.78e+08),
           ( 0.449,  1.28e+08),
           ( 0.452,  1.13e+09),
           ( 0.456,  5.53e+08),
           ( 0.459,  4.36e+08),
           ( 0.462,  6.69e+08),
           ( 0.466, -8.78e+07),
           ( 0.469,  7.01e+08),
           ( 0.472,  5.14e+08),
           ( 0.476, -4.39e+08),
           ( 0.479, -7.12e+08),
           ( 0.483,  3.11e+07),
           ( 0.489, -2.96e+08),
           ( 0.493,  1.13e+09),
           ( 0.499,  2.06e+08),
           ( 0.503,  2.14e+08),
           ( 0.506,  2.86e+08),
           ( 0.510, -7.62e+08),
           ( 0.513,  2.42e+08),
           ( 0.516,  6.79e+08),
           ( 0.520, -8.28e+08),
           ( 0.523,  1.02e+08),
           ( 0.526,  1.21e+08),
           ( 0.530,  9.63e+08),
           ( 0.533,  1.12e+08),
           ( 0.537, -1.29e+09),
           ( 0.540,  1.91e+07),
           ( 0.543,  1.76e+07),
           ( 0.547, -4.73e+08),
           ( 0.550, -2.00e+08),
           ( 0.557, -9.58e+08),
           ( 0.560, -4.48e+08),
           ( 0.564, -1.34e+08),
           ( 0.567, -7.03e+08),
           ( 0.570, -1.11e+09),
           ( 0.574, -1.01e+09),
           ( 0.577, -4.06e+08),
           ( 0.580, -2.35e+07),
           ( 0.584,  7.28e+08),
           ( 0.587, -7.78e+08),
           ( 0.591,  5.02e+06),
           ( 0.594, -7.24e+08),
           ( 0.597, -4.20e+08),
           ( 0.601, -9.23e+08),
           ( 0.604, -4.80e+08),
           ( 0.607, -5.27e+08),
           ( 0.611, -6.24e+08),
           ( 0.614, -4.82e+08),
           ( 0.618, -7.33e+08),
           ( 0.621, -1.04e+09),
           ( 0.624, -7.52e+08),
           ( 0.628, -5.00e+08),
           ( 0.631, -4.25e+08),
           ( 0.635, -5.42e+08),
           ( 0.638, -4.91e+08),
           ( 0.641, -2.72e+08),
           ( 0.645, -8.48e+07),
           ( 0.648, -6.06e+08),
           ( 0.651, -2.90e+08),
           ( 0.655,  2.42e+08),
           ( 0.658,  3.63e+08),
           ( 0.661, -6.19e+08),
           ( 0.665,  1.61e+08),
           ( 0.668, -6.66e+08),
           ( 0.672, -1.86e+08),
           ( 0.675, -3.22e+08),
           ( 0.678,  7.65e+07),
           ( 0.682,  2.77e+08),
           ( 0.685, -7.23e+08),
           ( 0.688, -4.89e+08),
           ( 0.692,  3.90e+08),
           ( 0.695,  1.53e+08),
           ( 0.699, -4.39e+08),
           ( 0.702, -1.46e+09),
           ( 0.705, -5.29e+08),
           ( 0.709, -4.54e+08),
           ( 0.712, -2.94e+08),
           ( 0.715,  3.96e+08),
           ( 0.719, -7.42e+08),
           ( 0.722, -3.43e+08),
           ( 0.726, -8.62e+08),
           ( 0.729,  1.98e+08),
           ( 0.732, -1.82e+08),
           ( 0.736, -3.09e+08),
           ( 0.739, -1.50e+08),
           ( 0.742, -1.30e+09),
           ( 0.746,  4.62e+07),
           ( 0.749, -8.54e+08),
           ( 0.753, -8.16e+07),
           ( 0.756, -3.84e+08),
           ( 0.759, -7.16e+08),
           ( 0.763, -3.03e+08),
           ( 0.766, -1.40e+08),
           ( 0.770, -7.41e+08),
           ( 0.773, -4.81e+07),
           ( 0.776,  2.19e+08),
           ( 0.780,  6.23e+08),
           ( 0.783,  1.03e+08),
           ( 0.786,  5.54e+08),
           ( 0.790, -2.94e+08),
           ( 0.793, -1.80e+08),
           ( 0.796, -2.47e+08),
           ( 0.800, -2.61e+07),
           ( 0.800, -2.61e+07)]
