Bolide Detection Notification: 2009-281

At 02:57:14 on 08 October 2009, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was 4.2S, 120.6E.

Based on the visible-light intensity-time signature, peak brightness of the flash was
determined to be approximately 2.05e12 watts/steradian, and total radiated flash
energy 1.98e13 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.597, -2.05e+08),
           (-0.587, -9.82e+08),
           (-0.580,  8.45e+08),
           (-0.577, -1.90e+09),
           (-0.574, -1.30e+09),
           (-0.570, -2.05e+09),
           (-0.567, -7.33e+08),
           (-0.557, -3.16e+09),
           (-0.553, -2.36e+09),
           (-0.550, -4.06e+09),
           (-0.547, -2.55e+09),
           (-0.537, -5.00e+09),
           (-0.533, -2.20e+09),
           (-0.530, -2.61e+09),
           (-0.526, -4.84e+09),
           (-0.520, -2.92e+09),
           (-0.516, -3.44e+09),
           (-0.513, -5.39e+09),
           (-0.506, -3.61e+09),
           (-0.503, -6.54e+09),
           (-0.496, -5.66e+09),
           (-0.476, -7.07e+09),
           (-0.472, -4.31e+09),
           (-0.459, -6.67e+09),
           (-0.456, -5.63e+09),
           (-0.442, -8.51e+09),
           (-0.439, -6.73e+09),
           (-0.418, -7.40e+09),
           (-0.415, -9.31e+09),
           (-0.412, -8.30e+09),
           (-0.381, -1.12e+10),
           (-0.378, -9.11e+09),
           (-0.361, -1.22e+10),
           (-0.358, -1.09e+10),
           (-0.354, -1.17e+10),
           (-0.351, -9.82e+09),
           (-0.344, -1.15e+10),
           (-0.341, -9.49e+09),
           (-0.324, -1.41e+10),
           (-0.321, -1.08e+10),
           (-0.314, -1.34e+10),
           (-0.297, -1.17e+10),
           (-0.287, -1.43e+10),
           (-0.260, -1.58e+10),
           (-0.256, -1.35e+10),
           (-0.223, -1.72e+10),
           (-0.219, -1.63e+10),
           (-0.213, -1.78e+10),
           (-0.209, -1.71e+10),
           (-0.206, -1.91e+10),
           (-0.202, -1.77e+10),
           (-0.192, -1.84e+10),
           (-0.162, -1.93e+10),
           (-0.148, -1.99e+10),
           (-0.145, -2.17e+10),
           (-0.142, -2.07e+10),
           (-0.135, -2.19e+10),
           (-0.128, -1.97e+10),
           (-0.125, -2.30e+10),
           (-0.121, -2.13e+10),
           (-0.081, -2.34e+10),
           (-0.078, -2.11e+10),
           (-0.074, -2.42e+10),
           (-0.067, -2.26e+10),
           (-0.061, -2.50e+10),
           (-0.054, -2.37e+10),
           (-0.051, -2.54e+10),
           (-0.047, -2.43e+10),
           (-0.027, -2.49e+10),
           (-0.007, -2.36e+10),
           (-0.003, -2.53e+10),
           ( 0.000, -2.35e+10),
           ( 0.007, -2.43e+10),
           ( 0.010, -2.34e+10),
           ( 0.024, -2.57e+10),
           ( 0.034, -2.38e+10),
           ( 0.037, -2.56e+10),
           ( 0.057, -2.61e+10),
           ( 0.064, -2.28e+10),
           ( 0.068, -2.50e+10),
           ( 0.074, -2.52e+10),
           ( 0.081, -2.71e+10),
           ( 0.088, -2.53e+10),
           ( 0.095, -2.62e+10),
           ( 0.098, -2.45e+10),
           ( 0.105, -2.39e+10),
           ( 0.108, -2.50e+10),
           ( 0.122, -2.36e+10),
           ( 0.125, -2.53e+10),
           ( 0.135, -2.45e+10),
           ( 0.138, -2.58e+10),
           ( 0.182, -2.56e+10),
           ( 0.186, -2.61e+10),
           ( 0.189, -2.52e+10),
           ( 0.196, -2.63e+10),
           ( 0.223, -2.64e+10),
           ( 0.226, -2.28e+10),
           ( 0.230, -2.46e+10),
           ( 0.240, -2.31e+10),
           ( 0.243, -2.11e+10),
           ( 0.250, -2.17e+10),
           ( 0.263, -2.17e+10),
           ( 0.270, -2.01e+10),
           ( 0.273, -2.07e+10),
           ( 0.280, -1.75e+10),
           ( 0.284, -2.05e+10),
           ( 0.287, -1.84e+10),
           ( 0.317, -1.49e+10),
           ( 0.321, -1.66e+10),
           ( 0.324, -1.49e+10),
           ( 0.327, -1.58e+10),
           ( 0.331, -1.42e+10),
           ( 0.334, -1.47e+10),
           ( 0.338, -1.29e+10),
           ( 0.344, -1.39e+10),
           ( 0.351, -1.07e+10),
           ( 0.354, -1.11e+10),
           ( 0.358, -8.47e+09),
           ( 0.361, -1.02e+10),
           ( 0.368, -7.17e+09),
           ( 0.378, -7.85e+09),
           ( 0.381, -4.57e+09),
           ( 0.388, -5.50e+09),
           ( 0.429,  8.15e+09),
           ( 0.439,  8.70e+09),
           ( 0.456,  1.72e+10),
           ( 0.459,  1.76e+10),
           ( 0.466,  2.28e+10),
           ( 0.469,  2.34e+10),
           ( 0.483,  2.81e+10),
           ( 0.489,  2.82e+10),
           ( 0.496,  3.29e+10),
           ( 0.500,  3.11e+10),
           ( 0.506,  3.58e+10),
           ( 0.510,  3.54e+10),
           ( 0.513,  3.79e+10),
           ( 0.520,  3.92e+10),
           ( 0.523,  4.18e+10),
           ( 0.527,  4.22e+10),
           ( 0.543,  5.42e+10),
           ( 0.547,  5.44e+10),
           ( 0.557,  6.14e+10),
           ( 0.560,  6.09e+10),
           ( 0.564,  6.48e+10),
           ( 0.591,  8.30e+10),
           ( 0.618,  1.09e+11),
           ( 0.638,  1.44e+11),
           ( 0.641,  1.48e+11),
           ( 0.645,  1.56e+11),
           ( 0.658,  1.76e+11),
           ( 0.665,  1.92e+11),
           ( 0.675,  2.11e+11),
           ( 0.689,  2.40e+11),
           ( 0.716,  3.33e+11),
           ( 0.736,  3.91e+11),
           ( 0.742,  4.05e+11),
           ( 0.786,  5.08e+11),
           ( 0.790,  5.19e+11),
           ( 0.793,  5.24e+11),
           ( 0.797,  5.35e+11),
           ( 0.800,  5.40e+11),
           ( 0.820,  5.92e+11),
           ( 0.840,  6.61e+11),
           ( 0.857,  7.17e+11),
           ( 0.861,  7.24e+11),
           ( 0.881,  7.54e+11),
           ( 0.894,  7.68e+11),
           ( 0.911,  7.98e+11),
           ( 0.921,  8.23e+11),
           ( 0.925,  8.27e+11),
           ( 0.931,  8.40e+11),
           ( 0.959,  9.12e+11),
           ( 0.962,  9.15e+11),
           ( 0.965,  9.25e+11),
           ( 0.972,  9.32e+11),
           ( 0.975,  9.40e+11),
           ( 1.029,  1.15e+12),
           ( 1.046,  1.23e+12),
           ( 1.070,  1.32e+12),
           ( 1.107,  1.54e+12),
           ( 1.117,  1.57e+12),
           ( 1.121,  1.58e+12),
           ( 1.124,  1.58e+12),
           ( 1.131,  1.58e+12),
           ( 1.134,  1.57e+12),
           ( 1.141,  1.57e+12),
           ( 1.144,  1.57e+12),
           ( 1.148,  1.58e+12),
           ( 1.161,  1.61e+12),
           ( 1.164,  1.61e+12),
           ( 1.168,  1.60e+12),
           ( 1.171,  1.59e+12),
           ( 1.174,  1.58e+12),
           ( 1.181,  1.54e+12),
           ( 1.191,  1.49e+12),
           ( 1.202,  1.47e+12),
           ( 1.205,  1.46e+12),
           ( 1.212,  1.47e+12),
           ( 1.215,  1.48e+12),
           ( 1.222,  1.49e+12),
           ( 1.225,  1.49e+12),
           ( 1.229,  1.50e+12),
           ( 1.239,  1.54e+12),
           ( 1.245,  1.56e+12),
           ( 1.252,  1.56e+12),
           ( 1.259,  1.56e+12),
           ( 1.282,  1.60e+12),
           ( 1.286,  1.61e+12),
           ( 1.289,  1.61e+12),
           ( 1.293,  1.61e+12),
           ( 1.296,  1.61e+12),
           ( 1.299,  1.61e+12),
           ( 1.310,  1.60e+12),
           ( 1.326,  1.55e+12),
           ( 1.333,  1.54e+12),
           ( 1.340,  1.53e+12),
           ( 1.343,  1.53e+12),
           ( 1.350,  1.50e+12),
           ( 1.377,  1.39e+12),
           ( 1.380,  1.38e+12),
           ( 1.387,  1.37e+12),
           ( 1.404,  1.34e+12),
           ( 1.407,  1.33e+12),
           ( 1.411,  1.33e+12),
           ( 1.438,  1.25e+12),
           ( 1.448,  1.23e+12),
           ( 1.475,  1.17e+12),
           ( 1.492,  1.15e+12),
           ( 1.499,  1.15e+12),
           ( 1.512,  1.14e+12),
           ( 1.515,  1.14e+12),
           ( 1.519,  1.14e+12),
           ( 1.522,  1.13e+12),
           ( 1.529,  1.13e+12),
           ( 1.536,  1.14e+12),
           ( 1.539,  1.14e+12),
           ( 1.549,  1.15e+12),
           ( 1.552,  1.15e+12),
           ( 1.559,  1.15e+12),
           ( 1.566,  1.13e+12),
           ( 1.576,  1.11e+12),
           ( 1.586,  1.11e+12),
           ( 1.590,  1.11e+12),
           ( 1.600,  1.07e+12),
           ( 1.610,  1.05e+12),
           ( 1.613,  1.04e+12),
           ( 1.617,  1.03e+12),
           ( 1.634,  9.68e+11),
           ( 1.667,  8.16e+11),
           ( 1.893,  3.56e+11),
           ( 1.958,  2.26e+11),
           ( 1.964,  2.17e+11),
           ( 1.998,  1.90e+11),
           ( 2.001,  1.83e+11),
           ( 2.005,  1.83e+11),
           ( 2.015,  1.74e+11),
           ( 2.022,  1.72e+11),
           ( 2.025,  1.68e+11),
           ( 2.028,  1.68e+11),
           ( 2.032,  1.65e+11),
           ( 2.035,  1.61e+11),
           ( 2.042,  1.58e+11),
           ( 2.082,  1.34e+11),
           ( 2.086,  1.34e+11),
           ( 2.089,  1.29e+11),
           ( 2.093,  1.29e+11),
           ( 2.096,  1.28e+11),
           ( 2.106,  1.26e+11),
           ( 2.109,  1.22e+11),
           ( 2.123,  1.18e+11),
           ( 2.126,  1.15e+11),
           ( 2.133,  1.15e+11),
           ( 2.136,  1.11e+11),
           ( 2.140,  1.10e+11),
           ( 2.143,  1.11e+11),
           ( 2.146,  1.07e+11),
           ( 2.153,  1.07e+11),
           ( 2.160,  1.02e+11),
           ( 2.163,  1.03e+11),
           ( 2.167,  1.01e+11),
           ( 2.170,  1.01e+11),
           ( 2.180,  9.75e+10),
           ( 2.194,  9.57e+10),
           ( 2.197,  9.15e+10),
           ( 2.200,  9.19e+10),
           ( 2.204,  9.00e+10),
           ( 2.207,  9.05e+10),
           ( 2.217,  8.73e+10),
           ( 2.221,  8.91e+10),
           ( 2.231,  8.49e+10),
           ( 2.251,  8.17e+10),
           ( 2.258,  7.74e+10),
           ( 2.261,  7.76e+10),
           ( 2.265,  7.93e+10),
           ( 2.268,  7.57e+10),
           ( 2.271,  7.70e+10),
           ( 2.275,  7.45e+10),
           ( 2.282,  7.47e+10),
           ( 2.285,  7.09e+10),
           ( 2.288,  7.34e+10),
           ( 2.292,  7.38e+10),
           ( 2.298,  7.18e+10),
           ( 2.302,  7.33e+10),
           ( 2.309,  6.88e+10),
           ( 2.312,  7.00e+10),
           ( 2.315,  6.82e+10),
           ( 2.332,  6.66e+10),
           ( 2.335,  6.49e+10),
           ( 2.339,  6.66e+10),
           ( 2.349,  6.56e+10),
           ( 2.362,  6.29e+10),
           ( 2.376,  5.90e+10),
           ( 2.383,  6.09e+10),
           ( 2.386,  5.98e+10),
           ( 2.389,  6.03e+10),
           ( 2.393,  5.74e+10),
           ( 2.403,  5.97e+10),
           ( 2.406,  5.80e+10),
           ( 2.410,  5.78e+10),
           ( 2.417,  5.48e+10),
           ( 2.420,  5.57e+10),
           ( 2.427,  5.36e+10),
           ( 2.430,  5.47e+10),
           ( 2.460,  4.99e+10),
           ( 2.464,  5.12e+10),
           ( 2.467,  4.86e+10),
           ( 2.471,  5.00e+10),
           ( 2.474,  4.91e+10),
           ( 2.481,  4.95e+10),
           ( 2.501,  4.71e+10),
           ( 2.508,  4.70e+10),
           ( 2.511,  4.50e+10),
           ( 2.518,  4.67e+10),
           ( 2.521,  4.51e+10),
           ( 2.524,  4.73e+10),
           ( 2.528,  4.59e+10),
           ( 2.531,  4.64e+10),
           ( 2.538,  4.25e+10),
           ( 2.551,  4.45e+10),
           ( 2.555,  4.18e+10),
           ( 2.558,  4.28e+10),
           ( 2.575,  4.05e+10),
           ( 2.595,  4.12e+10),
           ( 2.602,  3.96e+10),
           ( 2.606,  4.07e+10),
           ( 2.609,  3.85e+10),
           ( 2.612,  3.93e+10),
           ( 2.616,  4.23e+10),
           ( 2.619,  3.86e+10),
           ( 2.636,  3.80e+10),
           ( 2.639,  3.62e+10),
           ( 2.643,  3.76e+10),
           ( 2.646,  3.62e+10),
           ( 2.649,  3.78e+10),
           ( 2.653,  3.66e+10),
           ( 2.656,  3.91e+10),
           ( 2.659,  3.68e+10),
           ( 2.676,  3.57e+10),
           ( 2.683,  3.38e+10),
           ( 2.700,  3.46e+10),
           ( 2.707,  3.13e+10),
           ( 2.713,  3.41e+10),
           ( 2.717,  3.11e+10),
           ( 2.720,  3.30e+10),
           ( 2.724,  3.19e+10),
           ( 2.734,  3.34e+10),
           ( 2.751,  3.17e+10),
           ( 2.754,  2.91e+10),
           ( 2.757,  3.02e+10),
           ( 2.784,  2.86e+10),
           ( 2.795,  2.61e+10),
           ( 2.801,  2.88e+10),
           ( 2.805,  2.57e+10),
           ( 2.828,  2.75e+10),
           ( 2.835,  2.53e+10),
           ( 2.838,  2.58e+10),
           ( 2.842,  2.36e+10),
           ( 2.865,  2.25e+10),
