Bolide Detection Notification: 2009-318

At 19:58:55 UT on 14 Nov 2009, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 8.68e+09 watts/steradian, and total radiated flash
energy 2.37e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  5.58e+08),
           (-0.996,  1.14e+09),
           (-0.989, -4.24e+07),
           (-0.986, -1.11e+08),
           (-0.982,  1.01e+09),
           (-0.979, -1.91e+08),
           (-0.975,  2.84e+08),
           (-0.972, -6.18e+08),
           (-0.969,  2.31e+08),
           (-0.962,  6.68e+08),
           (-0.959,  3.89e+08),
           (-0.955, -3.00e+08),
           (-0.948,  6.54e+08),
           (-0.945, -4.77e+08),
           (-0.942, -4.56e+08),
           (-0.938,  6.40e+08),
           (-0.935, -4.30e+08),
           (-0.932, -4.40e+08),
           (-0.928,  9.48e+08),
           (-0.925, -7.98e+08),
           (-0.921, -4.34e+08),
           (-0.915,  1.15e+08),
           (-0.911,  1.07e+07),
           (-0.908,  4.46e+08),
           (-0.905,  7.01e+08),
           (-0.901,  2.75e+08),
           (-0.898,  7.79e+08),
           (-0.894, -6.75e+08),
           (-0.891,  7.31e+08),
           (-0.888,  2.21e+08),
           (-0.884, -8.85e+08),
           (-0.881,  6.36e+08),
           (-0.878,  4.11e+08),
           (-0.874, -5.17e+08),
           (-0.871, -6.57e+08),
           (-0.867, -3.92e+08),
           (-0.864,  1.33e+09),
           (-0.861, -2.54e+08),
           (-0.857,  1.14e+07),
           (-0.854, -4.18e+08),
           (-0.847,  4.25e+07),
           (-0.844,  5.65e+08),
           (-0.840, -4.30e+07),
           (-0.837, -1.78e+08),
           (-0.834, -6.00e+08),
           (-0.830, -1.86e+09),
           (-0.827,  4.85e+08),
           (-0.824,  5.61e+08),
           (-0.820,  7.37e+08),
           (-0.813, -2.83e+07),
           (-0.810,  2.23e+07),
