Bolide Detection Notification: 2009-322

At 17:36:07 on 18 November 2009, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was 7.4N, 144.3W.

Based on the visible-light intensity-time signature, peak brightness of the flash was
determined to be approximately 8.70e9 watts/steradian, and total radiated flash
energy 8.77e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.595,  1.74e+09),
           (-1.587, -4.61e+09),
           (-1.579, -5.54e+09),
           (-1.571,  1.56e+08),
           (-1.563,  1.32e+09),
           (-1.555, -1.67e+09),
           (-1.547, -2.17e+09),
           (-1.538,  2.61e+09),
           (-1.530, -1.24e+09),
           (-1.522,  1.37e+09),
           (-1.514,  1.12e+09),
           (-1.506,  5.51e+08),
           (-1.498, -1.14e+09),
           (-1.490,  4.47e+08),
           (-1.474,  1.15e+09),
           (-1.466, -2.53e+09),
           (-1.458, -3.06e+08),
           (-1.449,  8.54e+07),
           (-1.441, -1.93e+09),
           (-1.425,  1.68e+09),
           (-1.417, -6.18e+08),
           (-1.409,  9.91e+07),
           (-1.401,  3.54e+08),
           (-1.393,  1.81e+09),
           (-1.385,  1.53e+09),
           (-1.377,  8.76e+08),
           (-1.368, -1.35e+09),
           (-1.360, -1.23e+09),
           (-1.352,  5.41e+08),
           (-1.344,  9.73e+08),
           (-1.336, -8.27e+07),
           (-1.320,  9.10e+08),
           (-1.312, -5.35e+08),
           (-1.304, -4.18e+07),
           (-1.296, -1.67e+09),
           (-1.287, -2.73e+09),
           (-1.279, -8.58e+08),
           (-1.271,  1.54e+08),
           (-1.263,  5.93e+07),
           (-1.255,  9.80e+08),
           (-1.247, -2.23e+09),
           (-1.239,  8.08e+08),
           (-1.231,  5.80e+08),
           (-1.223,  5.29e+08),
           (-1.215,  2.73e+09),
           (-1.206,  4.35e+08),
           (-1.198,  9.17e+08),
           (-1.190, -1.08e+09),
           (-1.182, -1.95e+08),
           (-1.174, -2.03e+08),
           (-1.166, -1.41e+09),
           (-1.158,  1.15e+09),
           (-1.150, -7.65e+08),
           (-1.142,  8.77e+08),
           (-1.125, -8.12e+08),
           (-1.117, -1.07e+09),
           (-1.109,  7.02e+08),
           (-1.101,  1.39e+09),
           (-1.093, -2.60e+09),
           (-1.077,  1.10e+09),
           (-1.069, -2.63e+09),
           (-1.061, -2.00e+09),
           (-1.053,  2.18e+09),
           (-1.044,  2.10e+09),
           (-1.036, -2.42e+09),
           (-1.028,  2.34e+09),
           (-1.020,  1.63e+09),
           (-1.012, -5.93e+08),
           (-1.004, -3.45e+08),
           (-0.996,  3.16e+09),
           (-0.988,  1.41e+09),
           (-0.980,  5.52e+08),
           (-0.972,  2.59e+08),
           (-0.963, -1.60e+08),
           (-0.955, -1.28e+09),
           (-0.947,  1.65e+08),
           (-0.939, -6.36e+08),
           (-0.931,  1.03e+08),
           (-0.923,  2.00e+09),
           (-0.915, -1.00e+09),
           (-0.907, -1.59e+09),
           (-0.899,  1.70e+09),
           (-0.891, -3.16e+07),
           (-0.882, -5.98e+08),
           (-0.874, -4.31e+08),
           (-0.858,  1.60e+09),
           (-0.850,  6.16e+08),
           (-0.842,  1.67e+09),
           (-0.834, -2.36e+09),
           (-0.826, -2.63e+09),
           (-0.818, -3.75e+08),
           (-0.810, -9.46e+08),
           (-0.801, -8.63e+08),
           (-0.793,  1.38e+08),
           (-0.785, -6.61e+08),
           (-0.777, -4.79e+08),
           (-0.769,  4.97e+08),
           (-0.761,  7.33e+08),
           (-0.753, -2.11e+09),
           (-0.745,  1.77e+09),
           (-0.728, -1.53e+09),
           (-0.720, -1.94e+09),
           (-0.712, -1.93e+09),
           (-0.704,  2.59e+09),
           (-0.696,  1.41e+09),
           (-0.688, -5.67e+08),
           (-0.680,  9.86e+08),
           (-0.672,  1.03e+08),
           (-0.664,  8.55e+08),
           (-0.656, -7.27e+08),
           (-0.647,  1.16e+09),
           (-0.639, -8.00e+08),
           (-0.631, -7.79e+08),
           (-0.623,  4.97e+08),
           (-0.615, -2.20e+08),
           (-0.607, -2.14e+09),
           (-0.591,  2.01e+09),
           (-0.583, -3.88e+09),
           (-0.575, -1.31e+09),
           (-0.567, -1.40e+09),
           (-0.558,  1.53e+09),
           (-0.550, -1.26e+09),
           (-0.542,  3.28e+09),
           (-0.534,  4.25e+08),
           (-0.526, -3.40e+09),
           (-0.518,  8.81e+08),
           (-0.502,  2.14e+09),
           (-0.486, -1.98e+09),
           (-0.477,  5.73e+08),
           (-0.469,  9.55e+08),
           (-0.461,  9.41e+08),
           (-0.453, -5.49e+08),
           (-0.445,  5.33e+08),
           (-0.437, -2.11e+09),
           (-0.429,  8.85e+08),
           (-0.421,  1.10e+09),
           (-0.405, -3.82e+09),
           (-0.396,  1.99e+09),
           (-0.388,  1.19e+09),
           (-0.380, -5.00e+08),
           (-0.372,  7.29e+08),
           (-0.364,  7.88e+08),
           (-0.356,  9.24e+08),
           (-0.348,  3.70e+08),
           (-0.340, -8.17e+08),
           (-0.332,  1.49e+09),
           (-0.324, -2.04e+08),
           (-0.307,  5.35e+08),
           (-0.299,  1.99e+08),
           (-0.291, -3.77e+08),
           (-0.283, -1.95e+08),
           (-0.275, -2.76e+09),
           (-0.267,  7.60e+08),
           (-0.259, -2.04e+09),
           (-0.251,  1.24e+09),
           (-0.243, -1.51e+09),
           (-0.234, -1.35e+09),
           (-0.226,  2.17e+09),
           (-0.218,  2.86e+09),
           (-0.210,  5.05e+08),
           (-0.202,  6.53e+08),
           (-0.194,  8.99e+08),
           (-0.186,  1.92e+09),
           (-0.178,  6.64e+08),
           (-0.170,  3.45e+08),
           (-0.162,  2.48e+09),
           (-0.153, -5.85e+07),
           (-0.145,  3.99e+08),
           (-0.137,  2.87e+09),
           (-0.129, -1.63e+09),
           (-0.121,  1.87e+09),
           (-0.113,  7.03e+08),
           (-0.105,  3.33e+09),
           (-0.089, -1.66e+09),
           (-0.072,  1.35e+09),
           (-0.056, -7.02e+08),
           (-0.040,  1.87e+09),
           (-0.032, -3.49e+08),
           (-0.024,  1.50e+08),
           (-0.016,  1.37e+09),
           (-0.008,  2.11e+09),
           ( 0.000,  1.49e+09),
           ( 0.009, -1.14e+09),
           ( 0.017,  8.23e+07),
           ( 0.025, -1.56e+08),
           ( 0.033,  1.25e+09),
           ( 0.049, -1.75e+09),
           ( 0.057,  1.96e+08),
           ( 0.065,  5.46e+08),
           ( 0.073,  1.82e+08),
           ( 0.082, -2.52e+09),
           ( 0.090, -3.80e+08),
           ( 0.098,  4.79e+08),
           ( 0.106,  7.00e+08),
           ( 0.114,  2.27e+09),
           ( 0.122, -9.94e+08),
           ( 0.130,  1.57e+09),
           ( 0.138, -3.11e+07),
           ( 0.146,  2.91e+09),
           ( 0.162, -4.18e+08),
           ( 0.171,  2.90e+09),
           ( 0.179, -1.59e+09),
           ( 0.187,  2.47e+09),
           ( 0.203,  5.26e+08),
           ( 0.211,  3.84e+08),
           ( 0.219,  1.32e+09),
           ( 0.227,  1.57e+09),
           ( 0.235, -1.37e+08),
           ( 0.244,  2.17e+09),
           ( 0.252, -7.41e+08),
           ( 0.260,  8.24e+07),
           ( 0.276,  4.85e+09),
           ( 0.284,  4.13e+09),
           ( 0.292,  7.93e+08),
           ( 0.300,  2.49e+09),
           ( 0.308,  5.55e+09),
           ( 0.316,  6.24e+09),
           ( 0.333,  1.55e+09),
           ( 0.349,  8.66e+07),
           ( 0.357,  9.35e+08),
           ( 0.365, -4.38e+08),
           ( 0.373,  2.04e+09),
           ( 0.381, -1.68e+09),
           ( 0.389,  2.51e+08),
           ( 0.397,  4.26e+09),
           ( 0.405,  3.16e+09),
           ( 0.414,  2.78e+09),
           ( 0.422,  3.90e+09),
           ( 0.430,  4.06e+09),
           ( 0.438,  3.93e+09),
           ( 0.446,  5.21e+09),
           ( 0.462,  4.49e+09),
           ( 0.470,  8.25e+08),
           ( 0.478,  1.55e+09),
           ( 0.486,  3.96e+09),
           ( 0.495,  2.40e+09),
           ( 0.503,  2.04e+09),
           ( 0.511,  3.22e+09),
           ( 0.519,  2.78e+09),
           ( 0.527,  3.15e+09),
           ( 0.535,  2.89e+09),
           ( 0.551,  6.02e+09),
           ( 0.559,  6.17e+09),
           ( 0.567,  5.19e+09),
           ( 0.576,  3.06e+09),
           ( 0.584,  2.78e+09),
           ( 0.600,  5.00e+09),
           ( 0.608,  1.30e+09),
           ( 0.616,  3.14e+09),
           ( 0.624,  3.11e+09),
           ( 0.632, -3.43e+07),
           ( 0.640,  1.14e+09),
           ( 0.649,  4.11e+09),
           ( 0.657,  5.83e+08),
           ( 0.673,  6.87e+09),
           ( 0.681,  2.33e+09),
           ( 0.689,  1.57e+09),
           ( 0.697,  1.46e+09),
           ( 0.705,  3.45e+09),
           ( 0.713,  2.11e+09),
           ( 0.721,  3.63e+09),
           ( 0.729,  2.22e+09),
           ( 0.738,  4.19e+09),
           ( 0.746,  1.65e+09),
           ( 0.754,  1.73e+09),
           ( 0.770,  4.45e+09),
           ( 0.778, -2.05e+09),
           ( 0.786,  4.67e+09),
           ( 0.802,  4.17e+08),
           ( 0.811,  3.41e+09),
           ( 0.819,  1.92e+09),
           ( 0.827,  1.96e+09),
           ( 0.843,  4.37e+09),
           ( 0.851,  1.71e+08),
           ( 0.867,  3.80e+09),
           ( 0.875,  2.90e+09),
           ( 0.883,  1.02e+09),
           ( 0.891,  1.82e+09),
           ( 0.900,  3.97e+09),
           ( 0.908,  2.75e+09),
           ( 0.916, -3.58e+08),
           ( 0.924, -8.39e+07),
           ( 0.932, -1.46e+09),
           ( 0.940,  7.10e+08),
           ( 0.948,  1.60e+09),
           ( 0.956, -5.19e+08),
           ( 0.964,  2.42e+09),
           ( 0.973,  2.97e+09),
           ( 0.981,  4.00e+09),
           ( 0.989,  9.61e+08),
           ( 1.005,  4.56e+09),
           ( 1.013,  6.64e+08),
           ( 1.021,  1.52e+09),
           ( 1.029, -4.71e+08),
           ( 1.037,  3.08e+09),
           ( 1.045,  6.90e+08),
           ( 1.053,  5.17e+08),
           ( 1.070,  4.67e+09),
           ( 1.078,  1.19e+09),
           ( 1.086,  7.85e+08),
           ( 1.094,  2.13e+09),
           ( 1.102,  2.76e+09),
           ( 1.110,  2.23e+09),
           ( 1.118, -9.00e+08),
           ( 1.126,  4.16e+08),
           ( 1.135,  4.46e+08),
           ( 1.143,  1.39e+09),
           ( 1.151,  1.71e+09),
           ( 1.159,  3.03e+09),
           ( 1.167,  1.30e+08),
           ( 1.175,  7.09e+08),
           ( 1.183,  1.51e+09),
           ( 1.191,  1.23e+09),
           ( 1.199,  2.79e+08),
           ( 1.207,  2.50e+09),
           ( 1.215,  2.49e+09),
           ( 1.224,  4.36e+09),
           ( 1.232,  4.21e+08),
           ( 1.240,  1.10e+09),
           ( 1.248,  4.29e+09),
           ( 1.256,  2.18e+09),
           ( 1.264, -8.56e+08),
           ( 1.272,  2.27e+09),
           ( 1.280,  1.86e+09),
           ( 1.288, -8.50e+08),
           ( 1.296,  2.40e+09),
           ( 1.305, -1.98e+09),
           ( 1.313,  9.03e+08),
           ( 1.321,  2.37e+09),
           ( 1.329,  2.53e+09),
           ( 1.337,  2.84e+09),
           ( 1.345, -3.52e+08),
           ( 1.361,  2.31e+09),
           ( 1.369,  2.84e+09),
           ( 1.377,  5.71e+08),
           ( 1.386,  1.31e+09),
           ( 1.394, -6.93e+08),
           ( 1.402,  2.65e+09),
           ( 1.410,  2.87e+08),
           ( 1.418, -2.56e+08),
           ( 1.426,  1.48e+09),
           ( 1.434, -9.09e+07),
           ( 1.442,  3.23e+09),
           ( 1.450,  6.39e+08),
           ( 1.458,  1.10e+09),
           ( 1.467,  3.61e+08),
           ( 1.475,  1.57e+09),
           ( 1.483, -1.12e+09),
           ( 1.499,  3.14e+09),
           ( 1.507, -3.16e+09),
           ( 1.523,  4.28e+09),
           ( 1.531,  7.27e+08),
           ( 1.540,  4.79e+08),
           ( 1.548, -2.45e+08),
           ( 1.556,  2.59e+09),
           ( 1.564,  9.48e+07),
           ( 1.572, -3.67e+07),
           ( 1.588,  1.40e+09),
           ( 1.596,  2.95e+09),
           ( 1.604,  7.87e+08),
           ( 1.612, -7.38e+07),
           ( 1.620,  2.27e+09),
           ( 1.629,  4.47e+08),
           ( 1.637, -2.30e+08),
           ( 1.645,  6.03e+06),
           ( 1.653,  3.64e+09),
           ( 1.661,  3.97e+09),
           ( 1.669,  1.32e+09),
           ( 1.677,  2.29e+09),
           ( 1.693, -1.01e+09),
           ( 1.702,  5.16e+09),
           ( 1.710, -7.10e+08),
           ( 1.718,  2.88e+09),
           ( 1.726,  3.25e+08),
           ( 1.734,  3.45e+09),
           ( 1.742, -6.42e+08),
           ( 1.750,  6.27e+08),
           ( 1.766,  1.74e+09),
           ( 1.774,  3.47e+09),
           ( 1.782,  9.92e+08),
           ( 1.791,  1.62e+09),
           ( 1.807,  1.99e+08),
           ( 1.815,  3.06e+09),
           ( 1.823,  3.47e+09),
           ( 1.831,  1.52e+09),
           ( 1.839,  8.44e+08),
           ( 1.847, -1.13e+09),
           ( 1.855,  1.33e+09),
           ( 1.864,  2.89e+09),
           ( 1.872,  2.91e+09),
           ( 1.880,  1.28e+09),
           ( 1.888,  3.23e+09),
           ( 1.896,  1.62e+09),
           ( 1.904,  2.93e+09),
           ( 1.912, -6.98e+08),
           ( 1.920,  2.05e+09),
           ( 1.928, -2.33e+09),
           ( 1.936, -5.54e+08),
           ( 1.944,  4.96e+08),
           ( 1.953,  1.94e+09),
           ( 1.961,  4.30e+09),
           ( 1.969,  1.22e+09),
           ( 1.985, -3.38e+08),
           ( 2.001,  9.29e+08),
           ( 2.009, -1.06e+09),
           ( 2.017,  1.65e+09),
           ( 2.034,  7.48e+07),
           ( 2.042,  1.89e+09),
           ( 2.050,  2.24e+09),
           ( 2.058, -7.87e+07),
           ( 2.066,  3.78e+09),
           ( 2.074,  4.76e+08),
           ( 2.082,  3.60e+09),
           ( 2.090,  3.39e+09),
           ( 2.098,  8.43e+08),
           ( 2.106, -5.12e+07),
           ( 2.115,  5.07e+09),
           ( 2.123,  4.36e+09),
           ( 2.131, -4.33e+09),
           ( 2.147,  5.31e+09),
           ( 2.155,  5.18e+08),
           ( 2.163, -2.82e+07),
           ( 2.171,  6.74e+08),
           ( 2.179,  1.71e+08),
           ( 2.188,  3.63e+09),
           ( 2.196,  1.87e+09),
           ( 2.204,  6.62e+09),
           ( 2.212, -1.41e+09),
           ( 2.220,  2.88e+09),
           ( 2.228,  9.45e+08),
           ( 2.236,  1.63e+09),
           ( 2.244,  3.59e+09),
           ( 2.252, -9.48e+08),
           ( 2.260, -1.29e+09),
           ( 2.268,  2.07e+09),
           ( 2.285, -1.55e+09),
           ( 2.293,  3.19e+08),
           ( 2.301,  1.27e+09),
           ( 2.309, -2.91e+09),
           ( 2.317, -3.44e+08),
           ( 2.333,  6.09e+08),
           ( 2.341, -1.05e+08),
           ( 2.349,  1.20e+09),
           ( 2.358,  2.53e+08),
           ( 2.366,  2.70e+09),
           ( 2.374,  2.08e+08),
           ( 2.382,  1.82e+09),
           ( 2.390, -1.41e+09),
           ( 2.398,  7.12e+08),
           ( 2.406,  4.09e+07),
           ( 2.414,  1.80e+09),
           ( 2.422,  2.23e+09),
           ( 2.431, -6.84e+08),
           ( 2.439,  1.26e+09),
           ( 2.447, -2.82e+08),
           ( 2.455,  9.76e+08),
           ( 2.463,  3.06e+09),
           ( 2.471,  3.90e+09),
           ( 2.479,  9.37e+08),
           ( 2.487, -5.62e+08),
           ( 2.495,  3.34e+09),
           ( 2.503,  5.41e+08),
           ( 2.511,  9.02e+08),
           ( 2.520,  3.67e+08),
           ( 2.528,  1.28e+09),
           ( 2.536,  1.65e+08),
           ( 2.544,  1.60e+09),
           ( 2.552, -4.72e+08),
           ( 2.560,  8.98e+08),
           ( 2.568,  3.62e+09),
           ( 2.576,  2.93e+09),
           ( 2.584, -1.20e+09),
           ( 2.601,  2.74e+09),
           ( 2.609,  1.01e+09),
           ( 2.617,  1.36e+09),
           ( 2.625,  8.21e+08),
           ( 2.633,  7.25e+08),
           ( 2.641,  7.48e+08),
           ( 2.649,  1.16e+09),
           ( 2.657,  3.74e+08),
           ( 2.665,  2.11e+09),
           ( 2.673,  1.81e+09),
           ( 2.682,  1.75e+09),
           ( 2.690,  1.04e+09),
           ( 2.698, -5.85e+08),
           ( 2.706,  9.40e+08),
           ( 2.714, -1.62e+08),
           ( 2.722, -7.58e+08),
           ( 2.730, -2.70e+08),
           ( 2.738,  1.93e+09),
           ( 2.746,  6.44e+09),
           ( 2.755,  1.54e+09),
           ( 2.763,  2.48e+08),
           ( 2.771,  4.16e+09),
           ( 2.779,  3.18e+09),
           ( 2.787, -2.03e+08),
           ( 2.795,  1.33e+09),
           ( 2.803,  3.73e+09),
           ( 2.811,  3.60e+09),
