Bolide Detection Notification: 2009-325

At 20:53:29 UT on 21 Nov 2009, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 22.0 °S, Lon 29.2 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.54e+12 watts/steradian, and total radiated flash
energy 1.12e+13 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  1.81e+08),
           (-0.996,  1.83e+09),
           (-0.986,  3.36e+08),
           (-0.975,  1.24e+09),
           (-0.962, -9.28e+08),
           (-0.958,  1.14e+09),
           (-0.955, -4.71e+08),
           (-0.945,  1.99e+09),
           (-0.935, -3.02e+08),
           (-0.918,  1.43e+09),
           (-0.911, -4.34e+08),
           (-0.908, -9.73e+08),
           (-0.905,  8.15e+08),
           (-0.901, -6.45e+07),
           (-0.894,  4.64e+08),
           (-0.881,  4.98e+08),
           (-0.874, -1.43e+09),
           (-0.867,  1.82e+09),
           (-0.861,  4.44e+08),
           (-0.854, -1.00e+09),
           (-0.851,  4.00e+08),
           (-0.847, -1.46e+09),
           (-0.844, -1.17e+08),
           (-0.840, -8.11e+07),
           (-0.837,  1.19e+09),
           (-0.834, -8.05e+08),
           (-0.830,  1.66e+09),
           (-0.820, -1.85e+08),
           (-0.817,  1.56e+09),
           (-0.813,  1.01e+09),
           (-0.810,  2.07e+09),
           (-0.807, -1.08e+09),
           (-0.803, -1.47e+09),
           (-0.797,  2.40e+09),
           (-0.790, -1.95e+08),
           (-0.783,  1.01e+09),
           (-0.766, -8.43e+08),
           (-0.756,  1.17e+09),
           (-0.746, -1.02e+08),
           (-0.743,  2.49e+09),
           (-0.739, -9.45e+08),
           (-0.736,  1.64e+09),
           (-0.732,  3.86e+08),
           (-0.729,  1.07e+09),
           (-0.726, -2.82e+08),
           (-0.719,  1.47e+09),
           (-0.716, -4.10e+08),
           (-0.709,  4.23e+07),
           (-0.705,  2.23e+09),
           (-0.699,  1.69e+08),
           (-0.695, -2.09e+08),
           (-0.689,  2.02e+09),
           (-0.685,  8.56e+08),
           (-0.665,  1.88e+09),
           (-0.658,  3.40e+08),
           (-0.655,  5.40e+08),
           (-0.651, -1.22e+09),
           (-0.648,  1.91e+08),
           (-0.645, -7.82e+08),
           (-0.618,  2.45e+08),
           (-0.614, -8.61e+07),
           (-0.611,  1.68e+09),
           (-0.604,  8.76e+08),
           (-0.601,  1.14e+09),
           (-0.597, -1.82e+08),
           (-0.587,  1.24e+09),
           (-0.577,  5.54e+08),
           (-0.574, -1.56e+09),
           (-0.570,  1.05e+08),
           (-0.543,  1.94e+09),
           (-0.540,  6.76e+08),
           (-0.537,  1.68e+09),
           (-0.533,  7.22e+08),
           (-0.530,  1.07e+09),
           (-0.527, -6.91e+08),
           (-0.523,  3.49e+08),
           (-0.520, -1.83e+08),
           (-0.513,  1.36e+08),
           (-0.510, -6.65e+08),
           (-0.506,  1.31e+09),
           (-0.496, -1.01e+08),
           (-0.483, -8.42e+08),
           (-0.479,  8.04e+08),
           (-0.476,  3.04e+08),
           (-0.473,  1.77e+09),
           (-0.469,  3.34e+08),
           (-0.456,  1.45e+09),
           (-0.452,  6.95e+08),
           (-0.439,  2.07e+09),
           (-0.425,  3.29e+08),
           (-0.419,  1.43e+09),
           (-0.415, -5.84e+08),
           (-0.412,  7.71e+08),
           (-0.405,  2.87e+08),
           (-0.385,  6.49e+08),
           (-0.375, -7.12e+05),
           (-0.371,  1.20e+09),
           (-0.368, -1.11e+08),
           (-0.354,  1.18e+09),
           (-0.351, -9.22e+08),
           (-0.348,  1.43e+09),
           (-0.338,  3.70e+06),
           (-0.324,  2.31e+09),
           (-0.317,  1.44e+09),
           (-0.297,  1.79e+09),
           (-0.294, -1.23e+08),
           (-0.290, -1.84e+08),
           (-0.287,  1.82e+09),
           (-0.284, -4.11e+08),
           (-0.280,  1.63e+09),
           (-0.277,  1.89e+09),
           (-0.273,  2.10e+08),
           (-0.267,  2.02e+08),
           (-0.263,  1.81e+09),
           (-0.257, -1.06e+09),
           (-0.253,  1.53e+09),
           (-0.233,  8.61e+08),
           (-0.226,  3.34e+09),
           (-0.223,  3.77e+07),
           (-0.216, -1.84e+08),
           (-0.213,  1.43e+09),
           (-0.209,  1.61e+09),
           (-0.206, -1.68e+08),
           (-0.203, -2.02e+08),
           (-0.199,  1.68e+09),
           (-0.189,  9.16e+08),
