Bolide Detection Notification: 2009-329

At 01:36:20 UT on 25 Nov 2009, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 52.8S, Lon 136.5E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.10e+10 watts/steradian, and total radiated flash
energy 6.39e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.600, -8.75e+08),
           (-1.596,  6.86e+07),
           (-1.590, -4.46e+08),
           (-1.586,  4.16e+08),
           (-1.583, -8.60e+08),
           (-1.580,  8.18e+08),
           (-1.569, -1.34e+09),
           (-1.566,  1.84e+09),
           (-1.563, -9.92e+08),
           (-1.559, -1.43e+09),
           (-1.556,  5.16e+08),
           (-1.549, -4.44e+08),
           (-1.546, -4.54e+08),
           (-1.542,  6.18e+07),
           (-1.539, -5.42e+08),
           (-1.532, -8.39e+08),
           (-1.529, -3.44e+08),
           (-1.526, -1.93e+08),
           (-1.522,  4.46e+08),
           (-1.519, -8.10e+08),
           (-1.515,  9.70e+08),
           (-1.512, -5.98e+08),
           (-1.509,  8.74e+08),
           (-1.505,  2.52e+08),
           (-1.502, -9.15e+08),
           (-1.499, -1.32e+08),
           (-1.495, -3.19e+08),
           (-1.492,  1.31e+09),
           (-1.488,  2.18e+07),
           (-1.485, -1.97e+09),
           (-1.482,  7.51e+08),
           (-1.478,  8.96e+08),
           (-1.475, -2.52e+07),
           (-1.472,  1.09e+09),
           (-1.468, -6.68e+08),
           (-1.465,  5.96e+08),
           (-1.461, -5.11e+08),
           (-1.458,  2.32e+09),
           (-1.455, -5.00e+08),
           (-1.451, -9.21e+08),
           (-1.445,  1.64e+09),
           (-1.441,  2.49e+08),
           (-1.438,  2.93e+08),
           (-1.434, -6.00e+08),
           (-1.431,  9.66e+08),
           (-1.428,  4.39e+08),
           (-1.424,  6.43e+08),
           (-1.421,  7.09e+08),
           (-1.418,  6.30e+08),
           (-1.414,  1.91e+09),
           (-1.411, -2.16e+09),
           (-1.407,  1.24e+09),
           (-1.404,  2.01e+09),
           (-1.401,  4.46e+08),
           (-1.397, -3.22e+08),
           (-1.394,  1.06e+09),
           (-1.391, -7.42e+08),
           (-1.387,  7.53e+08),
           (-1.384,  1.17e+09),
           (-1.380,  3.94e+08),
           (-1.377,  8.00e+08),
           (-1.374, -9.62e+08),
           (-1.370, -1.01e+09),
           (-1.367, -1.19e+09),
           (-1.364,  9.40e+08),
           (-1.360, -1.39e+09),
           (-1.357,  1.50e+09),
           (-1.353,  1.03e+09),
           (-1.350, -1.43e+08),
           (-1.347,  2.03e+09),
           (-1.343,  7.95e+08),
           (-1.340,  4.92e+08),
           (-1.337,  3.98e+08),
           (-1.333,  1.31e+08),
           (-1.330,  5.57e+07),
           (-1.326,  1.56e+08),
           (-1.323, -1.95e+08),
           (-1.320, -1.52e+09),
           (-1.313,  1.90e+09),
           (-1.310, -7.40e+08),
           (-1.306,  1.44e+09),
           (-1.303,  1.50e+08),
           (-1.299,  1.77e+09),
           (-1.296,  8.61e+08),
           (-1.293, -1.44e+09),
           (-1.289,  1.17e+09),
           (-1.286, -4.05e+08),
           (-1.283, -2.95e+08),
           (-1.279,  1.34e+09),
           (-1.276, -5.70e+08),
           (-1.272, -7.65e+08),
           (-1.269,  7.21e+08),
           (-1.266,  7.56e+08),
           (-1.262,  1.18e+09),
           (-1.259,  8.46e+08),
           (-1.256, -1.88e+09),
           (-1.252, -2.36e+09),
           (-1.249, -1.17e+09),
           (-1.245,  4.66e+08),
           (-1.242, -1.30e+09),
           (-1.239, -4.15e+08),
           (-1.235, -5.77e+08),
           (-1.232,  2.66e+08),
           (-1.229,  5.05e+08),
           (-1.222,  6.08e+08),
           (-1.218,  1.44e+08),
           (-1.215, -1.55e+08),
           (-1.212, -2.22e+08),
           (-1.208, -1.03e+08),
           (-1.205, -1.88e+09),
           (-1.198,  7.41e+08),
           (-1.195,  2.88e+08),
           (-1.191,  8.01e+08),
           (-1.188,  1.05e+08),
           (-1.185,  8.28e+07),
           (-1.181,  8.39e+08),
           (-1.178,  5.81e+08),
           (-1.175,  2.22e+08),
           (-1.171,  1.06e+09),
           (-1.168, -4.94e+08),
           (-1.164, -9.29e+08),
           (-1.158,  3.35e+08),
           (-1.154, -9.62e+08),
           (-1.151, -9.42e+08),
           (-1.148, -1.43e+09),
           (-1.141,  2.31e+06),
           (-1.137,  2.10e+08),
           (-1.134,  3.15e+08),
           (-1.131,  5.90e+08),
           (-1.127,  1.85e+09),
           (-1.124,  6.61e+08),
           (-1.121,  1.77e+08),
           (-1.117,  1.35e+09),
           (-1.114,  4.03e+07),
           (-1.110,  1.22e+09),
           (-1.107, -9.45e+08),
           (-1.104, -2.19e+08),
           (-1.100,  3.22e+06),
           (-1.097, -3.08e+06),
           (-1.094,  4.12e+08),
           (-1.090,  9.80e+08),
           (-1.087, -9.15e+08),
           (-1.083, -9.93e+08),
           (-1.077,  2.57e+09),
           (-1.073, -1.60e+09),
           (-1.070,  1.57e+09),
           (-1.067, -3.98e+08),
           (-1.063, -3.18e+08),
           (-1.060, -5.72e+08),
           (-1.056, -2.00e+09),
           (-1.053, -1.22e+09),
           (-1.050,  5.84e+08),
           (-1.046,  1.26e+08),
           (-1.043, -1.44e+09),
           (-1.040,  4.06e+08),
           (-1.036, -1.05e+09),
           (-1.033,  1.96e+09),
           (-1.029,  9.21e+08),
           (-1.026, -9.56e+08),
           (-1.023, -9.95e+08),
           (-1.019,  8.09e+08),
           (-1.016,  1.83e+09),
           (-1.013,  5.94e+08),
           (-1.009,  7.89e+08),
           (-1.006, -1.54e+09),
           (-1.002, -1.04e+08),
           (-0.999,  2.51e+08),
           (-0.992, -8.05e+08),
           (-0.989, -2.23e+09),
           (-0.986, -4.08e+08),
           (-0.982, -7.70e+08),
           (-0.979,  1.78e+09),
           (-0.975, -4.16e+08),
           (-0.972, -1.62e+08),
           (-0.969,  7.75e+08),
           (-0.965, -1.35e+09),
           (-0.962,  5.57e+08),
           (-0.959, -3.16e+08),
           (-0.955, -8.54e+08),
           (-0.952, -8.05e+06),
           (-0.948,  1.68e+08),
           (-0.945,  1.32e+09),
           (-0.942,  4.00e+08),
           (-0.938, -9.53e+08),
           (-0.935, -1.12e+09),
           (-0.932,  1.54e+09),
           (-0.928,  1.07e+08),
           (-0.925,  7.91e+07),
           (-0.921, -6.29e+08),
           (-0.918, -1.85e+08),
           (-0.915, -7.74e+08),
           (-0.908,  1.69e+09),
           (-0.905, -2.85e+07),
           (-0.898,  6.38e+08),
           (-0.894,  2.62e+08),
           (-0.891,  6.99e+08),
           (-0.888,  1.33e+09),
           (-0.884,  1.09e+09),
           (-0.881, -3.05e+08),
           (-0.878, -1.44e+08),
           (-0.874, -5.72e+08),
           (-0.871,  6.31e+08),
           (-0.867, -1.75e+09),
           (-0.861,  1.61e+09),
           (-0.857,  7.91e+08),
           (-0.851,  2.13e+09),
           (-0.847,  1.36e+08),
           (-0.844,  2.12e+09),
           (-0.840,  1.93e+08),
           (-0.837, -6.19e+07),
           (-0.834,  1.67e+08),
           (-0.830, -6.75e+08),
           (-0.827,  1.22e+09),
           (-0.824,  1.16e+09),
           (-0.820, -6.92e+08),
           (-0.817,  4.80e+08),
           (-0.813,  2.43e+09),
           (-0.807,  9.05e+08),
           (-0.803,  8.84e+08),
           (-0.800,  4.19e+08),
           (-0.797, -7.32e+08),
           (-0.793, -1.05e+08),
           (-0.790,  1.19e+09),
           (-0.786,  1.94e+09),
           (-0.780,  3.31e+08),
           (-0.776,  4.22e+08),
           (-0.773,  2.21e+09),
           (-0.766, -1.11e+09),
           (-0.763,  8.17e+08),
           (-0.759,  1.67e+08),
           (-0.756,  1.01e+09),
           (-0.753, -1.05e+09),
           (-0.749,  2.21e+09),
           (-0.746,  3.54e+08),
           (-0.743,  5.71e+08),
           (-0.739,  2.53e+09),
           (-0.736, -4.40e+08),
           (-0.732, -7.34e+08),
           (-0.729,  7.43e+08),
           (-0.726,  1.24e+09),
           (-0.722,  1.08e+08),
           (-0.719,  4.03e+07),
           (-0.716,  2.40e+09),
           (-0.712,  7.12e+08),
           (-0.709,  9.56e+08),
           (-0.705,  9.49e+08),
           (-0.702,  1.34e+09),
           (-0.699,  7.03e+08),
           (-0.695,  1.60e+09),
           (-0.692,  7.42e+08),
           (-0.688,  2.54e+08),
           (-0.685,  1.17e+09),
           (-0.682,  1.26e+09),
           (-0.678,  1.88e+09),
           (-0.675, -7.13e+08),
           (-0.672,  1.74e+09),
           (-0.668,  7.22e+08),
           (-0.665,  1.06e+09),
           (-0.662,  1.65e+09),
           (-0.658,  2.36e+08),
           (-0.655,  4.51e+08),
           (-0.651,  1.80e+09),
           (-0.648,  7.82e+08),
           (-0.645,  1.70e+09),
           (-0.641,  1.54e+09),
           (-0.635,  1.85e+08),
           (-0.628,  7.28e+08),
           (-0.624,  2.29e+09),
           (-0.621,  1.09e+09),
           (-0.618,  2.08e+09),
           (-0.614, -2.39e+08),
           (-0.611,  7.72e+08),
           (-0.607,  1.18e+09),
           (-0.604,  2.14e+08),
           (-0.601,  1.01e+09),
           (-0.597,  4.21e+08),
           (-0.594,  4.41e+07),
           (-0.591, -1.31e+08),
           (-0.587,  9.51e+08),
           (-0.584,  1.20e+08),
           (-0.581,  1.21e+09),
           (-0.577,  1.17e+09),
           (-0.574,  2.22e+09),
           (-0.570,  8.16e+08),
           (-0.567,  1.63e+09),
           (-0.564,  6.47e+08),
           (-0.560,  1.72e+09),
           (-0.557,  1.57e+09),
           (-0.554,  8.58e+08),
           (-0.550,  1.38e+09),
           (-0.547,  2.35e+09),
           (-0.543,  7.58e+08),
           (-0.540,  6.85e+08),
           (-0.537,  1.97e+09),
           (-0.533, -5.54e+07),
           (-0.530, -4.35e+08),
           (-0.526,  6.71e+08),
           (-0.523,  2.35e+09),
           (-0.520,  2.13e+09),
           (-0.516,  1.27e+09),
           (-0.513,  9.26e+08),
           (-0.510,  7.05e+08),
           (-0.506,  2.35e+08),
           (-0.503,  1.19e+09),
           (-0.499,  1.06e+09),
           (-0.496,  1.53e+09),
           (-0.493, -9.82e+08),
           (-0.489,  1.52e+08),
           (-0.486,  3.13e+09),
           (-0.483,  1.81e+09),
           (-0.479, -2.76e+08),
           (-0.476,  1.93e+09),
           (-0.473,  2.39e+09),
           (-0.469, -4.19e+06),
           (-0.466,  1.45e+09),
           (-0.462,  1.57e+09),
           (-0.459,  6.04e+08),
           (-0.456,  2.73e+09),
           (-0.452,  2.55e+09),
           (-0.449,  1.20e+09),
           (-0.446,  2.76e+09),
           (-0.442,  2.60e+09),
           (-0.439,  3.91e+09),
           (-0.435,  1.55e+09),
           (-0.432,  3.25e+09),
           (-0.429,  2.87e+09),
           (-0.425,  3.98e+09),
           (-0.422,  3.19e+09),
           (-0.418,  1.28e+09),
           (-0.415,  1.60e+09),
           (-0.412,  2.68e+09),
           (-0.408,  9.72e+08),
           (-0.405,  1.22e+07),
           (-0.402,  1.63e+09),
           (-0.398,  3.23e+08),
           (-0.395,  3.62e+09),
           (-0.392,  1.45e+09),
           (-0.388,  8.38e+08),
           (-0.385,  1.96e+09),
           (-0.381,  2.27e+09),
           (-0.378,  2.73e+09),
           (-0.371,  3.91e+08),
           (-0.365,  3.08e+09),
           (-0.361,  1.37e+09),
           (-0.354,  2.92e+09),
           (-0.351,  1.29e+09),
           (-0.348,  1.21e+09),
           (-0.344,  8.18e+08),
           (-0.337,  1.63e+09),
           (-0.334,  1.61e+09),
           (-0.331,  3.09e+09),
           (-0.327,  3.48e+09),
           (-0.324,  3.59e+09),
           (-0.321,  1.01e+09),
           (-0.317,  1.39e+09),
           (-0.314,  3.96e+09),
           (-0.307, -9.26e+08),
           (-0.304,  2.00e+09),
           (-0.300,  2.57e+09),
           (-0.297,  2.13e+09),
           (-0.294,  2.31e+09),
           (-0.290,  1.99e+09),
           (-0.287,  9.50e+08),
           (-0.284,  1.68e+09),
           (-0.280,  2.94e+09),
           (-0.277,  7.18e+08),
           (-0.273,  1.05e+09),
           (-0.270,  1.15e+09),
           (-0.267,  1.77e+09),
           (-0.263,  2.62e+09),
           (-0.260,  1.26e+09),
           (-0.257,  3.77e+08),
           (-0.253,  1.13e+09),
           (-0.250,  1.09e+09),
           (-0.243, -6.51e+08),
           (-0.240,  1.37e+09),
           (-0.236,  1.23e+09),
           (-0.233,  1.66e+09),
           (-0.229,  5.08e+08),
           (-0.226,  1.92e+09),
           (-0.223,  1.91e+09),
           (-0.219,  1.33e+09),
           (-0.213,  4.37e+09),
           (-0.209,  1.94e+08),
           (-0.206,  1.52e+09),
           (-0.199,  2.32e+09),
           (-0.196,  2.25e+09),
           (-0.192,  1.58e+09),
           (-0.189,  1.85e+09),
           (-0.186,  1.99e+09),
           (-0.182,  2.36e+09),
           (-0.179,  2.12e+09),
           (-0.176,  2.88e+09),
           (-0.172,  2.68e+09),
           (-0.169,  3.15e+09),
           (-0.165,  9.33e+08),
           (-0.162,  2.25e+09),
           (-0.159,  2.27e+09),
           (-0.155,  2.20e+09),
           (-0.152,  1.41e+09),
           (-0.148,  2.92e+09),
           (-0.145,  3.19e+09),
           (-0.142,  1.74e+09),
           (-0.138,  3.72e+09),
           (-0.132,  2.06e+09),
           (-0.125,  3.34e+09),
           (-0.121,  1.13e+09),
           (-0.118,  1.99e+09),
           (-0.115,  4.59e+09),
           (-0.111,  3.33e+09),
           (-0.108,  3.51e+09),
           (-0.105,  3.29e+09),
           (-0.101,  4.33e+09),
           (-0.098,  4.45e+09),
           (-0.095,  3.79e+09),
           (-0.088,  1.37e+09),
           (-0.084,  2.80e+09),
           (-0.081,  3.40e+09),
           (-0.078,  1.61e+09),
           (-0.074,  2.33e+09),
           (-0.071,  3.62e+09),
           (-0.068,  3.37e+09),
           (-0.064,  2.44e+09),
           (-0.061,  3.99e+09),
           (-0.057,  1.58e+09),
           (-0.054,  2.06e+09),
           (-0.051,  2.80e+09),
           (-0.047,  3.21e+09),
           (-0.044,  3.46e+09),
           (-0.041,  4.24e+09),
           (-0.037,  4.55e+09),
           (-0.034,  1.84e+09),
           (-0.030,  3.30e+09),
           (-0.024,  4.88e+09),
           (-0.020,  4.27e+09),
           (-0.017,  4.01e+09),
           (-0.014,  4.03e+09),
           (-0.010,  6.64e+09),
           (-0.007,  5.31e+09),
           (-0.003,  6.43e+09),
           ( 0.000,  6.23e+09),
           ( 0.003,  7.00e+09),
           ( 0.007,  7.35e+09),
           ( 0.010,  6.18e+09),
           ( 0.014,  1.10e+10),
           ( 0.017,  8.56e+09),
           ( 0.020,  9.81e+09),
           ( 0.024,  8.14e+09),
           ( 0.027,  8.75e+09),
           ( 0.030,  9.08e+09),
           ( 0.037,  7.27e+09),
           ( 0.041,  7.91e+09),
           ( 0.044,  7.73e+09),
           ( 0.047,  1.01e+10),
           ( 0.054,  4.94e+09),
           ( 0.057,  7.51e+09),
           ( 0.064,  7.13e+09),
           ( 0.067,  6.98e+09),
           ( 0.071,  6.90e+09),
           ( 0.074,  5.91e+09),
           ( 0.078,  5.39e+09),
           ( 0.081,  7.16e+09),
           ( 0.084,  6.74e+09),
           ( 0.088,  5.73e+09),
           ( 0.094,  6.96e+09),
           ( 0.098,  5.45e+09),
           ( 0.101,  5.45e+09),
           ( 0.105,  3.88e+09),
           ( 0.108,  5.92e+09),
           ( 0.111,  4.98e+09),
           ( 0.115,  6.58e+09),
           ( 0.118,  5.80e+09),
           ( 0.121,  5.65e+09),
           ( 0.125,  8.16e+09),
           ( 0.128,  8.33e+09),
           ( 0.132,  7.61e+09),
           ( 0.135,  9.32e+09),
           ( 0.138,  6.43e+09),
           ( 0.142,  6.56e+09),
           ( 0.145,  8.29e+09),
           ( 0.149,  6.31e+09),
           ( 0.152,  7.96e+09),
           ( 0.155,  5.57e+09),
           ( 0.159,  6.67e+09),
           ( 0.162,  5.21e+09),
           ( 0.165,  6.58e+09),
           ( 0.169,  5.24e+09),
           ( 0.172,  7.35e+09),
           ( 0.179,  6.45e+09),
           ( 0.182,  6.66e+09),
           ( 0.186,  4.73e+09),
           ( 0.189,  5.47e+09),
           ( 0.192,  5.88e+09),
           ( 0.196,  6.73e+09),
           ( 0.199,  5.73e+09),
           ( 0.202,  5.58e+09),
           ( 0.209,  5.10e+09),
           ( 0.213,  5.34e+09),
           ( 0.216,  4.98e+09),
           ( 0.219,  6.04e+09),
           ( 0.223,  4.24e+09),
           ( 0.226,  5.73e+09),
           ( 0.229,  3.57e+09),
           ( 0.233,  6.88e+09),
           ( 0.236,  5.00e+09),
           ( 0.240,  4.58e+09),
           ( 0.243,  6.10e+09),
           ( 0.246,  4.43e+09),
           ( 0.250,  6.32e+09),
           ( 0.253,  5.99e+09),
           ( 0.256,  4.20e+09),
           ( 0.260,  3.33e+09),
           ( 0.263,  3.61e+09),
           ( 0.267,  4.46e+09),
           ( 0.270,  5.78e+09),
           ( 0.273,  4.45e+09),
           ( 0.280,  6.03e+09),
           ( 0.284,  4.47e+09),
           ( 0.287,  5.62e+09),
           ( 0.290,  3.87e+09),
           ( 0.294,  6.01e+09),
           ( 0.297,  4.54e+09),
           ( 0.300,  4.15e+09),
           ( 0.304,  5.33e+09),
           ( 0.307,  5.35e+09),
           ( 0.311,  4.05e+09),
           ( 0.314,  3.20e+09),
           ( 0.317,  3.13e+09),
           ( 0.324,  2.80e+09),
           ( 0.327,  5.20e+09),
           ( 0.331,  4.40e+09),
           ( 0.334,  5.28e+09),
           ( 0.337,  4.54e+09),
           ( 0.341,  2.57e+09),
           ( 0.344,  4.93e+09),
           ( 0.348,  3.87e+09),
           ( 0.351,  3.49e+09),
           ( 0.354,  3.49e+09),
           ( 0.358,  4.62e+09),
           ( 0.361,  2.42e+09),
           ( 0.364,  2.98e+09),
           ( 0.368,  3.87e+09),
           ( 0.371,  2.26e+09),
           ( 0.375,  3.28e+09),
           ( 0.378,  2.60e+09),
           ( 0.381,  2.20e+09),
           ( 0.385,  3.06e+09),
           ( 0.388,  2.20e+09),
           ( 0.391,  2.18e+09),
           ( 0.395,  2.71e+09),
           ( 0.398,  4.09e+09),
           ( 0.402,  2.20e+09),
           ( 0.405,  2.09e+09),
           ( 0.408,  1.23e+09),
           ( 0.412,  3.42e+09),
           ( 0.415,  1.78e+09),
           ( 0.419,  3.65e+09),
           ( 0.422,  1.11e+09),
           ( 0.425,  3.43e+09),
           ( 0.429,  2.13e+09),
           ( 0.432,  2.07e+09),
           ( 0.435,  4.88e+09),
           ( 0.439,  3.47e+09),
           ( 0.442,  7.29e+08),
           ( 0.446,  9.00e+08),
           ( 0.449,  2.22e+09),
           ( 0.452,  2.84e+09),
           ( 0.456,  2.85e+09),
           ( 0.459,  2.53e+09),
           ( 0.462,  3.27e+09),
           ( 0.466,  1.12e+09),
           ( 0.469,  3.16e+09),
           ( 0.472,  1.98e+09),
           ( 0.476,  1.59e+09),
           ( 0.479,  4.40e+09),
           ( 0.486,  1.73e+09),
           ( 0.489,  2.89e+09),
           ( 0.493,  1.08e+09),
           ( 0.496,  3.08e+09),
           ( 0.499,  1.96e+09),
           ( 0.503,  4.70e+08),
           ( 0.506,  3.90e+09),
           ( 0.510,  2.61e+09),
           ( 0.513,  2.48e+09),
           ( 0.516,  5.07e+09),
           ( 0.520,  7.55e+08),
           ( 0.523,  1.62e+09),
           ( 0.526,  1.84e+09),
           ( 0.530,  3.23e+09),
           ( 0.533,  2.87e+09),
           ( 0.537,  2.89e+09),
           ( 0.540,  3.04e+09),
           ( 0.543,  1.71e+09),
           ( 0.547,  2.57e+09),
           ( 0.550,  2.05e+09),
           ( 0.557,  3.26e+09),
           ( 0.560,  3.28e+09),
           ( 0.564,  2.97e+09),
           ( 0.567,  2.53e+09),
           ( 0.570,  1.86e+09),
           ( 0.574,  1.42e+09),
           ( 0.577,  2.52e+09),
           ( 0.580,  1.01e+09),
           ( 0.584,  1.99e+09),
           ( 0.587,  1.76e+09),
           ( 0.594,  3.63e+09),
           ( 0.597,  1.82e+09),
           ( 0.601,  1.53e+09),
           ( 0.607, -1.24e+08),
           ( 0.611,  1.98e+09),
           ( 0.614,  5.51e+08),
           ( 0.618,  3.13e+09),
           ( 0.621,  8.19e+08),
           ( 0.624,  2.97e+09),
           ( 0.628,  2.57e+09),
           ( 0.631,  5.71e+08),
           ( 0.634,  2.35e+09),
           ( 0.638,  2.55e+09),
           ( 0.641,  3.25e+09),
           ( 0.645,  2.54e+09),
           ( 0.648,  3.03e+09),
           ( 0.651,  1.97e+09),
           ( 0.655,  2.21e+09),
           ( 0.658,  3.90e+08),
           ( 0.661,  2.54e+09),
           ( 0.665,  2.52e+09),
           ( 0.668,  2.11e+09),
           ( 0.672,  1.03e+09),
           ( 0.675,  3.02e+09),
           ( 0.678,  3.40e+09),
           ( 0.682,  2.94e+09),
           ( 0.685,  6.14e+08),
           ( 0.689,  1.69e+09),
           ( 0.692,  2.28e+09),
           ( 0.695,  1.91e+09),
           ( 0.699,  3.39e+09),
           ( 0.702,  6.81e+08),
           ( 0.705,  1.71e+09),
           ( 0.709,  3.79e+09),
           ( 0.716,  9.05e+08),
           ( 0.719,  2.71e+09),
           ( 0.722,  9.31e+08),
           ( 0.726,  1.47e+09),
           ( 0.729,  2.20e+09),
           ( 0.732,  1.89e+09),
           ( 0.736, -1.82e+08),
           ( 0.739,  2.02e+09),
           ( 0.742,  8.41e+07),
           ( 0.746,  4.56e+08),
           ( 0.749,  6.79e+08),
           ( 0.753,  2.92e+09),
           ( 0.756,  2.82e+09),
           ( 0.759, -1.80e+07),
           ( 0.763,  2.40e+09),
           ( 0.766,  2.86e+08),
           ( 0.769,  1.06e+09),
           ( 0.773,  3.22e+09),
           ( 0.776,  2.79e+09),
           ( 0.780,  1.28e+09),
           ( 0.783,  2.63e+08),
           ( 0.786,  1.40e+09),
           ( 0.790,  1.07e+09),
           ( 0.793, -1.22e+08),
           ( 0.796,  5.22e+08),
           ( 0.800, -1.70e+09),
           ( 0.803,  1.17e+09),
           ( 0.807,  5.56e+08),
           ( 0.810,  1.32e+09),
           ( 0.813,  2.78e+09),
           ( 0.820,  1.60e+09),
           ( 0.824,  2.49e+09),
           ( 0.827,  3.83e+08),
           ( 0.830, -2.54e+08),
           ( 0.834,  1.99e+09),
           ( 0.837,  9.36e+07),
           ( 0.840,  1.86e+09),
           ( 0.844,  1.05e+09),
           ( 0.847,  2.41e+09),
           ( 0.850,  1.07e+09),
           ( 0.854,  1.03e+09),
           ( 0.857,  2.82e+08),
           ( 0.864,  2.53e+09),
           ( 0.867,  3.07e+09),
           ( 0.871,  1.72e+09),
           ( 0.874,  2.86e+09),
           ( 0.877,  2.17e+09),
           ( 0.881, -2.30e+08),
           ( 0.884,  1.52e+09),
           ( 0.888,  1.82e+09),
           ( 0.891, -7.33e+08),
           ( 0.894,  8.40e+08),
           ( 0.898,  1.02e+09),
           ( 0.901,  5.71e+08),
           ( 0.904,  1.49e+09),
           ( 0.908,  3.03e+09),
           ( 0.911,  1.31e+08),
           ( 0.915,  1.15e+09),
           ( 0.918,  1.24e+09),
           ( 0.921,  2.43e+09),
           ( 0.925,  1.29e+09),
           ( 0.928,  9.85e+08),
           ( 0.931,  1.48e+09),
           ( 0.935, -1.03e+09),
           ( 0.938,  1.01e+09),
           ( 0.942,  1.28e+09),
           ( 0.945, -6.65e+08),
           ( 0.948,  6.36e+08),
           ( 0.952,  2.66e+09),
           ( 0.955, -5.40e+07),
           ( 0.962,  1.84e+09),
           ( 0.965,  1.22e+09),
           ( 0.969,  2.16e+09),
           ( 0.972,  8.52e+08),
           ( 0.975,  9.57e+08),
           ( 0.979,  1.45e+09),
           ( 0.982,  4.33e+08),
           ( 0.986, -2.73e+06),
           ( 0.989,  4.67e+08),
           ( 0.992, -7.22e+08),
           ( 0.996,  5.48e+08),
           ( 0.999,  3.88e+08),
           ( 1.002,  3.35e+08),
           ( 1.006, -2.11e+08),
           ( 1.009, -2.47e+08),
           ( 1.012,  1.72e+09),
           ( 1.016,  1.72e+09),
           ( 1.019,  1.36e+09),
           ( 1.023,  8.16e+08),
           ( 1.026,  2.18e+09),
           ( 1.029,  5.04e+08),
           ( 1.033,  2.12e+09),
           ( 1.036,  6.69e+08),
           ( 1.039,  2.85e+08),
           ( 1.043,  3.38e+08),
           ( 1.046,  7.79e+08),
           ( 1.050, -7.60e+08),
           ( 1.053, -1.62e+08),
           ( 1.056,  8.96e+08),
           ( 1.060,  3.06e+08),
           ( 1.063,  2.41e+09),
           ( 1.066,  9.07e+08),
           ( 1.070,  9.47e+07),
           ( 1.073,  9.67e+07),
           ( 1.077,  8.84e+08),
           ( 1.080,  2.23e+09),
           ( 1.083,  6.76e+08),
           ( 1.087,  1.19e+09),
           ( 1.090, -5.83e+07),
           ( 1.094,  1.51e+08),
           ( 1.097,  7.36e+08),
           ( 1.100, -1.01e+09),
           ( 1.104, -3.51e+08),
           ( 1.107,  5.44e+08),
           ( 1.110,  6.64e+08),
           ( 1.120, -1.78e+09),
           ( 1.127,  1.43e+09),
           ( 1.131, -4.47e+08),
           ( 1.134,  1.12e+09),
           ( 1.137,  1.59e+09),
           ( 1.141,  5.19e+08),
           ( 1.144,  1.68e+09),
           ( 1.147,  7.88e+08),
           ( 1.151,  6.53e+08),
           ( 1.154,  2.80e+08),
           ( 1.158,  3.65e+08),
           ( 1.161,  9.42e+08),
           ( 1.164,  2.59e+08),
           ( 1.168,  1.40e+09),
           ( 1.171,  1.24e+08),
           ( 1.174,  9.90e+08),
           ( 1.178,  4.82e+08),
           ( 1.181,  8.59e+08),
           ( 1.185,  3.86e+08),
           ( 1.188,  7.46e+08),
           ( 1.191, -3.81e+07),
           ( 1.195, -2.00e+09),
           ( 1.201,  6.56e+08),
           ( 1.205, -1.62e+09),
           ( 1.208, -5.55e+08),
           ( 1.212,  1.10e+09),
           ( 1.215, -5.89e+08),
           ( 1.218, -5.00e+08),
           ( 1.222,  7.34e+08),
           ( 1.228, -1.51e+09),
           ( 1.232,  9.90e+08),
           ( 1.235,  1.01e+09),
           ( 1.239, -2.08e+09),
           ( 1.242,  2.26e+09),
           ( 1.245, -3.85e+08),
           ( 1.249,  3.31e+08),
           ( 1.252,  7.84e+08),
           ( 1.256, -7.44e+08),
           ( 1.259,  5.47e+08),
           ( 1.262, -6.07e+06),
           ( 1.266, -1.60e+08),
           ( 1.269,  4.90e+08),
           ( 1.272,  1.46e+08),
           ( 1.276, -5.69e+08),
           ( 1.279, -9.52e+08),
           ( 1.282, -7.91e+08),
           ( 1.286, -5.17e+08),
           ( 1.289,  9.33e+07),
           ( 1.293, -1.47e+09),
           ( 1.296,  7.02e+08),
