Bolide Detection Notification: 2009-365

At 12:50:25 on 31 December 2009, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was 37.9N, 178.3W.

Based on the visible-light intensity-time signature, peak brightness of the flash was
determined to be approximately 3.30e10 watts/steradian, and total radiated flash
energy 1.02e11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.800,  4.88e+08),
           (-0.797,  2.02e+09),
           (-0.793, -4.76e+08),
           (-0.790, -3.32e+08),
           (-0.786,  1.03e+09),
           (-0.783,  8.89e+08),
           (-0.780, -2.65e+08),
           (-0.776,  1.46e+09),
           (-0.773, -2.80e+08),
           (-0.770,  6.53e+08),
           (-0.766,  4.62e+08),
           (-0.763, -6.31e+07),
           (-0.759,  8.77e+08),
           (-0.756,  2.94e+08),
           (-0.753,  6.34e+08),
           (-0.749,  1.15e+09),
           (-0.746, -1.83e+08),
           (-0.743, -6.23e+07),
           (-0.739, -1.90e+08),
           (-0.736,  6.13e+08),
           (-0.732,  6.90e+08),
           (-0.729, -1.67e+08),
           (-0.726, -4.57e+08),
           (-0.722, -1.67e+08),
           (-0.719, -1.84e+08),
           (-0.712,  1.96e+08),
           (-0.709,  1.17e+09),
           (-0.705,  1.25e+09),
           (-0.702,  1.08e+09),
           (-0.699, -4.75e+07),
           (-0.695, -2.62e+08),
           (-0.692,  6.33e+08),
           (-0.689,  1.21e+09),
           (-0.685,  8.72e+08),
           (-0.682,  9.45e+08),
           (-0.678,  5.86e+08),
           (-0.675,  4.02e+08),
           (-0.672,  1.81e+09),
           (-0.668,  9.75e+08),
           (-0.665,  5.48e+08),
           (-0.662,  1.98e+08),
           (-0.658,  2.65e+08),
           (-0.655,  4.43e+08),
           (-0.651, -5.65e+07),
           (-0.648,  4.39e+08),
           (-0.645, -4.10e+08),
           (-0.641,  9.43e+08),
           (-0.638,  4.26e+08),
           (-0.635, -6.69e+08),
           (-0.631, -6.89e+08),
           (-0.628, -1.27e+08),
           (-0.624,  9.89e+08),
           (-0.621, -2.70e+07),
           (-0.618, -1.36e+08),
           (-0.614, -4.64e+08),
           (-0.611,  1.15e+09),
           (-0.604, -8.87e+08),
           (-0.601,  4.17e+08),
           (-0.597,  3.49e+08),
           (-0.594,  2.17e+08),
           (-0.591, -1.03e+08),
           (-0.587,  8.66e+08),
           (-0.584,  7.48e+08),
           (-0.581,  1.08e+09),
           (-0.577,  7.40e+08),
           (-0.574, -4.18e+07),
           (-0.567,  1.35e+09),
           (-0.564, -4.22e+08),
           (-0.560,  6.61e+08),
           (-0.557,  9.75e+08),
           (-0.553, -2.33e+08),
           (-0.550, -7.19e+08),
           (-0.547,  1.72e+09),
           (-0.543,  7.18e+08),
           (-0.540,  1.97e+08),
           (-0.537,  4.53e+08),
           (-0.533,  6.34e+08),
           (-0.530,  2.53e+08),
           (-0.527,  1.14e+09),
           (-0.523,  8.83e+08),
           (-0.520,  8.85e+08),
           (-0.516,  1.07e+09),
           (-0.513,  1.01e+09),
           (-0.510,  1.66e+09),
           (-0.506,  3.67e+08),
