Bolide Detection Notification: 2010-055

At 19:55:58 UT on 24 Feb 2010, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 2.6S, Lon 120.2W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 6.40e+10 watts/steradian, and total radiated flash
energy 1.70e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.597,  5.20e+08),
           (-0.594,  9.19e+08),
           (-0.591,  1.16e+09),
           (-0.587,  8.24e+08),
           (-0.584,  2.31e+08),
           (-0.580,  8.71e+08),
           (-0.577,  4.01e+08),
           (-0.574,  3.44e+08),
           (-0.570, -3.38e+08),
           (-0.567, -1.81e+09),
           (-0.564, -1.87e+08),
           (-0.560,  2.15e+09),
           (-0.557, -7.34e+08),
           (-0.553, -5.13e+08),
           (-0.550,  1.55e+09),
           (-0.547, -1.12e+09),
           (-0.540, -1.42e+08),
           (-0.537, -4.63e+08),
           (-0.533,  8.77e+08),
           (-0.530, -1.13e+08),
           (-0.526,  1.10e+08),
           (-0.523, -1.49e+08),
           (-0.520, -1.71e+09),
           (-0.516,  8.11e+07),
           (-0.513,  6.94e+08),
           (-0.510, -1.94e+08),
           (-0.506,  8.26e+08),
           (-0.503,  9.43e+08),
           (-0.499,  6.41e+06),
           (-0.496, -6.13e+08),
           (-0.493,  4.90e+08),
           (-0.489,  1.40e+09),
           (-0.486,  1.37e+07),
           (-0.483,  1.63e+09),
           (-0.479,  2.49e+09),
           (-0.476, -1.45e+07),
           (-0.472,  1.28e+09),
           (-0.469,  8.76e+08),
           (-0.466,  4.75e+07),
           (-0.462, -1.08e+09),
           (-0.459,  1.40e+09),
           (-0.456,  1.32e+09),
           (-0.452,  2.14e+08),
           (-0.449,  1.05e+09),
           (-0.445,  1.53e+09),
           (-0.442,  6.56e+08),
           (-0.439,  7.48e+08),
           (-0.435, -1.23e+09),
           (-0.432,  5.49e+08),
           (-0.429,  1.90e+09),
           (-0.425, -3.07e+08),
           (-0.422,  1.63e+08),
           (-0.418, -1.06e+09),
           (-0.415, -1.96e+08),
           (-0.412, -6.76e+08),
           (-0.408, -6.36e+07),
           (-0.405, -3.86e+08),
           (-0.402,  2.87e+08),
           (-0.398,  1.18e+09),
           (-0.395, -9.32e+07),
           (-0.391, -1.63e+09),
           (-0.388,  2.50e+08),
           (-0.385,  6.76e+08),
           (-0.381, -3.42e+08),
           (-0.378, -8.14e+08),
           (-0.375,  1.62e+08),
           (-0.371,  1.73e+09),
           (-0.368, -9.94e+08),
           (-0.364,  9.45e+08),
           (-0.361,  1.64e+09),
           (-0.358,  1.07e+09),
           (-0.354,  1.64e+09),
           (-0.351, -1.67e+08),
           (-0.348,  6.30e+08),
           (-0.344,  2.85e+09),
           (-0.341,  1.34e+09),
           (-0.337,  1.01e+09),
           (-0.334,  8.91e+08),
           (-0.331,  2.92e+09),
           (-0.327,  1.40e+09),
           (-0.324,  2.36e+09),
           (-0.321, -3.38e+08),
           (-0.317, -5.06e+08),
           (-0.314,  3.01e+09),
           (-0.310,  1.97e+09),
           (-0.307, -9.28e+07),
           (-0.304,  1.18e+09),
           (-0.300,  1.98e+09),
           (-0.297,  1.48e+08),
           (-0.294,  8.72e+08),
           (-0.290,  1.07e+09),
           (-0.287, -3.59e+08),
           (-0.283,  8.19e+07),
           (-0.280,  3.27e+08),
           (-0.277,  8.55e+08),
           (-0.273,  3.55e+08),
           (-0.270, -2.20e+07),
           (-0.267, -1.00e+09),
           (-0.263,  4.45e+08),
           (-0.260, -9.04e+08),
           (-0.256, -7.11e+08),
           (-0.253,  1.91e+09),
           (-0.250,  1.35e+09),
           (-0.246, -2.91e+08),
           (-0.243, -1.05e+09),
           (-0.240, -3.96e+08),
           (-0.236,  6.95e+08),
           (-0.229,  1.09e+09),
           (-0.226,  1.01e+09),
           (-0.223,  1.46e+07),
           (-0.219,  1.04e+09),
           (-0.216, -1.38e+09),
           (-0.213,  2.09e+08),
           (-0.209, -3.42e+08),
           (-0.206,  4.79e+08),
           (-0.202,  7.53e+08),
           (-0.199,  5.77e+08),
           (-0.196, -3.97e+08),
           (-0.192, -1.13e+09),
           (-0.189, -6.14e+08),
           (-0.186, -9.59e+08),
           (-0.182, -6.03e+08),
           (-0.179,  1.26e+09),
           (-0.175, -3.41e+08),
           (-0.172,  1.95e+08),
           (-0.169,  5.26e+07),
           (-0.165,  1.05e+09),
           (-0.162, -4.44e+08),
           (-0.159,  8.33e+08),
           (-0.155,  1.26e+08),
           (-0.152,  1.77e+09),
           (-0.148,  1.02e+09),
           (-0.145,  6.47e+08),
           (-0.142,  4.19e+08),
           (-0.138,  5.03e+08),
           (-0.135, -1.60e+09),
           (-0.132,  5.53e+08),
           (-0.128,  3.65e+08),
           (-0.125, -1.40e+09),
           (-0.121,  2.35e+09),
           (-0.118,  1.05e+09),
           (-0.115,  3.05e+08),
           (-0.111, -1.13e+09),
           (-0.108, -5.20e+08),
           (-0.105, -3.49e+07),
           (-0.101,  1.70e+09),
           (-0.098, -5.03e+08),
           (-0.095,  1.57e+09),
           (-0.091,  2.08e+09),
           (-0.088,  7.96e+08),
           (-0.084, -1.20e+07),
           (-0.081,  1.96e+09),
           (-0.078,  1.83e+07),
           (-0.074,  1.96e+09),
           (-0.071,  8.53e+08),
           (-0.067,  2.64e+09),
           (-0.064, -2.06e+07),
           (-0.061,  1.86e+09),
           (-0.057,  2.49e+09),
           (-0.054,  2.08e+09),
           (-0.051, -1.11e+08),
           (-0.047,  1.33e+09),
           (-0.044,  2.01e+08),
           (-0.040,  9.90e+07),
           (-0.037,  9.04e+08),
           (-0.034,  3.43e+09),
           (-0.030,  3.84e+09),
           (-0.027,  3.13e+09),
           (-0.024,  2.22e+09),
           (-0.017,  1.97e+09),
           (-0.013,  1.28e+09),
           (-0.007,  2.75e+09),
           (-0.003,  2.88e+09),
           ( 0.003,  6.59e+09),
           ( 0.007,  4.48e+09),
           ( 0.010,  6.26e+09),
           ( 0.014,  6.71e+09),
           ( 0.017,  5.79e+09),
           ( 0.020,  7.26e+09),
           ( 0.024,  7.18e+09),
           ( 0.027,  6.86e+09),
           ( 0.030,  6.73e+09),
           ( 0.034,  8.21e+09),
           ( 0.037,  7.22e+09),
           ( 0.040,  6.81e+09),
           ( 0.044,  6.57e+09),
           ( 0.047,  7.45e+09),
           ( 0.051,  7.64e+09),
           ( 0.054,  6.60e+09),
           ( 0.057,  6.88e+09),
           ( 0.061,  2.43e+09),
           ( 0.064,  4.01e+09),
           ( 0.068,  6.09e+09),
           ( 0.071,  8.88e+09),
           ( 0.074,  1.04e+10),
           ( 0.078,  1.27e+10),
           ( 0.081,  1.45e+10),
           ( 0.084,  1.32e+10),
           ( 0.091,  1.87e+10),
           ( 0.095,  2.57e+10),
           ( 0.098,  3.00e+10),
           ( 0.101,  3.63e+10),
           ( 0.105,  4.02e+10),
           ( 0.108,  4.34e+10),
           ( 0.111,  4.75e+10),
           ( 0.115,  5.52e+10),
           ( 0.118,  5.93e+10),
           ( 0.122,  5.93e+10),
           ( 0.125,  5.91e+10),
           ( 0.128,  6.10e+10),
           ( 0.132,  5.99e+10),
           ( 0.135,  5.98e+10),
           ( 0.138,  6.40e+10),
           ( 0.142,  6.00e+10),
           ( 0.145,  6.07e+10),
           ( 0.149,  6.05e+10),
           ( 0.152,  6.05e+10),
           ( 0.155,  5.72e+10),
           ( 0.159,  5.72e+10),
           ( 0.162,  5.64e+10),
           ( 0.165,  5.27e+10),
           ( 0.169,  5.07e+10),
           ( 0.172,  4.80e+10),
           ( 0.176,  4.15e+10),
           ( 0.179,  3.94e+10),
           ( 0.182,  3.96e+10),
           ( 0.186,  3.89e+10),
           ( 0.189,  3.87e+10),
           ( 0.192,  3.79e+10),
           ( 0.196,  3.68e+10),
           ( 0.199,  3.45e+10),
           ( 0.203,  3.66e+10),
           ( 0.206,  3.75e+10),
           ( 0.216,  3.15e+10),
           ( 0.219,  3.28e+10),
           ( 0.223,  3.18e+10),
           ( 0.226,  3.37e+10),
           ( 0.230,  3.46e+10),
           ( 0.236,  3.20e+10),
           ( 0.243,  2.75e+10),
           ( 0.246,  2.94e+10),
           ( 0.250,  2.69e+10),
           ( 0.253,  2.66e+10),
           ( 0.257,  3.02e+10),
           ( 0.260,  2.61e+10),
           ( 0.267,  2.19e+10),
           ( 0.270,  2.27e+10),
           ( 0.273,  2.21e+10),
           ( 0.277,  2.47e+10),
           ( 0.280,  2.41e+10),
           ( 0.284,  2.23e+10),
           ( 0.287,  2.27e+10),
           ( 0.290,  2.32e+10),
           ( 0.294,  2.12e+10),
           ( 0.297,  2.17e+10),
           ( 0.300,  2.42e+10),
           ( 0.304,  2.62e+10),
           ( 0.307,  2.56e+10),
           ( 0.311,  2.69e+10),
           ( 0.314,  2.55e+10),
           ( 0.317,  2.66e+10),
           ( 0.321,  2.44e+10),
           ( 0.324,  2.79e+10),
           ( 0.331,  3.78e+10),
           ( 0.334,  3.73e+10),
           ( 0.338,  3.07e+10),
           ( 0.341,  2.75e+10),
           ( 0.344,  2.82e+10),
           ( 0.348,  2.58e+10),
           ( 0.351,  2.58e+10),
           ( 0.354,  2.50e+10),
           ( 0.358,  2.29e+10),
           ( 0.361,  2.27e+10),
           ( 0.365,  2.03e+10),
           ( 0.368,  2.13e+10),
           ( 0.371,  2.44e+10),
           ( 0.375,  2.27e+10),
           ( 0.378,  2.46e+10),
           ( 0.381,  2.23e+10),
           ( 0.385,  2.04e+10),
           ( 0.388,  2.05e+10),
           ( 0.392,  1.74e+10),
           ( 0.395,  1.75e+10),
           ( 0.398,  1.87e+10),
           ( 0.402,  1.60e+10),
           ( 0.405,  1.67e+10),
           ( 0.412,  1.29e+10),
           ( 0.415,  1.43e+10),
           ( 0.419,  1.41e+10),
           ( 0.422,  1.21e+10),
           ( 0.425,  1.37e+10),
           ( 0.429,  1.30e+10),
           ( 0.432,  1.07e+10),
           ( 0.435,  1.10e+10),
           ( 0.439,  1.14e+10),
           ( 0.442,  1.02e+10),
           ( 0.446,  1.05e+10),
           ( 0.449,  7.19e+09),
           ( 0.452,  5.90e+09),
           ( 0.456,  7.04e+09),
           ( 0.459,  7.06e+09),
           ( 0.462,  5.80e+09),
           ( 0.466,  6.26e+09),
           ( 0.469,  6.53e+09),
           ( 0.473,  5.07e+09),
           ( 0.479,  6.93e+09),
           ( 0.483,  5.73e+09),
           ( 0.486,  4.02e+09),
           ( 0.489,  5.55e+09),
           ( 0.493,  4.93e+09),
           ( 0.496,  5.39e+09),
           ( 0.500,  4.56e+09),
           ( 0.503,  6.65e+09),
           ( 0.506,  7.49e+09),
           ( 0.510,  6.95e+09),
           ( 0.513,  7.28e+09),
           ( 0.516,  6.34e+09),
           ( 0.520,  5.96e+09),
           ( 0.523,  7.39e+09),
           ( 0.527,  5.88e+09),
           ( 0.530,  7.36e+09),
           ( 0.533,  4.80e+09),
           ( 0.537,  4.65e+09),
           ( 0.540,  5.44e+09),
           ( 0.543,  6.08e+09),
           ( 0.547,  4.02e+09),
           ( 0.550,  6.66e+09),
           ( 0.554,  6.85e+09),
