Bolide Detection Notification: 2010-067

At 22:44:41 UT on 08 Mar 2010, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat18.2N, Lon 110.1E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 3.5E9 watts/steradian, and total radiated flash
energy  3.0E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -5.44e+08),
           (-0.996, -2.21e+09),
           (-0.992, -2.77e+09),
           (-0.989, -1.80e+09),
           (-0.986, -2.05e+09),
           (-0.982, -2.93e+09),
           (-0.979, -2.58e+09),
           (-0.975, -2.43e+09),
           (-0.972, -1.90e+09),
           (-0.969, -2.34e+08),
           (-0.965,  4.36e+08),
           (-0.962,  5.38e+08),
           (-0.958,  7.75e+08),
           (-0.955,  2.65e+09),
           (-0.952,  1.67e+09),
           (-0.948,  1.91e+09),
           (-0.945,  2.04e+09),
           (-0.942,  2.90e+09),
           (-0.938,  3.53e+09),
           (-0.935,  2.04e+09),
           (-0.931,  1.40e+09),
           (-0.928,  1.80e+09),
           (-0.925,  1.18e+09),
           (-0.921,  1.33e+09),
           (-0.918,  7.24e+08),
           (-0.915, -2.95e+08),
           (-0.911,  1.39e+09),
           (-0.908,  1.88e+09),
           (-0.905,  4.54e+08),
           (-0.901,  5.22e+08),
           (-0.898,  8.89e+08),
           (-0.894,  2.43e+09),
           (-0.891,  2.71e+09),
           (-0.888,  2.16e+09),
           (-0.884,  2.46e+09),
           (-0.881,  2.17e+09),
           (-0.877,  2.42e+09),
           (-0.874,  1.20e+08),
           (-0.871,  2.88e+08),
           (-0.867,  7.39e+08),
           (-0.864,  8.99e+08),
           (-0.861,  1.09e+09),
           (-0.857,  7.27e+08),
           (-0.854,  6.84e+08),
           (-0.851,  5.14e+08),
           (-0.847,  5.13e+08),
           (-0.844,  7.25e+08),
           (-0.840,  7.31e+08),
           (-0.837,  1.68e+09),
           (-0.834,  2.12e+09),
           (-0.830,  2.12e+09),
           (-0.827,  1.33e+09),
           (-0.823,  3.81e+07),
           (-0.820, -3.59e+08),
           (-0.817, -2.55e+08),
           (-0.813, -6.25e+08),
           (-0.810, -1.27e+09),
           (-0.807, -9.90e+07),
           (-0.803,  6.79e+08),
           (-0.800,  5.80e+08),
           (-0.797, -4.64e+08),
           (-0.793,  8.72e+08),
           (-0.790,  5.24e+08),
           (-0.786, -4.28e+08),
           (-0.783, -2.09e+08),
           (-0.780,  7.97e+08),
           (-0.776,  4.45e+08),
           (-0.773,  2.27e+09),
           (-0.770,  1.74e+09),
           (-0.766,  2.12e+09),
           (-0.763,  9.77e+08),
           (-0.759,  2.83e+07),
           (-0.756,  6.67e+08),
           (-0.753,  1.17e+09),
           (-0.749,  2.52e+09),
           (-0.746,  3.19e+09),
           (-0.742,  2.86e+09),
           (-0.739,  2.46e+09),
           (-0.736,  3.24e+09),
           (-0.732,  3.62e+09),
           (-0.729,  1.99e+09),
           (-0.726, -5.45e+07),
           (-0.722, -6.96e+08),
           (-0.719,  7.28e+08),
           (-0.716,  1.18e+08),
           (-0.712,  2.69e+08),
           (-0.709, -1.20e+09),
           (-0.705, -1.98e+09),
           (-0.702, -9.89e+08),
           (-0.699, -8.17e+08),
           (-0.695, -1.75e+09),
           (-0.692,  2.30e+08),
           (-0.688, -1.05e+08),
           (-0.685, -1.78e+08),
           (-0.682, -2.63e+08),
           (-0.678, -1.74e+08),
           (-0.675, -5.03e+08),
           (-0.672,  8.74e+07),
           (-0.668, -6.83e+08),
           (-0.665, -1.25e+09),
           (-0.662, -5.94e+08),
           (-0.658, -4.27e+08),
           (-0.655,  1.79e+08),
           (-0.651, -3.27e+08),
           (-0.648, -8.56e+08),
           (-0.645,  3.01e+08),
           (-0.641,  4.76e+08),
           (-0.638, -2.16e+08),
           (-0.635,  8.39e+07),
           (-0.631,  7.72e+08),
           (-0.628,  1.52e+09),
           (-0.624,  1.92e+09),
           (-0.621,  7.56e+08),
           (-0.618,  5.14e+07),
           (-0.614, -5.75e+08),
           (-0.611,  3.57e+08),
           (-0.607,  1.99e+09),
           (-0.604,  2.78e+09),
           (-0.601,  1.59e+09),
           (-0.597, -5.49e+07),
           (-0.594, -9.58e+07),
           (-0.591,  1.04e+08),
           (-0.587, -7.97e+08),
           (-0.584,  2.60e+08),
           (-0.581, -6.91e+08),
           (-0.577, -8.79e+08),
           (-0.574, -7.36e+08),
           (-0.570, -8.67e+07),
           (-0.567,  3.88e+07),
           (-0.564,  3.30e+08),
           (-0.560, -3.81e+08),
           (-0.557,  1.38e+08),
           (-0.553,  1.37e+08),
           (-0.550,  4.94e+08),
           (-0.547,  6.47e+08),
           (-0.543,  2.52e+08),
           (-0.540,  2.40e+08),
           (-0.537, -4.65e+08),
           (-0.533, -6.86e+08),
           (-0.530,  4.55e+07),
           (-0.527, -8.66e+08),
           (-0.523, -7.52e+07),
           (-0.520,  1.10e+09),
           (-0.516, -1.29e+07),
           (-0.513,  4.05e+08),
           (-0.510,  7.75e+08),
           (-0.506,  2.84e+08),
           (-0.503,  5.56e+08),
           (-0.500,  8.49e+08),
           (-0.496, -6.10e+08),
           (-0.493, -1.47e+09),
           (-0.489, -2.07e+09),
           (-0.486, -2.19e+09),
           (-0.483, -3.86e+08),
           (-0.479,  4.15e+08),
           (-0.476, -1.36e+09),
           (-0.472, -1.15e+09),
           (-0.469, -1.03e+09),
           (-0.466, -2.45e+09),
           (-0.462, -7.18e+08),
           (-0.459, -3.69e+08),
           (-0.456,  3.85e+08),
           (-0.452,  9.61e+08),
           (-0.449,  8.57e+08),
           (-0.446, -2.51e+08),
           (-0.442,  5.73e+08),
           (-0.439,  1.66e+09),
           (-0.435,  1.69e+09),
           (-0.432,  1.81e+09),
           (-0.429,  2.15e+09),
           (-0.425,  2.08e+09),
           (-0.422,  2.30e+09),
           (-0.418,  2.29e+09),
           (-0.415,  7.54e+08),
           (-0.412,  1.17e+09),
           (-0.408,  1.71e+09),
           (-0.405,  1.79e+09),
           (-0.402,  6.94e+08),
           (-0.398, -1.99e+07),
           (-0.395,  7.69e+07),
           (-0.392,  1.11e+09),
           (-0.388,  2.22e+09),
           (-0.385,  2.72e+09),
           (-0.381,  1.41e+09),
           (-0.378,  6.21e+08),
           (-0.375,  9.31e+08),
           (-0.371,  3.19e+08),
           (-0.368,  1.19e+09),
           (-0.365,  1.30e+09),
           (-0.361,  1.63e+09),
           (-0.358,  1.51e+09),
           (-0.354,  1.61e+09),
           (-0.351,  1.04e+09),
           (-0.348,  2.52e+09),
           (-0.344,  2.91e+09),
           (-0.341,  3.94e+08),
           (-0.337,  2.83e+09),
           (-0.334,  3.33e+09),
           (-0.331,  2.11e+09),
           (-0.327,  2.04e+09),
           (-0.324,  2.46e+09),
           (-0.321,  1.09e+09),
           (-0.317,  2.48e+09),
           (-0.314,  3.62e+09),
           (-0.311,  2.09e+09),
           (-0.307,  9.47e+08),
           (-0.304,  1.65e+09),
           (-0.300,  1.06e+09),
           (-0.297,  3.09e+09),
           (-0.294,  4.46e+09),
           (-0.290,  5.18e+09),
           (-0.287,  4.16e+09),
           (-0.283,  3.63e+09),
           (-0.280,  2.92e+09),
           (-0.277,  2.05e+09),
           (-0.273,  2.32e+09),
           (-0.270,  2.88e+09),
           (-0.267,  3.31e+09),
           (-0.263,  1.74e+09),
           (-0.260,  1.18e+09),
           (-0.257,  7.69e+08),
           (-0.253, -2.26e+08),
           (-0.250, -4.03e+08),
           (-0.246,  1.87e+08),
           (-0.243,  2.36e+08),
           (-0.240, -3.47e+08),
           (-0.236, -9.97e+07),
           (-0.233, -1.62e+08),
           (-0.230,  2.37e+08),
           (-0.226, -7.57e+08),
           (-0.223, -4.36e+08),
           (-0.219, -1.07e+09),
           (-0.216, -6.09e+08),
           (-0.213, -6.27e+08),
           (-0.209,  1.36e+09),
           (-0.206,  3.25e+09),
           (-0.202,  2.61e+09),
           (-0.199,  3.56e+09),
           (-0.196,  2.92e+09),
           (-0.192,  8.60e+08),
           (-0.189,  1.50e+08),
           (-0.186,  6.47e+08),
           (-0.182,  1.93e+09),
           (-0.179,  1.04e+09),
           (-0.176, -3.38e+08),
           (-0.172,  7.45e+07),
           (-0.169, -1.83e+08),
           (-0.165,  2.87e+08),
           (-0.162, -4.34e+08),
           (-0.159, -8.72e+08),
           (-0.155,  5.64e+08),
           (-0.152,  6.10e+08),
           (-0.148,  4.61e+08),
           (-0.145,  1.11e+09),
           (-0.142,  2.36e+08),
           (-0.138, -2.24e+08),
           (-0.135,  8.64e+08),
           (-0.132,  4.99e+08),
           (-0.128, -9.15e+08),
           (-0.125, -8.81e+08),
           (-0.122, -1.34e+09),
           (-0.118, -1.59e+09),
           (-0.115, -1.89e+08),
           (-0.111,  6.04e+08),
           (-0.108, -3.12e+08),
           (-0.105, -5.28e+08),
           (-0.101, -2.86e+08),
           (-0.098, -7.73e+08),
           (-0.095, -3.50e+08),
           (-0.091,  1.61e+09),
           (-0.088,  7.25e+08),
           (-0.084,  3.47e+08),
           (-0.081, -6.13e+08),
           (-0.078, -3.24e+08),
           (-0.074, -1.69e+09),
           (-0.071, -4.02e+09),
           (-0.067, -3.37e+09),
           (-0.064, -1.24e+09),
           (-0.061, -8.83e+08),
           (-0.057, -1.39e+09),
           (-0.054,  1.40e+08),
           (-0.051,  7.33e+08),
           (-0.047,  1.01e+09),
           (-0.044,  6.24e+08),
           (-0.041, -8.99e+07),
           (-0.037,  4.95e+08),
           (-0.034,  1.01e+09),
           (-0.030,  3.76e+08),
           (-0.027, -5.34e+08),
           (-0.024,  3.86e+08),
           (-0.020,  7.12e+08),
           (-0.017,  9.87e+08),
           (-0.013,  9.97e+08),
           (-0.010,  1.23e+09),
           (-0.007,  1.13e+09),
           (-0.003,  8.52e+08),
           (-0.000,  1.51e+09),
           ( 0.003,  8.99e+08),
           ( 0.007,  1.72e+08),
           ( 0.010, -1.52e+08),
           ( 0.013, -5.74e+08),
           ( 0.017, -1.04e+09),
           ( 0.020, -2.02e+09),
           ( 0.024, -9.82e+08),
           ( 0.027, -2.78e+08),
           ( 0.030,  1.17e+09),
           ( 0.034, -7.00e+05),
           ( 0.037,  3.43e+08),
           ( 0.040, -5.62e+08),
           ( 0.044, -4.84e+08),
           ( 0.047, -1.46e+09),
           ( 0.051, -8.47e+08),
           ( 0.054,  9.05e+08),
           ( 0.057,  1.98e+09),
           ( 0.061,  1.89e+07),
           ( 0.064, -7.51e+08),
           ( 0.068,  4.38e+08),
           ( 0.071, -7.69e+06),
           ( 0.074, -4.64e+08),
           ( 0.078, -6.08e+08),
           ( 0.081, -8.54e+08),
           ( 0.084, -3.44e+08),
           ( 0.088, -1.34e+09),
           ( 0.091, -2.24e+09),
           ( 0.094, -2.86e+09),
           ( 0.098, -2.55e+09),
           ( 0.101, -3.65e+09),
           ( 0.105, -2.76e+09),
           ( 0.108, -1.16e+09),
           ( 0.111, -1.31e+09),
           ( 0.115, -2.34e+09),
           ( 0.118, -1.21e+09),
           ( 0.122, -5.57e+08),
           ( 0.125,  6.91e+08),
           ( 0.128,  2.38e+08),
           ( 0.132, -3.78e+08),
           ( 0.135, -3.22e+07),
           ( 0.138, -1.52e+09),
           ( 0.142, -1.17e+09),
           ( 0.145, -2.83e+07),
           ( 0.148,  5.16e+08),
           ( 0.152,  1.15e+08),
           ( 0.155, -1.09e+09),
           ( 0.159, -1.03e+09),
           ( 0.162, -1.47e+09),
           ( 0.165, -7.90e+07),
           ( 0.169,  1.00e+09),
           ( 0.172,  2.27e+07),
           ( 0.175,  1.22e+08),
           ( 0.179, -9.11e+08),
           ( 0.182, -1.40e+09),
           ( 0.186, -7.11e+08),
           ( 0.189, -3.65e+08),
           ( 0.192,  7.48e+08),
           ( 0.196,  6.78e+08),
           ( 0.199,  8.11e+07),
           ( 0.203, -2.90e+08),
           ( 0.206, -9.30e+08),
           ( 0.209, -9.47e+08),
           ( 0.213, -1.51e+09),
           ( 0.216, -3.64e+08),
