Bolide Detection Notification: 2010-073

At 18:44:42 UT on 14 Mar 2010, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 33.8N, Lon 90.2W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.28e+10 watts/steradian, and total radiated flash
energy 3.82e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -1.11e+09),
           (-0.996,  9.51e+08),
           (-0.992,  4.09e+08),
           (-0.989, -7.44e+08),
           (-0.986,  6.60e+08),
           (-0.982,  7.70e+08),
           (-0.979, -2.34e+09),
           (-0.975,  3.64e+08),
           (-0.972,  1.09e+09),
           (-0.969,  1.39e+09),
           (-0.965,  3.87e+08),
           (-0.962, -9.44e+08),
           (-0.959,  8.77e+08),
           (-0.955,  2.23e+09),
           (-0.952,  5.57e+08),
           (-0.948, -5.90e+08),
           (-0.945,  7.62e+08),
           (-0.942, -1.12e+09),
           (-0.938,  6.57e+08),
           (-0.935,  1.89e+09),
           (-0.928, -1.23e+09),
           (-0.925, -7.22e+08),
           (-0.921,  1.21e+09),
           (-0.918, -1.99e+08),
           (-0.915,  1.12e+09),
           (-0.911,  1.96e+09),
           (-0.908, -9.11e+08),
           (-0.905,  1.50e+09),
           (-0.898, -1.12e+09),
           (-0.894, -1.07e+09),
           (-0.891,  2.63e+08),
           (-0.888,  6.80e+08),
           (-0.884, -1.01e+09),
           (-0.881,  4.78e+08),
           (-0.878,  4.11e+08),
           (-0.874, -9.94e+08),
           (-0.871, -2.19e+08),
           (-0.867,  8.80e+08),
           (-0.864,  1.06e+09),
           (-0.861, -4.79e+07),
           (-0.857,  1.42e+08),
           (-0.854, -2.37e+08),
           (-0.851, -1.39e+09),
           (-0.847,  5.68e+08),
           (-0.844,  7.53e+08),
           (-0.840,  2.52e+08),
           (-0.837, -3.56e+07),
           (-0.834,  2.96e+09),
           (-0.830, -1.23e+09),
           (-0.827,  1.33e+09),
           (-0.824, -1.83e+08),
           (-0.820,  1.24e+09),
           (-0.817,  1.96e+09),
           (-0.813, -8.54e+08),
           (-0.810,  7.92e+06),
           (-0.807, -3.64e+08),
           (-0.803,  2.21e+08),
           (-0.800, -1.86e+09),
           (-0.797,  8.40e+07),
           (-0.793,  2.17e+08),
           (-0.790,  8.12e+08),
           (-0.786, -9.41e+08),
           (-0.783, -4.33e+08),
           (-0.780, -1.06e+09),
           (-0.776,  1.37e+09),
           (-0.773,  3.60e+08),
           (-0.770,  3.21e+08),
           (-0.766,  6.97e+07),
           (-0.763,  1.74e+09),
           (-0.759, -6.85e+08),
           (-0.756,  2.65e+08),
           (-0.753, -5.88e+08),
           (-0.749,  3.01e+08),
           (-0.746, -2.25e+08),
           (-0.743, -2.84e+08),
           (-0.739,  1.26e+09),
           (-0.736,  7.95e+07),
           (-0.732, -2.45e+08),
           (-0.729,  3.05e+08),
           (-0.726,  6.89e+08),
           (-0.722, -2.00e+07),
           (-0.719, -5.00e+08),
           (-0.716, -1.42e+08),
           (-0.712, -5.76e+08),
           (-0.709, -2.31e+08),
           (-0.705, -1.59e+09),
