Bolide Detection Notification: 2010-096

At 18:33:12 UT on 06 Apr 2010, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 52.8N, Lon 146.5W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.75e+10 watts/steradian, and total radiated flash
energy 7.89e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.800, -1.82e+09),
           (-0.797, -7.98e+08),
           (-0.793,  8.18e+08),
           (-0.790,  1.86e+08),
           (-0.786,  4.94e+08),
           (-0.783, -5.97e+08),
           (-0.780, -1.11e+09),
           (-0.776,  1.79e+09),
           (-0.773, -3.89e+08),
           (-0.770, -2.12e+09),
           (-0.766,  5.57e+08),
           (-0.763,  2.77e+08),
           (-0.759, -3.02e+08),
           (-0.756,  7.46e+08),
           (-0.753,  3.02e+08),
           (-0.749, -2.83e+08),
           (-0.746, -5.20e+08),
           (-0.743,  1.62e+09),
           (-0.739,  1.35e+08),
           (-0.736, -3.46e+08),
           (-0.732, -6.53e+07),
           (-0.726,  1.09e+09),
           (-0.722, -1.74e+08),
           (-0.719, -2.26e+07),
           (-0.716, -4.35e+08),
           (-0.712, -3.08e+08),
           (-0.709,  6.09e+08),
           (-0.705,  9.83e+08),
           (-0.702, -9.10e+08),
           (-0.699, -2.56e+08),
           (-0.695,  9.79e+08),
           (-0.692, -2.72e+08),
           (-0.689,  7.21e+08),
           (-0.685, -7.25e+08),
           (-0.682, -9.33e+08),
           (-0.678, -1.34e+09),
           (-0.675, -1.54e+09),
           (-0.672, -4.84e+08),
           (-0.668,  8.21e+08),
           (-0.665, -4.27e+08),
           (-0.662, -2.62e+08),
           (-0.658,  6.37e+08),
           (-0.655,  3.66e+08),
           (-0.651,  2.97e+08),
           (-0.645, -1.10e+09),
           (-0.641,  8.00e+08),
           (-0.638, -6.48e+08),
           (-0.635, -4.62e+08),
           (-0.631,  1.25e+09),
           (-0.628,  7.37e+08),
           (-0.624,  1.14e+09),
           (-0.621,  1.86e+09),
           (-0.618, -1.14e+09),
           (-0.614,  4.81e+08),
           (-0.611,  1.00e+09),
           (-0.608,  4.12e+08),
           (-0.604,  1.83e+09),
           (-0.601,  4.70e+08),
           (-0.597, -3.16e+08),
           (-0.594, -1.39e+08),
           (-0.591, -6.58e+07),
           (-0.587,  1.58e+09),
           (-0.581, -3.77e+08),
           (-0.577,  3.31e+08),
           (-0.574,  5.08e+08),
           (-0.570,  7.77e+08),
           (-0.567,  4.40e+08),
           (-0.564,  2.21e+09),
           (-0.560,  9.87e+08),
           (-0.557,  2.11e+09),
           (-0.553, -8.31e+08),
           (-0.550, -6.72e+07),
           (-0.547, -4.54e+08),
           (-0.543,  1.24e+09),
           (-0.540,  4.73e+08),
           (-0.537,  1.10e+08),
           (-0.533,  1.22e+09),
           (-0.530, -1.70e+09),
           (-0.527, -8.79e+08),
           (-0.523,  1.03e+09),
           (-0.520,  8.84e+08),
           (-0.516, -4.09e+08),
           (-0.513,  8.26e+08),
           (-0.510, -5.36e+07),
           (-0.506,  4.07e+07),
           (-0.503, -9.05e+07),
           (-0.500,  9.88e+08),
           (-0.496, -9.22e+08),
           (-0.493,  1.10e+09),
           (-0.489,  4.41e+07),
           (-0.486,  3.94e+08),
           (-0.479, -1.08e+09),
           (-0.476, -4.74e+08),
           (-0.473,  6.31e+08),
           (-0.469, -5.53e+07),
           (-0.466,  2.85e+08),
           (-0.462, -7.16e+08),
           (-0.459, -7.10e+08),
           (-0.456,  6.13e+08),
           (-0.452,  4.50e+08),
           (-0.449, -9.21e+08),
           (-0.446,  3.83e+07),
           (-0.442,  2.03e+09),
           (-0.435, -1.42e+09),
           (-0.432, -8.77e+08),
           (-0.429,  1.19e+09),
           (-0.425, -3.09e+08),
           (-0.422,  2.90e+08),
           (-0.418, -8.63e+07),
           (-0.415,  2.10e+09),
           (-0.412,  6.35e+08),
           (-0.408, -1.18e+09),
           (-0.405,  5.68e+08),
           (-0.402,  8.72e+08),
           (-0.398,  2.30e+08),
           (-0.395,  7.29e+08),
           (-0.392, -4.12e+08),
           (-0.388,  1.91e+09),
           (-0.385,  1.65e+09),
           (-0.381,  1.05e+09),
           (-0.378,  1.27e+09),
           (-0.375,  2.46e+07),
           (-0.371, -6.41e+08),
           (-0.368, -3.28e+08),
           (-0.365,  2.97e+08),
           (-0.361,  3.15e+08),
           (-0.358, -9.35e+07),
           (-0.354,  1.26e+09),
           (-0.351,  7.85e+08),
           (-0.348, -1.97e+08),
           (-0.344, -8.08e+08),
           (-0.341, -7.84e+08),
           (-0.338,  3.14e+08),
           (-0.334,  4.64e+07),
           (-0.331,  5.94e+08),
           (-0.327,  2.08e+08),
           (-0.324, -7.91e+08),
           (-0.321,  5.41e+08),
           (-0.317, -8.03e+08),
           (-0.314,  1.56e+09),
           (-0.310,  1.87e+09),
           (-0.307, -7.63e+08),
           (-0.304,  1.97e+08),
           (-0.300,  3.07e+08),
           (-0.297,  1.64e+08),
           (-0.294,  2.64e+08),
           (-0.290, -1.86e+08),
           (-0.287,  1.00e+09),
           (-0.284,  1.84e+09),
           (-0.280, -2.03e+08),
           (-0.277, -7.64e+08),
           (-0.273,  3.73e+07),
           (-0.270,  6.55e+08),
           (-0.267,  6.49e+08),
           (-0.263,  1.89e+09),
           (-0.260,  1.07e+09),
           (-0.257,  1.43e+09),
           (-0.253,  5.22e+08),
           (-0.250,  4.97e+08),
           (-0.246,  1.38e+09),
           (-0.240,  5.35e+09),
           (-0.236,  4.85e+09),
           (-0.233,  5.14e+09),
           (-0.230,  5.17e+09),
           (-0.226,  3.63e+09),
           (-0.223,  3.49e+09),
           (-0.219,  3.98e+09),
           (-0.216,  3.73e+09),
           (-0.213,  2.48e+09),
           (-0.209,  2.52e+09),
           (-0.206,  3.97e+09),
           (-0.203,  2.87e+09),
           (-0.199,  2.71e+09),
           (-0.196,  3.18e+09),
           (-0.192,  4.28e+09),
           (-0.189,  4.27e+09),
           (-0.182,  1.70e+09),
           (-0.179,  2.19e+09),
           (-0.175,  1.00e+09),
           (-0.172,  9.26e+08),
           (-0.169,  2.68e+09),
           (-0.165,  1.56e+09),
           (-0.162,  1.14e+09),
           (-0.159,  1.47e+09),
           (-0.155,  9.11e+08),
           (-0.145,  2.85e+09),
           (-0.142,  2.45e+09),
           (-0.138,  1.20e+09),
           (-0.135,  6.45e+08),
           (-0.132,  1.69e+09),
           (-0.128,  3.56e+08),
           (-0.125,  2.60e+09),
           (-0.122,  2.10e+09),
           (-0.118,  1.96e+09),
           (-0.115,  1.37e+09),
           (-0.111,  2.49e+09),
           (-0.108,  2.39e+08),
           (-0.105,  1.65e+07),
           (-0.101,  2.06e+09),
           (-0.098,  1.95e+09),
           (-0.095,  3.48e+08),
           (-0.091,  2.39e+09),
           (-0.088,  1.66e+09),
           (-0.084,  1.31e+09),
           (-0.081,  1.50e+09),
           (-0.078,  2.53e+09),
           (-0.074,  2.57e+09),
           (-0.071, -8.13e+07),
           (-0.068,  1.20e+09),
           (-0.064,  2.04e+09),
           (-0.061,  1.99e+09),
           (-0.057,  1.03e+09),
           (-0.054,  1.01e+09),
           (-0.051,  7.60e+08),
           (-0.047,  1.75e+09),
           (-0.044,  1.73e+09),
           (-0.041,  1.12e+09),
           (-0.037,  3.94e+08),
           (-0.034,  1.34e+09),
           (-0.030,  3.01e+09),
           (-0.027,  3.11e+08),
           (-0.024,  1.03e+09),
           (-0.020,  5.69e+08),
           (-0.017,  1.82e+09),
           (-0.014,  4.72e+09),
           (-0.010,  4.19e+09),
           (-0.003,  8.70e+09),
           ( 0.000,  8.16e+09),
           ( 0.003,  8.59e+09),
           ( 0.007,  5.93e+09),
           ( 0.013,  9.10e+09),
           ( 0.017,  8.32e+09),
           ( 0.020,  8.63e+09),
           ( 0.024,  6.49e+09),
           ( 0.027,  7.44e+09),
           ( 0.030,  6.89e+09),
           ( 0.034,  5.89e+09),
           ( 0.037,  7.01e+09),
           ( 0.040,  4.99e+09),
           ( 0.044,  5.64e+09),
           ( 0.047,  6.84e+09),
           ( 0.051,  6.05e+09),
           ( 0.054,  2.10e+09),
