Bolide Detection Notification: 2010-187

At 23:54:43 UT on 06 Jul 2010, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 34.1S, Lon 174.5W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 4.76e+11 watts/steradian, and total radiated flash
energy 7.51e+12 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-2.997,  9.95e+08),
           (-2.994, -1.53e+09),
           (-2.990, -1.51e+09),
           (-2.987,  8.24e+08),
           (-2.983, -4.73e+08),
           (-2.980, -5.60e+08),
           (-2.977,  8.82e+08),
           (-2.973, -9.64e+08),
           (-2.967,  4.25e+08),
           (-2.963,  4.96e+07),
           (-2.960, -1.48e+09),
           (-2.953,  6.75e+07),
           (-2.950, -4.60e+06),
           (-2.946, -1.73e+09),
           (-2.940, -3.78e+08),
           (-2.936, -2.13e+08),
           (-2.933, -5.57e+08),
           (-2.929,  4.15e+08),
           (-2.926, -1.51e+09),
           (-2.919,  1.10e+08),
           (-2.916, -6.49e+08),
           (-2.913, -6.28e+08),
           (-2.909,  9.08e+08),
           (-2.906, -2.44e+08),
           (-2.896,  2.54e+08),
           (-2.892, -6.34e+08),
           (-2.886,  7.28e+08),
           (-2.879, -6.57e+08),
           (-2.875,  5.48e+08),
           (-2.869, -1.01e+09),
           (-2.865, -4.70e+08),
           (-2.862, -1.16e+09),
           (-2.859, -1.00e+09),
           (-2.855, -2.76e+08),
           (-2.852, -1.38e+09),
           (-2.848,  3.56e+08),
           (-2.842,  1.63e+08),
           (-2.838, -1.54e+09),
           (-2.828, -3.70e+08),
           (-2.825, -3.89e+08),
           (-2.821,  1.82e+08),
           (-2.818, -7.40e+08),
           (-2.815,  1.05e+09),
           (-2.811, -1.18e+08),
           (-2.805,  1.10e+09),
           (-2.798, -3.07e+08),
           (-2.794,  8.25e+06),
           (-2.791, -2.79e+08),
           (-2.788, -1.11e+09),
           (-2.778,  1.82e+08),
           (-2.774,  1.98e+08),
           (-2.771,  1.21e+09),
           (-2.764, -3.07e+08),
           (-2.761,  9.70e+08),
           (-2.757, -4.32e+08),
           (-2.754,  4.56e+08),
           (-2.751,  2.21e+08),
           (-2.747,  6.87e+08),
           (-2.744, -1.50e+09),
           (-2.737,  8.22e+08),
           (-2.730,  6.34e+08),
           (-2.727, -8.12e+08),
           (-2.720,  1.03e+09),
           (-2.713, -1.01e+09),
           (-2.707, -4.82e+08),
           (-2.703, -1.24e+09),
           (-2.700, -1.07e+09),
           (-2.690, -1.56e+09),
           (-2.686, -1.78e+08),
           (-2.683, -7.26e+08),
           (-2.659, -3.30e+08),
           (-2.656,  1.07e+09),
           (-2.649, -7.25e+08),
           (-2.646,  7.32e+08),
           (-2.643, -7.87e+08),
           (-2.636,  3.49e+08),
           (-2.632, -1.70e+08),
           (-2.629,  5.20e+08),
           (-2.626, -1.14e+09),
           (-2.622, -1.20e+09),
           (-2.619,  1.32e+09),
           (-2.609, -1.29e+09),
           (-2.602,  5.99e+07),
           (-2.599, -1.61e+09),
           (-2.595,  1.34e+07),
           (-2.592, -1.43e+09),
           (-2.589, -1.04e+09),
           (-2.585, -3.50e+07),
           (-2.582, -8.39e+08),
           (-2.579, -4.49e+08),
           (-2.575, -1.54e+09),
           (-2.572, -3.14e+08),
           (-2.568,  2.11e+09),
           (-2.562, -1.04e+09),
           (-2.558,  3.89e+08),
           (-2.555,  5.33e+08),
           (-2.548, -2.84e+08),
           (-2.545, -1.41e+09),
           (-2.541,  3.50e+08),
           (-2.538,  6.45e+07),
           (-2.535,  6.61e+08),
           (-2.531,  2.93e+08),
           (-2.528, -1.37e+09),
           (-2.524,  2.57e+08),
           (-2.518,  3.59e+08),
           (-2.514,  1.88e+09),
           (-2.511, -6.10e+08),
           (-2.504,  1.46e+09),
           (-2.498, -1.07e+09),
           (-2.491,  1.20e+09),
           (-2.487,  7.57e+08),
           (-2.484, -1.67e+09),
           (-2.477,  1.87e+09),
           (-2.470, -1.59e+08),
           (-2.464,  6.34e+08),
           (-2.460,  4.43e+08),
           (-2.454,  1.56e+09),
           (-2.450,  3.08e+08),
           (-2.444,  7.10e+08),
           (-2.433,  6.61e+08),
           (-2.430, -7.83e+08),
           (-2.423,  1.22e+09),
           (-2.416,  3.71e+08),
           (-2.413,  9.33e+08),
           (-2.410,  8.35e+08),
           (-2.406,  4.58e+07),
           (-2.403,  4.74e+08),
           (-2.400, -2.33e+08),
           (-2.396, -3.35e+07),
           (-2.393, -2.80e+08),
           (-2.389,  3.40e+07),
           (-2.386, -2.15e+08),
           (-2.373,  6.38e+08),
           (-2.369,  1.43e+09),
           (-2.366, -3.91e+08),
           (-2.362,  3.22e+08),
           (-2.356,  4.98e+07),
           (-2.352,  1.13e+09),
           (-2.342, -7.26e+08),
           (-2.339,  1.11e+09),
           (-2.335,  1.36e+09),
           (-2.329, -1.12e+09),
           (-2.325,  9.98e+08),
           (-2.322, -3.63e+08),
           (-2.315,  9.16e+08),
           (-2.312,  8.70e+07),
           (-2.308,  2.02e+08),
           (-2.305, -2.49e+08),
           (-2.302,  1.04e+09),
           (-2.298,  1.06e+09),
           (-2.295,  2.87e+08),
           (-2.292,  4.72e+08),
           (-2.288,  6.76e+06),
           (-2.285,  1.07e+09),
           (-2.281,  5.22e+08),
           (-2.278,  9.30e+08),
           (-2.275,  4.27e+08),
           (-2.268,  8.66e+08),
           (-2.265, -1.15e+09),
           (-2.261, -6.55e+08),
           (-2.255,  3.07e+09),
           (-2.248, -1.50e+09),
           (-2.244,  1.73e+09),
           (-2.238,  8.37e+08),
           (-2.234,  2.99e+09),
           (-2.231,  2.52e+09),
           (-2.227, -7.64e+06),
           (-2.224,  1.84e+09),
           (-2.217,  1.10e+09),
           (-2.214,  1.47e+09),
           (-2.211, -7.56e+07),
           (-2.207,  1.96e+09),
           (-2.204, -1.37e+08),
           (-2.197,  7.04e+08),
           (-2.190, -4.77e+08),
           (-2.180,  6.34e+08),
           (-2.177, -1.20e+08),
           (-2.173,  1.12e+09),
           (-2.170, -1.67e+08),
           (-2.167,  5.48e+07),
           (-2.163, -1.15e+09),
           (-2.160,  2.28e+07),
           (-2.157, -3.47e+08),
           (-2.147,  7.34e+08),
           (-2.143,  9.14e+08),
           (-2.140, -7.17e+08),
           (-2.136,  1.61e+09),
           (-2.133, -5.27e+08),
           (-2.130, -1.37e+08),
           (-2.126,  8.32e+08),
           (-2.123, -2.18e+08),
