Bolide Detection Notification: 2010-196

At 01:49:56 UT on 15 Jul 2010, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 60.9N, Lon 178.1W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 9.96e+09 watts/steradian, and total radiated flash
energy 2.85e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.597,  7.27e+08),
           (-0.594,  4.08e+08),
           (-0.591, -1.07e+09),
           (-0.587, -8.87e+08),
           (-0.584,  1.14e+08),
           (-0.580, -1.39e+09),
           (-0.577,  1.24e+09),
           (-0.574, -9.99e+07),
           (-0.570, -1.04e+09),
           (-0.567,  2.27e+08),
           (-0.564,  4.94e+08),
           (-0.560, -5.74e+08),
           (-0.557, -1.17e+09),
           (-0.553, -1.09e+08),
           (-0.550,  4.60e+08),
           (-0.547, -5.84e+08),
           (-0.543, -5.95e+08),
           (-0.540,  7.42e+08),
           (-0.537, -2.84e+08),
           (-0.533,  3.85e+08),
           (-0.526,  5.65e+08),
           (-0.523,  5.74e+08),
           (-0.520, -4.24e+08),
           (-0.513,  8.14e+08),
           (-0.510, -6.13e+08),
           (-0.506, -7.71e+08),
           (-0.503,  5.88e+08),
           (-0.499,  1.28e+09),
           (-0.496, -6.63e+08),
           (-0.493, -7.29e+08),
           (-0.489, -1.13e+09),
           (-0.486,  3.26e+08),
           (-0.483,  8.91e+08),
           (-0.479, -5.10e+08),
           (-0.476, -5.59e+08),
           (-0.472, -1.04e+09),
           (-0.469,  9.24e+08),
           (-0.466,  1.29e+09),
           (-0.462, -7.49e+07),
           (-0.459,  7.83e+08),
           (-0.456,  1.12e+09),
           (-0.452,  5.66e+08),
           (-0.449,  7.16e+08),
           (-0.445,  3.05e+08),
           (-0.442,  1.26e+09),
           (-0.439,  2.23e+08),
           (-0.435,  1.53e+08),
           (-0.432,  1.09e+09),
           (-0.429, -1.45e+09),
           (-0.425, -8.36e+08),
           (-0.422,  2.80e+08),
           (-0.418, -2.20e+08),
           (-0.415,  1.73e+09),
           (-0.412,  9.57e+08),
           (-0.408, -3.20e+08),
           (-0.405, -3.65e+06),
           (-0.402,  5.06e+08),
           (-0.398,  3.73e+08),
           (-0.395,  3.79e+08),
           (-0.391,  5.70e+08),
           (-0.388,  1.31e+09),
           (-0.385, -1.90e+09),
           (-0.381, -6.48e+08),
           (-0.375, -2.20e+08),
           (-0.371,  3.52e+08),
           (-0.368,  7.41e+08),
           (-0.364, -7.68e+07),
           (-0.361,  1.46e+09),
           (-0.358,  7.52e+08),
           (-0.354,  2.91e+08),
           (-0.348, -3.19e+08),
           (-0.344,  1.88e+08),
           (-0.341, -3.01e+08),
           (-0.337, -2.70e+08),
           (-0.334, -2.06e+08),
           (-0.331, -6.94e+07),
           (-0.327,  1.18e+09),
           (-0.324,  1.51e+09),
           (-0.321, -1.15e+09),
           (-0.317,  5.95e+08),
           (-0.314,  4.37e+07),
           (-0.310, -7.64e+08),
           (-0.307,  5.10e+08),
           (-0.304,  4.46e+08),
           (-0.300,  7.14e+08),
           (-0.297,  2.85e+08),
           (-0.294,  1.10e+09),
           (-0.290, -3.32e+08),
           (-0.283,  2.27e+09),
           (-0.280,  2.06e+09),
           (-0.277,  1.24e+09),
           (-0.273,  1.76e+09),
           (-0.270,  1.57e+09),
           (-0.267,  9.43e+08),
           (-0.263,  1.52e+09),
           (-0.260,  4.09e+08),
           (-0.256,  8.07e+08),
           (-0.253,  4.70e+07),
           (-0.250, -3.28e+07),
           (-0.246,  5.00e+08),
           (-0.243,  6.58e+08),
           (-0.240, -2.85e+08),
           (-0.236,  7.47e+08),
           (-0.233, -8.38e+08),
           (-0.229, -1.61e+09),
           (-0.226, -1.53e+08),
           (-0.223,  1.04e+09),
           (-0.219, -5.09e+08),
           (-0.216,  1.27e+09),
           (-0.213,  8.77e+07),
           (-0.209,  9.25e+08),
           (-0.206,  9.34e+08),
           (-0.202, -4.51e+08),
           (-0.199,  1.84e+08),
           (-0.196,  3.15e+08),
           (-0.192,  1.53e+09),
           (-0.189,  2.44e+09),
           (-0.186,  1.40e+08),
           (-0.182,  3.84e+08),
