Bolide Detection Notification: 2010-224

At 02:59:36 UT on 12 Aug 2010, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 4.2E9 watts/steradian, and total radiated flash
energy  2.8E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.998, -4.69e+08),
           (-1.995, -5.82e+08),
           (-1.991, -4.33e+08),
           (-1.988, -2.14e+07),
           (-1.985, -3.90e+08),
           (-1.981, -3.91e+08),
           (-1.978, -4.15e+08),
           (-1.974, -3.26e+08),
           (-1.971,  5.45e+07),
           (-1.968, -1.08e+08),
           (-1.964, -7.13e+08),
           (-1.961, -1.00e+08),
           (-1.957,  7.63e+08),
           (-1.954,  4.16e+08),
           (-1.951,  3.53e+08),
           (-1.947, -3.17e+08),
           (-1.944, -6.47e+08),
           (-1.941, -4.09e+08),
           (-1.937, -9.62e+07),
           (-1.934,  8.21e+08),
           (-1.930, -1.90e+07),
           (-1.927,  9.72e+06),
           (-1.924, -2.56e+07),
           (-1.920,  5.35e+08),
           (-1.917,  5.07e+08),
           (-1.914,  3.79e+08),
           (-1.910, -4.90e+07),
           (-1.907,  1.01e+07),
           (-1.904,  4.32e+08),
           (-1.900,  8.31e+08),
           (-1.897,  9.52e+08),
           (-1.893,  1.40e+09),
           (-1.890,  5.00e+08),
           (-1.887,  8.03e+07),
           (-1.883, -2.77e+08),
           (-1.880, -5.45e+08),
           (-1.876, -1.49e+09),
           (-1.873, -3.15e+08),
           (-1.870,  1.06e+09),
           (-1.866,  5.45e+08),
           (-1.863, -2.35e+07),
           (-1.860,  1.10e+09),
           (-1.856,  2.28e+08),
           (-1.853, -3.58e+08),
           (-1.850, -5.62e+08),
           (-1.846, -1.84e+08),
           (-1.843, -6.00e+08),
           (-1.839, -7.73e+08),
           (-1.836,  3.06e+08),
           (-1.833, -5.09e+08),
           (-1.829, -1.50e+09),
           (-1.826, -4.76e+08),
           (-1.822,  4.44e+08),
           (-1.819,  9.81e+08),
           (-1.816,  6.71e+07),
           (-1.812, -6.01e+08),
           (-1.809,  3.53e+08),
           (-1.806, -5.58e+08),
           (-1.802, -1.24e+09),
           (-1.799, -1.17e+09),
           (-1.795, -1.07e+09),
           (-1.792, -1.52e+09),
           (-1.789, -7.64e+08),
           (-1.785,  8.56e+07),
           (-1.782, -1.04e+09),
           (-1.779,  5.73e+07),
           (-1.775, -2.50e+08),
           (-1.772,  6.45e+08),
           (-1.769,  9.35e+08),
           (-1.765,  5.00e+08),
           (-1.762,  3.07e+08),
           (-1.758,  1.84e+08),
           (-1.755, -4.55e+08),
           (-1.752, -9.78e+08),
           (-1.748, -1.88e+09),
           (-1.745, -1.28e+09),
           (-1.741, -6.79e+08),
           (-1.738, -1.57e+09),
           (-1.735, -1.47e+09),
           (-1.731, -1.16e+09),
           (-1.728, -2.18e+09),
           (-1.725, -1.41e+09),
           (-1.721, -1.28e+09),
           (-1.718, -1.02e+09),
           (-1.715, -8.57e+08),
           (-1.711, -1.13e+09),
           (-1.708, -1.29e+09),
           (-1.704, -3.82e+07),
           (-1.701, -4.78e+08),
           (-1.698,  2.66e+08),
           (-1.694,  7.89e+08),
           (-1.691,  6.17e+08),
           (-1.687,  1.63e+08),
           (-1.684, -1.03e+09),
           (-1.681, -1.48e+09),
           (-1.677, -1.14e+09),
           (-1.674, -4.23e+08),
           (-1.671, -3.62e+08),
           (-1.667, -1.12e+09),
           (-1.664, -1.26e+09),
           (-1.660, -1.50e+09),
           (-1.657, -1.84e+09),
           (-1.654, -9.77e+08),
           (-1.650, -2.36e+08),
           (-1.647,  3.03e+08),
           (-1.644, -7.52e+07),
           (-1.640, -1.37e+09),
           (-1.637, -7.96e+08),
           (-1.634, -6.69e+07),
           (-1.630, -3.99e+08),
           (-1.627,  8.51e+08),
           (-1.623,  1.03e+09),
           (-1.620,  1.35e+08),
           (-1.617,  6.64e+08),
           (-1.613, -1.39e+08),
           (-1.610, -9.66e+08),
           (-1.606,  4.73e+08),
           (-1.603,  1.23e+08),
           (-1.600,  1.18e+08),
           (-1.596, -2.52e+07),
           (-1.593, -2.27e+08),
           (-1.590, -2.39e+08),
           (-1.586, -1.04e+08),
           (-1.583, -1.13e+08),
           (-1.580,  1.53e+08),
           (-1.576, -3.48e+08),
           (-1.573, -8.45e+08),
           (-1.569, -1.20e+09),
           (-1.566, -8.78e+08),
           (-1.563, -5.53e+08),
           (-1.559, -4.72e+08),
           (-1.556,  2.65e+08),
           (-1.552,  4.01e+08),
           (-1.549, -1.05e+09),
           (-1.546, -6.76e+08),
           (-1.542, -2.91e+08),
           (-1.539, -4.93e+08),
           (-1.536,  7.42e+08),
           (-1.532,  4.80e+08),
           (-1.529, -4.19e+08),
           (-1.525, -9.41e+08),
           (-1.522, -7.58e+08),
           (-1.519, -1.25e+09),
           (-1.515, -1.06e+09),
           (-1.512, -1.57e+09),
           (-1.509, -1.23e+09),
           (-1.505, -8.96e+08),
           (-1.502, -2.44e+09),
           (-1.499, -2.43e+09),
           (-1.495, -1.43e+09),
           (-1.492, -1.74e+09),
           (-1.488, -4.99e+08),
           (-1.485, -9.73e+08),
           (-1.482, -3.32e+08),
           (-1.478, -3.91e+08),
           (-1.475, -1.38e+09),
           (-1.471, -1.61e+09),
           (-1.468, -4.76e+08),
           (-1.465, -4.11e+08),
           (-1.461, -8.26e+08),
           (-1.458, -1.42e+09),
           (-1.455, -1.25e+09),
           (-1.451, -1.28e+09),
           (-1.448, -1.32e+09),
           (-1.445, -9.48e+08),
           (-1.441, -4.34e+07),
           (-1.438,  4.95e+08),
           (-1.434, -4.38e+08),
           (-1.431, -9.30e+08),
           (-1.428, -2.52e+08),
           (-1.424, -4.74e+08),
           (-1.421, -2.42e+09),
           (-1.417, -1.96e+09),
           (-1.414, -8.62e+08),
           (-1.411, -1.06e+07),
           (-1.407,  4.82e+08),
           (-1.404, -3.18e+08),
           (-1.401, -9.23e+08),
           (-1.397, -5.34e+08),
           (-1.394, -8.71e+08),
           (-1.390, -8.46e+08),
           (-1.387,  2.07e+08),
           (-1.384, -1.79e+07),
           (-1.380,  2.84e+08),
           (-1.377, -1.62e+08),
           (-1.374, -1.12e+09),
           (-1.370, -1.02e+09),
           (-1.367, -5.78e+07),
           (-1.364,  5.67e+08),
