Bolide Detection Notification: 2010-229

At 04:19:37 UT on 17 Aug 2010, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 20.7N, Lon 114.3W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.67e+10 watts/steradian, and total radiated flash
energy 2.13e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.398,  7.05e+08),
           (-0.395, -8.61e+08),
           (-0.391, -4.52e+08),
           (-0.388, -8.66e+08),
           (-0.381, -1.09e+09),
           (-0.378, -5.75e+08),
           (-0.375, -6.80e+08),
           (-0.371, -2.73e+09),
           (-0.364, -1.15e+08),
           (-0.361,  6.47e+08),
           (-0.358,  1.17e+09),
           (-0.354,  4.27e+08),
           (-0.351,  1.18e+09),
           (-0.348,  4.48e+08),
           (-0.344,  1.74e+08),
           (-0.341,  4.29e+08),
           (-0.337, -6.49e+08),
           (-0.334, -7.72e+08),
           (-0.327, -9.91e+07),
           (-0.324, -1.65e+09),
           (-0.321,  6.84e+08),
           (-0.317,  4.63e+08),
           (-0.310, -8.89e+08),
           (-0.307, -5.82e+08),
           (-0.304,  6.46e+08),
           (-0.300, -1.03e+07),
           (-0.297,  9.11e+08),
           (-0.294, -9.17e+08),
           (-0.290, -1.35e+09),
           (-0.287, -1.42e+08),
           (-0.283, -9.01e+08),
           (-0.280, -6.34e+08),
           (-0.277,  6.44e+08),
           (-0.273, -9.42e+07),
           (-0.270,  2.78e+08),
           (-0.267,  9.07e+08),
           (-0.263,  2.44e+09),
           (-0.260,  1.90e+09),
           (-0.256,  2.63e+08),
           (-0.253,  2.21e+08),
           (-0.250,  8.25e+08),
           (-0.246, -5.67e+08),
           (-0.243, -9.04e+07),
           (-0.240, -2.13e+09),
           (-0.236, -3.08e+08),
           (-0.233,  5.15e+08),
           (-0.229, -1.40e+09),
           (-0.226, -1.22e+09),
           (-0.223,  5.49e+08),
           (-0.219,  5.40e+08),
           (-0.216,  2.73e+08),
           (-0.213,  9.02e+08),
           (-0.209,  5.68e+08),
           (-0.202,  2.32e+09),
           (-0.199,  1.67e+09),
           (-0.196,  3.70e+08),
           (-0.192, -1.70e+09),
           (-0.189,  1.66e+08),
           (-0.186,  7.98e+08),
           (-0.182,  1.94e+08),
           (-0.179,  5.43e+08),
           (-0.172,  3.06e+08),
           (-0.169,  4.74e+07),
           (-0.165,  7.17e+08),
           (-0.162,  1.63e+09),
           (-0.159,  8.10e+08),
           (-0.155, -1.66e+08),
           (-0.152,  2.16e+09),
           (-0.148,  1.44e+09),
           (-0.145,  1.80e+09),
           (-0.142,  2.77e+09),
           (-0.138,  1.67e+09),
           (-0.132,  4.49e+08),
           (-0.128,  1.94e+09),
           (-0.125,  2.77e+08),
           (-0.121, -9.31e+07),
           (-0.118,  8.53e+08),
           (-0.111,  1.25e+09),
           (-0.108,  2.93e+09),
           (-0.105,  2.29e+09),
           (-0.101,  9.00e+08),
           (-0.098,  6.07e+08),
           (-0.094,  5.44e+08),
           (-0.091,  5.87e+08),
           (-0.088,  1.64e+09),
           (-0.084,  2.36e+09),
           (-0.081,  2.34e+09),
           (-0.078,  1.38e+09),
           (-0.074,  1.62e+09),
           (-0.071,  2.55e+09),
           (-0.067,  8.61e+08),
           (-0.064,  1.42e+09),
           (-0.061,  1.14e+09),
           (-0.057,  1.61e+09),
           (-0.054,  1.69e+09),
           (-0.051, -9.07e+08),
           (-0.047, -7.39e+07),
           (-0.044,  2.39e+09),
           (-0.040,  2.60e+08),
           (-0.037,  1.97e+07),
           (-0.034, -8.40e+07),
           (-0.030,  3.49e+09),
           (-0.027,  3.25e+09),
           (-0.024,  2.26e+09),
           (-0.020,  3.02e+09),
           (-0.017,  1.67e+09),
           (-0.010,  3.06e+09),
           (-0.007,  6.60e+09),
           (-0.003,  8.00e+09),
           ( 0.000,  8.92e+09),
           ( 0.003,  1.11e+10),
           ( 0.007,  1.46e+10),
           ( 0.013,  1.67e+10),
           ( 0.017,  1.65e+10),
           ( 0.020,  1.54e+10),
           ( 0.024,  1.27e+10),
           ( 0.027,  1.26e+10),
           ( 0.030,  1.21e+10),
           ( 0.034,  9.52e+09),
           ( 0.037,  9.39e+09),
           ( 0.041,  9.17e+09),
           ( 0.044,  7.81e+09),
           ( 0.047,  6.23e+09),
           ( 0.051,  6.83e+09),
           ( 0.054,  6.55e+09),
           ( 0.057,  8.11e+09),
           ( 0.061,  5.95e+09),
           ( 0.064,  6.29e+09),
           ( 0.068,  6.31e+09),
           ( 0.071,  4.06e+09),
           ( 0.074,  2.75e+09),
           ( 0.078,  4.83e+09),
           ( 0.081,  4.88e+09),
           ( 0.084,  4.22e+09),
           ( 0.088,  5.69e+09),
           ( 0.091,  4.57e+09),
           ( 0.095,  6.22e+09),
           ( 0.105,  5.19e+09),
           ( 0.108,  4.49e+09),
           ( 0.111,  4.39e+09),
           ( 0.115,  5.96e+09),
           ( 0.122,  4.74e+09),
           ( 0.125,  5.16e+09),
           ( 0.128,  5.12e+09),
           ( 0.132,  5.16e+09),
           ( 0.135,  4.22e+09),
           ( 0.138,  3.44e+09),
           ( 0.142,  3.43e+09),
           ( 0.145,  3.39e+09),
           ( 0.149,  4.99e+09),
           ( 0.155,  2.38e+09),
           ( 0.159,  3.77e+09),
           ( 0.162,  3.66e+09),
           ( 0.165,  2.46e+09),
           ( 0.169,  4.01e+09),
           ( 0.172,  3.01e+09),
           ( 0.175,  2.88e+09),
           ( 0.179,  3.14e+09),
           ( 0.182,  2.46e+09),
           ( 0.186,  1.02e+09),
           ( 0.189,  2.51e+09),
           ( 0.192,  1.56e+09),
           ( 0.196,  9.96e+08),
           ( 0.199,  1.69e+09),
           ( 0.203,  1.35e+09),
           ( 0.206,  2.65e+09),
           ( 0.209, -2.12e+08),
           ( 0.213,  4.01e+08),
           ( 0.216, -2.02e+08),
           ( 0.219, -6.45e+08),
           ( 0.223,  2.40e+09),
           ( 0.226,  2.11e+09),
           ( 0.230,  2.52e+09),
           ( 0.233,  1.67e+09),
