Bolide Detection Notification: 2010-246

At 12:04:58 UT on 03 Sep 2010, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 61.0S, Lon 146.7E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.95e+11 watts/steradian, and total radiated flash
energy 1.73e+12 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.398,  7.21e+08),
           (-0.395,  3.22e+08),
           (-0.391,  8.33e+08),
           (-0.388,  1.17e+08),
           (-0.385, -1.55e+09),
           (-0.381,  5.64e+08),
           (-0.378, -1.04e+08),
           (-0.375,  1.12e+09),
           (-0.371,  9.72e+08),
           (-0.368, -4.01e+08),
           (-0.361, -5.15e+08),
           (-0.354,  1.62e+08),
           (-0.351,  3.69e+08),
           (-0.344, -7.37e+08),
           (-0.341, -4.85e+08),
           (-0.337, -8.01e+08),
           (-0.334,  1.39e+08),
           (-0.331,  6.72e+08),
           (-0.324, -1.38e+09),
           (-0.321, -1.74e+08),
           (-0.310, -4.83e+08),
           (-0.307, -6.01e+06),
           (-0.304, -1.71e+08),
           (-0.300,  8.10e+08),
           (-0.297, -1.46e+09),
           (-0.294, -4.67e+08),
           (-0.290,  5.06e+07),
           (-0.283, -7.59e+08),
           (-0.280,  3.89e+08),
           (-0.277, -2.76e+08),
           (-0.273,  4.11e+08),
           (-0.263,  5.59e+08),
           (-0.260, -4.87e+08),
           (-0.256,  1.78e+09),
           (-0.253,  8.13e+08),
           (-0.250,  8.02e+08),
           (-0.246,  4.88e+08),
           (-0.243,  9.97e+08),
           (-0.240,  1.03e+09),
           (-0.236, -3.15e+08),
           (-0.233, -7.71e+08),
           (-0.229, -1.75e+08),
           (-0.226, -2.58e+08),
           (-0.223,  1.39e+09),
           (-0.219,  7.53e+08),
           (-0.216,  3.74e+08),
           (-0.213, -9.17e+08),
           (-0.209, -2.62e+08),
           (-0.206,  1.26e+09),
           (-0.202,  1.50e+08),
           (-0.196,  8.78e+08),
           (-0.192, -1.78e+09),
           (-0.186,  6.03e+08),
           (-0.182,  1.25e+09),
           (-0.179,  3.87e+08),
           (-0.175,  1.08e+09),
           (-0.172,  2.46e+08),
           (-0.165,  6.76e+08),
           (-0.162, -2.49e+08),
           (-0.155, -7.11e+08),
           (-0.152, -8.01e+07),
           (-0.148,  4.92e+07),
           (-0.145,  9.83e+08),
           (-0.142, -9.89e+08),
           (-0.138, -4.23e+06),
           (-0.135,  8.68e+07),
           (-0.132, -7.46e+07),
           (-0.128, -1.43e+09),
           (-0.125, -1.48e+08),
           (-0.118, -2.27e+08),
           (-0.115, -1.02e+08),
           (-0.111,  3.34e+08),
           (-0.108, -1.95e+08),
           (-0.105,  3.32e+08),
           (-0.101, -8.30e+08),
           (-0.098,  1.27e+09),
           (-0.094,  6.71e+08),
           (-0.091,  8.88e+08),
           (-0.088,  8.70e+08),
           (-0.084,  1.08e+09),
           (-0.081,  8.25e+08),
           (-0.078,  1.65e+08),
           (-0.074,  1.56e+08),
           (-0.071,  6.75e+08),
           (-0.067,  4.95e+08),
           (-0.064,  6.33e+08),
           (-0.061, -4.75e+08),
           (-0.057,  1.15e+09),
           (-0.054,  4.37e+07),
           (-0.051,  1.21e+09),
           (-0.047,  2.84e+09),
           (-0.044,  1.57e+09),
           (-0.040,  1.31e+09),
           (-0.037,  5.75e+08),
           (-0.034,  1.54e+09),
           (-0.030,  6.07e+08),
           (-0.027,  2.97e+09),
           (-0.024,  1.31e+09),
           (-0.013,  1.26e+09),
           (-0.010,  1.54e+09),
           (-0.007,  2.12e+09),
           (-0.003,  2.14e+09),
           ( 0.000,  3.12e+09),
           ( 0.003,  2.22e+09),
           ( 0.007, -1.15e+08),
           ( 0.010,  2.06e+09),
           ( 0.013,  1.79e+09),
           ( 0.024,  2.36e+09),
           ( 0.027,  2.04e+09),
           ( 0.030,  3.59e+09),
           ( 0.034,  3.28e+09),
           ( 0.037,  2.26e+09),
           ( 0.041,  1.84e+09),
           ( 0.044,  6.24e+08),
           ( 0.047,  7.79e+08),
           ( 0.054,  3.01e+09),
           ( 0.057,  1.58e+09),
