Bolide Detection Notification: 2010-251

At 19:51:36 UT on 08 Sep 2010, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 13.9 °S, Lon 65.5 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.59e+10 watts/steradian, and total radiated flash
energy 9.94e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-2.497, -1.20e+09),
           (-2.494,  1.80e+09),
           (-2.491,  3.97e+07),
           (-2.487, -6.04e+08),
           (-2.484,  4.65e+08),
           (-2.481, -9.73e+08),
           (-2.477,  2.32e+08),
           (-2.474, -3.66e+08),
           (-2.470, -1.63e+08),
           (-2.467, -1.40e+08),
           (-2.464, -1.40e+09),
           (-2.460,  5.05e+08),
           (-2.457,  4.48e+08),
           (-2.454, -4.56e+09),
           (-2.450, -5.01e+08),
           (-2.447,  1.51e+09),
           (-2.444, -9.02e+08),
           (-2.440, -9.83e+08),
           (-2.437, -1.02e+09),
           (-2.433, -8.06e+08),
           (-2.430, -9.00e+08),
           (-2.423, -5.10e+08),
           (-2.420, -8.51e+08),
           (-2.417, -8.67e+08),
           (-2.413,  5.15e+08),
           (-2.410,  3.65e+08),
           (-2.406, -5.76e+08),
           (-2.403, -1.37e+08),
           (-2.400, -7.91e+08),
           (-2.396,  1.02e+08),
           (-2.389, -6.28e+08),
           (-2.386, -6.08e+08),
           (-2.383, -7.18e+08),
           (-2.379,  4.07e+08),
           (-2.376, -8.30e+08),
           (-2.373,  8.40e+06),
           (-2.369,  1.29e+09),
           (-2.366,  1.50e+09),
           (-2.362,  3.78e+08),
           (-2.359,  3.23e+08),
           (-2.356, -3.82e+08),
           (-2.352,  5.09e+08),
           (-2.349, -1.45e+09),
           (-2.346, -1.68e+09),
           (-2.342,  4.85e+08),
           (-2.335, -2.80e+08),
           (-2.332, -3.15e+08),
           (-2.329,  1.09e+09),
           (-2.322, -5.28e+08),
           (-2.319,  1.40e+08),
           (-2.315, -2.36e+07),
           (-2.312, -3.80e+08),
           (-2.305,  1.57e+09),
           (-2.298, -1.91e+09),
           (-2.295,  3.86e+07),
           (-2.292,  1.10e+09),
           (-2.288, -4.74e+08),
           (-2.285, -9.34e+08),
           (-2.281,  3.91e+08),
           (-2.278, -8.06e+08),
           (-2.275,  4.52e+07),
           (-2.271,  4.59e+08),
           (-2.268,  3.85e+08),
           (-2.265,  9.59e+07),
           (-2.261, -8.61e+08),
           (-2.255,  6.74e+08),
           (-2.251, -5.91e+08),
           (-2.248, -6.63e+08),
           (-2.244, -6.55e+08),
           (-2.241, -1.74e+09),
           (-2.238,  1.06e+09),
           (-2.234, -7.89e+08),
           (-2.231, -1.31e+09),
           (-2.228, -4.05e+08),
           (-2.224, -6.25e+08),
           (-2.221, -1.63e+08),
           (-2.217, -5.05e+08),
           (-2.211,  3.05e+08),
           (-2.207, -5.51e+08),
           (-2.204,  1.18e+09),
           (-2.200, -6.78e+08),
           (-2.197,  7.20e+08),
           (-2.194,  1.12e+08),
           (-2.190,  2.06e+08),
           (-2.187, -6.06e+08),
           (-2.184,  4.57e+08),
           (-2.180, -1.41e+09),
           (-2.177, -1.07e+09),
           (-2.173,  7.66e+08),
           (-2.170,  1.72e+09),
           (-2.167, -4.37e+07),
           (-2.163,  8.93e+08),
           (-2.160, -1.99e+09),
           (-2.157, -6.81e+08),
           (-2.153, -3.52e+08),
           (-2.150, -6.90e+08),
           (-2.143,  3.86e+08),
           (-2.140, -1.05e+09),
           (-2.136,  8.08e+08),
           (-2.133,  1.90e+08),
           (-2.130,  6.63e+08),
           (-2.126,  1.51e+09),
           (-2.123,  1.15e+09),
           (-2.119,  1.06e+09),
           (-2.116,  3.05e+09),
           (-2.113,  4.72e+07),
           (-2.109,  4.56e+08),
           (-2.106, -5.77e+08),
           (-2.103, -6.32e+08),
           (-2.096,  5.26e+08),
           (-2.093,  8.54e+08),
           (-2.089, -7.39e+08),
           (-2.086,  4.70e+08),
           (-2.082, -7.37e+08),
           (-2.079,  1.67e+09),
           (-2.076,  8.69e+08),
           (-2.072,  2.71e+09),
           (-2.069, -3.38e+08),
           (-2.062, -2.05e+08),
           (-2.059,  3.08e+09),
           (-2.055,  2.91e+09),
           (-2.052,  4.34e+08),
           (-2.049, -4.50e+08),
           (-2.045,  1.64e+09),
           (-2.042,  1.50e+09),
           (-2.038, -9.73e+08),
           (-2.032,  2.50e+09),
           (-2.028, -5.42e+08),
           (-2.025, -3.55e+08),
           (-2.022, -1.53e+09),
           (-2.011,  7.38e+08),
           (-2.008, -5.84e+08),
           (-2.005, -1.12e+09),
           (-2.001,  2.14e+09),
           (-1.998,  4.13e+08),
           (-1.995,  8.89e+08),
           (-1.991,  1.00e+09),
           (-1.988, -7.31e+08),
           (-1.984, -3.27e+07),
           (-1.981, -6.34e+08),
           (-1.978,  6.44e+08),
           (-1.974, -1.03e+09),
           (-1.971, -1.06e+08),
           (-1.968,  3.05e+08),
           (-1.964,  1.13e+09),
           (-1.961,  1.25e+08),
           (-1.957,  3.55e+08),
           (-1.954,  6.63e+07),
           (-1.951,  3.89e+08),
           (-1.947,  4.91e+08),
           (-1.944,  1.31e+08),
           (-1.941, -1.10e+09),
           (-1.937,  9.11e+08),
           (-1.934, -2.10e+08),
           (-1.930, -7.18e+08),
           (-1.927,  2.25e+09),
           (-1.924, -1.09e+09),
           (-1.920, -3.66e+08),
           (-1.917, -1.65e+08),
           (-1.914,  1.50e+09),
           (-1.910,  6.24e+08),
           (-1.907, -7.45e+08),
           (-1.903,  6.27e+08),
           (-1.900,  7.11e+08),
