Bolide Detection Notification: 2010-325

At 14:45:27 UT on 21 Nov 2010, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 1.9N, Lon 143.3E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.72e+10 watts/steradian, and total radiated flash
energy 9.72e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.998, -4.26e+08),
           (-1.991,  3.75e+08),
           (-1.988, -5.86e+08),
           (-1.984,  4.54e+07),
           (-1.981, -5.09e+08),
           (-1.978,  7.61e+08),
           (-1.974, -1.81e+08),
           (-1.968,  5.01e+08),
           (-1.964, -6.05e+07),
           (-1.961, -2.14e+09),
           (-1.954,  6.88e+07),
           (-1.951,  2.48e+08),
           (-1.947, -4.11e+08),
           (-1.944, -2.44e+08),
           (-1.941, -5.03e+08),
           (-1.937, -4.41e+08),
           (-1.934, -7.08e+08),
           (-1.930, -1.46e+09),
           (-1.927, -1.32e+09),
           (-1.917, -7.45e+06),
           (-1.914, -6.28e+08),
           (-1.910, -6.57e+08),
           (-1.907, -2.17e+08),
           (-1.903, -1.47e+08),
           (-1.900, -1.43e+09),
           (-1.897, -5.89e+08),
           (-1.893, -6.57e+08),
           (-1.890, -7.86e+08),
           (-1.887, -1.16e+09),
           (-1.880,  9.99e+08),
           (-1.877,  5.97e+08),
           (-1.873, -9.63e+08),
           (-1.866,  2.76e+08),
           (-1.863, -7.27e+08),
           (-1.860, -9.23e+08),
           (-1.856, -2.67e+08),
           (-1.849, -1.91e+09),
           (-1.846, -9.28e+08),
           (-1.843, -4.35e+08),
           (-1.839, -8.77e+08),
           (-1.836, -5.10e+08),
           (-1.833, -7.84e+08),
           (-1.829, -8.15e+08),
           (-1.826, -1.57e+09),
           (-1.819,  2.50e+08),
           (-1.816, -6.31e+08),
           (-1.812, -1.08e+09),
           (-1.806, -1.15e+08),
           (-1.802, -1.11e+09),
           (-1.799, -5.42e+08),
           (-1.795, -8.11e+08),
           (-1.792, -3.16e+08),
           (-1.789, -3.18e+08),
           (-1.785, -1.67e+09),
           (-1.782, -6.04e+08),
           (-1.779, -6.86e+08),
           (-1.775, -3.60e+08),
           (-1.772,  4.02e+08),
           (-1.765, -6.10e+08),
           (-1.762, -6.39e+07),
           (-1.758, -1.69e+08),
           (-1.755,  3.08e+08),
           (-1.752, -1.03e+07),
           (-1.748, -1.64e+08),
           (-1.745, -9.49e+08),
           (-1.741,  8.70e+08),
           (-1.738, -1.13e+09),
           (-1.735, -3.37e+08),
           (-1.731, -9.71e+08),
           (-1.728, -3.14e+08),
           (-1.725, -8.32e+07),
           (-1.721, -1.03e+08),
           (-1.718,  1.14e+08),
           (-1.714, -8.49e+08),
           (-1.708,  2.44e+08),
           (-1.704, -1.38e+09),
           (-1.701, -3.65e+08),
           (-1.698, -7.03e+08),
           (-1.694,  3.90e+08),
           (-1.691, -1.16e+09),
           (-1.688, -9.05e+08),
           (-1.681,  3.54e+07),
           (-1.677, -9.40e+08),
           (-1.674, -2.51e+08),
           (-1.671, -4.88e+08),
           (-1.667,  4.24e+08),
           (-1.664,  6.76e+08),
           (-1.660, -3.90e+08),
           (-1.657, -2.32e+08),
           (-1.654,  1.83e+08),
           (-1.650, -1.48e+08),
           (-1.647,  3.54e+08),
           (-1.644,  1.32e+08),
           (-1.640,  2.43e+08),
           (-1.637, -1.26e+09),
           (-1.633, -8.83e+07),
           (-1.630, -2.89e+08),
           (-1.627, -7.70e+08),
           (-1.623, -4.97e+08),
           (-1.620, -4.15e+08),
           (-1.617, -1.27e+09),
           (-1.613, -2.51e+08),
           (-1.610, -4.07e+08),
           (-1.607, -9.57e+08),
           (-1.603, -5.69e+08),
           (-1.600, -3.48e+08),
           (-1.596, -9.17e+08),
           (-1.593, -3.74e+07),
           (-1.590, -5.45e+08),
           (-1.586,  1.28e+08),
           (-1.583, -8.86e+08),
           (-1.576,  6.22e+08),
           (-1.569, -6.41e+08),
           (-1.566, -4.52e+07),
           (-1.563, -1.43e+08),
           (-1.559, -1.20e+08),
           (-1.556,  4.28e+08),
           (-1.552,  7.60e+06),
           (-1.549,  3.55e+08),
           (-1.546,  4.57e+08),
           (-1.542, -1.63e+09),
           (-1.539,  3.09e+08),
           (-1.536,  5.05e+08),
           (-1.532,  1.19e+08),
           (-1.529,  7.67e+08),
           (-1.525,  5.97e+07),
           (-1.522,  6.80e+07),
           (-1.519,  3.44e+08),
           (-1.515,  4.11e+08),
           (-1.512,  8.55e+07),
           (-1.509, -6.77e+08),
           (-1.505, -3.54e+06),
           (-1.502,  2.14e+08),
           (-1.498, -1.24e+09),
           (-1.495,  9.51e+07),
           (-1.492, -6.19e+08),
           (-1.488, -6.39e+08),
           (-1.485,  3.19e+08),
           (-1.482,  4.27e+08),
           (-1.478, -5.73e+08),
           (-1.475, -1.10e+09),
           (-1.471, -3.19e+08),
           (-1.468, -4.30e+08),
           (-1.465, -1.27e+09),
           (-1.461,  2.26e+08),
           (-1.458, -4.43e+08),
           (-1.455, -7.06e+08),
           (-1.451, -2.30e+08),
           (-1.448, -5.63e+08),
           (-1.441,  3.84e+08),
           (-1.438,  4.33e+08),
           (-1.434, -7.29e+08),
           (-1.431, -9.48e+08),
           (-1.428,  1.22e+08),
           (-1.424, -7.99e+07),
           (-1.421, -6.05e+08),
           (-1.417, -3.29e+08),
           (-1.414,  5.08e+08),
           (-1.411,  5.15e+07),
           (-1.407, -1.20e+09),
           (-1.404, -5.94e+08),
           (-1.401,  2.87e+08),
           (-1.397, -6.54e+08),
           (-1.394, -2.91e+08),
           (-1.391,  8.78e+08),
           (-1.387, -1.51e+08),
           (-1.384,  4.91e+08),
           (-1.380,  3.39e+07),
           (-1.377,  1.47e+09),
           (-1.370,  3.55e+08),
           (-1.367,  9.88e+08),
           (-1.364,  1.57e+08),
           (-1.357,  1.15e+09),
           (-1.353,  1.22e+09),
           (-1.350,  1.01e+09),
           (-1.347, -9.62e+07),
           (-1.343,  1.27e+09),
           (-1.340,  3.48e+08),
           (-1.336,  3.06e+07),
           (-1.333,  7.84e+08),
           (-1.330,  5.77e+08),
           (-1.326,  1.62e+09),
           (-1.323,  8.69e+08),
           (-1.320,  1.06e+09),
           (-1.316,  5.89e+08),
           (-1.313,  5.70e+08),
           (-1.309,  3.70e+08),
           (-1.306,  8.88e+08),
           (-1.303,  6.37e+08),
           (-1.299,  8.67e+08),
           (-1.296,  7.90e+08),
           (-1.293,  7.68e+07),
           (-1.289,  2.53e+08),
           (-1.286,  6.25e+08),
           (-1.282,  2.75e+08),
           (-1.279,  9.31e+08),
           (-1.276, -1.81e+08),
           (-1.272,  8.72e+08),
           (-1.269,  3.03e+08),
           (-1.266,  8.16e+08),
           (-1.262,  1.69e+09),
           (-1.259,  4.86e+08),
           (-1.256,  9.91e+08),
           (-1.252,  1.21e+09),
           (-1.249,  1.62e+09),
           (-1.245,  5.14e+08),
           (-1.242,  6.08e+08),
           (-1.239,  9.26e+08),
           (-1.235,  1.08e+08),
           (-1.232,  1.24e+09),
           (-1.228,  1.11e+09),
           (-1.225,  8.24e+08),
           (-1.222,  1.84e+09),
           (-1.218,  1.04e+09),
           (-1.215,  6.54e+08),
           (-1.212,  1.88e+09),
           (-1.205,  2.14e+09),
           (-1.201,  8.74e+08),
           (-1.198,  1.53e+09),
           (-1.195,  1.07e+09),
           (-1.191,  1.11e+09),
           (-1.188,  1.39e+09),
           (-1.185,  1.86e+09),
           (-1.181,  1.06e+09),
           (-1.178,  1.26e+09),
           (-1.171,  2.16e+09),
           (-1.168,  1.57e+09),
           (-1.164,  1.61e+09),
           (-1.161,  1.72e+09),
           (-1.158,  1.90e+09),
           (-1.154,  1.84e+09),
           (-1.151,  1.84e+09),
           (-1.147,  1.43e+09),
           (-1.144,  7.75e+08),
           (-1.141,  1.18e+09),
           (-1.137,  8.35e+08),
           (-1.134,  1.37e+09),
           (-1.131,  1.51e+08),
           (-1.127,  1.00e+09),
           (-1.124,  7.84e+08),
           (-1.120,  1.53e+09),
           (-1.117,  1.74e+09),
           (-1.114,  1.58e+09),
           (-1.110,  3.26e+09),
           (-1.107,  1.07e+09),
           (-1.100,  1.84e+09),
           (-1.097,  6.15e+08),
           (-1.093,  1.95e+09),
           (-1.090,  2.28e+09),
           (-1.083,  1.18e+09),
           (-1.080,  2.65e+09),
           (-1.077,  2.22e+09),
           (-1.073,  1.55e+09),
           (-1.070,  1.24e+09),
           (-1.067, -2.32e+08),
           (-1.063,  1.19e+09),
           (-1.060,  1.25e+09),
           (-1.056,  1.13e+09),
           (-1.053,  2.89e+09),
           (-1.050,  1.05e+09),
           (-1.046,  1.85e+07),
           (-1.043,  1.43e+09),
           (-1.039,  1.51e+09),
           (-1.036,  8.29e+08),
           (-1.026,  3.82e+09),
           (-1.023,  2.08e+09),
           (-1.019,  1.75e+09),
           (-1.016,  1.23e+09),
           (-1.009,  1.64e+09),
           (-1.006,  1.54e+09),
           (-1.002,  1.11e+09),
           (-0.999,  1.92e+09),
           (-0.996,  1.75e+09),
           (-0.992,  1.43e+09),
           (-0.989,  7.24e+08),
           (-0.986,  1.87e+09),
           (-0.982,  7.92e+08),
           (-0.975,  2.07e+09),
           (-0.972,  1.33e+09),
           (-0.969,  2.26e+09),
           (-0.965,  1.60e+09),
           (-0.962,  1.51e+09),
           (-0.958,  1.84e+09),
           (-0.955,  4.30e+08),
           (-0.952,  1.60e+09),
           (-0.948,  1.90e+09),
           (-0.945,  5.65e+08),
           (-0.938,  2.64e+09),
           (-0.935,  2.01e+09),
           (-0.931,  2.43e+09),
           (-0.928,  2.13e+09),
           (-0.925,  1.11e+09),
           (-0.921,  1.81e+09),
           (-0.918,  2.14e+09),
           (-0.915,  2.00e+09),
           (-0.911,  2.03e+09),
           (-0.908,  2.27e+09),
           (-0.905,  1.08e+09),
           (-0.901,  1.19e+09),
           (-0.898,  1.62e+09),
           (-0.894,  1.04e+08),
           (-0.891,  8.55e+08),
           (-0.888,  2.55e+09),
           (-0.884,  2.12e+09),
           (-0.877,  6.05e+08),
           (-0.874,  2.20e+09),
           (-0.871,  8.24e+08),
           (-0.867,  1.05e+09),
           (-0.864,  1.44e+09),
           (-0.861,  1.32e+09),
           (-0.857,  2.00e+09),
           (-0.854, -1.49e+08),
           (-0.850,  1.28e+09),
           (-0.847,  1.65e+09),
           (-0.844,  1.44e+09),
           (-0.840,  2.37e+08),
           (-0.834,  2.45e+09),
           (-0.830,  1.64e+09),
           (-0.827,  2.01e+09),
           (-0.823,  1.31e+09),
           (-0.820,  2.03e+09),
           (-0.817,  2.03e+09),
           (-0.813,  1.66e+09),
           (-0.807,  1.83e+09),
           (-0.803,  2.20e+09),
           (-0.800,  1.70e+09),
           (-0.793,  2.50e+09),
           (-0.790,  1.80e+09),
           (-0.786,  4.01e+08),
           (-0.780,  2.56e+09),
           (-0.776,  2.11e+09),
           (-0.773,  1.96e+09),
           (-0.769,  1.71e+09),
           (-0.766,  2.75e+09),
           (-0.759,  2.05e+09),
           (-0.756,  3.64e+09),
           (-0.753,  2.18e+09),
           (-0.749,  3.48e+09),
           (-0.746,  1.93e+09),
           (-0.742,  2.53e+09),
           (-0.736,  1.60e+09),
           (-0.732,  3.98e+09),
           (-0.729,  2.62e+09),
           (-0.726,  3.16e+09),
           (-0.722,  1.91e+09),
           (-0.719,  1.41e+09),
           (-0.716,  2.25e+09),
           (-0.712,  1.90e+09),
           (-0.709,  1.83e+09),
           (-0.705,  1.97e+09),
           (-0.702,  2.62e+09),
           (-0.699,  2.60e+09),
           (-0.695,  2.00e+09),
           (-0.692,  1.05e+09),
           (-0.688,  2.27e+09),
           (-0.685,  2.53e+09),
           (-0.682,  3.41e+09),
           (-0.678,  1.67e+09),
           (-0.675,  2.17e+09),
           (-0.672,  2.37e+09),
           (-0.668,  2.26e+09),
           (-0.665,  2.92e+09),
           (-0.661,  7.47e+08),
           (-0.658,  1.32e+09),
           (-0.655,  2.63e+09),
           (-0.651,  1.79e+09),
           (-0.648,  2.35e+09),
           (-0.645,  2.17e+09),
           (-0.641,  5.92e+08),
           (-0.638,  2.35e+09),
           (-0.631,  1.49e+09),
           (-0.624,  3.33e+09),
           (-0.621,  2.41e+09),
           (-0.618,  2.18e+09),
           (-0.614,  2.20e+09),
           (-0.611,  1.30e+09),
           (-0.607,  2.45e+09),
           (-0.604,  1.78e+09),
           (-0.597,  3.00e+09),
           (-0.594,  1.85e+09),
           (-0.591,  3.07e+09),
           (-0.587,  3.64e+09),
           (-0.584,  3.83e+09),
           (-0.580,  2.09e+09),
           (-0.577,  4.18e+09),
           (-0.574,  2.34e+09),
           (-0.570,  1.42e+09),
           (-0.567,  2.75e+09),
           (-0.564,  3.19e+09),
           (-0.560,  2.91e+09),
           (-0.557,  2.75e+09),
           (-0.553,  2.22e+09),
           (-0.543,  3.41e+09),
           (-0.540,  2.69e+09),
           (-0.537,  2.65e+09),
           (-0.533,  3.58e+09),
           (-0.530,  3.16e+09),
           (-0.526,  1.65e+09),
           (-0.523,  3.81e+09),
           (-0.520,  3.59e+09),
           (-0.516,  2.77e+09),
           (-0.513,  2.67e+09),
           (-0.510,  2.85e+09),
           (-0.506,  2.28e+09),
           (-0.503,  3.03e+09),
           (-0.499,  2.66e+09),
           (-0.496,  3.22e+09),
           (-0.493,  4.44e+09),
           (-0.489,  4.03e+09),
           (-0.486,  3.95e+09),
           (-0.483,  3.22e+09),
           (-0.479,  2.92e+09),
           (-0.476,  1.82e+09),
           (-0.469,  3.80e+09),
           (-0.466,  3.25e+09),
           (-0.462,  2.34e+09),
           (-0.459,  2.80e+09),
           (-0.456,  2.99e+09),
           (-0.452,  3.02e+09),
           (-0.449,  1.79e+09),
           (-0.445,  3.30e+09),
           (-0.442,  2.96e+09),
           (-0.439,  1.83e+09),
           (-0.435,  2.23e+09),
           (-0.432,  2.83e+09),
           (-0.429,  2.17e+09),
           (-0.422,  2.65e+09),
           (-0.418,  1.06e+09),
           (-0.412,  2.73e+09),
           (-0.408,  2.19e+09),
           (-0.405,  2.69e+09),
           (-0.402,  2.35e+09),
           (-0.398,  2.74e+09),
           (-0.395,  2.35e+09),
           (-0.391,  2.15e+09),
           (-0.388,  1.86e+09),
           (-0.381,  2.71e+09),
           (-0.378,  1.98e+09),
           (-0.375,  2.76e+09),
           (-0.368,  1.73e+09),
           (-0.364,  3.17e+09),
           (-0.361,  2.68e+09),
           (-0.358,  2.90e+09),
           (-0.354,  2.45e+09),
           (-0.351,  2.54e+09),
           (-0.348,  2.94e+09),
           (-0.344,  2.32e+09),
           (-0.341,  2.62e+09),
           (-0.337,  1.92e+09),
           (-0.334,  2.16e+09),
           (-0.331,  2.86e+09),
           (-0.327,  2.36e+09),
           (-0.324,  2.69e+09),
           (-0.321,  2.80e+09),
           (-0.317,  1.99e+09),
           (-0.310,  2.70e+09),
           (-0.304,  1.73e+09),
           (-0.300,  1.96e+09),
           (-0.297,  3.32e+09),
           (-0.294,  2.97e+09),
           (-0.290,  1.88e+09),
           (-0.287,  2.54e+09),
           (-0.280,  1.21e+09),
           (-0.277,  2.63e+09),
           (-0.273,  2.68e+09),
           (-0.270,  2.16e+09),
           (-0.267,  3.13e+09),
           (-0.263,  1.85e+09),
           (-0.260,  3.41e+09),
           (-0.256,  2.82e+09),
           (-0.253,  1.84e+09),
           (-0.250,  2.38e+09),
           (-0.246,  3.40e+09),
           (-0.243,  3.00e+09),
           (-0.240,  1.93e+09),
           (-0.236,  2.00e+09),
           (-0.233,  2.20e+09),
           (-0.229,  1.89e+09),
           (-0.226,  3.32e+09),
           (-0.223,  3.68e+09),
           (-0.219,  2.07e+09),
           (-0.216,  2.68e+09),
           (-0.213,  2.40e+09),
           (-0.209,  2.51e+09),
           (-0.206,  2.57e+09),
           (-0.202,  2.52e+09),
           (-0.199,  2.03e+09),
           (-0.196,  1.79e+09),
           (-0.192,  3.44e+09),
           (-0.189,  2.24e+09),
           (-0.186,  2.36e+09),
           (-0.182,  2.38e+09),
           (-0.179,  1.97e+09),
           (-0.175,  2.94e+09),
           (-0.172,  2.06e+09),
           (-0.169,  2.27e+09),
           (-0.165,  2.08e+09),
           (-0.162,  2.05e+09),
           (-0.159,  2.56e+09),
           (-0.152,  2.03e+09),
           (-0.148,  1.31e+09),
           (-0.145,  3.26e+09),
           (-0.142,  1.97e+09),
           (-0.135,  1.07e+09),
           (-0.132,  2.46e+09),
           (-0.128,  2.36e+09),
           (-0.125,  1.52e+09),
           (-0.122,  3.28e+09),
           (-0.118,  3.41e+09),
           (-0.115,  1.91e+09),
           (-0.111,  3.10e+09),
           (-0.108,  1.46e+09),
           (-0.105,  2.56e+09),
           (-0.098,  2.36e+09),
           (-0.095,  2.62e+09),
           (-0.091,  2.72e+09),
           (-0.088,  2.67e+09),
           (-0.084,  3.49e+09),
           (-0.074,  2.07e+09),
           (-0.067,  3.28e+09),
           (-0.064,  3.27e+09),
           (-0.061,  1.54e+09),
           (-0.057,  1.92e+09),
           (-0.054,  2.87e+09),
           (-0.051,  3.35e+09),
           (-0.047,  1.43e+09),
           (-0.044,  2.94e+09),
           (-0.040,  3.07e+09),
           (-0.037,  3.78e+09),
           (-0.034,  3.21e+09),
           (-0.030,  2.22e+09),
           (-0.027,  3.87e+09),
           (-0.024,  3.08e+09),
           (-0.020,  3.53e+09),
           (-0.017,  4.38e+09),
           (-0.013,  4.17e+09),
           (-0.003,  8.66e+09),
           ( 0.000,  8.93e+09),
           ( 0.003,  8.96e+09),
           ( 0.007,  9.47e+09),
           ( 0.010,  1.08e+10),
           ( 0.014,  1.00e+10),
           ( 0.017,  9.74e+09),
           ( 0.020,  1.10e+10),
           ( 0.024,  1.31e+10),
           ( 0.027,  1.34e+10),
           ( 0.030,  1.58e+10),
           ( 0.034,  1.55e+10),
           ( 0.037,  1.70e+10),
           ( 0.041,  1.57e+10),
           ( 0.044,  1.52e+10),
           ( 0.047,  1.68e+10),
           ( 0.051,  1.66e+10),
           ( 0.054,  1.72e+10),
           ( 0.057,  1.64e+10),
           ( 0.067,  1.19e+10),
           ( 0.071,  1.22e+10),
           ( 0.074,  1.12e+10),
           ( 0.078,  1.08e+10),
           ( 0.081,  1.19e+10),
           ( 0.084,  1.17e+10),
           ( 0.091,  1.09e+10),
           ( 0.095,  1.01e+10),
           ( 0.098,  1.04e+10),
           ( 0.101,  9.07e+09),
           ( 0.105,  8.95e+09),
           ( 0.108,  9.55e+09),
           ( 0.111,  9.19e+09),
           ( 0.115,  8.08e+09),
           ( 0.118,  8.33e+09),
           ( 0.122,  7.95e+09),
           ( 0.125,  8.46e+09),
           ( 0.128,  9.49e+09),
           ( 0.132,  8.18e+09),
           ( 0.135,  8.32e+09),
           ( 0.138,  9.35e+09),
           ( 0.142,  7.41e+09),
           ( 0.145,  7.08e+09),
           ( 0.149,  8.46e+09),
           ( 0.152,  7.11e+09),
           ( 0.155,  6.75e+09),
           ( 0.159,  7.78e+09),
           ( 0.162,  7.46e+09),
           ( 0.165,  7.70e+09),
           ( 0.169,  7.79e+09),
           ( 0.172,  6.54e+09),
           ( 0.176,  7.51e+09),
           ( 0.179,  6.96e+09),
           ( 0.182,  7.32e+09),
           ( 0.186,  6.33e+09),
           ( 0.189,  5.92e+09),
           ( 0.196,  6.58e+09),
           ( 0.203,  5.55e+09),
           ( 0.206,  6.13e+09),
           ( 0.209,  7.13e+09),
           ( 0.213,  7.29e+09),
           ( 0.216,  6.02e+09),
           ( 0.219,  5.72e+09),
           ( 0.223,  6.18e+09),
           ( 0.226,  6.17e+09),
           ( 0.230,  5.90e+09),
           ( 0.233,  6.99e+09),
           ( 0.236,  5.78e+09),
           ( 0.243,  4.72e+09),
           ( 0.246,  4.42e+09),
           ( 0.250,  4.33e+09),
           ( 0.253,  4.40e+09),
           ( 0.256,  4.65e+09),
           ( 0.263,  3.13e+09),
           ( 0.267,  4.83e+09),
           ( 0.270,  3.54e+09),
           ( 0.273,  3.95e+09),
