Bolide Detection Notification: 2010-335

At 06:31:46 UT on 01 Dec 2010, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 72.5S, Lon 144.9E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.21e+10 watts/steradian, and total radiated flash
energy 1.41e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -1.96e+09),
           (-0.996,  1.70e+09),
           (-0.992, -7.58e+08),
           (-0.989, -1.90e+09),
           (-0.986,  3.51e+08),
           (-0.982,  3.66e+08),
           (-0.979,  2.94e+08),
           (-0.972, -2.12e+09),
           (-0.965,  2.09e+09),
           (-0.962, -1.21e+09),
           (-0.958,  2.29e+09),
           (-0.955,  1.55e+09),
           (-0.948, -2.51e+09),
           (-0.945,  8.11e+08),
           (-0.942,  1.78e+09),
           (-0.938, -1.45e+09),
           (-0.935, -7.18e+08),
           (-0.931, -3.91e+08),
           (-0.928, -2.73e+08),
           (-0.925, -4.99e+08),
           (-0.921, -1.30e+09),
           (-0.918, -1.69e+09),
           (-0.915,  6.82e+08),
           (-0.911, -5.15e+08),
           (-0.908,  9.31e+06),
           (-0.904, -7.20e+07),
           (-0.901,  1.01e+08),
           (-0.898, -1.37e+09),
           (-0.894, -1.04e+09),
           (-0.891, -2.75e+09),
           (-0.888,  1.54e+09),
           (-0.884,  1.29e+08),
           (-0.881, -3.39e+09),
           (-0.874,  1.85e+09),
           (-0.871, -1.41e+09),
           (-0.867, -1.47e+09),
           (-0.864,  7.34e+08),
           (-0.861, -2.09e+09),
           (-0.857,  1.02e+09),
           (-0.854, -1.68e+09),
           (-0.851,  1.22e+09),
           (-0.847, -1.08e+08),
           (-0.844, -8.81e+08),
           (-0.840,  2.40e+08),
           (-0.837, -8.79e+08),
           (-0.834, -6.72e+08),
           (-0.830,  2.38e+09),
           (-0.827,  1.09e+09),
           (-0.823, -9.48e+08),
           (-0.820, -1.43e+09),
           (-0.817, -1.23e+09),
           (-0.813, -1.47e+08),
           (-0.810,  3.02e+09),
           (-0.803, -3.38e+08),
           (-0.800,  1.01e+09),
           (-0.796,  6.16e+08),
           (-0.793, -8.79e+08),
           (-0.790, -4.63e+08),
           (-0.786, -1.34e+09),
           (-0.783, -1.76e+09),
           (-0.780, -1.60e+09),
           (-0.776, -8.58e+08),
           (-0.773, -1.07e+09),
           (-0.769,  1.66e+09),
           (-0.766, -1.23e+09),
           (-0.763,  5.39e+08),
           (-0.759, -4.97e+08),
           (-0.756, -1.09e+09),
           (-0.753, -7.30e+07),
           (-0.749, -2.54e+06),
           (-0.746,  8.37e+08),
           (-0.742, -5.67e+08),
           (-0.739,  3.27e+08),
           (-0.736, -2.61e+09),
           (-0.732, -7.79e+08),
           (-0.729, -7.48e+08),
           (-0.726,  9.06e+08),
           (-0.722, -4.06e+08),
           (-0.719,  1.50e+08),
           (-0.716, -1.38e+09),
           (-0.712, -2.09e+09),
           (-0.705, -5.75e+08),
           (-0.699, -9.08e+08),
           (-0.692,  1.58e+09),
           (-0.689,  1.47e+09),
           (-0.685,  7.88e+07),
           (-0.682,  1.57e+09),
           (-0.678, -3.23e+09),
           (-0.675, -2.16e+09),
           (-0.672, -1.64e+09),
           (-0.668, -1.42e+09),
           (-0.661,  8.33e+08),
           (-0.658, -1.20e+09),
           (-0.651, -1.58e+09),
           (-0.648, -8.91e+08),
           (-0.645, -2.37e+09),
           (-0.641,  7.83e+08),
           (-0.638, -1.35e+09),
           (-0.631,  9.36e+08),
           (-0.628, -1.47e+09),
           (-0.624, -4.33e+08),
           (-0.621, -1.67e+08),
           (-0.618,  1.13e+09),
           (-0.614, -2.81e+09),
           (-0.611, -1.90e+09),
           (-0.607,  1.49e+09),
           (-0.604, -6.96e+08),
           (-0.601, -6.72e+08),
           (-0.597,  2.55e+08),
           (-0.594, -8.33e+08),
           (-0.591, -5.73e+08),
           (-0.587,  7.80e+08),
           (-0.584, -1.35e+08),
           (-0.580,  1.54e+09),
           (-0.577, -6.30e+08),
           (-0.574,  1.06e+09),
           (-0.570, -5.75e+08),
           (-0.567,  1.53e+09),
           (-0.564, -8.28e+08),
           (-0.560, -6.37e+08),
           (-0.557,  1.79e+09),
           (-0.553, -3.71e+08),
           (-0.550,  2.34e+08),
           (-0.547, -4.77e+08),
           (-0.543, -3.32e+08),
           (-0.540, -6.97e+08),
           (-0.537,  5.64e+08),
           (-0.533,  6.79e+08),
           (-0.530, -8.39e+08),
           (-0.526,  1.27e+09),
           (-0.523, -9.76e+08),
           (-0.516, -1.14e+09),
           (-0.513, -1.68e+09),
           (-0.510,  6.22e+08),
           (-0.506,  9.73e+08),
           (-0.500, -1.80e+09),
           (-0.496,  1.00e+08),
           (-0.493,  8.89e+08),
           (-0.489, -4.76e+07),
           (-0.486, -1.45e+09),
           (-0.483, -9.86e+08),
           (-0.479, -9.91e+08),
           (-0.476,  9.85e+08),
           (-0.469, -2.98e+09),
           (-0.466, -1.15e+08),
           (-0.462, -2.19e+08),
           (-0.459,  2.24e+09),
           (-0.456,  5.36e+08),
           (-0.452, -2.74e+09),
           (-0.449,  1.75e+09),
           (-0.445, -5.00e+08),
           (-0.442, -4.07e+08),
           (-0.439,  6.81e+08),
           (-0.435, -8.03e+08),
           (-0.432, -1.15e+09),
           (-0.429,  5.52e+08),
           (-0.425,  8.70e+08),
           (-0.422, -1.71e+08),
           (-0.418, -2.42e+08),
           (-0.415, -9.23e+08),
           (-0.412, -1.14e+09),
           (-0.408, -3.13e+09),
           (-0.405, -1.09e+09),
           (-0.402, -8.37e+08),
           (-0.395, -1.34e+09),
           (-0.391,  9.39e+07),
           (-0.388, -3.44e+08),
           (-0.385, -1.76e+09),
           (-0.378, -1.76e+08),
           (-0.375, -9.25e+08),
           (-0.371,  7.40e+08),
           (-0.368, -4.01e+08),
           (-0.365, -5.66e+08),
           (-0.361,  2.21e+09),
           (-0.354, -1.77e+09),
           (-0.348,  2.72e+08),
           (-0.344, -1.57e+09),
           (-0.341, -4.40e+08),
           (-0.337, -5.23e+08),
           (-0.334, -1.05e+09),
           (-0.331, -6.73e+08),
           (-0.327,  1.74e+09),
           (-0.324,  6.73e+08),
           (-0.321, -1.74e+09),
           (-0.317,  3.89e+08),
           (-0.314,  2.95e+08),
           (-0.310, -9.48e+08),
           (-0.307, -3.21e+09),
           (-0.304, -3.50e+09),
           (-0.300,  1.81e+09),
           (-0.297, -2.59e+09),
           (-0.294, -1.37e+09),
           (-0.290, -1.77e+09),
           (-0.287, -2.80e+09),
           (-0.280,  1.17e+09),
           (-0.277,  5.52e+08),
           (-0.273, -2.99e+09),
           (-0.270, -9.99e+08),
           (-0.263, -2.99e+09),
           (-0.260,  2.95e+08),
           (-0.256, -1.04e+09),
           (-0.253, -9.27e+08),
           (-0.250, -1.18e+09),
           (-0.246, -2.44e+09),
           (-0.236,  2.35e+09),
           (-0.233, -6.59e+08),
           (-0.230, -1.16e+09),
           (-0.226, -4.54e+08),
           (-0.223, -1.20e+09),
           (-0.219, -9.96e+08),
           (-0.216, -5.86e+08),
           (-0.213,  6.40e+08),
           (-0.209, -2.50e+08),
           (-0.206, -3.09e+08),
           (-0.202, -7.53e+08),
           (-0.199,  1.66e+09),
           (-0.192, -1.72e+09),
           (-0.189, -1.63e+09),
           (-0.186, -1.62e+09),
           (-0.182,  1.19e+09),
           (-0.179,  5.53e+08),
           (-0.175,  1.12e+09),
           (-0.169,  6.90e+07),
           (-0.165,  9.65e+08),
           (-0.162,  1.05e+09),
           (-0.159, -2.77e+08),
           (-0.155,  2.43e+09),
           (-0.152,  2.87e+09),
           (-0.148,  2.80e+08),
           (-0.145,  2.21e+09),
           (-0.138, -4.44e+08),
           (-0.135, -5.76e+07),
           (-0.132,  3.07e+09),
           (-0.128,  2.37e+09),
           (-0.125,  5.62e+08),
           (-0.121,  8.77e+08),
           (-0.118, -4.85e+08),
           (-0.115,  5.55e+08),
           (-0.111,  3.75e+09),
           (-0.108, -1.60e+08),
           (-0.105, -9.36e+07),
           (-0.101,  2.25e+09),
           (-0.098, -3.88e+08),
           (-0.095, -2.42e+08),
           (-0.091,  2.87e+09),
           (-0.088,  1.01e+09),
           (-0.084,  5.59e+08),
           (-0.081,  2.82e+09),
           (-0.078,  8.42e+07),
           (-0.074,  1.25e+09),
           (-0.071,  3.01e+09),
           (-0.067, -8.59e+08),
           (-0.064,  5.15e+08),
           (-0.061, -1.31e+08),
           (-0.057,  1.63e+09),
           (-0.054,  1.16e+08),
           (-0.051,  1.50e+09),
           (-0.047,  4.87e+08),
           (-0.044,  2.52e+08),
           (-0.041,  5.64e+08),
           (-0.037,  4.37e+08),
           (-0.034,  3.86e+09),
           (-0.030,  4.20e+09),
           (-0.027,  2.75e+09),
           (-0.024,  2.20e+09),
           (-0.020,  3.42e+09),
           (-0.017,  2.61e+09),
           (-0.014,  3.99e+09),
           (-0.010,  4.18e+09),
           (-0.007,  4.10e+09),
           (-0.003,  1.16e+09),
           ( 0.000,  5.43e+09),
           ( 0.003,  5.52e+09),
           ( 0.007,  8.97e+09),
           ( 0.014,  6.22e+09),
           ( 0.017,  6.29e+09),
           ( 0.020,  9.25e+09),
           ( 0.024,  6.00e+09),
           ( 0.027,  8.32e+09),
           ( 0.030,  5.38e+09),
           ( 0.037,  1.16e+10),
           ( 0.041,  1.18e+10),
           ( 0.044,  1.18e+10),
           ( 0.047,  1.16e+10),
           ( 0.051,  1.29e+10),
           ( 0.054,  1.15e+10),
           ( 0.057,  1.44e+10),
           ( 0.061,  1.37e+10),
           ( 0.064,  1.44e+10),
           ( 0.068,  1.22e+10),
           ( 0.071,  1.45e+10),
           ( 0.074,  1.42e+10),
           ( 0.078,  1.49e+10),
           ( 0.081,  1.51e+10),
           ( 0.084,  1.25e+10),
           ( 0.088,  1.32e+10),
           ( 0.091,  1.29e+10),
           ( 0.095,  1.80e+10),
           ( 0.101,  1.10e+10),
           ( 0.108,  1.12e+10),
           ( 0.111,  1.21e+10),
           ( 0.115,  1.21e+10),
           ( 0.118,  1.13e+10),
           ( 0.122,  1.31e+10),
           ( 0.125,  1.20e+10),
           ( 0.128,  1.59e+10),
           ( 0.132,  1.74e+10),
           ( 0.135,  1.65e+10),
           ( 0.138,  1.78e+10),
           ( 0.142,  1.80e+10),
           ( 0.145,  1.63e+10),
           ( 0.149,  2.01e+10),
           ( 0.152,  2.18e+10),
           ( 0.155,  2.02e+10),
           ( 0.159,  2.00e+10),
           ( 0.162,  2.08e+10),
           ( 0.169,  1.85e+10),
           ( 0.172,  2.18e+10),
           ( 0.175,  2.21e+10),
           ( 0.189,  1.66e+10),
           ( 0.192,  1.70e+10),
           ( 0.196,  1.58e+10),
