Bolide Detection Notification: 2011-043

At 11:00:12 UT on 12 Feb 2011, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 7.8N, Lon 95.3W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.04e+10 watts/steradian, and total radiated flash
energy 2.23e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.297,  3.11e+08),
           (-0.294, -1.09e+09),
           (-0.290, -2.05e+09),
           (-0.287, -1.23e+09),
           (-0.283, -4.90e+08),
           (-0.280,  8.77e+08),
           (-0.277,  6.52e+08),
           (-0.270, -8.71e+08),
           (-0.267,  1.32e+09),
           (-0.263, -1.05e+09),
           (-0.260,  5.91e+08),
           (-0.256, -2.35e+08),
           (-0.253,  1.76e+06),
           (-0.250,  6.52e+08),
           (-0.246,  9.48e+08),
           (-0.243, -4.28e+08),
           (-0.240,  1.52e+09),
           (-0.233,  2.00e+08),
           (-0.229, -1.48e+09),
           (-0.226,  1.05e+09),
           (-0.223, -8.29e+08),
           (-0.219, -7.84e+07),
           (-0.216, -5.54e+08),
           (-0.213,  2.16e+09),
           (-0.209,  9.80e+08),
           (-0.206,  1.40e+09),
           (-0.202, -5.15e+08),
           (-0.199,  1.59e+08),
           (-0.196,  1.33e+09),
           (-0.192, -1.27e+09),
           (-0.189,  8.05e+08),
           (-0.186,  1.07e+09),
           (-0.182,  1.91e+08),
           (-0.179,  1.72e+08),
           (-0.175,  1.50e+09),
           (-0.172,  8.37e+08),
           (-0.169,  2.57e+09),
           (-0.165, -1.51e+09),
           (-0.162,  4.65e+08),
           (-0.159,  5.70e+08),
           (-0.155, -3.30e+08),
           (-0.152,  3.44e+08),
           (-0.148, -4.53e+08),
           (-0.145, -1.13e+09),
           (-0.142,  2.07e+09),
           (-0.138, -4.35e+07),
           (-0.135,  1.38e+09),
           (-0.132,  4.17e+08),
           (-0.128, -6.36e+08),
           (-0.125, -3.32e+07),
           (-0.121,  9.17e+08),
           (-0.118,  7.19e+08),
           (-0.115, -5.78e+08),
           (-0.111,  1.41e+08),
           (-0.108,  1.52e+09),
           (-0.105,  9.13e+08),
           (-0.101,  2.35e+09),
           (-0.098,  4.75e+08),
           (-0.094,  7.23e+08),
           (-0.091, -2.01e+08),
           (-0.088,  1.12e+09),
           (-0.084,  1.85e+08),
           (-0.081,  2.26e+09),
           (-0.078,  5.20e+08),
           (-0.074,  2.98e+08),
           (-0.071,  2.08e+09),
           (-0.067,  2.05e+09),
           (-0.064,  1.77e+09),
           (-0.061,  1.67e+09),
           (-0.057, -5.53e+08),
           (-0.054,  1.54e+08),
           (-0.051,  2.53e+09),
           (-0.047, -3.76e+08),
           (-0.044,  1.86e+09),
           (-0.040,  1.01e+09),
           (-0.037, -1.52e+09),
           (-0.034,  2.20e+09),
           (-0.030,  2.94e+09),
           (-0.027, -2.35e+08),
           (-0.024,  3.22e+09),
           (-0.020,  4.29e+09),
           (-0.017,  3.41e+09),
           (-0.013,  2.40e+09),
           (-0.010,  2.95e+09),
           (-0.007,  2.68e+09),
           (-0.003,  4.34e+09),
           ( 0.000,  4.48e+09),
           ( 0.003,  5.05e+09),
           ( 0.007,  4.98e+09),
           ( 0.010,  5.59e+09),
           ( 0.014,  7.06e+09),
           ( 0.017,  7.43e+09),
           ( 0.020,  6.04e+09),
           ( 0.024,  6.73e+09),
           ( 0.027,  8.60e+09),
           ( 0.030,  4.79e+09),
           ( 0.034,  9.00e+09),
           ( 0.037,  8.22e+09),
