Bolide Detection Notification: 2011-082

At 04:24:46 UT on 23 Mar 2011, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 9.76e+09 watts/steradian, and total radiated flash
energy 3.49e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.198, -3.03e+08),
           (-1.195, -3.21e+08),
           (-1.191,  3.70e+08),
           (-1.188,  1.28e+09),
           (-1.185,  1.03e+09),
           (-1.181, -4.40e+08),
           (-1.178,  2.25e+08),
           (-1.175,  7.83e+07),
           (-1.171, -1.00e+08),
           (-1.168, -8.77e+06),
           (-1.164, -3.14e+08),
           (-1.161,  2.00e+08),
           (-1.158,  3.05e+08),
           (-1.154,  1.07e+09),
           (-1.151,  2.60e+08),
           (-1.147, -9.92e+08),
           (-1.144,  4.16e+08),
           (-1.141,  5.11e+07),
           (-1.137, -3.88e+08),
           (-1.134, -1.82e+06),
           (-1.131,  8.47e+08),
           (-1.127,  3.93e+08),
           (-1.124,  9.57e+08),
           (-1.120,  3.44e+08),
           (-1.114,  9.85e+07),
           (-1.110,  1.03e+09),
           (-1.107, -4.00e+07),
           (-1.104,  8.07e+08),
           (-1.100,  1.33e+08),
           (-1.097,  1.14e+09),
           (-1.093,  2.52e+08),
           (-1.090,  3.66e+08),
           (-1.087,  2.12e+07),
           (-1.083,  6.36e+08),
           (-1.080, -8.92e+08),
           (-1.077,  5.96e+08),
           (-1.073,  4.79e+08),
           (-1.070,  1.04e+09),
           (-1.067,  2.28e+07),
           (-1.063,  1.02e+09),
           (-1.060,  3.78e+06),
           (-1.056,  2.56e+08),
           (-1.053,  1.46e+08),
           (-1.050,  3.14e+08),
           (-1.046, -4.38e+08),
           (-1.043,  4.46e+07),
           (-1.039,  7.12e+08),
           (-1.036, -8.15e+08),
           (-1.033,  2.90e+08),
           (-1.029,  4.10e+08),
           (-1.026, -1.24e+08),
           (-1.023, -8.57e+06),
           (-1.019, -7.48e+08),
           (-1.016, -5.69e+07),
           (-1.012,  3.27e+08),
           (-1.006,  5.74e+07),
           (-1.002,  1.98e+08),
           (-0.999,  4.57e+08),
           (-0.996,  2.55e+08),
           (-0.992,  7.76e+08),
           (-0.989,  3.50e+07),
           (-0.985, -1.17e+09),
           (-0.982,  1.12e+08),
           (-0.979,  5.07e+08),
           (-0.975,  1.26e+09),
           (-0.972,  4.00e+08),
           (-0.969,  1.96e+08),
           (-0.965, -7.24e+08),
           (-0.962,  6.44e+08),
           (-0.958,  2.77e+08),
           (-0.955,  7.93e+08),
           (-0.952,  4.28e+08),
           (-0.948,  1.25e+08),
           (-0.945,  1.17e+09),
           (-0.942, -7.70e+08),
           (-0.938, -6.04e+08),
           (-0.931,  6.96e+08),
           (-0.928, -1.32e+09),
           (-0.921,  6.08e+08),
           (-0.918,  2.21e+08),
           (-0.915, -7.37e+08),
           (-0.911,  6.34e+08),
           (-0.908,  2.75e+07),
           (-0.904,  1.23e+09),
           (-0.901,  7.70e+07),
           (-0.898, -3.07e+08),
           (-0.894, -6.32e+07),
           (-0.891,  4.54e+08),
           (-0.888,  4.99e+08),
           (-0.884,  9.86e+08),
           (-0.881,  7.79e+08),
           (-0.877, -2.14e+08),
           (-0.874,  7.15e+08),
           (-0.871,  5.82e+08),
           (-0.867, -4.22e+08),
           (-0.864,  1.09e+09),
           (-0.861,  4.02e+08),
           (-0.857,  4.97e+08),
           (-0.854,  3.52e+08),
           (-0.850,  8.27e+08),
           (-0.847, -4.30e+08),
           (-0.844, -2.35e+08),
           (-0.840,  1.45e+09),
           (-0.837,  8.21e+08),
           (-0.834, -2.18e+08),
           (-0.830,  1.27e+09),
           (-0.827,  7.91e+08),
           (-0.823,  8.20e+08),
           (-0.820, -6.66e+08),
           (-0.817,  7.01e+08),
           (-0.813,  1.44e+09),
           (-0.810,  6.76e+08),
           (-0.807,  8.25e+08),
           (-0.803, -2.21e+08),
           (-0.800, -6.26e+08),
           (-0.796,  5.67e+08),
           (-0.793,  7.41e+07),
           (-0.790,  5.13e+08),
           (-0.786, -3.13e+08),
           (-0.783,  2.42e+08),
           (-0.780,  5.94e+08),
           (-0.776,  2.19e+08),
           (-0.773, -6.71e+08),
           (-0.769,  1.42e+08),
           (-0.766, -2.05e+08),
           (-0.763,  1.17e+09),
           (-0.759,  1.65e+08),
           (-0.756,  4.35e+08),
           (-0.753,  9.00e+08),
           (-0.749, -6.70e+08),
           (-0.746,  6.96e+08),
           (-0.742,  8.12e+08),
           (-0.739,  2.18e+08),
           (-0.736, -7.99e+08),
           (-0.732, -4.08e+08),
           (-0.729,  6.26e+08),
           (-0.726,  2.63e+08),
           (-0.722,  1.34e+08),
           (-0.719,  2.84e+08),
           (-0.716,  7.43e+08),
           (-0.712,  3.70e+08),
           (-0.709, -2.55e+08),
           (-0.705,  5.61e+08),
           (-0.702,  3.00e+08),
           (-0.699,  8.84e+08),
           (-0.695,  9.54e+08),
           (-0.692, -8.45e+07),
           (-0.688,  6.27e+08),
           (-0.685,  9.53e+08),
           (-0.682, -8.24e+08),
           (-0.678, -6.97e+07),
           (-0.675, -4.68e+08),
           (-0.672,  5.40e+08),
           (-0.668, -6.32e+08),
           (-0.665,  2.23e+09),
           (-0.661,  5.52e+08),
           (-0.658,  9.35e+08),
           (-0.655,  5.55e+08),
           (-0.651,  3.73e+08),
           (-0.648, -2.29e+08),
           (-0.645, -1.29e+09),
           (-0.641,  6.49e+08),
           (-0.635, -2.41e+08),
           (-0.631,  3.15e+07),
           (-0.628, -3.46e+07),
           (-0.624,  6.48e+08),
           (-0.621,  1.45e+09),
           (-0.618,  8.48e+08),
           (-0.614,  6.93e+08),
           (-0.611,  2.13e+08),
           (-0.607, -3.77e+07),
           (-0.604,  1.60e+09),
           (-0.601,  6.95e+08),
           (-0.597,  5.70e+08),
           (-0.594, -2.26e+08),
           (-0.591,  6.38e+08),
           (-0.587,  1.87e+09),
           (-0.584,  1.48e+09),
           (-0.581,  1.28e+09),
           (-0.577,  4.53e+08),
           (-0.574,  1.26e+08),
           (-0.570,  2.85e+08),
           (-0.567,  1.28e+09),
           (-0.564,  7.23e+08),
           (-0.560,  1.18e+09),
           (-0.557,  5.88e+08),
           (-0.553,  1.20e+09),
           (-0.550,  1.07e+09),
           (-0.547,  1.09e+09),
           (-0.543,  1.18e+09),
           (-0.540,  1.36e+09),
           (-0.537,  9.06e+08),
           (-0.533,  1.40e+09),
           (-0.530,  1.40e+08),
           (-0.526,  9.64e+08),
           (-0.523,  8.18e+08),
           (-0.520,  1.81e+09),
           (-0.516,  1.47e+09),
           (-0.513,  2.61e+08),
           (-0.510,  7.95e+06),
           (-0.506,  2.29e+09),
           (-0.503,  1.13e+09),
           (-0.500,  2.19e+09),
           (-0.496,  8.15e+08),
           (-0.493,  1.10e+08),
           (-0.489,  1.29e+09),
           (-0.486,  1.21e+09),
           (-0.483,  1.37e+09),
           (-0.479,  2.03e+09),
           (-0.476,  1.29e+09),
           (-0.472,  1.73e+09),
           (-0.469,  7.84e+08),
           (-0.466,  1.07e+09),
           (-0.462,  2.14e+09),
           (-0.459,  1.86e+09),
           (-0.456,  9.21e+08),
           (-0.452,  2.87e+09),
           (-0.449,  1.96e+09),
           (-0.446,  1.46e+09),
           (-0.442,  1.28e+09),
           (-0.439,  1.06e+09),
           (-0.435,  7.20e+08),
           (-0.432,  1.53e+09),
           (-0.429,  1.47e+09),
           (-0.425,  1.67e+09),
           (-0.422,  1.02e+09),
           (-0.418,  1.90e+09),
