Bolide Detection Notification: 2011-107

At 11:21:44 UT on 17 Apr 2011, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 5.93e+09 watts/steradian, and total radiated flash
energy 7.81e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.498,  2.59e+08),
           (-1.495,  1.07e+09),
           (-1.492,  6.94e+08),
           (-1.488,  1.98e+09),
           (-1.485,  2.75e+08),
           (-1.482, -2.56e+08),
           (-1.478, -4.78e+08),
           (-1.471,  5.39e+08),
           (-1.468,  5.07e+08),
           (-1.465, -1.73e+08),
           (-1.461, -5.67e+08),
           (-1.458,  1.34e+09),
           (-1.455,  1.72e+09),
           (-1.451,  6.82e+08),
           (-1.448,  9.40e+08),
           (-1.444, -3.82e+08),
           (-1.438,  1.35e+09),
           (-1.434, -4.38e+08),
           (-1.431, -5.80e+08),
           (-1.428,  1.62e+09),
           (-1.421,  5.16e+08),
           (-1.417, -1.65e+09),
           (-1.414,  4.55e+08),
           (-1.411,  4.36e+08),
           (-1.407,  1.37e+08),
           (-1.404,  6.30e+08),
           (-1.401, -3.24e+08),
           (-1.397, -2.22e+08),
           (-1.394,  5.07e+08),
           (-1.390,  5.03e+08),
           (-1.387,  6.79e+08),
           (-1.380, -4.86e+08),
           (-1.377,  1.94e+09),
           (-1.370,  3.31e+06),
           (-1.367,  1.06e+09),
           (-1.363,  5.77e+08),
           (-1.360,  8.81e+08),
           (-1.357,  4.86e+08),
           (-1.353,  4.86e+08),
           (-1.350,  7.75e+08),
           (-1.347,  5.90e+08),
           (-1.343,  6.04e+07),
           (-1.340,  9.90e+08),
           (-1.337,  1.04e+09),
           (-1.333, -2.79e+08),
           (-1.330,  2.89e+08),
           (-1.326,  2.91e+08),
           (-1.323, -2.25e+08),
           (-1.320,  2.65e+08),
           (-1.316, -2.79e+08),
           (-1.313,  4.76e+08),
           (-1.306, -6.49e+08),
           (-1.303,  8.20e+08),
           (-1.296, -8.42e+08),
           (-1.293, -1.72e+08),
           (-1.289,  9.86e+08),
           (-1.286, -6.72e+08),
           (-1.279,  6.61e+08),
           (-1.276, -8.17e+07),
           (-1.272,  4.04e+08),
           (-1.269,  1.78e+09),
           (-1.266,  4.61e+08),
           (-1.262,  5.45e+08),
           (-1.259,  1.03e+08),
           (-1.255,  3.44e+08),
           (-1.252, -5.42e+08),
           (-1.249,  1.51e+09),
           (-1.245,  1.22e+09),
           (-1.242, -2.91e+08),
           (-1.239,  1.05e+08),
           (-1.235,  1.85e+09),
           (-1.232,  4.57e+08),
           (-1.228,  1.46e+09),
           (-1.225,  1.88e+09),
           (-1.222,  5.07e+08),
           (-1.215,  1.68e+09),
           (-1.212,  1.38e+09),
           (-1.208, -4.74e+08),
           (-1.202,  2.03e+09),
           (-1.198, -4.32e+08),
           (-1.195, -6.93e+08),
           (-1.191,  1.58e+09),
           (-1.185,  3.53e+08),
           (-1.181,  2.21e+09),
           (-1.178,  1.17e+09),
           (-1.175,  8.42e+08),
           (-1.171,  1.93e+09),
           (-1.168,  9.86e+08),
           (-1.164,  9.27e+08),
           (-1.161,  4.68e+08),
           (-1.158,  1.65e+09),
           (-1.154,  9.08e+08),
           (-1.151,  1.95e+09),
           (-1.147,  1.52e+09),
           (-1.144,  1.49e+09),
           (-1.141,  1.56e+09),
           (-1.137, -3.86e+08),
           (-1.134,  6.49e+08),
           (-1.131,  1.20e+09),
           (-1.127,  5.91e+08),
           (-1.124,  2.10e+09),
           (-1.120,  8.49e+08),
           (-1.117,  2.20e+09),
           (-1.114,  1.58e+09),
           (-1.110,  1.42e+09),
           (-1.107, -4.19e+07),
           (-1.104,  9.77e+08),
           (-1.100,  1.11e+09),
           (-1.097, -1.29e+09),
           (-1.090,  1.35e+09),
           (-1.087,  1.81e+09),
           (-1.083,  9.07e+08),
           (-1.080,  2.10e+09),
           (-1.077,  1.98e+09),
           (-1.073,  2.42e+09),
           (-1.070,  8.73e+08),
           (-1.066,  1.53e+09),
           (-1.063,  3.87e+08),
           (-1.060,  8.84e+08),
           (-1.056,  9.09e+08),
           (-1.053,  3.83e+08),
           (-1.050,  1.57e+09),
           (-1.046,  7.79e+08),
           (-1.043,  7.95e+08),
           (-1.039,  1.05e+09),
           (-1.036,  6.94e+08),
           (-1.033, -6.50e+08),
           (-1.026,  2.08e+09),
           (-1.023,  4.79e+08),
           (-1.019,  9.62e+08),
           (-1.012,  4.40e+08),
           (-1.006,  1.53e+09),
           (-1.002,  1.00e+09),
           (-0.999,  1.04e+09),
           (-0.996, -9.62e+08),
           (-0.992, -4.55e+08),
           (-0.989,  1.29e+09),
           (-0.986, -4.34e+07),
           (-0.982,  1.02e+09),
           (-0.979, -9.57e+08),
           (-0.972,  1.41e+09),
           (-0.969,  1.14e+09),
           (-0.965,  2.17e+08),
           (-0.962,  1.16e+09),
           (-0.958,  4.82e+08),
           (-0.952,  1.18e+09),
           (-0.948,  2.30e+09),
           (-0.942, -6.60e+08),
           (-0.938,  2.46e+08),
           (-0.935,  4.83e+08),
           (-0.931,  1.88e+09),
           (-0.928,  5.22e+08),
           (-0.925,  1.19e+09),
           (-0.921,  4.02e+08),
           (-0.915,  1.34e+09),
