Bolide Detection Notification: 2011-136

At 13:39:06 UT on 16 May 2011, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 1.2 °S, Lon 92.8 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 5.87e+09 watts/steradian, and total radiated flash
energy 1.75e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.499,  1.55e+08),
           (-0.496, -9.30e+08),
           (-0.493,  1.23e+09),
           (-0.489,  2.29e+09),
           (-0.486,  1.12e+09),
           (-0.483,  7.22e+08),
           (-0.479, -3.15e+08),
           (-0.476, -6.40e+08),
           (-0.473,  1.88e+09),
           (-0.466, -7.72e+08),
           (-0.462, -9.74e+08),
           (-0.452,  4.40e+08),
           (-0.449, -4.97e+08),
           (-0.445,  5.47e+08),
           (-0.442,  6.67e+08),
           (-0.439,  1.43e+08),
           (-0.435, -1.83e+09),
           (-0.432, -6.97e+08),
           (-0.429,  1.42e+09),
           (-0.425,  1.78e+08),
           (-0.422,  5.14e+07),
           (-0.419,  8.93e+08),
           (-0.415,  1.12e+09),
           (-0.412,  1.23e+08),
           (-0.408, -6.44e+08),
           (-0.405,  3.54e+07),
           (-0.402,  4.98e+08),
           (-0.398,  6.55e+08),
           (-0.395, -4.59e+08),
           (-0.391,  5.99e+07),
           (-0.388, -4.15e+08),
           (-0.385, -1.86e+08),
           (-0.381,  1.52e+09),
           (-0.378, -1.01e+09),
           (-0.375, -1.99e+07),
           (-0.371,  3.14e+08),
           (-0.368,  8.13e+08),
           (-0.364, -1.35e+08),
           (-0.361,  3.71e+08),
           (-0.358,  6.63e+08),
           (-0.354, -1.66e+08),
           (-0.351,  1.28e+08),
           (-0.348,  9.34e+08),
           (-0.344, -1.24e+08),
           (-0.341,  5.62e+06),
           (-0.338, -7.94e+08),
           (-0.334, -5.93e+08),
           (-0.331,  2.84e+08),
           (-0.327, -6.21e+08),
           (-0.324, -5.07e+07),
           (-0.321, -1.28e+08),
           (-0.317,  3.33e+08),
           (-0.314, -6.15e+07),
           (-0.310, -2.80e+08),
           (-0.304,  6.57e+08),
           (-0.300,  3.34e+08),
           (-0.297, -4.63e+07),
           (-0.294,  7.82e+08),
           (-0.290,  7.23e+07),
           (-0.287, -4.69e+07),
           (-0.284,  8.98e+07),
           (-0.280, -4.98e+08),
           (-0.277, -1.16e+08),
           (-0.273,  4.92e+08),
           (-0.270,  5.86e+08),
           (-0.267,  3.45e+07),
           (-0.263,  8.15e+08),
           (-0.260, -6.61e+08),
           (-0.256,  4.74e+08),
           (-0.253,  4.32e+08),
           (-0.250,  2.91e+08),
           (-0.246,  3.75e+08),
           (-0.243,  1.73e+09),
           (-0.240, -1.64e+09),
           (-0.236,  1.15e+08),
           (-0.233,  1.87e+08),
           (-0.230, -2.85e+07),
           (-0.226,  5.69e+08),
           (-0.223,  5.64e+08),
           (-0.219, -1.27e+09),
           (-0.216,  4.74e+08),
           (-0.213,  1.18e+09),
           (-0.209, -4.03e+08),
           (-0.202,  6.55e+08),
           (-0.199, -1.87e+08),
           (-0.196,  1.68e+08),
           (-0.192,  1.42e+09),
           (-0.189,  8.19e+08),
           (-0.186, -5.76e+08),
           (-0.182, -3.81e+07),
           (-0.179,  5.58e+07),
           (-0.175,  4.75e+08),
           (-0.172,  1.10e+09),
           (-0.169,  4.00e+07),
           (-0.165, -5.10e+08),
           (-0.162,  1.69e+09),
           (-0.159,  1.07e+09),
           (-0.155,  1.32e+09),
           (-0.152,  9.10e+08),
           (-0.149,  1.76e+08),
           (-0.145, -1.54e+08),
           (-0.142,  1.27e+09),
           (-0.138,  9.00e+08),
           (-0.135, -2.76e+08),
           (-0.132,  7.22e+08),
           (-0.128,  2.42e+08),
           (-0.125,  6.60e+08),
           (-0.121,  3.68e+08),
           (-0.118,  1.11e+09),
           (-0.115, -1.14e+09),
           (-0.108, -3.67e+08),
           (-0.105, -1.91e+07),
           (-0.101,  1.16e+08),
           (-0.098, -3.38e+08),
           (-0.095,  8.81e+08),
           (-0.091, -4.12e+08),
           (-0.088, -8.38e+08),
           (-0.084,  4.05e+08),
           (-0.081, -3.82e+08),
           (-0.078,  8.50e+08),
           (-0.074,  3.15e+08),
           (-0.071,  2.26e+08),
           (-0.067,  2.19e+08),
           (-0.064,  1.79e+09),
           (-0.061,  9.24e+07),
           (-0.057,  1.14e+09),
           (-0.054, -1.71e+08),
           (-0.051,  1.11e+08),
           (-0.047,  5.51e+08),
           (-0.044,  8.96e+07),
           (-0.041,  4.29e+08),
           (-0.037,  1.04e+09),
           (-0.030,  6.14e+08),
