Bolide Detection Notification: 2011-230

At 14:55:45 UT on 18 Aug 2011, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.20e+10 watts/steradian, and total radiated flash
energy 2.46e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.597,  1.54e+09),
           (-0.591, -3.92e+07),
           (-0.587, -3.75e+08),
           (-0.584, -1.61e+09),
           (-0.580,  6.20e+07),
           (-0.577, -2.30e+09),
           (-0.574, -2.26e+09),
           (-0.570, -1.02e+08),
           (-0.567, -1.50e+08),
           (-0.564, -3.05e+08),
           (-0.560,  4.14e+08),
           (-0.557, -9.79e+08),
           (-0.550,  3.13e+08),
           (-0.547, -1.01e+09),
           (-0.543, -6.17e+08),
           (-0.540,  5.69e+08),
           (-0.537, -6.61e+08),
           (-0.533, -1.68e+09),
           (-0.530,  4.93e+08),
           (-0.526, -2.50e+08),
           (-0.523,  1.34e+09),
           (-0.520,  6.02e+08),
           (-0.516, -1.96e+09),
           (-0.513, -2.83e+08),
           (-0.510, -3.74e+08),
           (-0.506,  2.60e+08),
           (-0.503, -1.50e+09),
           (-0.499, -2.75e+08),
           (-0.496,  3.81e+08),
           (-0.493,  9.80e+07),
           (-0.489, -7.52e+08),
           (-0.486,  4.94e+08),
           (-0.483, -1.18e+09),
           (-0.479, -3.82e+08),
           (-0.476, -3.93e+08),
           (-0.472, -1.37e+09),
           (-0.469, -2.72e+08),
           (-0.466, -1.31e+09),
           (-0.459,  6.14e+08),
           (-0.456, -4.47e+08),
           (-0.452, -8.96e+08),
           (-0.449, -5.73e+08),
           (-0.445, -1.44e+08),
           (-0.442, -1.37e+08),
           (-0.439, -1.90e+09),
           (-0.435, -5.69e+08),
           (-0.432, -3.96e+08),
           (-0.429, -1.16e+09),
           (-0.425, -1.68e+08),
           (-0.422, -1.04e+08),
           (-0.418, -1.83e+08),
           (-0.415, -1.53e+09),
           (-0.408, -4.46e+08),
           (-0.405, -4.47e+08),
           (-0.402, -8.34e+08),
           (-0.398, -2.07e+09),
           (-0.395, -8.86e+08),
           (-0.391, -3.46e+08),
           (-0.388,  8.90e+08),
           (-0.385, -1.23e+09),
           (-0.381, -9.45e+08),
           (-0.378,  3.09e+08),
           (-0.375,  8.25e+08),
           (-0.371, -8.11e+08),
           (-0.368, -4.00e+08),
           (-0.364, -9.76e+08),
           (-0.361, -5.83e+08),
           (-0.358,  1.58e+09),
           (-0.354, -7.17e+08),
           (-0.351, -9.41e+08),
           (-0.348, -1.02e+09),
           (-0.344, -6.65e+08),
           (-0.341, -2.47e+09),
           (-0.337,  7.35e+08),
           (-0.334, -1.48e+09),
           (-0.331, -1.12e+09),
           (-0.327, -2.17e+09),
           (-0.324, -7.65e+08),
           (-0.321,  2.79e+08),
           (-0.317, -5.83e+08),
           (-0.314, -4.00e+07),
           (-0.310, -1.81e+09),
           (-0.307, -7.46e+08),
           (-0.304, -6.80e+08),
           (-0.300, -2.30e+09),
           (-0.297,  2.75e+08),
           (-0.294,  6.50e+08),
           (-0.287, -2.06e+09),
           (-0.283, -4.51e+08),
           (-0.280, -4.58e+08),
           (-0.277,  7.89e+08),
           (-0.273, -1.43e+09),
           (-0.270, -1.70e+09),
           (-0.267, -3.88e+08),
           (-0.263,  5.35e+08),
           (-0.260,  6.05e+07),
           (-0.256, -1.18e+09),
           (-0.253,  9.90e+08),
           (-0.250, -1.85e+09),
           (-0.246, -1.83e+09),
           (-0.243, -6.51e+08),
           (-0.240, -1.78e+09),
           (-0.236, -1.42e+09),
           (-0.233, -2.07e+09),
           (-0.229,  1.31e+09),
           (-0.226, -1.78e+09),
           (-0.223,  1.09e+08),
           (-0.219, -1.03e+09),
           (-0.216, -1.58e+09),
           (-0.213, -8.97e+08),
           (-0.209, -1.36e+09),
           (-0.206,  7.16e+08),
           (-0.202, -1.48e+08),
           (-0.199, -1.77e+09),
           (-0.196, -2.00e+09),
           (-0.192, -1.07e+09),
           (-0.189,  3.76e+08),
           (-0.186, -1.54e+09),
           (-0.179, -2.14e+07),
           (-0.175, -1.44e+09),
           (-0.172,  9.28e+08),
           (-0.169, -2.10e+09),
           (-0.165, -1.36e+09),
           (-0.162,  1.15e+09),
