Bolide Detection Notification: 2011-243

At 09:44:13 UT on 31 Aug 2011, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 18.6 °N, Lon 5.1 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 8.13e+09 watts/steradian, and total radiated flash
energy 3.78e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.998, -6.31e+08),
           (-1.995,  3.02e+09),
           (-1.991,  1.66e+09),
           (-1.988, -2.41e+09),
           (-1.984, -1.51e+09),
           (-1.981,  5.62e+08),
           (-1.978, -2.90e+09),
           (-1.974, -2.27e+08),
           (-1.971,  4.04e+08),
           (-1.968, -1.41e+09),
           (-1.964,  1.04e+09),
           (-1.961, -8.36e+08),
           (-1.957,  6.95e+08),
           (-1.954,  9.96e+08),
           (-1.951,  4.76e+08),
           (-1.947, -7.91e+08),
           (-1.944,  1.63e+09),
           (-1.941, -1.11e+09),
           (-1.937,  1.73e+09),
           (-1.934,  1.45e+09),
           (-1.930, -1.91e+09),
           (-1.927,  2.45e+08),
           (-1.924,  3.59e+09),
           (-1.920, -1.66e+09),
           (-1.917, -2.12e+09),
           (-1.914,  1.42e+08),
           (-1.910, -5.14e+08),
           (-1.907,  9.93e+08),
           (-1.903, -1.37e+09),
           (-1.900,  2.55e+08),
           (-1.897, -1.12e+09),
           (-1.893,  3.00e+08),
           (-1.890, -1.09e+08),
           (-1.887, -1.21e+08),
           (-1.883, -1.70e+09),
           (-1.877,  1.39e+09),
           (-1.873, -2.09e+08),
           (-1.870, -1.58e+08),
           (-1.866,  4.83e+08),
           (-1.863, -2.05e+09),
           (-1.860, -1.48e+09),
           (-1.856,  5.54e+08),
           (-1.853, -1.35e+09),
           (-1.849, -1.56e+09),
           (-1.846, -2.23e+09),
           (-1.843,  1.96e+08),
           (-1.839,  5.86e+08),
           (-1.836, -8.07e+08),
           (-1.833, -1.52e+09),
           (-1.829,  2.76e+08),
           (-1.826, -2.16e+09),
           (-1.822,  7.37e+08),
           (-1.819, -1.69e+09),
           (-1.816,  6.51e+07),
           (-1.812,  9.67e+08),
           (-1.809, -7.03e+08),
           (-1.806, -5.04e+08),
           (-1.802, -2.71e+09),
           (-1.799, -1.08e+09),
           (-1.795,  1.53e+09),
           (-1.792, -1.67e+09),
           (-1.789, -2.93e+09),
           (-1.785,  1.33e+09),
           (-1.782,  2.83e+08),
           (-1.779, -1.27e+09),
           (-1.775,  1.16e+09),
           (-1.772, -1.66e+09),
           (-1.768,  1.43e+09),
