Bolide Detection Notification: 2011-256

At 23:36:47 on 13 September 2011, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was 19.9S, 13.8W.

Based on the visible-light intensity-time signature, peak brightness of the flash was
determined to be approximately 1.90e10 watts/steradian, and total radiated flash
energy 6.70e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.597,  1.53e+08),
           (-0.594, -1.10e+09),
           (-0.591,  6.02e+08),
           (-0.587,  4.44e+08),
           (-0.584, -1.42e+09),
           (-0.580,  1.18e+09),
           (-0.577, -3.55e+08),
           (-0.574, -1.17e+09),
           (-0.570, -9.54e+07),
           (-0.567, -1.06e+08),
           (-0.564,  5.89e+07),
           (-0.560,  4.80e+08),
           (-0.557,  1.08e+08),
           (-0.553,  4.31e+08),
           (-0.550, -7.91e+08),
           (-0.547, -2.31e+07),
           (-0.543, -5.08e+08),
           (-0.540,  1.89e+08),
           (-0.537, -8.07e+08),
           (-0.533, -1.32e+08),
           (-0.526,  8.27e+08),
           (-0.523,  4.87e+08),
           (-0.520, -3.71e+08),
           (-0.513,  1.22e+09),
           (-0.510, -6.80e+07),
           (-0.506, -2.01e+08),
           (-0.503, -8.79e+08),
           (-0.499,  7.41e+08),
           (-0.496,  4.18e+08),
           (-0.493,  5.93e+08),
           (-0.489,  2.16e+08),
           (-0.486,  1.01e+08),
           (-0.483,  8.75e+08),
           (-0.479,  1.11e+09),
           (-0.476, -1.02e+09),
           (-0.472,  1.11e+09),
           (-0.469, -1.46e+08),
           (-0.466,  2.28e+08),
           (-0.462,  5.24e+08),
           (-0.459, -4.16e+08),
           (-0.456, -3.05e+08),
           (-0.449,  7.35e+08),
           (-0.445, -2.81e+08),
           (-0.442,  8.16e+08),
           (-0.435,  2.31e+08),
           (-0.432,  8.22e+08),
           (-0.429,  3.63e+08),
           (-0.425, -3.77e+08),
           (-0.422,  1.78e+08),
           (-0.418, -2.17e+07),
           (-0.415,  7.97e+08),
           (-0.412, -1.81e+07),
           (-0.408, -1.25e+09),
           (-0.405,  3.70e+08),
           (-0.402,  5.87e+08),
           (-0.398,  3.65e+08),
           (-0.395,  1.35e+09),
           (-0.391, -3.63e+08),
           (-0.388,  1.37e+08),
           (-0.385,  5.23e+08),
           (-0.381, -1.75e+08),
           (-0.378,  6.53e+08),
           (-0.375, -1.89e+08),
           (-0.371,  1.48e+08),
           (-0.368,  6.57e+08),
           (-0.364,  4.58e+08),
           (-0.361,  1.43e+09),
           (-0.358,  5.67e+05),
           (-0.354, -1.01e+09),
           (-0.351,  6.89e+08),
           (-0.348,  1.04e+09),
           (-0.344,  8.42e+08),
           (-0.341, -5.84e+08),
           (-0.337, -7.26e+08),
           (-0.334,  1.78e+09),
           (-0.331,  9.03e+08),
           (-0.327,  2.52e+08),
           (-0.324,  4.15e+08),
           (-0.321, -5.15e+08),
           (-0.317,  5.63e+08),
           (-0.314, -7.11e+08),
           (-0.310, -1.29e+07),
           (-0.307,  5.23e+08),
           (-0.304,  2.07e+08),
           (-0.300,  2.17e+08),
           (-0.297,  5.92e+08),
           (-0.294, -7.18e+08),
           (-0.290, -6.21e+08),
           (-0.287,  1.35e+08),
           (-0.283,  3.92e+08),
           (-0.280, -5.22e+08),
           (-0.277, -4.33e+08),
           (-0.273,  3.90e+08),
           (-0.270,  3.45e+08),
           (-0.267, -1.00e+09),
           (-0.263, -6.80e+08),
           (-0.260,  9.25e+08),
           (-0.256, -4.35e+08),
           (-0.253, -9.11e+08),
           (-0.250, -8.36e+08),
           (-0.246,  1.55e+07),
           (-0.243, -1.17e+08),
           (-0.240,  1.23e+09),
           (-0.236,  5.86e+08),
           (-0.233,  1.34e+09),
           (-0.229, -6.83e+08),
           (-0.226,  5.94e+08),
           (-0.219, -1.71e+09),
           (-0.213,  4.48e+08),
           (-0.209,  3.16e+08),
           (-0.206,  2.81e+08),
           (-0.202, -4.12e+08),
           (-0.199,  2.54e+08),
           (-0.192, -4.05e+08),
           (-0.186, -9.48e+08),
           (-0.182, -7.22e+07),
           (-0.179, -2.39e+08),
           (-0.175,  8.14e+08),
           (-0.169, -1.15e+09),
           (-0.165, -6.00e+07),
           (-0.162, -1.18e+09),
           (-0.159, -1.13e+08),
           (-0.155, -2.48e+08),
           (-0.152, -6.02e+07),
           (-0.148,  2.60e+08),
           (-0.145, -8.96e+07),
           (-0.142, -6.09e+08),
           (-0.138,  2.17e+07),
           (-0.135,  1.37e+09),
           (-0.132, -6.31e+08),
           (-0.128, -5.37e+08),
           (-0.125,  1.50e+09),
           (-0.121, -5.73e+08),
           (-0.118,  2.21e+08),
           (-0.115, -1.85e+08),
           (-0.111, -3.64e+08),
           (-0.108,  1.55e+08),
           (-0.105, -6.91e+08),
           (-0.101,  6.82e+08),
           (-0.098,  2.36e+08),
           (-0.095,  5.26e+08),
           (-0.091, -1.05e+09),
           (-0.088, -4.86e+08),
           (-0.084,  1.07e+09),
           (-0.081,  1.00e+09),
           (-0.078, -6.74e+08),
           (-0.074,  5.02e+08),
           (-0.071,  8.13e+08),
           (-0.067,  8.95e+08),
           (-0.064, -3.32e+08),
           (-0.061,  6.80e+08),
           (-0.057,  5.97e+08),
           (-0.054, -1.22e+08),
           (-0.051, -2.63e+08),
           (-0.047,  4.38e+08),
           (-0.044,  3.12e+08),
           (-0.040,  1.17e+09),
           (-0.037,  5.39e+08),
           (-0.034,  2.66e+09),
