Bolide Detection Notification: 2011-324

At 05:25:05 on 20 November 2011, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was 27.9S, 116.3E.

Based on the visible-light intensity-time signature, peak brightness of the flash was
determined to be approximately 6.80e9 watts/steradian, and total radiated flash
energy 2.30e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.597,  2.67e+09),
           (-0.594, -3.11e+08),
           (-0.591,  3.07e+09),
           (-0.587,  3.67e+09),
           (-0.584,  2.83e+09),
           (-0.580,  4.64e+09),
           (-0.577,  1.98e+09),
           (-0.574, -2.05e+09),
           (-0.570,  2.49e+09),
           (-0.567,  1.92e+09),
           (-0.564,  3.45e+09),
           (-0.560,  3.12e+09),
           (-0.557,  2.27e+09),
           (-0.553,  2.23e+09),
           (-0.550,  4.89e+08),
           (-0.547,  2.50e+09),
           (-0.543,  2.03e+09),
           (-0.540,  1.14e+09),
           (-0.537,  2.26e+09),
           (-0.533, -1.06e+09),
           (-0.530,  1.28e+09),
           (-0.526,  2.63e+09),
           (-0.523, -9.13e+07),
           (-0.520,  1.89e+09),
           (-0.516,  2.02e+08),
           (-0.513,  2.47e+09),
           (-0.510,  2.06e+09),
           (-0.506, -1.42e+09),
           (-0.503,  2.68e+09),
           (-0.499,  2.81e+09),
           (-0.496,  2.29e+09),
           (-0.489, -1.31e+07),
           (-0.479,  4.33e+09),
           (-0.476,  2.32e+09),
           (-0.472, -6.08e+08),
           (-0.469,  4.58e+09),
           (-0.466,  4.52e+09),
           (-0.462,  5.44e+09),
           (-0.459,  2.15e+09),
           (-0.456,  1.55e+09),
           (-0.452,  2.73e+09),
           (-0.449,  2.44e+09),
           (-0.445,  3.50e+09),
           (-0.442,  2.22e+09),
           (-0.439,  4.72e+09),
           (-0.435,  1.63e+09),
           (-0.432,  3.52e+09),
           (-0.429,  6.94e+08),
           (-0.425,  4.14e+09),
           (-0.422,  1.35e+09),
           (-0.418,  3.22e+09),
           (-0.415,  4.53e+09),
           (-0.412,  3.11e+09),
           (-0.408, -6.11e+07),
           (-0.405, -3.60e+08),
           (-0.402,  6.80e+09),
           (-0.398,  2.01e+09),
           (-0.395,  2.70e+09),
           (-0.391,  2.78e+09),
           (-0.388,  5.26e+09),
           (-0.385,  8.25e+08),
           (-0.381, -1.33e+09),
           (-0.378,  5.07e+09),
           (-0.375,  6.58e+09),
           (-0.371,  1.33e+09),
           (-0.368,  3.69e+09),
           (-0.364,  4.63e+08),
           (-0.361,  1.71e+09),
           (-0.358,  1.67e+09),
           (-0.354,  1.51e+09),
           (-0.351,  3.25e+09),
           (-0.348, -6.29e+08),
           (-0.344, -3.67e+08),
           (-0.341, -2.35e+08),
           (-0.337,  1.88e+09),
           (-0.334, -3.67e+08),
           (-0.331,  1.45e+09),
           (-0.327,  4.46e+09),
           (-0.324,  3.75e+09),
           (-0.321,  5.29e+09),
           (-0.317,  1.61e+09),
           (-0.314,  4.86e+09),
           (-0.310,  2.62e+08),
           (-0.307,  1.42e+09),
           (-0.304,  4.01e+09),
           (-0.300,  6.12e+09),
           (-0.297,  4.58e+09),
           (-0.294,  5.76e+09),
           (-0.290,  1.46e+09),
           (-0.287,  3.73e+09),
           (-0.283,  5.07e+09),
           (-0.280,  9.12e+08),
           (-0.277,  3.65e+09),
           (-0.273,  7.48e+09),
           (-0.270,  3.49e+09),
           (-0.267,  3.30e+09),
           (-0.263,  4.15e+09),
           (-0.260,  3.79e+09),
           (-0.256,  1.65e+09),
           (-0.253,  4.74e+09),
           (-0.250,  3.91e+09),
           (-0.246,  7.94e+09),
           (-0.243,  4.26e+09),
           (-0.240,  3.44e+09),
           (-0.236,  3.47e+09),
           (-0.233,  2.17e+09),
           (-0.229,  4.23e+09),
           (-0.226,  5.57e+09),
           (-0.223,  1.26e+09),
           (-0.219,  4.36e+09),
           (-0.216,  1.30e+09),
           (-0.213,  5.42e+09),
           (-0.209,  4.01e+09),
           (-0.206,  2.97e+09),
           (-0.202,  5.60e+09),
           (-0.199,  5.11e+09),
           (-0.196,  2.74e+09),
           (-0.192,  4.70e+09),
           (-0.189,  3.71e+09),
           (-0.186,  6.25e+09),
           (-0.182,  6.16e+09),
           (-0.179, -9.71e+08),
           (-0.175,  4.76e+09),
           (-0.172,  6.16e+09),
           (-0.169,  2.92e+09),
           (-0.165,  4.52e+09),
           (-0.162,  5.64e+09),
           (-0.159,  7.06e+09),
           (-0.155,  8.17e+09),
           (-0.152,  6.38e+09),
           (-0.148,  5.08e+09),
           (-0.145,  6.66e+09),
           (-0.142,  5.14e+09),
           (-0.138,  4.27e+09),
           (-0.135,  7.50e+09),
           (-0.132,  5.41e+09),
           (-0.128,  5.70e+09),
           (-0.125,  7.85e+08),
           (-0.121,  4.24e+09),
           (-0.118,  4.78e+09),
           (-0.115,  3.81e+09),
           (-0.111,  2.15e+09),
           (-0.105,  4.73e+09),
           (-0.101,  4.77e+09),
           (-0.098,  3.25e+09),
           (-0.095,  4.16e+09),
           (-0.091,  6.08e+09),
           (-0.088,  4.35e+09),
           (-0.084,  1.68e+09),
           (-0.081,  4.45e+09),
           (-0.074,  6.90e+09),
           (-0.067,  3.14e+09),
           (-0.064,  6.36e+09),
           (-0.061,  7.49e+09),
           (-0.057,  3.03e+09),
           (-0.054,  5.09e+09),
           (-0.051,  3.09e+09),
           (-0.047,  3.89e+09),
           (-0.044,  3.95e+09),
           (-0.040,  6.36e+09),
           (-0.037,  5.14e+09),
           (-0.034,  7.75e+09),
           (-0.030,  8.21e+09),
           (-0.027,  9.45e+09),
           (-0.024,  8.74e+09),
           (-0.020,  9.42e+09),
           (-0.017,  1.11e+10),
           (-0.013,  9.08e+09),
           (-0.010,  9.70e+09),
           (-0.007,  8.07e+09),
           (-0.003,  7.22e+09),
           ( 0.000,  1.09e+10),
           ( 0.003,  1.22e+10),
           ( 0.007,  1.07e+10),
           ( 0.010,  1.05e+10),
           ( 0.014,  1.06e+10),
           ( 0.017,  1.30e+10),
           ( 0.020,  1.20e+10),
           ( 0.024,  1.39e+10),
           ( 0.027,  1.29e+10),
           ( 0.030,  1.25e+10),
           ( 0.034,  8.22e+09),
           ( 0.037,  6.18e+09),
           ( 0.040,  1.16e+10),
           ( 0.044,  9.63e+09),
           ( 0.047,  1.53e+10),
           ( 0.051,  1.13e+10),
           ( 0.054,  8.45e+09),
           ( 0.057,  6.85e+09),
           ( 0.061,  8.96e+09),
           ( 0.064,  9.29e+09),
