Bolide Detection Notification: 2012-043

At 05:25:52 UT on 12 Feb 2012, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 31.7 °S, Lon 54.9 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.91e+10 watts/steradian, and total radiated flash
energy 2.42e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.198,  9.13e+08),
           (-1.195,  1.00e+09),
           (-1.191,  1.48e+09),
           (-1.188,  8.95e+08),
           (-1.185,  9.21e+08),
           (-1.181,  7.69e+08),
           (-1.178,  2.49e+09),
           (-1.174,  1.23e+09),
           (-1.171,  3.99e+09),
           (-1.168,  1.05e+09),
           (-1.164,  1.13e+08),
           (-1.161,  5.47e+08),
           (-1.158, -5.52e+07),
           (-1.151,  1.07e+09),
           (-1.147,  1.32e+09),
           (-1.144, -7.47e+08),
           (-1.141, -6.53e+08),
           (-1.137,  2.04e+09),
           (-1.134, -5.19e+08),
           (-1.131, -1.26e+09),
           (-1.127,  1.49e+09),
           (-1.124,  1.31e+09),
           (-1.120,  2.70e+09),
           (-1.117,  1.43e+09),
           (-1.114, -1.43e+09),
           (-1.110, -1.47e+09),
           (-1.107, -1.58e+09),
           (-1.104,  4.13e+09),
           (-1.100,  2.91e+08),
           (-1.093, -2.34e+08),
           (-1.090, -8.30e+08),
           (-1.087,  2.16e+09),
           (-1.083,  4.01e+09),
           (-1.080, -2.27e+09),
           (-1.077,  2.96e+07),
           (-1.073, -9.78e+08),
           (-1.070,  1.64e+09),
           (-1.066,  1.20e+09),
           (-1.060, -1.73e+09),
           (-1.056,  1.07e+09),
           (-1.053,  2.76e+09),
           (-1.050, -2.03e+08),
           (-1.046,  1.50e+09),
           (-1.043,  1.63e+09),
           (-1.036,  3.08e+09),
           (-1.033,  1.00e+09),
           (-1.026,  4.75e+09),
           (-1.023,  3.45e+09),
           (-1.019,  3.48e+09),
           (-1.016,  1.92e+09),
           (-1.012,  3.37e+09),
           (-1.009,  3.61e+09),
           (-1.006,  4.56e+09),
           (-1.002,  2.48e+09),
           (-0.999,  1.37e+09),
           (-0.996,  8.15e+08),
           (-0.992,  4.91e+08),
           (-0.989,  1.42e+09),
           (-0.985,  1.04e+09),
           (-0.982,  2.69e+09),
           (-0.979,  2.22e+09),
           (-0.975, -7.85e+08),
           (-0.972, -5.48e+07),
           (-0.969,  3.52e+09),
           (-0.965,  2.19e+09),
           (-0.962, -4.76e+08),
           (-0.958,  5.28e+08),
           (-0.955,  2.88e+09),
           (-0.952,  2.22e+09),
           (-0.948,  5.93e+09),
           (-0.945,  3.13e+09),
           (-0.942,  1.35e+09),
           (-0.938,  1.07e+09),
           (-0.935,  1.90e+09),
           (-0.931, -4.05e+07),
           (-0.928,  6.54e+08),
           (-0.925,  2.19e+09),
           (-0.921,  2.91e+09),
           (-0.918,  4.24e+09),
           (-0.915,  3.92e+09),
           (-0.911,  4.72e+09),
           (-0.904,  2.34e+09),
           (-0.901,  2.00e+09),
           (-0.898,  3.27e+09),
           (-0.894,  6.99e+09),
           (-0.891,  3.81e+09),
           (-0.888,  3.66e+09),
           (-0.884,  1.91e+09),
