Bolide Detection Notification: 2012-063

At 21:28:24 UT on 03 Mar 2012, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 7.8N, Lon 2.7E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 9.57e+09 watts/steradian, and total radiated flash
energy 1.11e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  1.16e+09),
           (-0.996,  1.83e+09),
           (-0.992,  1.83e+08),
           (-0.989, -3.65e+08),
           (-0.986, -5.57e+08),
           (-0.982,  1.17e+09),
           (-0.979,  5.29e+07),
           (-0.975,  4.27e+08),
           (-0.972,  3.69e+08),
           (-0.969, -4.80e+08),
           (-0.965,  1.42e+09),
           (-0.962,  2.34e+08),
           (-0.959,  1.07e+09),
           (-0.955,  2.06e+08),
           (-0.952,  1.06e+09),
           (-0.948,  1.14e+09),
           (-0.945,  1.14e+09),
           (-0.942,  2.54e+09),
           (-0.938,  4.01e+08),
           (-0.935, -1.36e+08),
           (-0.932,  2.70e+09),
           (-0.928,  6.41e+08),
           (-0.925, -3.25e+08),
           (-0.921, -6.98e+08),
           (-0.915,  1.20e+08),
           (-0.911, -4.47e+08),
           (-0.908,  9.43e+08),
           (-0.905, -4.23e+08),
           (-0.901,  7.33e+08),
           (-0.898,  8.10e+08),
           (-0.891, -1.01e+09),
           (-0.888,  5.79e+08),
           (-0.884,  4.80e+08),
           (-0.881,  1.53e+09),
           (-0.878, -8.57e+08),
           (-0.874,  1.18e+08),
           (-0.871,  1.88e+08),
           (-0.867,  8.25e+08),
           (-0.864,  9.14e+08),
           (-0.857,  4.07e+08),
           (-0.854,  8.41e+08),
           (-0.851,  4.26e+08),
           (-0.847,  1.41e+09),
           (-0.844,  1.07e+09),
           (-0.840,  9.71e+08),
           (-0.834, -4.19e+08),
           (-0.830,  5.30e+08),
           (-0.827,  4.66e+08),
           (-0.824,  2.74e+08),
           (-0.820, -3.69e+07),
           (-0.817,  5.01e+08),
           (-0.813,  3.83e+08),
           (-0.810,  8.33e+08),
           (-0.807,  1.07e+09),
           (-0.803, -1.60e+09),
           (-0.797,  1.82e+09),
           (-0.793,  5.92e+08),
           (-0.790, -1.43e+09),
           (-0.786,  8.72e+08),
           (-0.783,  2.12e+09),
           (-0.780,  1.82e+09),
           (-0.776,  8.57e+08),
           (-0.773,  9.33e+08),
           (-0.770,  1.73e+09),
           (-0.766,  2.02e+09),
           (-0.763,  3.46e+08),
           (-0.759,  1.40e+09),
           (-0.756, -3.58e+08),
           (-0.753,  9.99e+08),
           (-0.749,  1.30e+08),
           (-0.746,  3.68e+08),
           (-0.743,  1.65e+08),
           (-0.739, -7.30e+08),
           (-0.736,  1.44e+09),
           (-0.732, -4.26e+08),
           (-0.729, -1.23e+09),
           (-0.726,  9.34e+08),
           (-0.722,  1.07e+08),
           (-0.719, -3.89e+08),
           (-0.716,  8.35e+08),
           (-0.712,  1.47e+08),
           (-0.709,  1.18e+08),
           (-0.705,  1.45e+09),
           (-0.702,  1.45e+09),
           (-0.699,  7.08e+08),
           (-0.695,  8.76e+08),
           (-0.692, -7.67e+07),
           (-0.689,  4.52e+08),
           (-0.685,  2.45e+08),
           (-0.682,  1.87e+09),
           (-0.678, -1.75e+09),
           (-0.675, -1.34e+08),
           (-0.672,  2.09e+08),
           (-0.668, -7.45e+08),
           (-0.665,  1.30e+09),
           (-0.662,  1.27e+09),
           (-0.658,  5.52e+08),
           (-0.655, -7.31e+08),
           (-0.651,  1.39e+09),
           (-0.648,  2.48e+09),
           (-0.645,  6.99e+08),
           (-0.641,  1.04e+09),
           (-0.638,  1.78e+09),
           (-0.635,  1.47e+09),
           (-0.631, -2.90e+07),
           (-0.628,  8.89e+08),
           (-0.624, -1.74e+08),
           (-0.621,  6.48e+08),
           (-0.618,  1.40e+08),
           (-0.614,  9.28e+08),
           (-0.611, -2.10e+08),
           (-0.608,  1.27e+09),
           (-0.604, -1.17e+08),
           (-0.601, -7.00e+08),
           (-0.597,  9.49e+08),
           (-0.594,  7.86e+08),
           (-0.591,  7.78e+08),
           (-0.587, -6.33e+08),
           (-0.584, -1.81e+08),
           (-0.581,  6.24e+08),
           (-0.577,  6.29e+08),
           (-0.574,  1.62e+09),
           (-0.570, -2.63e+08),
           (-0.567,  5.73e+08),
           (-0.564,  8.09e+08),
           (-0.560, -1.73e+09),
           (-0.557,  2.12e+09),
           (-0.554,  2.04e+09),
           (-0.550,  3.60e+08),
           (-0.547,  4.51e+08),
           (-0.543,  1.67e+09),
           (-0.540,  1.14e+08),
           (-0.537,  8.09e+08),
           (-0.533,  2.25e+08),
           (-0.530, -4.51e+07),
           (-0.527,  7.34e+08),
           (-0.523,  2.16e+09),
           (-0.520,  2.66e+09),
           (-0.516,  1.08e+09),
           (-0.513,  1.21e+09),
           (-0.510,  2.50e+09),
           (-0.506, -3.49e+08),
           (-0.503,  1.51e+09),
           (-0.500,  8.79e+08),
           (-0.496,  1.35e+09),
           (-0.493,  1.03e+09),
           (-0.489,  2.10e+09),
           (-0.486,  7.65e+08),
           (-0.483,  8.14e+08),
           (-0.479,  1.12e+09),
           (-0.476,  1.34e+09),
           (-0.473,  1.16e+09),
           (-0.469, -1.66e+07),
           (-0.462,  2.42e+09),
           (-0.459,  8.46e+08),
           (-0.456,  1.10e+09),
           (-0.449, -4.04e+08),
           (-0.446,  5.94e+08),
           (-0.442,  1.27e+09),
           (-0.439,  1.77e+09),
           (-0.435,  1.23e+09),
           (-0.432,  1.08e+09),
           (-0.429,  5.33e+08),
           (-0.425,  9.81e+08),
           (-0.422,  1.94e+09),
           (-0.419, -2.83e+08),
           (-0.415,  1.02e+09),
           (-0.412,  6.84e+06),
           (-0.408,  1.64e+09),
           (-0.405,  1.65e+09),
           (-0.402,  1.12e+08),
           (-0.398,  1.05e+09),
           (-0.395,  2.64e+09),
           (-0.392,  6.83e+08),
           (-0.385,  1.84e+09),
           (-0.381,  6.54e+08),
           (-0.378,  4.83e+08),
           (-0.375,  8.13e+08),
           (-0.368,  1.18e+09),
           (-0.365,  3.39e+09),
           (-0.361,  7.34e+08),
           (-0.358,  1.56e+09),
           (-0.354,  2.14e+09),
           (-0.351,  1.63e+09),
           (-0.348,  9.17e+08),
           (-0.344,  1.52e+09),
           (-0.341,  2.74e+09),
           (-0.338,  6.98e+08),
           (-0.334,  7.87e+08),
           (-0.331,  1.11e+09),
           (-0.327,  3.12e+09),
           (-0.324,  2.86e+09),
           (-0.321,  2.22e+09),
           (-0.317,  2.10e+09),
           (-0.314,  7.51e+08),
           (-0.311,  9.64e+08),
           (-0.307,  2.02e+09),
           (-0.304,  2.53e+09),
           (-0.300,  1.11e+09),
           (-0.297,  3.23e+09),
           (-0.290,  8.03e+08),
           (-0.287,  9.80e+08),
           (-0.284,  2.54e+09),
           (-0.280,  2.17e+09),
           (-0.277,  1.48e+09),
           (-0.273,  2.46e+09),
           (-0.270,  1.09e+09),
           (-0.267,  2.14e+09),
           (-0.263,  4.31e+08),
           (-0.260,  1.42e+09),
           (-0.257,  2.96e+09),
           (-0.253,  4.92e+08),
           (-0.250,  6.06e+08),
           (-0.246,  2.59e+09),
           (-0.243,  2.59e+09),
           (-0.233,  4.50e+08),
           (-0.230,  1.31e+09),
           (-0.226,  3.21e+09),
           (-0.223,  1.21e+09),
           (-0.219, -7.29e+07),
           (-0.216,  2.53e+09),
           (-0.213,  1.83e+09),
           (-0.206,  9.97e+08),
           (-0.203,  1.26e+09),
           (-0.199,  8.41e+08),
           (-0.192,  2.04e+09),
           (-0.189,  2.62e+09),
           (-0.186,  2.25e+09),
           (-0.182,  1.20e+09),
           (-0.176,  2.50e+09),
           (-0.172,  1.95e+09),
           (-0.169,  1.87e+09),
           (-0.162,  9.19e+08),
           (-0.159,  2.08e+09),
           (-0.155,  1.57e+09),
           (-0.152,  4.23e+08),
           (-0.149,  1.58e+09),
           (-0.145,  1.66e+09),
           (-0.142,  1.21e+09),
           (-0.138,  2.91e+09),
           (-0.135,  1.17e+09),
           (-0.132,  2.69e+09),
           (-0.128,  1.97e+09),
           (-0.125,  7.09e+08),
           (-0.122,  1.83e+09),
           (-0.118,  1.74e+09),
           (-0.115,  1.40e+09),
           (-0.111,  1.60e+09),
           (-0.108,  1.94e+09),
           (-0.105,  9.78e+08),
           (-0.098,  1.74e+09),
           (-0.095,  1.75e+09),
           (-0.091,  6.60e+08),
           (-0.088,  1.15e+09),
           (-0.081,  3.28e+09),
           (-0.078,  1.73e+09),
           (-0.074,  6.19e+08),
           (-0.071,  2.00e+09),
           (-0.068,  1.54e+09),
           (-0.064,  7.88e+08),
           (-0.061,  2.40e+09),
           (-0.057,  1.33e+09),
           (-0.054,  1.34e+09),
           (-0.051,  1.69e+09),
           (-0.047,  1.62e+09),
           (-0.044,  3.60e+09),
           (-0.041,  4.24e+09),
           (-0.037,  2.13e+09),
           (-0.034,  2.31e+09),
           (-0.030,  3.12e+09),
