Bolide Detection Notification: 2012-114

At 22:01:10 UT on 23 Apr 2012, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 36.2N, Lon 107.4E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 8.66e+09 watts/steradian, and total radiated flash
energy 4.80e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.628,  5.11e+08),
           (-0.624, -8.04e+08),
           (-0.621,  3.26e+08),
           (-0.618, -4.86e+08),
           (-0.614,  8.44e+08),
           (-0.611,  2.29e+08),
           (-0.608, -6.80e+08),
           (-0.604, -6.84e+08),
           (-0.601, -2.23e+08),
           (-0.597, -1.17e+09),
           (-0.594, -1.71e+08),
           (-0.591,  1.85e+08),
           (-0.587, -5.48e+08),
           (-0.584, -8.84e+07),
           (-0.580,  4.71e+08),
           (-0.577,  7.12e+08),
           (-0.574, -4.38e+08),
           (-0.570,  1.21e+09),
           (-0.567,  6.80e+08),
           (-0.564, -1.99e+08),
           (-0.560,  7.69e+08),
           (-0.557,  2.78e+08),
           (-0.553,  2.63e+08),
           (-0.550, -2.76e+08),
           (-0.547,  4.36e+08),
           (-0.543, -5.17e+08),
           (-0.540, -5.22e+08),
           (-0.537, -3.91e+08),
           (-0.533, -3.10e+08),
           (-0.530, -4.37e+08),
           (-0.526,  1.13e+09),
           (-0.523, -1.10e+09),
           (-0.520,  6.35e+08),
           (-0.516,  7.40e+07),
           (-0.513,  6.40e+08),
           (-0.510,  1.47e+09),
           (-0.506, -1.26e+08),
           (-0.503,  4.62e+07),
           (-0.499,  9.76e+08),
           (-0.496,  1.09e+09),
           (-0.493,  6.68e+08),
           (-0.489,  8.26e+08),
           (-0.486, -8.45e+08),
           (-0.483,  1.01e+09),
           (-0.479, -6.76e+06),
           (-0.476, -6.55e+08),
           (-0.472, -3.96e+08),
           (-0.469,  1.26e+09),
           (-0.466, -2.12e+07),
           (-0.462,  9.35e+08),
           (-0.459,  3.03e+08),
           (-0.456, -1.11e+08),
           (-0.452,  1.68e+08),
           (-0.449, -1.03e+09),
           (-0.445,  2.91e+08),
           (-0.442,  6.05e+08),
           (-0.439, -1.10e+09),
           (-0.435,  5.80e+08),
           (-0.432,  6.70e+08),
           (-0.429, -1.03e+09),
           (-0.425, -2.36e+08),
           (-0.422, -6.48e+08),
           (-0.419,  5.15e+08),
           (-0.415,  4.55e+08),
           (-0.412,  5.54e+08),
           (-0.408, -1.90e+08),
           (-0.405, -3.34e+08),
           (-0.402,  2.59e+08),
           (-0.398, -5.34e+08),
           (-0.395,  3.20e+08),
           (-0.392, -1.36e+08),
           (-0.388, -1.08e+09),
           (-0.385,  3.00e+08),
           (-0.381, -1.64e+08),
           (-0.378, -3.57e+08),
           (-0.375, -1.39e+09),
           (-0.371, -2.54e+08),
           (-0.368, -2.09e+08),
           (-0.365, -8.26e+08),
           (-0.361, -1.48e+08),
           (-0.358, -2.12e+08),
           (-0.354, -5.44e+08),
           (-0.351, -4.33e+08),
           (-0.348,  6.70e+08),
           (-0.344,  4.19e+08),
           (-0.341, -5.68e+07),
           (-0.337, -1.59e+08),
           (-0.334, -7.15e+08),
           (-0.331, -5.44e+07),
           (-0.327,  7.30e+07),
           (-0.324, -1.29e+09),
           (-0.321, -1.63e+08),
           (-0.317,  6.23e+08),
           (-0.314, -2.99e+08),
           (-0.310,  6.70e+08),
           (-0.307,  4.43e+08),
           (-0.304, -9.72e+08),
           (-0.300,  1.34e+09),
           (-0.297,  8.99e+08),
           (-0.294, -7.69e+08),
           (-0.290,  6.41e+08),
           (-0.283,  1.58e+09),
           (-0.280,  1.29e+09),
           (-0.277, -9.28e+07),
           (-0.273,  6.32e+08),
           (-0.270,  2.27e+09),
           (-0.267,  2.45e+09),
           (-0.263,  6.50e+08),
           (-0.260,  1.50e+09),
           (-0.256,  1.00e+09),
           (-0.253,  1.66e+08),
           (-0.243,  1.89e+09),
           (-0.240,  1.71e+09),
           (-0.236, -4.66e+07),
           (-0.233,  5.32e+08),
           (-0.229,  1.57e+09),
           (-0.223, -1.57e+08),
           (-0.219,  2.28e+08),
           (-0.216,  8.21e+08),
           (-0.213,  2.30e+08),
           (-0.209,  5.37e+07),
           (-0.203,  6.75e+08),
           (-0.199, -1.23e+08),
           (-0.196,  1.33e+09),
           (-0.192,  1.42e+09),
           (-0.189,  2.58e+08),
           (-0.186,  1.34e+08),
