Bolide Detection Notification: 2012-157

At 07:44:54 UT on 05 Jun 2012, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 7.75e+09 watts/steradian, and total radiated flash
energy 2.44e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.297, -4.86e+08),
           (-0.294, -1.15e+08),
           (-0.290, -1.25e+09),
           (-0.283, -1.01e+08),
           (-0.280, -1.31e+09),
           (-0.277,  1.87e+07),
           (-0.273,  2.83e+08),
           (-0.270, -3.96e+07),
           (-0.267, -1.81e+09),
           (-0.263, -8.29e+08),
           (-0.260, -6.71e+08),
           (-0.256,  6.96e+07),
           (-0.253,  2.30e+07),
           (-0.250, -8.68e+08),
           (-0.246, -1.19e+08),
           (-0.243,  1.18e+09),
           (-0.240, -2.18e+09),
           (-0.236,  6.43e+08),
           (-0.233,  1.16e+09),
           (-0.230,  2.88e+08),
           (-0.226,  1.52e+09),
           (-0.223,  8.82e+08),
           (-0.219, -2.13e+09),
           (-0.216,  8.97e+08),
           (-0.213,  9.02e+08),
           (-0.209,  1.12e+09),
           (-0.206, -4.17e+08),
           (-0.203, -9.95e+08),
           (-0.199,  6.34e+08),
           (-0.196, -1.26e+09),
           (-0.192, -1.44e+09),
           (-0.189, -4.30e+08),
           (-0.186,  1.75e+09),
           (-0.182,  2.56e+09),
           (-0.179,  3.17e+08),
           (-0.175,  1.80e+07),
           (-0.172, -4.29e+08),
           (-0.169,  4.35e+08),
           (-0.165, -6.87e+08),
           (-0.162,  2.50e+09),
           (-0.159,  1.52e+09),
           (-0.152, -1.72e+09),
           (-0.148,  1.20e+09),
           (-0.145,  1.80e+09),
           (-0.142, -1.32e+09),
           (-0.138,  1.69e+08),
           (-0.135,  8.08e+08),
           (-0.132, -5.50e+08),
           (-0.128,  1.30e+09),
           (-0.122, -1.35e+09),
           (-0.118,  9.78e+08),
           (-0.115, -5.26e+08),
           (-0.111, -1.12e+09),
           (-0.108,  3.78e+08),
           (-0.105, -1.30e+09),
           (-0.101,  5.60e+08),
           (-0.098,  1.84e+08),
           (-0.095,  7.13e+08),
           (-0.091, -6.81e+08),
           (-0.088, -6.79e+08),
