Bolide Detection Notification: 2012-240

At 06:57:43 UT on 27 Aug 2012, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 18.3 °S, Lon 64.2 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.36e+10 watts/steradian, and total radiated flash
energy 9.21e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.800,  2.97e+08),
           (-0.796,  8.84e+08),
           (-0.790,  2.03e+08),
           (-0.786, -1.08e+09),
           (-0.783,  1.26e+09),
           (-0.780,  6.13e+08),
           (-0.776,  1.01e+09),
           (-0.773,  9.27e+08),
           (-0.769, -1.97e+09),
           (-0.766,  3.18e+08),
           (-0.763,  9.78e+08),
           (-0.759,  3.49e+08),
           (-0.756, -1.41e+09),
           (-0.753, -1.38e+09),
           (-0.749,  8.80e+08),
           (-0.746,  1.45e+09),
           (-0.742,  1.25e+09),
           (-0.739,  1.34e+09),
           (-0.736,  1.35e+09),
           (-0.732, -3.31e+08),
           (-0.729,  1.28e+08),
           (-0.726, -6.48e+08),
           (-0.722,  1.24e+09),
           (-0.719,  1.65e+09),
           (-0.715, -2.18e+08),
           (-0.712, -3.89e+08),
           (-0.709,  2.54e+09),
           (-0.705,  2.50e+09),
           (-0.702,  4.28e+07),
           (-0.699, -5.49e+08),
           (-0.695,  1.45e+08),
           (-0.692, -3.21e+08),
           (-0.688,  1.22e+09),
           (-0.685,  6.66e+08),
           (-0.678, -1.25e+09),
           (-0.675,  5.52e+08),
           (-0.672,  5.48e+08),
           (-0.668,  5.13e+08),
           (-0.665, -9.83e+08),
           (-0.661, -2.27e+08),
           (-0.658,  9.30e+08),
           (-0.655, -4.13e+08),
           (-0.651,  1.74e+09),
           (-0.648,  7.51e+08),
           (-0.645,  1.33e+09),
           (-0.641,  4.68e+08),
           (-0.638,  4.09e+08),
           (-0.634, -5.75e+08),
           (-0.631,  3.68e+08),
           (-0.628,  5.50e+08),
           (-0.624, -6.02e+07),
           (-0.621,  7.83e+08),
           (-0.618, -1.16e+08),
           (-0.614,  1.72e+09),
           (-0.611,  5.62e+08),
           (-0.607,  1.51e+09),
           (-0.604, -5.74e+08),
           (-0.601, -4.32e+07),
           (-0.597,  2.04e+09),
           (-0.594, -3.27e+08),
           (-0.591, -1.07e+09),
           (-0.587,  9.13e+08),
           (-0.584, -1.26e+08),
           (-0.580,  4.49e+08),
           (-0.577,  1.29e+09),
           (-0.570,  2.96e+08),
           (-0.567,  2.34e+09),
           (-0.557, -7.56e+08),
           (-0.553, -5.43e+07),
           (-0.550,  1.41e+09),
           (-0.547,  9.33e+08),
           (-0.543,  1.27e+09),
           (-0.540, -4.73e+08),
           (-0.537,  5.32e+08),
           (-0.533, -4.70e+08),
           (-0.530,  9.60e+08),
           (-0.526,  1.52e+08),
           (-0.523,  2.01e+08),
           (-0.520,  9.12e+08),
           (-0.516,  2.05e+08),
           (-0.513,  2.87e+09),
           (-0.510,  2.77e+08),
           (-0.506,  1.05e+09),
           (-0.503,  1.28e+09),
           (-0.499, -9.82e+08),
           (-0.496, -6.58e+08),
           (-0.493,  2.23e+09),
           (-0.489, -2.74e+08),
